spkid,full_name,pdes,name,kind,class,neo,pha,H,diameter,albedo,rot_per,e,a,q,i,om,w,ma,epoch,moid,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,DT,sigma_A1,sigma_A2,model_pars,sigma_A3,sigma_DT,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant
1000066,   13P/Olbers,13P,Olbers,cn,HTC,,,,,,,0.9297099851338464,16.68192314190269,1.17257262564037,44.62481228001234,85.86269108499772,64.52834113777597,340.1860163773674,2459122.5,0.470701,2481,50377.0,0.0,0.56568,1887-08-27,2025-07-31,3.86165937731734e-09,5.90318676677432e-10,,,1.522e-10,1.253e-13,"[""A1"", ""A2""]",,,25.37226923335966,4711.242431583655,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000027,   15P/Finlay,15P,Finlay,cn,JFc,,,,,,,0.7201854360264079,3.490479431490757,0.9766869801813776,6.800480403047977,13.75387475146649,347.6257499652587,46.69096226287624,2457327.5,0.00922581,1655,5058.0,0.0,0.75893,2008-04-27,2022-03-03,2.189036832282489e-09,-2.3244587659650629e-10,1.554466161887061e-09,,3.037e-11,3.27e-13,"[""A1"", ""A2"", ""A3""]",4.487e-11,,72.07892104980208,-710.8436593165329,34.64377450160599,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000008,   16P/Brooks 2,16P,Brooks,cn,JFc,,,,,,,0.5689747343717468,3.374530996297229,1.454508119049787,4.30690001028072,159.3430168103752,220.1660462077172,115.7852610429186,2457551.5,0.45996,256,2826.0,1.0,0.67223,2014-05-05,2022-01-29,9.248783534570696e-09,-3.719175198503907e-09,,,1.752e-09,1.508e-09,"[""A1"", ""A2""]",,,5.278986035713868,-2.466296550732034,,significant,marginal,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000044,   17P/Holmes,17P,Holmes,cn,JFc,,,,3.42,,,0.4301548244810638,3.62612397801147,2.066329254703369,19.07035853006311,326.7738104542646,24.7385060050165,133.7855814366874,2457680.5,1.07304,2211,4401.0,0.0,0.61434,2011-01-04,2023-01-22,2.937110442467186e-09,9.770169084052139e-10,,,2.174e-10,9.23e-11,"[""A1"", ""A2""]",,,13.510167628643911,10.58523194371846,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000005,   19P/Borrelly,19P,Borrelly,cn,JFc,,,,4.8,0.022,,0.6379142835777641,3.606964684326838,1.306030391834187,29.3186623395529,74.30084258786506,351.8616063839783,312.1229200779977,2459279.5,0.324161,2452,3565.0,0.0,0.63085,2014-07-29,2024-05-02,3.1360252122738103e-09,-5.874029692628189e-10,,,1.027e-10,4.89e-11,"[""A1"", ""A2""]",,,30.535785903347712,-12.012330659771347,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000032,   21P/Giacobini-Zinner,21P,Giacobini-Zinner,cn,JFc,,,,2.0,,,0.7104704806622195,3.500302848566958,1.013441001282255,32.00259232473697,195.4044801966894,172.8124824274951,314.6585273385604,2458070.5,0.017758,1993,4922.0,0.0,0.51504,2011-05-01,2024-10-21,3.468081872351553e-09,-1.542452930830789e-09,-1.9515693136419502e-09,,5.407e-11,2.902e-12,"[""A1"", ""A2"", ""A3""]",3.868e-11,,64.14059316352049,-531.5137597625048,-50.45422217274949,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000009,   23P/Brorsen-Metcalf,23P,Brorsen-Metcalf,cn,HTC,,,,,,,0.9719522579248508,17.0692068346223,0.4787527107248574,19.33394046981863,311.5854622141069,129.6106836788667,0.2664191525503107,2447800.5,0.193872,223,51904.0,0.0,1.2347,1847-08-01,1989-09-09,2.24654685575494e-09,-5.326929396349485e-10,,,2.147e-10,6.488e-14,"[""A1"", ""A2""]",,,10.46365559271048,-8210.433718171216,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000077,   24P/Schaumasse,24P,Schaumasse,cn,JFc,,,,2.6,,,0.707909552000865,4.055720266663596,1.184637149648941,11.50232943610609,78.28793113152491,58.47910605334581,272.2048656923238,2460321.5,0.263204,3535,9387.0,0.0,0.6091,2000-10-07,2026-06-20,1.497991119794448e-09,-3.472087842024124e-10,,,3.273e-11,1.376e-13,"[""A1"", ""A2""]",,,45.7681368712022,-2523.319652633811,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000016,   27P/Crommelin,27P,Crommelin,cn,HTC,,,,,,,0.9192598738413604,9.093496941663725,0.7342100902931331,29.22111461111518,250.9593527477335,195.9554453537227,241.8726970763424,2452489.5,0.228681,455,20203.0,0.0,0.83198,1956-10-03,2012-01-26,5.051930438974341e-10,-2.650786438569746e-12,,,2.666e-10,9.531e-14,"[""A1"", ""A2""]",,,1.8949476515282602,-27.812259349173704,,marginal,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000015,   32P/Comas Sola,32P,Comas Sola,cn,JFc,,,,8.4,,,0.5566790266373172,4.498903012564091,1.994458062594219,9.94409070495328,57.66579139522681,53.30068633782455,194.6821886102038,2458831.5,1.02916,2867,4271.0,0.0,0.57047,2013-09-24,2025-06-04,1.1561701930454971e-08,-1.369882211437831e-09,7.382445614369103e-10,,2.366e-10,2.319e-10,"[""A1"", ""A2"", ""A3""]",2.323e-10,,48.86602675593817,-5.907210916075166,3.1779791710585896,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
