spkid,full_name,pdes,name,kind,class,neo,pha,H,diameter,albedo,rot_per,e,a,q,i,om,w,ma,epoch,moid,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,DT,sigma_A1,sigma_A2,model_pars,sigma_A3,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant
20004179,  4179 Toutatis (1989 AC),4179,Toutatis,an,APO,,,15.29,5.4,0.405,176.0,0.6246302247178447,2.543047155641573,0.9545830393451016,0.4480836624628189,125.3654799655549,277.8615384113277,125.5161576467994,2461200.5,0.00650597,7141,33698,0.0,0.26534,1934-02-10,2026-05-16,-3.148561365334624e-13,-7.654593431691022e-15,,,9.279e-14,9.761e-16,"[""A1"", ""A2""]",,-3.3932119466910486,-7.8420176536123565,,significant,significant,not_fitted,False,inverse_square,1.0,False,-1.064018745146155e-09,,False,False,True,True,True,True,False,False,,,,,-1.064018745146155e-09,,,,False,A1 <= 0; not attributable to radiation pressure,False,False,False,False,True,False,False
20099942, 99942 Apophis (2004 MN4),99942,Apophis,an,ATE,,,19.09,0.34,0.35,30.56,0.1911492279663492,0.9223592206975018,0.7460509677535309,3.340996879880978,203.8936514240762,126.6795706895841,175.3304026592739,2461200.5,0.000107917,7370,6599,0.0,0.25657,2004-03-15,2022-04-09,5e-13,-2.9017666371531653e-14,,,4.892e-13,1.859e-16,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,1.0220768601798855,-156.09287988989593,,marginal,significant,not_fitted,False,marsden_g,1.0000000023534097,False,1.6896903445570053e-09,2.206873269220818e-06,False,False,True,True,True,True,False,False,0.5002246076900522,0.5002246076900522,0.5002246076900522,4.4117647058823526e-06,1.6896903445570053e-09,340.0,measured,453129.78046676447,True,,False,False,False,False,False,False,False
20457175,457175 (2008 GO98),457175,,an,OMB,,,12.91,,,10.74,0.2787245675397884,3.971170208898207,2.864307509796164,15.55983689224037,192.5212653377625,53.36528640130194,85.85176268613253,2461200.5,1.88613,1742,8774,0.0,0.70737,2001-10-15,2025-10-23,1.0856260627090652e-08,-1.150837244462713e-09,-2.531599579953758e-09,,9.404e-10,1.031e-10,"[""A1"", ""A2"", ""A3""]",1.387e-09,11.544300964579596,-11.162339907494792,-1.825234015828232,significant,significant,marginal,True,inverse_square,1.0,False,3.6687437432838334e-05,0.04791678265047377,True,False,False,True,True,True,False,False,286995.93287025916,143497.96643512958,497091.53729691583,1.6695979685585046e-07,3.6687437432838334e-05,8984.198760705658,H_albedo_assumed,20.869514702070937,True,,True,True,True,True,False,False,False
50012415,       (1998 KY26),1998 KY26,,au,APO,,,25.91,0.011,0.52,0.089193,0.2000498225862209,1.228859811859051,0.9830266245133116,1.491131387730072,84.18217649998975,210.0032740505378,145.6930217309096,2461200.5,0.0025611,85,9472,2.0,0.61146,1998-05-31,2024-05-06,3.655395414270661e-11,-2.196384257496804e-13,1.686333710048786e-12,,3.867e-11,4.866e-14,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",1.121e-12,0.9452793933981538,-4.513736657412257,1.5043119625769723,consistent_zero,significant,marginal,True,marsden_g,1.0000000023534097,False,1.235297267406218e-07,0.0001613398885637256,False,False,False,True,True,True,False,False,1.1831591828006542,1.1831591828006542,1.1831591828006542,0.00013636363636363637,1.235297267406218e-07,11.0,measured,6198.095268951563,True,,False,False,False,False,False,False,False
50297652,       (2005 VL1),2005 VL1,,au,ATE,,,26.45,,,,0.2246224084495054,0.8911724522403802,0.6909951496742942,0.235612789151307,37.8779507443325,227.8003035717325,284.0395818122448,2461200.5,1.81933e-06,79,5874,4.0,0.43046,2005-11-04,2021-12-04,-8.298571098423041e-10,-8.320601552689281e-13,-2.4144887398624496e-11,,7.589e-10,5.612e-13,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",3.947e-12,-1.093499947084338,-1.4826446102439919,-6.117275753388522,marginal,marginal,significant,True,marsden_g,1.0000000023534097,False,-2.804403091725047e-06,,False,False,False,True,True,True,False,False,,,,,-2.8044030851251375e-06,,,,False,A1 <= 0; not attributable to radiation pressure,False,False,False,False,False,False,False
50403171,       (2006 RH120),2006 RH120,,au,APO,,,29.5,,,0.04583,0.02449744341910735,1.033230560739882,1.007919053539264,0.5943471055984355,51.21772998080463,9.95176568665169,233.8406050590219,2461200.5,0.0163683,132,281,2.0,0.41377,2006-09-14,2007-06-22,1.4066186591540678e-10,-4.908956163341691e-11,-1.1974677405872579e-11,,8.298e-12,7.107e-12,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",3.476e-12,16.951297410870907,-6.907212837120713,-3.444958977523757,significant,significant,significant,True,marsden_g,1.0000000023534097,False,4.7534999336926995e-07,0.0006208458237748683,True,False,False,True,True,True,False,False,1.7880178762398968,0.8940089381199484,3.096937806488902,0.0003472257364006186,4.7534999336926995e-07,4.3199562784405625,H_albedo_assumed,1610.705849513165,True,,False,False,False,False,False,False,False
50444320,       (2009 BD),2009 BD,,au,APO,,,28.1,,,,0.05190451794847847,1.062114620510534,1.006986073126903,1.26723261398135,253.1521631413366,316.6261297702966,299.8678081065868,2461200.5,0.00455451,180,885,1.0,0.28354,2009-01-16,2011-06-20,5.604736985528152e-11,-1.14638955920583e-12,,,8.508e-12,8.37e-14,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,6.587608116511697,-13.696410504251254,,significant,significant,not_fitted,False,marsden_g,1.0000000023534097,False,1.8940539936456908e-07,0.00024737888468750693,True,False,True,True,True,True,False,False,1.3575340126336464,0.6787670063168232,2.3513178828843255,0.00018222665685376557,1.8940539936456908e-07,8.231506991887196,H_albedo_assumed,4042.382199528535,True,,False,False,False,False,False,False,False
50545575,       (2010 RF12),2010 RF12,,au,APO,,,28.42,,,,0.188308686454983,1.061430522809552,0.8615539352960596,0.8827508322867568,163.6861833546806,267.4411553649549,86.31967335304343,2461200.5,0.000580275,339,4375,2.0,0.29644,2010-09-01,2022-08-24,3.410408812498951e-11,-2.1215873522470061e-13,-1.507549026996071e-11,,5.822e-11,2.125e-13,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",1.415e-12,0.5857795967878652,-0.9983940481162381,-10.654056727887427,consistent_zero,consistent_zero,significant,True,marsden_g,1.0000000023534097,False,1.1525069682943199e-07,0.00015052680090838096,False,True,False,True,True,True,False,False,0.712856188500273,0.3564280942501365,1.2347031369723696,0.00021116012364999384,1.1525069682943199e-07,7.103613949792474,H_albedo_assumed,6643.3352330968355,True,,False,False,False,False,False,False,False
50568326,       (2011 MD),2011 MD,,au,AMO,,,27.98,,,0.19372,0.03767673356604647,1.057087710185509,1.017260098172908,2.442637773457288,271.3850278140916,5.724116955153247,275.6843038133471,2461200.5,0.00101641,532,967,2.0,0.33502,2011-06-21,2014-02-12,7.429319374830619e-11,-6.279626034238839e-13,,,2.481e-11,3.788e-12,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,2.9944858423339857,-0.1657768224455871,,marginal,consistent_zero,not_fitted,False,marsden_g,1.0000000023534097,False,2.5106498428563163e-07,0.0003279113267363602,False,True,True,True,True,True,False,False,1.901710965605663,0.9508554828028315,3.2938600137398786,0.00017242963450648556,2.5106498428563163e-07,8.699200716241041,H_albedo_assumed,3049.604934214417,True,,False,False,False,False,False,False,False
50605357,       (2012 LA),2012 LA,,au,AMO,,,27.6,,,,0.02159878393880795,1.040433610805718,1.017961510043251,3.158929179136726,234.0748042710196,79.4495113235347,16.13437619454414,2461200.5,0.0216295,103,179,2.0,0.43301,2012-05-21,2012-11-16,6.712714728634003e-11,1.898052969710651e-12,,,1.186e-11,7.876e-12,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,5.659961828527827,0.24099199716996583,,significant,consistent_zero,not_fitted,False,marsden_g,1.0000000023534097,False,2.2684818525476946e-07,0.0002962822139705452,True,True,True,True,True,True,True,False,2.0468860850006214,1.0234430425003107,3.5453106965268244,0.00014474777865835912,2.2684818525476946e-07,10.362853329448146,H_albedo_assumed,3375.1604141158964,True,,False,False,False,False,False,False,False
