source_id,ra,dec,parallax,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,bp_rp,ruwe,dist_pc,X_pc,Y_pc,Z_pc,U_kms,V_kms,W_kms,v_total_kms,sep_now_pc,d_min_pc,t_enc_myr
1939760926285276544,358.20862037289913,48.481821020962286,7.246035307526544,343.15186,23.5855299296873,2.258810298247841,-2.3251636,7.4141974,0.16134548,0.87751263,138.0065039099779,-52.51527313296699,123.63741732865944,-31.650122361904558,-13.055707474128656,-8.535248134978303,-1.5407299636076128,15.674048845031324,132.33094108796584,0.08579764012900808,-2.876083762746001
447568203935111168,48.51654988036457,54.75242262846441,5.873301755371887,360.92624,44.44478894319691,-15.605386066214306,25.085733,10.441684,0.9022999,1.0881586,170.26198238246005,-135.14236540297196,103.28181239233501,-7.65185905837604,-42.77880741150605,-14.12235424334844,6.730414175531176,45.549596352761874,167.48658249407197,0.5043935849166177,-2.7770946471233664
392210061216748032,3.8324465895845443,46.899452635739415,14.936675266252118,773.48846,54.92360174008788,25.24867662690685,21.603928,8.254735,0.6909876,0.962302,66.94930311964384,-28.826773182255614,57.70752709980098,-17.91836075455784,-26.416385297373147,11.688825020197578,-0.57681417135605,28.892676530919495,61.497120462950484,0.9926867824598921,-0.875203200681924
452947117901260032,40.683973624725674,52.66409921323602,4.389666718360169,180.6504,31.25507518045046,-10.96597940934377,13.805863,14.724047,1.9029732,1.0980035,227.80772759294268,-172.0527723547329,147.00391140714737,-26.15443188276923,-33.85341158963665,-17.915922716022408,1.7503816557632588,38.34185179362971,223.77316411297113,1.0294423129982735,-4.411969941996326
338311863783727360,36.675629968532185,41.41738977816299,13.60071715103192,693.5743,108.4963764442585,-23.980271994603292,28.503876,12.745943,1.9095764,1.3045045,73.52553463874716,-54.72517756566173,43.534260340115,-22.714034449201073,-46.56222650164793,-11.734669329294416,-2.575356617732371,48.0871694193695,67.64436363731028,1.257417212231799,-1.0368499051349744
435114654205432448,47.57396102844316,47.44363491344777,19.065573699484627,754.7412,167.01477775984233,-39.16265104169386,20.165571,14.440521,2.8530989,1.2328542,52.45055909474319,-42.87702954251031,29.037374714423443,-8.333808052505647,-40.9761208196143,-21.327463507938695,9.592890579386543,47.179727921790395,49.542723655305245,1.3533206557461441,-0.9021940917084788
350458855931484672,24.6418012452376,44.589942239200134,23.77084230393757,187.32674,162.48737249442314,94.81695221680641,47.855644,14.77676,2.4995756,1.2715955,42.06834521107201,-26.693752433529912,29.95920712513294,-12.63468077351877,-56.36875452770122,20.862469359643672,9.221353473341155,60.80881905337916,37.21692768127257,1.4548794498379658,-0.39051799257108477
1780806175223835776,329.93287678174255,20.70572101346716,11.847594577114512,387.85355,-13.393404888320825,-43.932153090644626,13.286332,15.192925,2.5352306,1.0087798,84.40531902835846,16.361664226348502,73.65047351296255,-37.84391067714331,17.153909319573376,4.0901882940356,-14.256621037918377,22.676805080161294,76.62530719788853,1.4642848118515037,-1.2880824609872634
233945189287796096,63.28855527214302,46.45343586945808,5.093381722802552,200.3612,39.50264579917986,-27.270237402897855,28.109154,14.681657,1.9834309,1.0656779,196.3332132604752,-177.72395500499462,82.5937189779013,-11.798475832299152,-44.42384209444211,-28.039567544907097,5.130177409786185,52.78270374652301,193.62471634317936,1.5270680307653177,-3.560596979290119
527062379230600320,10.190464569979529,64.26393478044207,4.5366653511386765,329.0989,21.140398018543344,9.65487174728379,21.36506,13.973485,1.622776,1.0217733,220.42622115581125,-116.03096195851595,187.33621069935103,5.447843685386221,-30.246300983818188,6.1233536069293315,9.689403919430037,32.345304619265555,218.20690785535945,1.5500615251783691,-3.2397584352491298
338774238485847424,37.69605749057269,42.124332854818114,21.72996040345967,1057.4774,171.95646343912546,-16.83880059842621,18.526142,11.978733,2.0459433,1.322689,46.01941197466646,-34.646075324140476,27.117932394215032,-13.492719732909391,-38.719466700636794,-15.362822078414897,5.358995384711938,41.999193269967904,41.26476779799157,1.6635425400835877,-0.7329391051424825
358097124553100416,32.02175443619411,49.04398623759217,4.996912462914344,309.16644,33.39555612004375,-10.649866796683394,10.780734,12.087449,1.0400972,1.143571,200.1235777936304,-139.9802621739078,136.9093751767192,-41.36176470325737,-30.765095748164153,-16.423930583916402,-2.4071259540978027,34.95755808945905,194.74087962807872,1.6747695591643983,-3.908290406081339
1976274333063257856,329.06565161962334,47.92185318930904,5.8841334613326035,381.61884,-3.518064991403288,3.436473320369107,6.8043003,9.676988,0.778244,0.98082995,169.94855853822287,-15.256269597997989,168.5375909492661,-15.647339204824117,-0.1310238952296099,7.154422782776997,3.285356468202435,7.873785604078845,166.32645133890227,1.7971772511367778,-2.8533615458224877
338681162251683200,37.55654516308403,42.023175928286165,21.62230265536573,1146.8026,169.87746990693563,-18.83889764495195,19.752287,10.888376,1.6639977,1.1810095,46.24854327214048,-34.76578257839968,27.268897240294866,-13.662919153853284,-39.49852806806945,-14.663164747099927,4.3793284344106205,42.3594220626427,41.446063710105946,1.8433179507038047,-0.7224625053340739
442591917382194688,50.06554333816106,50.73418392210626,7.1013415366977455,419.28104,54.67645626669122,-23.97501508816402,23.975868,10.212169,0.86712265,1.049478,140.81846293862645,-115.58034991797673,79.30793899834228,-13.463767268880776,-42.440960772458894,-18.61027841889982,3.947881689339689,46.50982029584061,137.50802890400251,1.8537011080111778,-2.398332437784921
1767442676540312320,325.69704768265984,13.353722188378198,14.7461977390269,917.9204,-49.09558909768138,-66.81190724827042,27.14094,12.537466,2.0301151,1.0784634,67.814091313412,21.909371127291504,55.17160811387215,-32.7845099948086,32.97221708714583,11.144090350596763,-15.351769400123084,38.039908952292336,60.101834331423525,1.8936868973815457,-0.840683416475207
416187072628806656,9.861520772752394,52.58629936203271,5.605766279836844,424.20618,26.197500957149206,1.7455256172502267,0.6568668,12.601379,1.1775274,0.87055653,178.3877439908367,-90.62629257747463,150.3427187341126,-31.719540088686315,-19.38460616203179,-10.841684023109423,0.30296004463185505,22.212538200364907,173.30629788436747,1.9844376112327784,-3.7121993774115802
1965385835049829376,320.3579596206686,39.75914189021234,8.270755001215084,378.54495,-16.089338973302468,-6.966379162967177,5.7399716,15.075907,2.511754,1.025328,120.9079461129107,10.452307327787706,119.50566789871125,-15.095563747370608,9.821728181509624,5.32870541471638,3.0116158867150986,11.572868102480161,117.30138072296955,2.041518821976427,-2.077511862268645
376729452893176064,16.89883447054227,44.53115155804933,6.039268669524976,394.89554,31.492728676518308,-5.8346972071060375,31.325745,13.621162,1.6507378,1.0359778,165.5829628918721,-92.35133278366878,127.2844577484254,-51.84221975205604,-37.140575590644374,8.672794913322202,-12.598147990536626,40.16656644031673,158.6376296916455,2.1235927497131386,-2.110641894823453
447568203935112832,48.51407571860836,54.74930063605284,5.89280520783697,379.2922,45.41561942550178,-15.244069477281986,25.056406,9.203843,0.92226696,0.97661376,169.69846528612183,-134.69544428408562,102.93876051754569,-7.636621811328696,-43.01718230185223,-14.435846765122964,7.356218887451024,45.96722311970771,166.92434166674025,2.192405604862008,-2.7659625569870205
350979199808714496,27.095563967454314,47.02072833561599,11.389685086535295,480.5412,74.18257094792185,-9.870086515121066,7.224762,13.635275,2.2913284,1.195943,87.7987400355945,-57.81480263743881,62.18327964434219,-22.345180252247765,-27.98109914358471,-15.43749764203004,1.0491074145838515,31.974347047252348,82.32004326483111,2.196348338668747,-1.7081667622442873
