star_key,star_id,mission,catalogue,tier,why,n_events,period_catalogue,p_window_catalogue,Q_catalogue,jitter_catalogue,fetch_status,fetch_route,lc_n_segments,lc_n_segments_fetched,lc_cadence_days,lc_n_points,lc_segments,n_flares,lc_observed_days,lc_n_windows,lc_span_days,lc_t_first,lc_t_last,n_catalogue_flares_in_lc,catalogue_recovery_frac,cat_n_epochs,cat_n_control,cat_epoch_sigma_median,cat_epoch_sigma_p90,cat_control_sigma_median,cat_epoch_frac_above_3,cat_control_frac_above_3,cat_p_empirical,cat_best_offset_days,cat_best_offset_sigma_median,cat_best_offset_n_epochs,catalogue_epochs_are_brightenings,n_events_raw,n_declustered,rd_n_events,n,rd_n_freq,span_days,min_period_used,max_period_used,rd_h_max,f_best,period_grid,rd_period,rd_Q,rd_jitter,rd_f_in_window,rbar,rd_mean_phase,rd_t0,rd_gap_integer_frac,rd_n_gaps_used,rd_jitter_core,rd_n_core,rd_gap_integer_frac_core,rd_n_gaps_core,cycles_span,cycles_hit,rd_cycle_occupancy,p_screen_upper,status,null_budget_mode,wn_n_trials,wn_n_exceed,wn_p_empirical,wn_at_floor,wn_stopped_early,wn_truncated_by_budget,wn_p_gumbel,wn_gumbel_mu,wn_gumbel_beta,wn_h_null_median,wn_h_null_p99,wn_h_null_max,wn_null_Q_median,wn_null_jitter_median,wn_elapsed_s,wn_p,rd_null_computed,rd_p_window,rd_p_window_source,sn_n_trials,sn_n_exceed,sn_p_empirical,sn_at_floor,sn_stopped_early,sn_truncated_by_budget,sn_p_gumbel,sn_gumbel_mu,sn_gumbel_beta,sn_h_null_median,sn_h_null_p99,sn_h_null_max,sn_null_Q_median,sn_null_jitter_median,sn_elapsed_s,sn_p,rd_p_shuffle,pn_n_trials,pn_n_exceed,pn_p_empirical,pn_at_floor,pn_stopped_early,pn_truncated_by_budget,pn_p_gumbel,pn_gumbel_mu,pn_gumbel_beta,pn_h_null_median,pn_h_null_p99,pn_h_null_max,pn_null_Q_median,pn_null_jitter_median,pn_elapsed_s,pn_p,p_pool,pool_null_computed,energy_phase_rho,energy_phase_p,n_energy,period_agrees_with_catalogue,period_harmonic_of_catalogue,rd_strict_quality_why,phot_period,phot_power,phot_amplitude_frac,period_is_photometric,period_photometric_harmonic,rd_duration_days_median,rd_duty_cycle,rd_rise_frac_median,clock_in_lightcurve,confirms_catalogue_clock
tess:277712294,277712294,tess,tess_tu2022,interest,tier:interest,15,2.8922757879486185,0.0004997501249375,0.9285526309022762,0.0141834668458479,OK,lightkurve,8.0,20.0,0.006944444444444444,20587.0,"[8, 35, 45, 46, 8, 35, 45, 46]",18.0,93.283,9.0,1061.338,1517.3703765906394,2578.701163568534,30.0,0.0,30.0,3948.0,1.149763179788784,2.9585531265413327,0.8512267523703689,0.1,0.022036474164133738,0.004987531172069825,0.1,1.2930064248385715,30.0,False,18.0,6.0,12.0,12.0,864.0,35.128444033209234,0.2,11.708310396268637,21.706247070118508,0.22774421840146947,4.390890829277569,4.390890829277569,0.38003128036694345,0.14384314930944642,0.5833333333333334,0.7139705604496999,0.2767784051732442,1.2153037610172692,0.1111111111111111,9.0,0.05240593597670275,10.0,0.2857142857142857,7.0,22.0,7.0,0.3181818181818182,1.0,scanned,,,,,,,,,,,,,,,,,,False,1.0,bonferroni_screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5034965034965035,0.09515736659412467,12.0,False,,Q<0.85;jitter>0.05;core:f_in_window<0.6;core:jitter_core>0.05;gap_integer_frac<0.6,14.202848295404005,0.0007110205439124599,0.15117158575163397,False,,0.031263789575960904,0.007120147321245224,0.44975452498002344,False,False
kepler:9851983,9851983,kepler,kepler_yang2019,watch,tier:watch,50,1.4563926457595149,3.8264281407118366e-16,0.6436362076397977,0.0771645059365565,OK,lightkurve,15.0,15.0,0.02043359821692,52204.0,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17]",0.0,1080.314,46.0,1470.483,120.53842754894868,1591.0008259289898,52.0,0.0,52.0,3995.0,0.9414239501243618,2.4466609083971647,0.743849719840665,0.019230769230769232,0.01702127659574468,0.08728179551122195,-1.0,1.186576441724478,52.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO_FEW_FLARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tess:150429807,150429807,tess,tess_tu2022,watch,tier:watch,18,0.5618177214065118,4.194022783375103e-16,0.967835849167996,0.0064405844001654,OK,lightkurve,26.0,60.0,0.02083333333333333,50314.0,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 32, 33, 35, 36, 37, 38, 39, 1, 2, 5]",2.0,503.77,46.0,1064.409,1325.3230175110511,2389.711528951768,26.0,0.11538461538461539,26.0,3998.0,2.1921149252479184,4.379396923220087,1.2353135388861325,0.34615384615384615,0.03176588294147074,0.0024937655860349127,0.0,2.1921149252479184,26.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO_FEW_FLARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tess:77371445,77371445,tess,tess_tu2022,watch,tier:watch,28,243.5318736432361,8.223351362665809e-11,0.7235533651511956,0.0575404528924598,OK,lightkurve,8.0,14.0,0.013888888888888886,18126.0,"[4, 5, 31, 32, 4, 5, 31, 32]",4.0,95.868,9.0,789.312,1410.9298426574096,2200.2283024140634,30.0,0.2,30.0,3995.0,2.065669177456096,20.71831759479536,0.8646460141321259,0.3333333333333333,0.027033792240300374,0.0024937655860349127,0.0,2.065669177456096,30.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO_FEW_FLARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kepler:4249808,4249808,kepler,kepler_yang2019,watch,tier:watch,23,356.6143436061405,2.3260568470121424e-10,0.7654689924734379,0.0481516099842941,OK,lightkurve,5.0,5.0,0.02043359821692,16250.0,"[1, 5, 9, 13, 17]",190.0,336.576,13.0,1459.509,131.51280079968274,1591.001731456723,23.0,0.43478260869565216,23.0,3992.0,10.94947034868368,37.32069870828991,0.0,0.7391304347826086,0.16157314629258518,0.0024937655860349127,0.0,10.94947034868368,23.0,True,190.0,4.0,186.0,186.0,35621.0,1456.4646200863644,0.20433598216920001,400.0,503.24822968450894,0.002733441990496027,360.40742296198187,365.8391154730648,0.6856661053052435,0.06959963317260963,0.4946236559139785,0.9076147328861583,0.35569780410618795,130.1281700299193,0.0,175.0,0.06959963317260963,186.0,0.0,175.0,5.0,5.0,1.0,9.64555792620111e-62,scanned,full,30.0,10.0,0.3333333333333333,False,True,False,,,,495.18489610241886,585.2026520067028,593.5229097223819,0.6767283100919036,0.0715743820787589,6.55,0.3333333333333333,True,0.3333333333333333,empirical,100.0,45.0,0.45544554455445546,False,False,False,,,,492.886179952731,642.7728680306404,658.7242176505381,,,21.85,0.45544554455445546,0.45544554455445546,0.0,0.0,,False,False,False,,,,,,,,,0.0,,,False,-0.04277608641935017,0.5621029906051765,186.0,False,,Q<0.85;jitter>0.05;core:f_in_window<0.6;core:jitter_core>0.05;gap_integer_frac<0.6,2.025479143549136,0.18396293626325724,0.018209544475429745,False,,0.18390965347207974,0.0005027063692581562,0.5000000053172757,False,False
tess:307084982,307084982,tess,tess_tu2022,watch,tier:watch,11,19.26601997599808,1.3009319641677596e-08,0.9941245401381384,0.001132060500549,OK,lightkurve,30.0,60.0,0.013888888888888886,66824.0,"[1, 5, 6, 8, 11, 12, 28, 29, 32, 35, 36, 38, 39, 1, 2, 5, 6, 8, 9, 10, 11, 12, 28, 29, 32, 35, 36, 37, 38, 39]",20.0,419.236,35.0,1064.403,1325.3233282337897,2389.7124397126026,19.0,0.0,19.0,3992.0,3.473132706040982,6.329632457861488,1.0394206501087564,0.5789473684210527,0.047344689378757514,0.0024937655860349127,0.0,3.473132706040982,19.0,True,20.0,5.0,15.0,15.0,1645.0,66.36179303610697,0.2,22.118385618934454,24.59629114920815,0.07866424023779274,12.76114698252683,12.712256509147203,0.557477659920806,0.08984882563441052,0.26666666666666666,0.8489834386851641,0.5716341650692898,-5.445496373394198,0.0,11.0,0.08073286853157235,14.0,0.0,11.0,36.0,4.0,0.1111111111111111,1.0,scanned,,,,,,,,,,,,,,,,,,False,1.0,bonferroni_screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06071428571428571,0.8298120954425187,15.0,False,,Q<0.85;jitter>0.05;core:f_in_window<0.6;core:jitter_core>0.05;gap_integer_frac<0.6,13.838910524673635,0.016322387395082048,0.044004785278798066,False,,0.034722589784198336,0.0027314261444625057,0.5549452682749031,False,False
tess:421334320,421334320,tess,tess_tu2022,watch,tier:watch,11,1.9783889264559325,3.6394455159629736e-08,0.9614001619509632,0.0074380175179109,OK,lightkurve,17.0,60.0,0.020833333333333332,35747.0,"[14, 15, 16, 17, 19, 20, 22, 23, 26, 40, 41, 47, 49, 50, 53, 54, 55]",5.0,383.334,37.0,1140.895,1683.3869718862697,2824.2615497843362,16.0,0.0625,16.0,3995.0,1.1191041655003882,2.4886794894054827,1.234324375869718,0.0625,0.03379224030037547,0.6733167082294265,0.1,2.521412842873347,16.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO_FEW_FLARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tess:198382838,198382838,tess,tess_tu2022,watch,tier:watch,12,11.761641826948836,4.9377808514341936e-08,0.8987134329039226,0.0197147495778837,OK,lightkurve,16.0,60.0,0.020833333333333332,24433.0,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47]",2.0,363.118,35.0,923.568,1683.3862509662285,2606.9338650163263,31.0,0.06451612903225806,30.0,3991.0,0.0,0.016515308719673293,1.0175689995555448,0.0,0.01804059133049361,1.0,-1.0,1.400794252190763,31.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO_FEW_FLARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kepler:9572988,9572988,kepler,kepler_yang2019,watch,tier:watch,23,360.6128277429224,7.431217262219668e-08,0.7133782283587473,0.0592931130543931,OK,lightkurve,4.0,4.0,0.02043359821692,17052.0,"[2, 6, 10, 14]",19.0,352.539,14.0,1201.577,169.76533991796896,1371.321775148157,23.0,0.43478260869565216,23.0,3998.0,5.628298917358073,20.269975449719837,0.0,0.782608695652174,0.01775887943971986,0.0024937655860349127,0.0,5.628298917358073,23.0,True,19.0,0.0,19.0,19.0,28145.0,1150.8196257236414,0.20433598216920001,383.56818125368966,48.25967095024751,0.00272875084836024,359.5974174091929,366.4680491445086,0.6838898058533445,0.06458102596474219,0.5789473684210527,0.920390669763488,0.5918400810705955,-149.57756922903963,0.0,7.0,0.06458102596474219,19.0,0.0,7.0,4.0,4.0,1.0,0.014512044964532693,scanned,full,35.0,10.0,0.2857142857142857,False,True,False,,,,43.99173319984649,64.53923651289338,67.6762580247952,0.6681409975874553,0.06789263326886402,0.59,0.2857142857142857,True,0.2857142857142857,empirical,100.0,20.0,0.2079207920792079,False,False,False,,,,44.1210233934039,54.25671926930973,57.49725559587374,,,1.68,0.2079207920792079,0.2079207920792079,0.0,0.0,,False,False,False,,,,,,,,,0.0,,,False,-0.18771929824561404,0.44154950238237817,19.0,True,1.0,Q<0.85;jitter>0.05;core:f_in_window<0.6;core:jitter_core>0.05;gap_integer_frac<0.6,8.165181061824095,0.5620252772798122,0.05806770980128928,False,,0.08173346614494811,0.00022303026508245014,0.2500008460917204,False,False
tess:175491080,175491080,tess,tess_tu2022,watch,tier:watch,35,243.38889183335004,8.79060671564059e-08,0.7319936695590507,0.056155724235734,OK,lightkurve,8.0,20.0,0.013888888888888886,17674.0,"[3, 4, 30, 31, 3, 4, 30, 31]",34.0,100.063,8.0,788.236,1381.7225276976824,2169.944384713657,36.0,0.7777777777777778,36.0,3984.0,11.352089011773415,24.133706992673584,1.021838267278663,0.9722222222222222,0.055220883534136546,0.0024937655860349127,0.0,11.352089011773415,36.0,True,34.0,1.0,33.0,33.0,19397.0,776.4719273070805,0.2,258.7980933714499,103.57469802139246,0.004044318821536827,242.62472894029017,247.26042731220767,0.7404416782351335,0.05431179345244985,0.5757575757575758,0.9430228834376647,0.6659906844030458,-82.58728610076093,0.0,25.0,0.05431179345244985,33.0,0.0,25.0,2.0,2.0,1.0,6.210958410437589e-10,scanned,full,66.0,10.0,0.15151515151515152,False,True,False,,,,92.32820963325344,116.39678675733362,121.1570965969675,0.698999569455838,0.06306941899993344,1.31,0.15151515151515152,True,0.15151515151515152,empirical,100.0,22.0,0.22772277227722773,False,False,False,,,,94.68012745759816,127.62434759554455,130.4149325691752,,,1.97,0.22772277227722773,0.22772277227722773,0.0,0.0,,False,False,False,,,,,,,,,0.0,,,False,0.0213903743315508,0.9059458835398707,33.0,True,1.0,Q<0.85;jitter>0.05;core:f_in_window<0.6;core:jitter_core>0.05;gap_integer_frac<0.6,3.975608880669404,0.012360016752203547,0.005628688633813172,False,,0.03475042049669557,0.00014054177967110504,0.3329680215543478,False,False
