n_events_raw,n_declustered,n_events,n,n_freq,span_days,min_period_used,max_period_used,h_max,f_best,period_grid,period,Q,jitter,f_in_window,rbar,mean_phase,t0,gap_integer_frac,n_gaps_used,jitter_core,n_core,gap_integer_frac_core,n_gaps_core,cycles_span,cycles_hit,cycle_occupancy,p_screen_upper,status,null_computed,p_window,p_window_source,p_shuffle,energy_phase_rho,energy_phase_p,n_energy,grid_days,grid_source,jitter_floor,phase_spacing,comb_coarser_than_window,star_key,star_id,catalogue,mission,n_windows,observed_days,n_removed_cross_star,n_sectors,prot_catalogue,null_budget_mode,wn_n_trials,wn_n_exceed,wn_p_empirical,wn_at_floor,wn_stopped_early,wn_truncated_by_budget,wn_p_gumbel,wn_gumbel_mu,wn_gumbel_beta,wn_h_null_median,wn_h_null_p99,wn_h_null_max,wn_null_Q_median,wn_null_jitter_median,wn_elapsed_s,wn_p,sn_n_trials,sn_n_exceed,sn_p_empirical,sn_at_floor,sn_stopped_early,sn_truncated_by_budget,sn_p_gumbel,sn_gumbel_mu,sn_gumbel_beta,sn_h_null_median,sn_h_null_p99,sn_h_null_max,sn_null_Q_median,sn_null_jitter_median,sn_elapsed_s,sn_p,pn_n_trials,pn_n_exceed,pn_p_empirical,pn_at_floor,pn_stopped_early,pn_truncated_by_budget,pn_p_gumbel,pn_gumbel_mu,pn_gumbel_beta,pn_h_null_median,pn_h_null_p99,pn_h_null_max,pn_null_Q_median,pn_null_jitter_median,pn_elapsed_s,pn_p,p_pool,pool_null_computed,tier,why,period_catalogue,p_window_catalogue,Q_catalogue,jitter_catalogue,fetch_status,fetch_route,lc_n_segments,lc_n_segments_fetched,lc_cadence_days,lc_n_points,lc_segments,n_flares,lc_observed_days,lc_n_windows,lc_span_days,lc_t_first,lc_t_last,n_catalogue_flares_in_lc,catalogue_recovery_frac,cat_n_epochs,cat_n_control,cat_epoch_sigma_median,cat_epoch_sigma_p90,cat_control_sigma_median,cat_epoch_frac_above_3,cat_control_frac_above_3,cat_p_empirical,cat_best_offset_days,cat_best_offset_sigma_median,cat_best_offset_n_epochs,catalogue_epochs_are_brightenings,rd_n_events,rd_n_freq,rd_h_max,rd_period,rd_Q,rd_jitter,rd_f_in_window,rd_mean_phase,rd_t0,rd_gap_integer_frac,rd_n_gaps_used,rd_jitter_core,rd_n_core,rd_gap_integer_frac_core,rd_n_gaps_core,rd_cycle_occupancy,rd_null_computed,rd_p_window,rd_p_window_source,rd_p_shuffle,period_agrees_with_catalogue,period_harmonic_of_catalogue,rd_strict_quality_why,phot_period,phot_power,phot_amplitude_frac,period_is_photometric,period_photometric_harmonic,rd_duration_days_median,rd_duty_cycle,rd_rise_frac_median,clock_in_lightcurve,confirms_catalogue_clock,pop_n_near,pop_expected,pop_p,fdr_significant,fdr_watch,first_veto,flags
17.0,0.0,17,17.0,34512.0,1381.1699999999985,0.2,400.0,25.560981458146305,4.53150077470551,0.220674621460289,0.2206774421361513,0.5342684800969982,0.0963424588370564,0.4117647058823529,0.8297162418025085,0.2530604959429106,0.0558447429503874,0.3571428571428571,14.0,0.0749151120001765,15.0,0.4615384615384615,13.0,6126.0,17.0,0.0027750571335292,1.0,scanned,False,1.0,bonferroni_screen,,0.2955242738173181,0.2494771841320425,17.0,0.01,measured,0.0130813159605461,0.0453150077470552,False,kepler:12109550,12109550,kepler_okamoto2021,kepler,3.0,1351.67,0.0,0.0,4.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,17.54,8.055591738109769e-08,False,False,not_significant,
31.0,0.0,31,31.0,35852.0,1434.770000000004,0.2,400.0,25.809580930620115,2.50588381761536,0.3990585797660717,3.990607996150501,0.1330699797400228,0.2063074250662122,0.1935483870967742,0.3680601570296089,0.3721646225175996,1.4851631185030658,0.25,28.0,0.0684499579944297,13.0,0.5,10.0,353.0,28.0,0.0793201133144475,1.0,scanned,False,1.0,bonferroni_screen,,-0.0655440183262745,0.7261030424261045,31.0,0.01,measured,0.000723386348329,0.0025058838176153,False,kepler:3869649,3869649,kepler_okamoto2021,kepler,3.0,1405.27,0.0,0.0,1.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.4,0.4488161914556843,False,False,not_significant,
15.0,0.0,15,15.0,30455.0,1218.7699999999968,0.2,400.0,22.279550512819995,3.313231311075929,0.3018216535460387,3.0182015866416,0.185845528166479,0.1956272212363011,0.3333333333333333,0.4888271232791804,0.7947577705497069,-0.6194624225727341,0.0769230769230769,13.0,0.0698539126599651,10.0,0.25,8.0,399.0,15.0,0.037593984962406,1.0,scanned,False,1.0,bonferroni_screen,,0.1328565051252668,0.636917193511094,15.0,0.01,measured,0.0009564474946685,0.0033132313110759,False,kepler:5510843,5510843,kepler_okamoto2021,kepler,2.0,1201.87,0.0,0.0,1.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.04,0.5664971131855187,False,False,not_significant,
78.0,0.0,78,78.0,36379.0,1455.8699999999951,0.2,400.0,25.23134129930056,3.803938315234202,0.2628854405959082,0.2628854405959082,0.1848236613496504,0.2090858659569682,0.1538461538461538,0.402168332049252,0.8232291325796316,-0.0464704873663244,0.2,75.0,0.091193943553133,41.0,0.2368421052631578,38.0,5427.0,78.0,0.0143725815367606,1.0,scanned,False,1.0,bonferroni_screen,,0.0096127700412698,0.9334309877470978,78.0,0.01,measured,0.010981024051406,0.0380393831523421,False,kepler:7532880,7532880,kepler_okamoto2021,kepler,3.0,1426.37,0.0,0.0,2.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,20.62,0.10115788928443481,False,False,not_significant,
52.0,0.0,52,52.0,34363.0,1375.189999999995,0.2,400.0,23.11998799278512,4.764023862157247,0.2099065892476826,0.2099065892476826,0.1844514005526074,0.2105449706914038,0.2307692307692307,0.4166220493885536,0.8607622676131027,-0.0292269174999152,0.0612244897959183,49.0,0.0667094546271056,28.0,0.2,25.0,6410.0,52.0,0.0081123244929797,1.0,scanned,False,1.0,bonferroni_screen,,-0.0661256028004369,0.6413891828684092,52.0,0.01,measured,0.0137525522962114,0.0476402386215725,False,kepler:8892124,8892124,kepler_okamoto2021,kepler,3.0,1345.69,0.0,0.0,0.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,16.62,8.341538570988405e-10,False,False,not_significant,
77.0,0.0,77,77.0,35981.0,1439.9500000000044,0.2,400.0,26.551279652956133,4.513628858640912,0.2215512243736202,382.8405157176157,0.0299875140253813,0.2609325227324142,0.1558441558441558,0.1541043543070728,0.4540920578340755,173.84483760447088,0.0,74.0,0.0824202860917058,29.0,0.0,27.0,4.0,4.0,1.0,1.0,scanned,False,1.0,bonferroni_screen,,-0.2989120835905345,0.0082732741230246,77.0,0.01,measured,7.540349642819445e-06,2.6120537376394228e-05,False,kepler:10537061,10537061,kepler_okamoto2021,kepler,3.0,1410.45,0.0,0.0,1.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.92,4.440892098500626e-16,False,False,not_significant,
54.0,0.0,54,54.0,33774.0,1351.5999999999983,0.2,400.0,26.602475078221936,2.7340329979283844,0.365754094505597,0.3657600331662837,0.2074835539103061,0.2087581240355923,0.2592592592592592,0.4476645414741155,0.5033888350117466,-0.1816405161768504,0.1568627450980392,51.0,0.0797769401950391,34.0,0.3548387096774194,31.0,3614.0,54.0,0.0149418926397343,1.0,scanned,False,1.0,bonferroni_screen,,-0.2544311235701318,0.0633660644483734,54.0,0.01,measured,0.0078924734366363,0.0273403299792839,False,kepler:11235995,11235995,kepler_okamoto2021,kepler,3.0,1322.1,0.0,0.0,5.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,24.28,0.9694726200575645,False,False,not_significant,
22.0,0.0,22,22.0,32931.0,1317.8799999999974,0.2,400.0,21.01101476331891,3.179283925698856,0.3145377376667718,0.3145362362627567,0.2540709110499035,0.1685502484297467,0.4090909090909091,0.5487202840003704,0.0819488356699378,0.0257758783377373,0.1052631578947368,19.0,0.0528808062987014,13.0,0.4,10.0,4097.0,22.0,0.0053697827678789,1.0,scanned,False,1.0,bonferroni_screen,,0.191742357484372,0.3926469156471626,22.0,0.01,measured,0.0091778021516624,0.0317928392569886,False,kepler:12207117,12207117,kepler_okamoto2021,kepler,3.0,1288.38,0.0,0.0,1.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,23.38,0.640225371709493,False,False,not_significant,
9.0,0.0,9,9.0,34538.0,1382.1800000000003,0.2,400.0,23.73910823712416,4.985613632088439,0.2005759509597329,0.2005771152348817,0.4131867129910336,0.1529661967932102,0.6666666666666666,0.7573741976890128,0.17559951359221,0.0352212438729738,0.5,6.0,0.0387348235844975,8.0,0.6,5.0,6744.0,9.0,0.0013345195729537,1.0,scanned,False,1.0,bonferroni_screen,,-0.35,0.3558195725017889,9.0,0.01,measured,0.0143922268628086,0.0498561363208845,False,kepler:3939069,3939069,kepler_okamoto2021,kepler,3.0,1352.68,0.0,0.0,19.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,15.68,0.018072622071986566,False,False,not_significant,
16.0,0.0,16,16.0,33418.0,1337.3499999999983,0.2,400.0,27.174783147140843,3.885268160915247,0.2573834823594471,0.2573824916539175,0.2700013922314541,0.1867864731933114,0.5625,0.5851691644508125,0.4525132171867222,0.1164689793458489,0.3076923076923077,13.0,0.0514124843947778,12.0,0.4444444444444444,9.0,5081.0,16.0,0.003148986419996,1.0,scanned,False,1.0,bonferroni_screen,,-0.1972038797312621,0.4641288525870627,16.0,0.01,measured,0.0112158030928915,0.0388526816091525,False,kepler:6059055,6059055,kepler_okamoto2021,kepler,3.0,1307.85,0.0,0.0,2.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,20.32,0.3043756146760427,False,False,not_significant,
