source_id,ra,dec,l,b,ecl_lat,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,ipd_frac_multi_peak,phot_bp_rp_excess_factor,random_index,wise_angular_distance,wise_number_of_neighbours,wise_number_of_mates,tmass_angular_distance,tmass_number_of_neighbours,tmass_number_of_mates,wise_designation,wise_ra,wise_dec,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,w1mjd_mean,w2mjd_mean,tmass_designation,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,tmass_ph_qual,track,dec_band_index,dec_lo,dec_hi,is_locus_sample,tmass_cc_flg,w1snr,w1rchi2,w2snr,w2rchi2,w3snr,w4snr,jk,lum_class,resid_w1,sig_w1,resid_w2,sig_w2,resid_w3,sig_w3,resid_gks,sig_gks,etz,nearby,distance_pc,w1_only_methane_like,w2_only_single_band,saturated,poor_wise_phot_qual,poor_tmass_phot_qual,wise_artifact,extended,bad_profile_fit,wise_variable,gaia_variable,lpv_colour,crowded_match,blend_flux_theft,neighbours_checked,multi_peak,ks_too_bright_for_g,gks_photospheric,gks_unmeasured,bad_astrometry,high_pm_epoch_risk,pm_total_mas_yr,pass_w1,pass_w2,pass_w3,w3_status,w4_status,first_veto,vetoes
5961052253402737536,264.496724942805,-39.13747571408166,350.4904575823127,-4.033580511034003,-15.782849188294561,0.694837086035841,0.02767085,25.110796,-1.654554176803072,-3.3198430937058006,0.9895062,14.907105,15.467248,14.184449,1.2827988,NOT_AVAILABLE,0,1,1.2519066,1627199490,0.21023412,1,0,0.016542148,1,0,J173759.21-390814.6,264.4967207,-39.1374125,12.958,0.038,13.2,0.043,11.868,,8.288,,0000,0,nnnn,AAUU,55365.31152646,55365.31152646,17375921-3908148,13.212,0.023,12.922,0.023,12.71,0.019,AAA,deficit,10,-40.0,-35.0,False,,,,,,,,0.5019998550415039,dwarf,-0.3002398625201024,-5.3750037891627125,-0.49900012893709866,-7.654823830794216,,,-0.00014813887537545867,-0.0015918197792501381,False,False,1439.1862784773955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.70930016186377,True,True,False,unmeasured,unmeasured,,
461960742423887104,48.51654833540678,59.02719171535949,140.3924316734748,1.07829376280254,39.29424019492502,0.4540961253273674,0.02551204,17.799286,0.5087326246401029,-0.7937596686199747,1.3932236,11.253401,11.566423,10.740883,0.82554054,NOT_AVAILABLE,0,0,1.2184448,333696897,0.026458012,1,0,0.01786267,1,0,J031403.96+590137.8,48.5165332,59.0271907,10.108,0.023,10.116,0.021,9.927,0.05,7.004,0.103,0000,0,0110,AAAA,55336.55799978,55336.55799978,03140396+5901378,10.082,0.023,9.9,0.03,9.781,0.021,AAA,deficit,29,55.0,60.0,False,,,,,,,,0.30099964141845703,dwarf,-0.37644014022810723,-8.347104206623534,-0.3583598030046554,-7.634170105114077,-0.21564010605000578,-1.9437127161419383,0.05704986121418143,1.0110562874711035,False,False,2202.1769053393245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9427954682225089,True,True,False,deficit,unmeasured,,
1019825007885543936,141.5393804740731,52.63341261320409,164.49243278995021,44.425025149203364,35.382426496678114,0.3959957658489151,0.017938333,22.075396,1.0627464037218497,-2.5240475552804216,1.0176122,14.202077,14.484595,13.757349,0.7272463,NOT_AVAILABLE,0,0,1.1930856,1074639209,0.87187666,1,0,0.08940647,1,0,J092609.35+523800.5,141.5389917,52.6334776,14.124,0.176,14.245,0.174,11.755,,8.996,,0000,0,43nn,BBUU,55393.37969374,55393.37969374,09260943+5238003,13.227,0.022,12.925,0.032,12.904,0.029,AAA,deficit,28,50.0,55.0,False,,,,,,,,0.3229999542236328,dwarf,-1.2681199865722446,-6.993407183774938,-1.36127988281194,-7.552606893562628,,,0.04212317135534205,0.7403872628004932,False,False,2525.279526300621,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2.738657696745031,True,True,False,unmeasured,unmeasured,,
508762038981840896,29.174415242670356,62.46854860025693,130.39317043305104,0.5459475686245535,46.38193913591497,0.16769384342190985,0.017936993,9.34905,-1.8660956677178762,0.31593231210452316,0.99021083,14.559616,15.250793,13.731044,1.5197496,NOT_AVAILABLE,0,0,1.2866079,924034110,0.023248574,1,0,0.084868886,1,0,J015641.86+622806.7,29.1744288,62.4685426,11.997,0.022,11.977,0.022,11.915,0.284,8.343,,0000,0,22nn,AABU,55346.57704788,55346.57704788,01564186+6228066,12.393,0.022,11.954,0.023,11.597,0.016,AAA,deficit,30,60.0,65.0,False,,,,,,,,0.7959995269775391,giant,-0.49761998108285466,-12.226350257357813,-0.38214992065646236,-7.501797044480233,,,0.24579638445356888,4.920832673268628,False,False,5963.248140744481,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.8926505929270558,True,True,False,unmeasured,unmeasured,,
4038844072548623232,271.7989198222672,-35.499144019247716,356.5806553254978,-7.225869095890267,-12.06921450633421,0.5108096507738401,0.027190704,18.786186,-0.7290815829145105,-6.602319650193056,0.91287947,14.666375,15.006078,14.140285,0.8657932,NOT_AVAILABLE,0,0,1.2137393,678677789,0.10400494,1,0,0.05245601,1,0,J180711.73-352956.9,271.7988931,-35.4991515,13.432,0.036,13.759,0.062,12.42,,8.971,,0000,0,22nn,AAUU,55364.64193368,55364.64193368,18071174-3529568,13.558,0.022,13.263,0.027,13.164,0.033,AAA,deficit,10,-40.0,-35.0,False,,,,,,,,0.3940000534057617,dwarf,-0.31262080444328616,-5.220123523472395,-0.6054804370880744,-7.493085295235252,,,0.019140311436785407,0.3038934150564176,False,False,1957.6764034999565,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.642453215331704,True,True,False,unmeasured,unmeasured,,
5254571021283225600,158.67102180215406,-59.13924815830146,286.17783742080155,-0.7902211274172534,-59.518843528569306,0.5451539408324659,0.017026676,32.01764,-10.093958564116448,-0.6861633982571019,0.95555896,14.65195,14.925825,14.215501,0.7103243,NOT_AVAILABLE,0,0,1.1927369,128068927,0.23991929,1,0,0.08893118,1,0,J103441.03-590821.1,158.6709717,-59.1391946,13.636,0.042,13.924,0.06,10.627,,9.2,,0000,0,43nn,AAUU,55391.46015522,55391.46015522,10344105-5908212,13.667,0.021,13.507,0.029,13.358,0.037,AAA,deficit,6,-60.0,-55.0,False,,,,,,,,0.30900001525878906,dwarf,-0.3269604571533259,-5.046999598021971,-0.5882401840211815,-7.406538574177137,,,0.0710021609866085,1.119299927291096,False,False,1834.3442559967023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10.11725356523239,True,True,False,unmeasured,unmeasured,,
5958425073443146624,263.56845778314187,-43.873436209713994,346.09777803797544,-5.9738795402033675,-20.54453778212904,1.1133996969878548,0.030957848,35.965023,-13.148279024774546,-10.984924974365782,1.0364101,14.902081,15.318626,14.314513,1.0041132,NOT_AVAILABLE,0,0,1.2173084,1626425435,0.089902274,1,0,0.06886572,1,0,J173416.42-435224.3,263.5684576,-43.8734339,13.353,0.03,13.539,0.037,11.992,,8.902,,0000,0,11nn,AAUU,55371.36958478,55368.15937994,17341644-4352242,13.631,0.024,13.203,0.022,13.095,0.023,AAA,deficit,9,-45.0,-40.0,False,,,,,,,,0.5359992980957031,dwarf,-0.3138794482334048,-6.07212217000012,-0.4521199824473582,-7.343781667978497,,,0.09038611488904191,1.4293257919181652,False,False,898.1500558203477,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,17.13317886458235,True,True,False,unmeasured,unmeasured,,
5255504575362542976,154.918251507719,-58.89774034991683,284.40584908836894,-1.5967842107020451,-60.77341236531701,0.5255821474698856,0.018481081,28.438929,-5.872192950524814,3.3556894375622868,0.99641395,14.8215,15.1554165,14.316978,0.83843803,NOT_AVAILABLE,0,0,1.2031317,422456227,0.029836236,1,0,0.07795371,1,0,J101940.38-585351.8,154.9182791,-58.8977392,13.567,0.027,13.767,0.038,12.451,,9.205,,0000,0,31nn,AAUU,55460.31245168,55460.31245168,10194040-5853519,13.724,0.023,13.477,0.029,13.299,0.032,AAA,deficit,6,-60.0,-55.0,False,,,,,,,,0.4250001907348633,dwarf,-0.31200055313084146,-5.678226389983494,-0.47600025177076144,-7.298582080864386,,,0.0853981488544373,1.3835584930536216,False,False,1902.6521445104777,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.763379454796279,True,True,False,unmeasured,unmeasured,,
458708799349701632,35.317437378022674,58.074146003864065,134.6002019925229,-2.747957356492037,41.07840235779185,0.5809082150047098,0.017191589,33.79026,-1.4275455187109385,-2.189772946444693,1.0971968,11.053887,11.311052,10.619269,0.69178295,NOT_AVAILABLE,0,0,1.2004169,596061278,0.10091199,1,0,0.02525776,1,0,J022116.18+580426.8,35.3174412,58.0741214,10.115,0.022,10.145,0.019,10.225,0.061,8.311,,0000,0,nnnn,AAAU,55331.01623387,55331.01623387,02211618+5804269,10.16,0.024,10.054,0.03,9.828,0.021,AAA,deficit,29,55.0,60.0,False,,,,,,,,0.3319997787475586,dwarf,-0.3345802287287075,-7.476894520273913,-0.3358801210031079,-7.175366525061811,-0.4715400019861398,-3.7484661791450713,0.03352833234930541,0.5977734544378738,False,False,1721.4423452281396,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2.613999189933454,True,True,False,deficit,unmeasured,,
5724157490982573824,120.90994921071122,-16.311659445750493,235.83750138853674,7.851050068361883,-35.819350513894555,0.18628823428882094,0.034660302,5.374686,-2.6316828524898543,4.381114832329102,1.1160101,10.601506,10.51672,10.738914,-0.22219372,NOT_AVAILABLE,0,0,1.1550171,799876576,0.03484525,1,0,0.05193325,1,0,J080338.38-161842.0,120.9099437,-16.3116689,11.116,0.023,11.159,0.02,11.125,0.289,8.68,,0000,0,23nn,AABU,55412.39361013,55412.39361013,08033838-1618420,10.801,0.026,10.858,0.028,10.798,0.021,AAA,deficit,14,-20.0,-15.0,False,,,,,,,,0.0029993057250976562,blue,-0.34308014373805773,-7.709372318821678,-0.35593970474158426,-7.1451291566118575,,,-0.41728687286376953,-7.711374439744539,False,False,5368.025542877828,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.110765286152671,True,True,False,unmeasured,unmeasured,,
