source_id,ra,dec,l,b,ecl_lat,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,ipd_frac_multi_peak,phot_bp_rp_excess_factor,random_index,wise_angular_distance,wise_number_of_neighbours,wise_number_of_mates,tmass_angular_distance,tmass_number_of_neighbours,tmass_number_of_mates,wise_designation,wise_ra,wise_dec,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,w1mjd_mean,w2mjd_mean,tmass_designation,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,tmass_ph_qual,track,dec_band_index,dec_lo,dec_hi,is_locus_sample,tmass_cc_flg,w1snr,w1rchi2,w2snr,w2rchi2,w3snr,w4snr,jk,lum_class,resid_w1,sig_w1,resid_w2,sig_w2,resid_w3,sig_w3,resid_gks,sig_gks,etz,nearby,distance_pc,w1_only_methane_like,w2_only_single_band,saturated,poor_wise_phot_qual,poor_tmass_phot_qual,wise_artifact,extended,bad_profile_fit,wise_variable,gaia_variable,lpv_colour,crowded_match,blend_flux_theft_x,neighbours_checked,multi_peak,ks_too_bright_for_g,gks_photospheric,gks_unmeasured,bad_astrometry,high_pm_epoch_risk,pm_total_mas_yr,pass_w1,pass_w2,pass_w3,w3_status,w4_status,first_veto,vetoes,vet_source,gaia_n_3as,gaia_n_4as,gaia_n_6as,gaia_n_10as,gaia_brightest_neighbour_g,gaia_brightest_neighbour_sep_arcsec,gaia_nearest_neighbour_sep_arcsec,gaia_nearest_neighbour_dg,gaia_neighbours_checked,blend_flux_theft_y,unresolved_in_2mass,crowded_field,gaia_isolated,allwise_status,allwise_designation,allwise_w1,allwise_e_w1,allwise_w2,allwise_e_w2,allwise_w3,allwise_e_w3,allwise_w4,allwise_e_w4,allwise_cc_flags,allwise_ph_qual,allwise_ext_flag,allwise_nb,allwise_na,allwise_w1sat,allwise_w2sat,allwise_w1flux,allwise_w2flux,allwise_w1rchi2,allwise_w2rchi2,allwise_w3snr,allwise_sep_arcsec,allwise_n_within,catwise_status,catwise_designation,catwise_w1,catwise_e_w1,catwise_w2,catwise_e_w2,catwise_cc_flags,catwise_ab_flags,catwise_sep_arcsec,catwise_n_within,unwise_status,unwise_designation,unwise_w1,unwise_e_w1,unwise_w2,unwise_e_w2,unwise_flags_w1,unwise_flags_w2,unwise_sep_arcsec,unwise_n_within,tmass_status,tmass_psc_designation,tmass_psc_ks,tmass_psc_e_ks,tmass_qflg,tmass_rflg,tmass_bflg,tmass_cflg,tmass_xflg,tmass_aflg,tmass_prox,tmass_pxcntr,tmass_sep_arcsec,tmass_n_within,vvv_status,hires_vvv_designation,hires_vvv_ks,hires_vvv_e_ks,hires_vvv_class,vvv_sep_arcsec,vvv_n_within,gps_status,hires_gps_designation,hires_gps_ks,hires_gps_e_ks,hires_gps_class,gps_sep_arcsec,gps_n_within,vhs_status,hires_vhs_designation,hires_vhs_ks,hires_vhs_e_ks,hires_vhs_class,vhs_sep_arcsec,vhs_n_within,las_status,hires_las_designation,hires_las_ks,hires_las_e_ks,hires_las_class,las_sep_arcsec,las_n_within,deblended_component,saturated_pixels,allwise_flags_available,allwise_sat_available,unwise_zeropoint_suspect,catwise_zeropoint_suspect,catwise_resid_w1,catwise_sig_w1,catwise_resid_w2,catwise_sig_w2,catwise_class,unwise_resid_w1,unwise_sig_w1,unwise_resid_w2,unwise_sig_w2,unwise_class,independent_class,vet_resid_w3,vet_sig_w3,tmass_bflg_k,tmass_cflg_k,tmass_blend,tmass_close_pair,hires_survey,hires_ks,hires_e_ks,hires_status,resid_ks_hires,tmass_ks_contaminated,ks_confirmed_hires,vet_verdict,vet_vetoes,vet_notes,status,n_neighbours,n_deficit_total,n_deficit_inside,coherence_p,profile_shape,own_status,own_neowise_n_visits,own_flat_chi2,own_flat_chi2_w2,own_offset_from_allwise,own_constant,modulation_sig,modulation_null_p,alternation_control_sig,modulation_degenerate,best_d_au,best_R_au,patch_verdict,patch_available,final_flags,final_verdict,final_neowise_variable,final_modulation_degenerate,final_confusion_limited,final_ks_contamination_consistent,final_threshold_edge
512945405846907904,23.69126258391756,64.27880160916601,127.6123946522996,1.801500607970441,49.21882817041302,0.3881959262502159,0.019887045,19.52004,0.3676171539833191,-0.4806855390580145,1.0824205,11.149554,11.5294895,10.588204,0.94128513,NOT_AVAILABLE,0,0,1.2170019,735871905,0.014643303,1,0,0.14898613,1,0,J013445.90+641643.6,23.6912528,64.2788041,9.769,0.024,9.789,0.02,9.734,0.054,8.522,,0,0,000n,AAAU,55345.01663096,55345.01663096,01344590+6416435,9.247,0.024,8.888,0.028,8.642,0.02,AAA,deficit,30,60.0,65.0,False,,,,,,,,0.6049995422363281,giant,-1.1975999511758568,-29.147723114432416,-1.1476001998917784,-27.713441175458755,-1.2001996376061,-12.91446261953834,0.907500819790584,14.65172556657142,False,False,2576.018789428097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6051454034876984,True,True,True,deficit,unmeasured,,,candidates,1.0,1.0,1.0,1.0,,,,,True,False,False,False,True,matched,J013445.90+641643.6,9.769000053405762,0.0240000002086162,9.788999557495115,0.0199999995529651,9.734000205993652,0.0540000014007091,8.522000312805176,,0,AAAU,0,1,0,,,,,0.969,0.8708,,0.0146943217876563,1.0,matched,J013445.90+641643.7,9.76099967956543,0.0189999993890523,9.767000198364258,0.0109999999403953,0,0,0.066253102083404,1.0,matched,0231p636o0047658,9.779402777239884,0.0004902649367088,9.807543743995794,0.0010262108347153,122529.0,119394.0,0.0727566216068364,1.0,matched,01344590+6416435,8.642000198364258,0.0199999995529651,AAA,222,111,0,0,0,10.399999618530272,758434695,0.1488465203479464,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-1.189599838256837,-30.591561891479238,-1.1256005142211924,-27.18217628559129,confirms_deficit,-1.2080029359312914,-31.064813049892276,-1.1661440598527284,-28.16126415084679,confirms_deficit,confirms_deficit,-1.2002000602722176,-12.914471482792491,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,gaia_isolated;catwise_confirms_deficit;w3_deficit_consistent;no_hires_ks_coverage,OK,627,17,6,0.9737554978944216,flat,OK,21,730.9836978617425,1756.6039048005173,-0.0695342776123801,False,1.2529413849947082,0.4772613693153423,0.8144581531690527,False,1000.0,2.0,NOT_COHERENT,True,NEOWISE_VARIABLE;CONFUSION_LIMITED;KS_CONTAMINATION_CONSISTENT,NEOWISE_VARIABLE,True,False,True,True,False
5614363936337639936,117.13438647335012,-25.17124306060577,241.6367122427465,0.2674817686694441,-45.284578962577896,0.2940054140421869,0.02520442,11.664836,-2.333540729118752,3.658530323301541,1.1234351,10.237069,10.2096405,10.253245,-0.04360485,NOT_AVAILABLE,0,0,1.158482,784222045,0.025230512,1,0,0.060269825,1,0,J074832.25-251016.5,117.1343838,-25.1712523,10.446,0.023,10.504,0.02,10.503,0.063,8.851,,0,0,110n,AAAU,55414.89316141,55411.24244944,07483225-2510165,10.122,0.024,10.06,0.022,9.977,0.021,AAA,deficit,12,-30.0,-25.0,False,,,,,,,,0.1449995040893554,blue,-0.4837999359168314,-10.933794812994648,-0.5201998973806323,-10.678782898703018,-0.5720000953674313,-5.380158390429202,0.039276123046875,0.7258145679910025,False,False,3401.297908944322,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4.339384341237008,True,True,True,deficit,unmeasured,,,candidates,1.0,1.0,2.0,3.0,18.53594207763672,4.836723646501631,4.836723646501631,8.298873077636719,True,False,False,False,False,matched,J074832.25-251016.5,10.446000099182127,0.0230000000447034,10.503999710083008,0.0199999995529651,10.503000259399414,0.0630000010132789,8.85099983215332,,0,AAAU,0,1,0,,,,,2.117,1.7,,0.0252354608319384,1.0,matched,J074832.25-251016.4,10.321000099182127,0.0130000002682209,10.288000106811523,0.0099999997764825,0,0,0.0245454834901469,1.0,matched,1166m258o0045586,10.381168602303086,0.0006636244565194,10.410711757390647,0.0014193221628257,70393.5,68503.9,0.0288703115336029,1.0,matched,07483225-2510165,9.97700023651123,0.0209999997168779,AAA,222,111,0,0,0,12.199999809265137,264112562,0.0573204560226493,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.3587999938964843,-8.38990868384169,-0.3041999481201168,-6.244673471318201,confirms_deficit,-0.4189684970174417,-9.796843620897222,-0.4269115986992423,-8.763721202025089,confirms_deficit,confirms_deficit,-0.5720005912780755,-5.380163021684867,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,catwise_confirms_deficit;w3_deficit_consistent;no_hires_ks_coverage;gks_photospheric,OK,591,58,39,1.0,smooth,OK,21,2757.600197049963,4457.3832028705165,-0.2549669832473373,False,0.8147737054021879,0.4792603698150924,1.8568582461969525,True,2000.0,5.0,NOT_COHERENT,True,NEOWISE_VARIABLE;CONFUSION_LIMITED,NEOWISE_VARIABLE,True,False,True,False,False
4310678737370850304,286.2151963851793,9.4695579474805,42.88254735351932,1.354293098159535,31.849905181454293,0.227778766962338,0.022502903,10.122195,-1.7782279284698257,-3.9705518302334304,0.9749432,14.338428,15.44866,13.296053,2.152607,NOT_AVAILABLE,0,0,1.360255,1042494608,0.079725474,1,0,0.040943034,1,0,J190451.64+092810.3,286.2152045,9.4695425,10.935,0.025,10.797,0.026,10.868,0.147,9.011,,0,0,12nn,AABU,55382.64396344,55382.64396344,19045165+0928104,11.183,0.022,10.618,0.022,10.171,0.021,AAA,deficit,19,5.0,10.0,False,,,,,,,,1.0120000839233398,giant,-0.8954006008916777,-19.1912617462523,-0.6460001799007006,-8.938610519070584,-0.843880681916577,-4.8527934628895935,0.4157142287876914,5.141323270759579,False,False,4390.224836739697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.350560469888924,True,True,False,deficit,unmeasured,,,candidates,2.0,2.0,3.0,5.0,18.81576156616211,2.9800478071252363,2.9800478071252363,4.477333566162109,True,False,False,True,False,matched,J190451.64+092810.3,10.9350004196167,0.025000000372529,10.79699993133545,0.0260000005364418,10.868000030517578,0.1469999998807907,9.01099967956543,,0,AABU,0,1,0,,,,,1.716,1.459,,0.0797538335570292,1.0,matched,J190451.64+092810.3,10.805999755859377,0.0109999999403953,10.83199977874756,0.0080000003799796,0,0,0.0647134441683483,1.0,matched,2864p090o0044659,10.925316973273748,0.0009582892715526,10.797528174209988,0.0018558524042099,42645.5,47972.1,0.0505002696468084,1.0,matched,19045165+0928104,10.17099952697754,0.0209999997168779,AAA,222,111,0,0,0,5.5,669889163,0.0398592350136442,1.0,unavailable,,,,,,,matched,438627627996.0,,,-1.0,0.0093998658345881,1.0,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.7663998669433606,-17.347331675188016,-0.6809994856262208,-9.68217911716595,confirms_deficit,-0.8857170843577339,-20.04805675921341,-0.6465278810886489,-9.192075590462151,confirms_deficit,confirms_deficit,-0.8438802192687996,-4.8527906597099255,1,0,False,True,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,crowded_field;catwise_confirms_deficit;w3_deficit_consistent;tmass_close_pair;no_hires_ks_coverage,OK,421,8,0,1.0,flat,NO_EPOCHS,0,,,,False,1.6067188040361984,0.6601699150424788,1.875355368856858,True,10000.0,2.0,NOT_COHERENT,True,CONFUSION_LIMITED,CONFUSION_LIMITED,False,False,True,False,False
4688980831219164416,12.991061095895349,-72.55681756578132,302.8765522365836,-44.57137585168642,-64.43495273237035,0.0188252562733378,0.024178827,0.77858436,0.6593601789806465,-1.322186743796326,1.0397447,14.032592,13.919914,14.237624,-0.31770992,NOT_AVAILABLE,0,0,1.1530248,680080032,0.35261837,1,0,0.12707192,1,0,J005157.92-723324.6,12.9913646,-72.5568493,15.033,0.038,15.505,0.083,12.826,,9.143,,0,0,2nnn,AAUU,55420.80573625,55420.80573625,00515787-7233244,14.534,0.029,14.589,0.054,14.493,0.079,AAA,deficit,3,-75.0,-70.0,False,,,,,,,,0.0410003662109375,blue,-0.5648802151444832,-6.087530754632605,-1.0097000558462463,-8.387807710238338,,,-0.6085529327392578,-6.172043524215288,False,False,53120.12678500936,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4774754248704516,True,True,False,unmeasured,unmeasured,,,candidates,1.0,2.0,5.0,14.0,18.950422286987305,7.083210055223397,3.0130123094907426,6.400666056640626,True,False,False,True,False,matched,J005157.92-723324.6,15.032999992370604,0.0379999987781047,15.505000114440918,0.0829999968409538,12.826000213623049,,9.142999649047852,,0,AAUU,0,1,0,,,,,1.425,1.023,,0.3527394829856468,1.0,matched,J005157.87-723324.6,14.826000213623049,0.0199999995529651,15.17199993133545,0.0320000015199184,0,0,0.1718674896903796,1.0,matched,0145m727o0034213,14.7901421481591,0.0074222029029944,14.916551201157692,0.023394995656965,1213.23,1079.89,0.0438682506402753,1.0,matched,00515787-7233244,14.493000030517578,0.0790000036358833,AAA,222,111,0,0,0,14.199999809265137,52340227,0.1277586650458507,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.3578803933715822,-4.114236250849389,-0.6766999444580071,-7.286185067259271,confirms_deficit,-0.3220223279076339,-3.7020075969484494,-0.4212512142802493,-4.666482326088897,confirms_deficit,confirms_deficit,,,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,crowded_field;catwise_confirms_deficit;no_hires_ks_coverage,OK,722,75,21,1.0,tophat,OK,21,0.9773539862224508,1.0420107252174309,-0.1723809911891525,False,1.4180053235472598,0.3013493253373313,0.7179743029085522,False,5000.0,5.0,NOT_COHERENT,True,CONFUSION_LIMITED,CONFUSION_LIMITED,False,False,True,False,False
2030018186567867904,299.47496961205184,28.963046995928,65.9602553811312,-0.106184602860735,48.3543944543936,0.3623154694046329,0.011227102,32.271503,-1.400649102855191,-3.997883064892034,0.94244146,12.787922,13.30978,12.092462,1.2173185,NOT_AVAILABLE,0,0,1.247185,434899566,0.021727486,1,0,0.07787164,1,0,J195753.99+285746.9,299.4749787,28.9630515,10.814,0.024,10.828,0.023,10.508,0.123,8.536,,0,0,000n,AABU,55407.39029144,55407.39029144,19575399+2857471,10.866,0.024,10.601,0.031,10.387,0.023,AAA,deficit,23,25.0,30.0,False,,,,,,,,0.4790000915527344,giant,-0.4987597048958997,-11.426551119620422,-0.4775594897473916,-8.266921382296857,-0.2356598770140545,-1.372514362095134,0.2115103769156112,3.7961644177425367,False,False,2760.025680502211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.236140567766793,True,True,False,normal,unmeasured,,,candidates,1.0,2.0,2.0,8.0,16.3724308013916,7.106364732151974,3.384860984165038,7.446077252319336,True,False,False,False,False,matched,J195753.99+285746.9,10.814000129699709,0.0240000002086162,10.82800006866455,0.0230000000447034,10.508000373840332,0.1230000033974647,8.53600025177002,,0,AABU,0,1,0,,,,,1.645,1.546,,0.0217033219829426,1.0,matched,J195753.99+285747.0,10.694000244140623,0.0120000001043081,10.73799991607666,0.0089999996125698,0,0,0.0251335568751019,1.0,matched,3000p287o0034264,10.77197789272422,0.0008307701488769,10.749701593786902,0.0017091548195282,49114.4,50132.5,0.1252251862502236,1.0,matched,19575399+2857471,10.38700008392334,0.0230000000447034,AAA,222,111,0,0,0,7.099999904632568,1113159475,0.0763655087164188,1.0,unavailable,,,,,,,matched,438605431911.0,,,-1.0,0.0734389513729847,1.0,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.378760038452148,-9.108252276030914,-0.3875595227050772,-6.842507226240458,confirms_deficit,-0.4567376870357426,-10.983423949614938,-0.3992612004153193,-7.049104689599393,confirms_deficit,confirms_deficit,-0.235660354003906,-1.3725168978447717,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,catwise_confirms_deficit;no_hires_ks_coverage,OK,288,13,6,1.0,flat,OK,21,873.4450906028453,1921.63112909398,-0.1068119355258581,False,1.550983019922343,0.3728135932033983,4.317126678489937,True,500.0,1.0,NOT_COHERENT,True,NEOWISE_VARIABLE;CONFUSION_LIMITED;KS_CONTAMINATION_CONSISTENT,NEOWISE_VARIABLE,True,False,True,True,False
508762038981840896,29.17441524267036,62.46854860025693,130.39317043305104,0.5459475686245535,46.38193913591497,0.1676938434219098,0.017936993,9.34905,-1.866095667717876,0.3159323121045231,0.99021083,14.559616,15.250793,13.731044,1.5197496,NOT_AVAILABLE,0,0,1.2866079,924034110,0.023248574,1,0,0.084868886,1,0,J015641.86+622806.7,29.1744288,62.4685426,11.997,0.022,11.977,0.022,11.915,0.284,8.343,,0,0,22nn,AABU,55346.57704788,55346.57704788,01564186+6228066,12.393,0.022,11.954,0.023,11.597,0.016,AAA,deficit,30,60.0,65.0,False,,,,,,,,0.7959995269775391,giant,-0.4976199810828546,-12.226350257357812,-0.3821499206564623,-7.501797044480233,,,0.2457963844535688,4.920832673268628,False,False,5963.248140744481,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.892650592927056,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,2.0,2.0,19.77796936035156,5.2645588869067526,5.2645588869067526,5.218353360351562,True,False,False,False,False,matched,J015641.86+622806.7,11.996999740600586,0.0219999998807907,11.97700023651123,0.0219999998807907,11.914999961853027,0.2840000092983246,8.343000411987305,,0,AABU,0,1,0,,,,,1.556,1.057,,0.0233613979675021,1.0,matched,J015641.86+622806.7,12.020999908447266,0.0109999999403953,12.003000259399414,0.0089999996125698,0,0,0.1101918564211566,1.0,matched,0284p620o0038675,12.019850426326112,0.0015387738327185,11.99919412334227,0.0034670771605288,15561.8,15860.7,0.0062850395093788,1.0,matched,01564186+6228066,11.597000122070312,0.0160000007599592,AAA,222,111,0,0,0,14.300000190734863,503254638,0.0858206726875657,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.5216201156616218,-13.153864149930408,-0.408150373077393,-8.145107253457253,confirms_deficit,-0.5204706335404683,-13.12487728533212,-0.4043442370202497,-8.069151457624121,confirms_deficit,confirms_deficit,,,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,catwise_confirms_deficit;no_hires_ks_coverage,OK,586,17,0,1.0,flat,OK,21,7589.131379179945,5156.703625514512,-0.4435490266775268,False,0.1757070639207623,0.567216391804098,1.6736385584808524,True,500.0,2.0,NOT_COHERENT,True,NEOWISE_VARIABLE;CONFUSION_LIMITED;KS_CONTAMINATION_CONSISTENT,NEOWISE_VARIABLE,True,False,True,True,False
504860009654887808,29.029746365932542,56.55437819857735,131.79792858774698,-5.199861356428959,41.23658676909741,0.4336246491365087,0.033224378,13.0514,-0.5853561081656011,-1.315676747609404,0.9838012,10.052329,10.065352,9.984215,0.08113766,NOT_AVAILABLE,0,0,1.1647589,934143202,0.087339126,1,0,0.032783683,1,0,J015607.13+563315.8,29.0297222,56.5543999,10.026,0.023,10.054,0.02,9.956,0.052,8.648,,0,0,000n,AAAU,55335.58362129,55335.58362129,01560713+5633157,9.873,0.025,9.81,0.03,9.749,0.02,AAA,deficit,29,55.0,60.0,False,,,,,,,,0.1240005493164062,blue,-0.3031003896362381,-7.301357891480766,-0.3099900943728862,-6.998709968276114,-0.252860801931819,-2.532074747293971,0.0825366973876953,1.5360524791511705,False,False,2306.1419640035074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.4400163462845963,True,True,False,normal,unmeasured,,,candidates,1.0,1.0,1.0,1.0,,,,,True,False,False,False,True,matched,J015607.13+563315.8,10.026000022888184,0.0230000000447034,10.053999900817873,0.0199999995529651,9.956000328063965,0.0520000010728836,8.64799976348877,,0,AAAU,0,1,0,,,,,1.476,1.281,,0.087426324651147,1.0,matched,J015607.13+563315.7,10.057000160217283,0.0120000001043081,10.081000328063965,0.0080000003799796,0,0,0.0278749654795917,1.0,matched,0293p560o0040717,10.04333728459736,0.0005597099869805,10.083606206671927,0.001192177366328,96087.1,92588.6,0.048844308367588,1.0,matched,01560713+5633157,9.74899959564209,0.0199999995529651,AAA,222,111,0,0,0,10.5,956553515,0.0328277280708998,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.3341002004241941,-8.367371259211943,-0.3369900125885002,-7.6082937047882995,confirms_deficit,-0.320437324804269,-8.02519142024388,-0.3395958911964625,-7.667127168890431,confirms_deficit,confirms_deficit,-0.2528606487274158,-2.532074910322512,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,gaia_isolated;catwise_confirms_deficit;no_hires_ks_coverage;gks_photospheric,OK,744,42,13,1.0,smooth,OK,21,27675.240584622217,34592.43427484456,-0.6409478641853124,False,0.9406177592348772,0.4377811094452773,0.5760240713958775,False,500.0,1.0,NOT_COHERENT,True,NEOWISE_VARIABLE;CONFUSION_LIMITED,NEOWISE_VARIABLE,True,False,True,False,False
4661535234258618624,73.81080914719114,-68.18306245054563,279.3407054754888,-35.72703708936496,-83.58419133051798,-0.0286217644496325,0.019721918,-1.4512668,1.760436765512816,-0.2294837693994789,0.95868194,14.594247,14.53138,14.692085,-0.16070557,NOT_AVAILABLE,0,0,1.1531113,1271547765,0.19656616,1,0,0.13799106,1,0,J045514.56-681059.1,73.8106768,-68.1830906,15.169,0.028,15.488,0.057,13.129,,9.714,,0,0,3nnn,AAUU,55442.36598211,55442.36598211,04551457-6810591,14.844,0.035,14.854,0.076,14.636,0.095,AAA,deficit,4,-70.0,-65.0,False,,,,,,,,0.2080001831054687,blue,-0.5309999885559087,-5.03358628087622,-0.8275004043579095,-6.882695832962607,,,-0.1898975372314453,-1.6981133897888514,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.775331069346509,True,True,False,unmeasured,unmeasured,,,candidates,2.0,2.0,4.0,9.0,18.90608024597168,6.907268209682242,2.6058181400448506,4.807059152343751,True,False,False,True,False,matched,J045514.56-681059.1,15.168999671936035,0.0280000008642673,15.48799991607666,0.0570000000298023,13.128999710083008,,9.71399974822998,,0,AAUU,0,1,0,,,,,1.276,0.9063,,0.1963288463907949,1.0,matched,J045514.55-681059.1,15.086000442504885,0.0170000009238719,15.33899974822998,0.0219999998807907,0,0,0.1842326161914201,1.0,matched,0751m682o0026529,15.076442744960524,0.0078876000450636,15.162830126706096,0.0233442679835303,932.015,860.732,0.2043931712825915,1.0,matched,04551457-6810591,14.63599967956543,0.0949999988079071,AAA,222,111,0,0,0,18.600000381469727,120228385,0.1391860139206666,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.4480001106262214,-4.322016090261244,-0.6784998321533209,-6.2754049504503016,confirms_deficit,-0.4384424130818622,-4.229809589430633,-0.5023302106294363,-4.63395689621566,confirms_deficit,confirms_deficit,,,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,crowded_field;catwise_confirms_deficit;no_hires_ks_coverage,OK,525,27,23,1.0,flat,OK,21,1.400452042117674,0.9694562430578626,-0.0682311087890195,False,5.669248332368955,0.0004997501249375,5.248034577745261,True,100.0,1.0,MODULATED,True,MODULATION_DEGENERATE;CONFUSION_LIMITED,MODULATION_DEGENERATE,False,True,True,False,False
228086063620072832,65.60019239990862,40.98343881713364,160.11346145955423,-6.182830215925571,19.1632190911838,0.1355799176627234,0.024387777,5.559339,0.6452957783150954,-0.3368243160034279,1.015247,14.515348,14.778342,14.084391,0.6939516,NOT_AVAILABLE,0,0,1.1952398,1054181949,0.044426266,1,0,0.19196968,1,0,J042224.04+405900.3,65.600175,40.9834371,13.386,0.026,13.433,0.032,12.369,,8.989,,0,0,00nn,AAUU,55352.22752526,55352.22752526,04222404+4059001,13.498,0.028,13.345,0.036,13.131,0.028,AAA,deficit,26,40.0,45.0,False,,,,,,,,0.3670005798339844,dwarf,-0.3004807696547348,-5.885406716725142,-0.3152803521704626,-5.50866924622876,,,0.1884121188795684,3.192478120386869,False,False,7375.723611867495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7279129490278778,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,1.0,1.0,,,,,True,False,False,False,True,matched,J042224.04+405900.3,13.38599967956543,0.0260000005364418,13.43299961090088,0.0320000015199184,12.369000434875488,,8.98900032043457,,0,AAUU,0,1,0,,,,,0.9078,0.9259,,0.0444692971292988,1.0,matched,J042224.04+405900.3,13.416000366210938,0.0130000002682209,13.44499969482422,0.0120000001043081,0,0,0.0300334652150568,1.0,matched,0652p408o0024335,13.389511807446748,0.0033917209570893,13.438049843553513,0.0096820268741562,4407.53,4214.83,0.0874268927373134,1.0,matched,04222404+4059001,13.130999565124512,0.0280000008642673,AAA,222,111,0,0,0,14.199999809265137,937011865,0.1919378138057409,1.0,unavailable,,,,,,,missing,,,,,,,missing,,,,,,,missing,,,,,,,False,False,True,False,False,False,-0.3304807357788081,-6.845560731611831,-0.3272797048950195,-6.355639834984282,confirms_deficit,-0.3039921770146189,-6.29687810632716,-0.3203298536243117,-6.220676527077685,confirms_deficit,confirms_deficit,,,1,0,False,False,,,,missing,,False,False,SURVIVES_VET_NO_HIRES_KS,,gaia_isolated;catwise_confirms_deficit;no_hires_ks_coverage,OK,736,18,12,1.0,flat,OK,21,1.9876064720541813,1.6345682586876868,0.0351529246731132,True,1.4889431025974944,0.3103448275862069,0.7852750841712309,False,1000.0,1.0,ISOLATED_DEFICIT,True,CONFUSION_LIMITED;KS_CONTAMINATION_CONSISTENT,CONFUSION_LIMITED,False,False,True,True,False
