source_id,ra,dec,l,b,ecl_lat,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,ipd_frac_multi_peak,phot_bp_rp_excess_factor,random_index,tmass_angular_distance,tmass_number_of_neighbours,tmass_number_of_mates,tmass_designation,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,tmass_ph_qual,track,dec_band_index,dec_lo,dec_hi,is_locus_sample,tmass_cc_flg,etz,nearby,distance_pc,first_rejection,rejections,vet_group,wise_status,allwise_sep_arcsec,allwise_w1,allwise_w2,allwise_cc_flags,catwise_present,unwise_present,nearest_allwise_sep_arcsec,nearest_allwise_cc_flags,truly_missing,missing_vet_status
5789459823019926656,203.2993147531125,-77.57006729221371,305.2448689862217,-14.886244069542768,-59.55440928961462,28.921138822548688,0.026472457,1092.4993,-367.9633116402308,-152.5089285664436,1.0283835,6.4013333,6.6376567,6.005816,0.6318407,NOT_AVAILABLE,0,0,1.1892898,1610716627,0.036859147,1,0,13331363-7734098,5.618,0.019,5.405,0.055,5.299,0.024,AAA,missing,2,-80.0,-75.0,False,,False,True,34.576785033801606,,,nearby,wise_source_present_within_6as,0.2940054999247155,5.25,5.131999969482422,hh00,,,,,False,wise_source_present_within_6as
6368867678796480768,320.8636390590276,-75.49335373527468,316.93802710595605,-35.35998261897316,-55.62316856567427,30.293917871799778,0.015626065,1938.6786,31.654892048521564,104.85751047904648,0.9239937,7.701676,8.051237,7.1805162,0.87072086,NOT_AVAILABLE,0,0,1.2058492,1346538264,0.06834715,1,0,21232716-7529376,6.61,0.026,6.321,0.018,6.202,0.029,AAA,missing,2,-80.0,-75.0,False,,False,True,33.009926422586865,,,nearby,wise_source_present_within_6as,0.25014702904746927,6.23199987411499,6.113999843597412,0000,,,,,False,wise_source_present_within_6as
6349915534307041152,312.94024076689,-79.31547954708421,313.8437141776078,-32.058312786825006,-57.95019757020423,58.75543986827165,0.014193088,4139.722,708.9043851101601,-984.0539310268356,1.0601012,10.907413,12.067825,9.833761,2.234064,NOT_AVAILABLE,0,0,1.3806053,521542500,0.16984192,1,0,20514174-7918403,8.459,0.03,7.908,0.049,7.664,0.024,AAA,missing,2,-80.0,-75.0,False,,False,True,17.019700682047095,,,nearby,wise_source_present_within_6as,0.08410673292071488,7.559000015258789,7.414999961853027,0000,,,,,False,wise_source_present_within_6as
5224460173763882496,174.52796501310212,-77.3607589439316,298.84486643556045,-15.074619713301065,-64.62853999288062,119.34188913224592,0.030471839,3916.465,-2063.828790370113,616.5933984794495,1.2848089,12.816201,15.045261,11.456882,3.588379,NOT_AVAILABLE,0,0,1.565184,916725656,0.09628015,1,0,11381671-7721484,9.399,0.022,8.89,0.022,8.521,0.019,AAA,missing,2,-80.0,-75.0,False,,False,True,8.379287501405926,,,nearby,wise_source_present_within_6as,0.1889666878493179,6.839000225067139,8.170999526977539,0000,,,,,False,wise_source_present_within_6as
6369544118966055296,310.4425318147691,-75.34716337827433,318.4473137248455,-33.05184091570143,-54.199912210316526,25.03792249019564,0.016673485,1501.661,163.5312196123098,-171.3460023417865,1.0445715,7.011212,7.3170047,6.5364485,0.7805562,NOT_AVAILABLE,0,0,1.1990123,225360645,0.15433753,1,0,20414550-7520471,6.061,0.027,5.796,0.033,5.713,0.018,AAA,missing,2,-80.0,-75.0,False,,False,True,39.93941591566075,,,nearby,wise_source_present_within_6as,3.4722013313147624,5.864999771118164,4.172999858856201,dhd0,,,,,False,wise_source_present_within_6as
6369544118965772416,310.4365054098678,-75.35152180039606,318.4430346786594,-33.04893316935275,-54.20315136869936,25.032724921336342,0.020531353,1219.2439,156.404128065751,-162.21415165644808,1.1768312,6.342613,6.639076,5.875923,0.7631531,NOT_AVAILABLE,0,0,1.1989062,174594924,0.1371939,1,0,20414409-7521029,5.417,0.021,5.207,0.024,5.08,0.016,AAA,missing,2,-80.0,-75.0,False,,False,True,39.94770857517241,,,nearby,wise_source_present_within_6as,1.2791421063274795,4.65500020980835,4.873000144958496,HHH0,,,,,False,wise_source_present_within_6as
6377828354964753792,358.46317351524806,-75.63421868521044,307.61786803223924,-40.96578429443593,-62.39300223449422,98.848985314721,0.01670537,5917.198,244.1085430768689,-379.3136278271135,1.0414745,9.00723,10.245567,7.896639,2.3489285,NOT_AVAILABLE,0,0,1.4025168,843855162,0.110224076,1,0,23535017-7537575,6.45,0.019,5.783,0.017,5.549,0.027,AAA,missing,2,-80.0,-75.0,False,,False,True,10.116441729939297,,,nearby,wise_source_present_within_6as,0.5971657387706685,5.498000144958496,5.2220001220703125,0000,,,,,False,wise_source_present_within_6as
5801950515627094400,260.53587630387005,-75.34927411841784,317.42942794543774,-20.833651258987395,-52.037359747000025,36.19573028114162,0.0143102,2529.3657,-957.8641936607318,-252.7885939387405,0.96550405,6.857967,7.1591625,6.376791,0.7823715,NOT_AVAILABLE,0,0,1.2051954,1387909903,0.024762033,1,0,17221256-7520534,5.828,0.018,5.571,0.029,5.459,0.02,AAA,missing,2,-80.0,-75.0,False,,False,True,27.62756800961718,,,nearby,wise_source_present_within_6as,0.27911511652823384,5.449999809265137,5.2820000648498535,0000,,,,,False,wise_source_present_within_6as
5217826648313336576,140.52475416045132,-73.54384881527659,289.40986006941966,-16.45425382742234,-72.0892374955358,26.886927282005004,0.015175255,1771.7611,-33.728544509547014,-112.1264075124534,0.92139745,7.9524965,8.304595,7.4273033,0.8772917,NOT_AVAILABLE,0,0,1.207154,83957415,0.1217588,1,0,09220609-7332360,6.896,0.023,6.552,0.047,6.432,0.024,AAA,missing,3,-75.0,-70.0,False,,False,True,37.19279594545875,,,nearby,wise_source_present_within_6as,1.3695454470789759,5.855000019073486,6.125,0000,,,,,False,wise_source_present_within_6as
5217826648313337856,140.5308395076341,-73.54317827762974,289.41056617499567,-16.45253252984939,-72.08747841763392,26.880376844430767,0.01349736,1991.5284,-43.59986009664465,-100.96850090121042,1.0313145,11.157142,12.097164,10.185822,1.9113426,NOT_AVAILABLE,0,0,1.3348813,1300978327,0.06961614,1,0,09220758-7332338,8.947,0.026,8.351,0.053,8.068,0.026,AAA,missing,3,-75.0,-70.0,False,,False,True,37.201859400538346,,,nearby,wise_source_present_within_6as,5.3327931088664915,5.855000019073486,6.125,0000,,,,,False,wise_source_present_within_6as
