key,name,pdes,kind,class,is_comet,neo,H,H_effective,diameter_m,diameter_measured,albedo,a_au,e,i_deg,q_au,moid_au,tisserand_j,comet_like_dynamics,A_magnitude_au_day2,A_sigma_au_day2,A_snr,epsilon_1au,epsilon_1au_rho_1000,g_law_assumed,epsilon_at_perihelion,del_vigna_R,a2_snr,orbit_rms_arcsec,data_arc_days,n_obs_used,condition_code,reliable,tier,known_as,standing_exceedance,components_fitted,fails
20004179,4179 Toutatis (1989 AC),4179,an,APO,False,Y,15.29,15.29,5400.0,True,0.405,2.543047155641573,0.6246302247178447,0.4480836624628189,0.9545830393451017,0.00650597,3.1382518791356677,False,3.1494916972962924e-13,9.276259368910145e-14,3.3952173737745777,10.010002150876689,5.0050010754383445,radiation,10.010002150876689,75.12702166887524,7.8420176536123565,0.26534,33698.0,7141.0,0.0,True,interest,,,A1|A2,
20099942,99942 Apophis (2004 MN4),99942,an,ATE,False,Y,19.09,19.09,340.0,True,0.35,0.9223592206975018,0.1911492279663492,3.340996879880978,0.7460509677535309,0.000107917,6.4675237246003805,False,5.008413171471075e-13,4.883782381469129e-13,1.0255193168464758,1.0022567948004726,0.5011283974002363,radiation,1.0022567948004726,7.52213304311408,156.0928798898959,0.25657,6599.0,7370.0,0.0,False,untestable,nongrav_detected: 99942,,A1|A2,a_snr_1.0_below_3
20457175,457175 (2008 GO98),457175,an,OMB,False,N,12.91,12.91,9299.529214573851,False,,3.971170208898207,0.2787245675397884,15.55983689224037,2.864307509796164,1.88613,2.926866133451613,True,1.1206775521968094e-08,9.634210687403396e-10,11.632271584656962,613396.9032949334,306698.4516474667,radiation,613396.9032949334,4603663.590763911,11.162339907494792,0.70737,8774.0,1742.0,0.0,True,interest,362P -- quasi-Hilda active asteroid (comet in all but number),,A1|A2|A3,
50012415,(1998 KY26),1998 KY26,au,APO,False,Y,25.91,25.91,11.0,True,0.52,1.228859811859051,0.2000498225862209,1.491131387730072,0.9830266245133115,0.0025611,5.1870202575892295,False,3.659349021187799e-11,3.8628254987176284e-11,0.9473244448662309,2.3691712941522503,1.1845856470761251,radiation,2.3691712941522503,17.781093397413986,4.513736657412257,0.61146,9472.0,85.0,2.0,False,untestable,dark_comet: 1998KY26,,A1|A2|A3,only_85_observations|a_snr_0.9_below_3
50297652,(2005 VL1),2005 VL1,au,ATE,False,Y,26.45,26.45,18.21633326808132,False,,0.8911724522403802,0.2246224084495054,0.235612789151307,0.6909951496742942,1.81933e-06,6.646401105376265,False,8.302087030785792e-10,7.585786146720412e-10,1.0944267173119637,89.01192391941271,44.505961959706354,radiation,89.01192391941271,668.0518781403379,1.4826446102439919,0.43046,5874.0,79.0,4.0,False,untestable,dark_comet: 2005VL1,,A1|A2|A3,only_79_observations|condition_code_4_above_2|a_snr_1.1_below_3
50403171,(2006 RH120),2006 RH120,au,APO,False,Y,29.5,29.5,4.471579568424901,False,,1.033230560739882,0.02449744341910735,0.5943471055984355,1.007919053539264,0.0163683,5.927836283095969,False,1.494621640521093e-10,8.155560933869481e-12,18.32641129948564,3.933617907362303,1.9668089536811515,radiation,3.933617907362303,29.522570855551848,6.907212837120713,0.41377,281.0,132.0,2.0,False,interest,dark_comet: 2006RH120,,A1|A2|A3,arc_281d_below_3650d
50444320,(2009 BD),2009 BD,au,APO,False,Y,28.1,28.1,8.520419214880704,False,,1.062114620510534,0.05190451794847847,1.26723261398135,1.006986073126903,0.00455451,5.8021021315452375,False,5.605909272112933e-11,8.506221011366833e-12,6.590363999032915,2.8112985655049294,1.4056492827524647,radiation,2.8112985655049294,21.099344941686073,13.696410504251254,0.28354,885.0,180.0,1.0,False,interest,nongrav_detected: 2009BD,,A1|A2,arc_885d_below_3650d
50545575,(2010 RF12),2010 RF12,au,APO,False,Y,28.42,28.42,7.3529390004235395,False,,1.061430522809552,0.188308686454983,0.8827508322867568,0.8615539352960596,0.000580275,5.790143904964779,False,3.728812471881179e-11,5.3251661565832936e-11,0.7002246244037652,1.6137321402375098,0.8068660701187549,radiation,1.6137321402375098,12.111374966764211,0.998394048116238,0.29644,4375.0,339.0,2.0,False,untestable,dark_comet: 2010RF12,,A1|A2|A3,a_snr_0.7_below_3
50568326,(2011 MD),2011 MD,au,AMO,False,Y,27.98,27.98,9.004528212126422,False,,1.057087710185509,0.03767673356604647,2.442637773457288,1.017260098172908,0.00101641,5.823243446538585,False,7.429584762525197e-11,2.4809134436392303e-11,2.9946972884417944,3.937544256390362,1.968772128195181,radiation,3.937544256390362,29.552038872048204,0.1657768224455871,0.33502,967.0,532.0,2.0,False,untestable,,,A1|A2,arc_967d_below_3650d|a_snr_3.0_below_3
50605357,(2012 LA),2012 LA,au,AMO,False,Y,27.6,27.6,10.726572268752617,False,,1.040433610805718,0.02159878393880795,3.158929179136726,1.017961510043251,0.0216295,5.8948135246565485,False,6.715397611368826e-11,1.185735158848541e-11,5.663488647743313,4.23967570203178,2.11983785101589,radiation,4.23967570203178,31.819594395157004,0.24099199716996583,0.43301,179.0,103.0,2.0,False,interest,,,A1|A2,arc_179d_below_3650d
