target_id,night,mjd,polarity,bands,dflux_njy,dflux_err_njy,strongest_band,a,a_err,sep_arcsec,sep_sigma,grey_z,grey_tested,colour_temp_k,verdict,alert_ids,per_band,reasons
4450651274843250432,n59779,59780.252476899885,flash,"[""g""]",534272.4743958517,62918.37938685937,g,0.3744228761708579,0.04708322683410947,0.5494150585202231,1.5539802717230071,,False,,kept,"[""2026252474815015140""]","{""g"": {""mjd"": 59780.252476899885, ""dflux_njy"": 534272.4743958517, ""dflux_err_njy"": 62918.37938685937, ""a"": 0.3744228761708579, ""a_err"": 0.04708322683410947, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.01399893758013, ""snr"": 8.491516780984279, ""reliability"": 0.8216425}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
2780869248305379072,n59805,59806.31643520016,flash,"[""g""]",626687.7420123226,23450.408967186027,g,8.860239992490488,2.9562381037181624,0.03835885127845737,0.10849489935592722,,False,,kept,"[""2052316430515015005""]","{""g"": {""mjd"": 59806.31643520016, ""dflux_njy"": 626687.7420123226, ""dflux_err_njy"": 23450.408967186027, ""a"": 8.860239992490488, ""a_err"": 2.9562381037181624, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 19.275985713860607, ""snr"": 26.72395790151216, ""reliability"": 0.99999845}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
2780869248305379072,n60172,60173.38510419987,flash,"[""g""]",36171.88987787786,5585.907613144435,g,0.5114126260036117,0.08870436805731803,0.4972847151699773,1.4065281534567144,,False,,kept,"[""2419385100515015012""]","{""g"": {""mjd"": 60173.38510419987, ""dflux_njy"": 36171.88987787786, ""dflux_err_njy"": 5585.907613144435, ""a"": 0.5114126260036117, ""a_err"": 0.08870436805731803, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 19.276000614740106, ""snr"": 6.475561785655075, ""reliability"": 0.99999803}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
4504036206531777152,n60248,60249.122233800124,flash,"[""g""]",122623.92130101101,12320.995930820822,g,0.8351707600706088,0.10933319651787107,0.35278382951333465,0.9978206734938518,,False,,kept,"[""2495122231615015037""]","{""g"": {""mjd"": 60249.122233800124, ""dflux_njy"": 122623.92130101101, ""dflux_err_njy"": 12320.995930820822, ""a"": 0.8351707600706088, ""a_err"": 0.10933319651787107, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 18.483000202404927, ""snr"": 9.95243582495379, ""reliability"": 1.0}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
4450651274843250432,n60484,60485.25326390006,flash,"[""g""]",339865.27989135135,22650.055703418286,g,0.2464375793433415,0.016915005156003502,0.7757245312647828,2.1940798757856848,,False,,kept,"[""2731253266115015064""]","{""g"": {""mjd"": 60485.25326390006, ""dflux_njy"": 339865.27989135135, ""dflux_err_njy"": 22650.055703418286, ""a"": 0.2464375793433415, ""a_err"": 0.016915005156003502, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.051000335608244, ""snr"": 15.005052717820018, ""reliability"": 0.99134445}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
4504036206531777152,n60494,60495.44113430008,flash,"[""r""]",142997.74864786983,21041.22541501587,r,0.24106249789330686,0.03648691311680545,0.7862626778715166,2.2238796516443577,,False,,kept,"[""2741441132915015022""]","{""r"": {""mjd"": 60495.44113430008, ""dflux_njy"": 142997.74864786983, ""dflux_err_njy"": 21041.22541501587, ""a"": 0.24106249789330686, ""a_err"": 0.03648691311680545, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.967001131036824, ""snr"": 6.796075125254865, ""reliability"": 0.7475244}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
2456848359920712064,n60549,60550.33469909988,dip,"[""g""]",-565862.3515039431,71727.94485884233,g,-0.10335001533253116,0.01317028690217417,0.16878784670917102,0.47740407052912337,,False,,kept,"[""2796334695615010000""]","{""g"": {""mjd"": 60550.33469909988, ""dflux_njy"": -565862.3515039431, ""dflux_err_njy"": 71727.94485884233, ""a"": -0.10335001533253116, ""a_err"": 0.01317028690217417, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 14.55399936348309, ""snr"": -7.889008288436775, ""reliability"": 0.74322605}}","[""greyness_untested_single_band""]"
2456848359920712064,n60610,60611.2936689998,flash,"[""g""]",763796.3875433741,101393.40682914238,g,0.13950106947946558,0.018697987393855045,0.5067950000368164,1.433432558165162,,False,,kept,"[""2857293665615015007""]","{""g"": {""mjd"": 60611.2936689998, ""dflux_njy"": 763796.3875433741, ""dflux_err_njy"": 101393.40682914238, ""a"": 0.13950106947946558, ""a_err"": 0.018697987393855045, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 14.55399984280988, ""snr"": 7.532998559072429, ""reliability"": 0.9078793}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
3021985138891596672,n60652,60653.31447920017,flash,"[""g""]",631181.9273269344,26632.673504123824,g,0.7154091979409776,0.03521290315910327,0.21078048229526092,0.5961770309665384,,False,,kept,"[""2899314476015015009""]","{""g"": {""mjd"": 60653.31447920017, ""dflux_njy"": 631181.9273269344, ""dflux_err_njy"": 26632.673504123824, ""a"": 0.7154091979409776, ""a_err"": 0.03521290315910327, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.535999910825254, ""snr"": 23.699533102795773, ""reliability"": 0.835714}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
2456848359920712064,n60976,60977.27253470011,dip,"[""g""]",-585606.1108848511,41285.3373764231,g,-0.1068575321512096,0.007576364072276,0.5229922076565705,1.4792451332478012,,False,,kept,"[""3223272530315010015""]","{""g"": {""mjd"": 60977.27253470011, ""dflux_njy"": -585606.1108848511, ""dflux_err_njy"": 41285.3373764231, ""a"": -0.1068575321512096, ""a_err"": 0.007576364072276, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 14.552998850092422, ""snr"": -14.184360552646817, ""reliability"": 0.9318624}}","[""greyness_untested_single_band"", ""nondetection_untestable_prediction_below_detection_limit""]"
