target_id,tier,ra,dec,n_events,n_visits,visits_exact,duty_cycle,p_binomial,p_timing,timing_period_d,first_mjd,last_mjd,polarities,grey_confirmed,notes
4384149753578863744,interest,250.71472304733388,1.5983025761687122,6,48,True,0.125,0.0002624987095139054,1.0,1.000359689416562,61238.341550900135,61282.15781249991,"dip,flash",0,mixed_polarity_without_grey_confirmation_in_both_polarities_consistent_with_a_variable_star;vet:astrophysical:known_variable
2456848359920712064,interest,22.618633134413315,-13.421203345712605,4,49,True,0.08163265306122448,0.014120359233270693,0.44377811094452774,14.749849903037813,61256.37733800011,61300.35395829985,dip,0,vet:astrophysical:known_variable
3290126127637212672,interest,76.63248418238372,8.42558454232957,2,21,True,0.09523809523809523,0.022078647586678588,1.0,,61285.4959028,61299.5082291998,flash,0,vet:astrophysical:known_variable
3402858062697995520,interest,83.62699726921201,20.84101482262541,2,10,True,0.2,0.022465750388387145,1.0,,61244.494085600134,61250.50056710001,dip,0,vet:unexplained
6886178038419703168,interest,312.8792467716537,-15.816381885694037,2,21,True,0.09523809523809523,0.025615920211283325,1.0,,61256.35626159981,61258.24600689998,flash,0,vet:unexplained
906308609935048960,interest,122.13204271847928,36.62280284394826,2,13,True,0.15384615384615385,0.04351732657186257,1.0,,61269.514050900005,61277.516932900064,flash,0,vet:unexplained
904527774759875584,interest,125.14458832045007,35.972295610539696,2,14,True,0.14285714285714285,0.07754569461516496,1.0,,61274.510023099836,61299.516030100174,flash,0,vet:unexplained
6913061922351810176,interest,312.5029179752909,-6.807089988567971,1,22,True,0.045454545454545456,0.07981073058946851,1.0,,61302.21120369993,61302.21120369993,flash,1,vet:unexplained
21174364863552000,interest,43.24909311385784,9.736639200942868,2,31,True,0.06451612903225806,0.09812413943507008,1.0,,61251.46909719985,61300.413333300035,"dip,flash",0,mixed_polarity_without_grey_confirmation_in_both_polarities_consistent_with_a_variable_star;vet:astrophysical:known_variable
6909773214354202496,interest,313.5252968655363,-7.532120869937005,1,51,True,0.0196078431372549,0.13329585236793282,1.0,,61256.29370369995,61256.29370369995,flash,1,vet:unexplained
3303895041170568192,interest,61.752151816858685,11.391728972675878,1,21,True,0.047619047619047616,0.13975519997730204,1.0,,61301.41916669998,61301.41916669998,flash,1,vet:unexplained
