n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
815,0.3983202544596818,65,0.07975460122699386,0.7547590829739853,0.9966365382714902,0.29062010647778497,0.5828139680566645,10,0.09029632985359998,0.37601373245218517,666201200010721,143.8677097,30.925065,19.29818344116211,1.2228984832763672,-0.18649375532917853,unknown,0.044243341220919295,5.167418820019742,0.3278266044844367,0.6692268389349126,True,False,False
66,0.7912407538050654,23,0.3484848484848485,1.6237676478670142,0.9967128660869417,0.5680723298663856,0.5274260588720209,5,0.21355459494751397,0.7230710748843341,666201200017693,143.5883354,30.86133365,,,,unknown,0.32474260999859983,5.716205357628723,1.1844738184248516,0.6714630952769645,True,False,False
278,0.4986787336930174,161,0.579136690647482,0.7685465609232534,1.0004739912726957,0.20626372743122529,0.5052637389134895,28,0.1458792254714747,0.4986787336930174,666201200010368,144.37162215,30.9568482,,,,unknown,0.06406810491298699,4.747762672401662,0.47549872996650105,0.5939876804587996,True,False,False
386,0.4611874782103711,4,0.010362694300518135,0.6629517101746419,8.416137373748443,0.15865086975674145,0.47240473907297753,1,0.10353681640602111,0.4611874782103711,666201100011892,144.82891075,30.9875617,,,,unknown,0.03816859163303141,5.710682770366366,0.2658510005566792,0.6114974787721663,True,False,False
68,0.6141505975601984,23,0.3382352941176471,0.3711998725148959,0.9966888512822838,0.39227643826611713,0.4623170685201649,3,0.3576650639044507,0.6141505975601984,667204100039351,146.2140095,30.810687950000002,,,,unknown,0.15678934434135358,4.337391377216196,0.8714950032718425,0.6132413101772957,True,False,False
107,0.5903818875305991,12,0.11214953271028037,0.7712831299546526,0.9509305603596444,0.3384014792951465,0.4484795562114561,2,0.1388777013598581,0.5753010453731318,666201200033188,144.3416355,30.9577421,,,,unknown,0.07412176123790891,6.942237171167705,0.4314762691652993,0.7993075451219878,True,False,False
42,0.6384925797407894,20,0.47619047619047616,0.4805691335009693,0.30922239676906427,0.4948615977832532,0.4315415206650241,3,0.3999864387755238,0.6384925797407894,666201100036753,144.6257015,30.8601697,,,,unknown,0.26327644615064405,4.262460695982352,0.5895372786280373,0.5551635223452548,True,False,False
574,0.404414242133013,2,0.003484320557491289,0.8000516211843764,1.0004731953865889,0.05226034607122076,0.2843218961786338,0,0.0,0.0,667204100004715,146.02106544999998,30.82203535,19.93669319152832,1.489206314086914,1.3339526196934726,unknown,0.014881709393920773,5.6137459994380725,0.10296418193388253,0.5232155697679116,True,False,False
126,0.4913451849385866,0,0.0,0.7236183489816282,0.3365542608225711,0.17461968459221236,0.2476140946223363,0,0.0,0.0,667204100004782,146.00910149999999,30.81566285,,,,unknown,0.06034576603401605,5.668051767094432,0.380465115446718,0.6155274747008879,True,False,False
163,0.5027006449430418,0,0.0,0.7791164731113124,0.45761919793081485,0.18075725750186303,0.2457728227494411,0,0.0,0.0,666201200010639,144.3769882,30.9232812,,,,unknown,0.07095846986057094,4.110098214329395,0.4955041231254754,0.5109232417617362,True,False,False
110,0.36922861397740403,1,0.00909090909090909,0.9665009549453484,7.129971996357329,0.1850885475201693,0.2444734357439492,0,0.0,0.0,667204200004470,144.82788655000002,30.8497634,19.653776168823242,1.979757308959961,1.0093594016210272,unknown,0.03569579039268508,4.8171478402630425,0.25254176671345885,0.6293003986496148,True,False,False
