name,ra,dec,vtype,cat_period,cat_amp_mmag,ztf_status,ztf_n_detected_blocks,ztf_n_blocks,demonstrated,reason,n_blocks
Gaia DR3 1180050721367405312,224.99668884277344,10.317819595336914,E,1.40755,109.99999999999943,insufficient_data,0,0,False,no usable ZTF blocks,0
Gaia DR3 1179953960048497920,225.1787872314453,9.86847972869873,E,0.50712,115.00000000000021,insufficient_data,0,0,False,no usable ZTF blocks,0
