dp_id,instrument,t_min,z_4238,z_4262,z_4297,tc_coherent,control_veto
ADP.2021-12-02T09:21:16.142,UVES,52189.08862204,0.07086630977460893,1.2174032383508642,4.841160175356532,False,False
ADP.2021-08-29T16:18:30.513,UVES,52538.13135256,0.08444132550749509,1.2958007119515749,5.086332871163316,False,False
ADP.2014-10-02T10:03:21.367,HARPS,53581.22711287,0.415887815433003,0.8674403393627819,1.997575396252496,False,False
ADP.2014-10-02T10:02:23.720,HARPS,53582.20324765,0.44416572805222,0.8231010742967796,1.9963535759159796,False,False
ADP.2014-10-02T10:03:33.047,HARPS,53583.28198865,0.2973969950078005,0.7241520008590057,1.9726859631280798,False,False
ADP.2014-10-02T10:00:13.040,HARPS,53711.03509033,0.6508845527717891,0.7570843270887353,1.9647442315485422,False,False
ADP.2014-10-02T10:01:38.380,HARPS,53712.08144704,0.6006767669993742,0.8007453921781641,2.1323490750197376,False,False
ADP.2014-10-02T10:03:32.117,HARPS,53713.04348713,0.6561363166767078,0.7579467774780684,1.8570354264255473,False,False
ADP.2014-10-02T10:01:28.447,HARPS,53714.0217055,0.647956031699592,0.8848064358754726,1.9412856791102904,False,False
ADP.2014-10-02T10:02:05.337,HARPS,53715.04437736,0.5921696781373414,0.8092848117046411,2.0330447618761243,False,False
ADP.2014-10-02T10:01:55.027,HARPS,53716.05296293,0.3592159213908587,0.8594655568574862,2.062483489016131,False,False
ADP.2014-09-17T11:20:59.977,HARPS,54222.38464271,0.5417546600418464,0.7440752654401631,1.9791031241336072,False,False
ADP.2014-09-17T11:22:46.597,HARPS,54224.42414755,0.3335101864008201,0.7360258092461426,1.853734973869486,False,False
ADP.2014-09-17T11:22:23.047,HARPS,54336.28086735,0.3294339462729526,0.6460147420290326,1.771039549543668,False,False
ADP.2014-09-17T11:23:12.840,HARPS,54338.27505291,0.6036942316885924,0.7394430577617829,2.0951948851752773,False,False
ADP.2014-09-17T11:22:31.850,HARPS,54441.08739083,0.4668365531760572,0.7779064848687178,1.979430670782564,False,False
ADP.2014-09-18T12:12:03.110,HARPS,54633.44409759,0.47379113251858024,0.878368072720339,1.9596603573785598,False,False
ADP.2014-09-18T12:15:37.913,HARPS,54634.36866075,0.7089133283245008,0.7402960949451467,1.9551535231666615,False,False
ADP.2021-09-16T15:37:24.492,UVES,54682.370383,0.08131136320659678,1.2336733495153203,5.006410685048759,False,False
ADP.2014-09-18T12:11:24.673,HARPS,54717.22669787,0.39778590795510466,0.733895273226291,1.9588255173695868,False,False
