angle	query_name	arxiv_id	published	title	authors
A5	hg12_phase_curve_population	1610.08267v1	2016-10-26	Large Halloween Asteroid at Lunar Distance	T. G. Müller; A. Marciniak; M. Butkiewicz-Bąk; R. Duffard; D. Oszkiewicz; H. U. Käufl; R. Szakáts; T. Santana-Ros
A5	starshade_phase_curve_technosig	2401.09128v1	2024-01-17	Deciding technosignature search strategies: Multi-criteria fuzzy logic to find extraterrestrial intelligence	Juan Miguel Sánchez-Lozano; Eloy Peña-Asensio; Hector Socas-Navarro
A7	rubin_sso_alert_broker	2405.20176v2	2024-05-30	The Solar System Notification Alert Processing System (SNAPS): Asteroid Population Outlier Detection	Michael Gowanlock; David E. Trilling; Daniel Kramer; Maria Chernyavskaya; Andrew McNeill
A7	rubin_sso_alert_broker	2305.01123v2	2023-05-01	Enabling discovery of solar system objects in large alert data streams	R. Le Montagner; J. Peloton; B. Carry; J. Desmars; D. Hestroffer; R. A. Mendez; A. C. Perlbarg; W. Thuillot
A7	lsst_alert_solar_system_anomaly	0811.0167v1	2008-11-02	The LSST Data Mining Research Agenda	K. D. Borne; J. Becla; I. Davidson; A. Szalay; J. A. Tyson
A7	lsst_alert_solar_system_anomaly	2002.11225v1	2020-02-25	A classification algorithm for time-domain novelties in preparation for LSST alerts: Application to variable stars and transients detected with DECam in the Galactic Bulge	Monika D. Soraisam; Abhijit Saha; Thomas Matheson; Chien-Hsiu Lee; Gautham Narayan; A. Katherina Vivas; Carlos Scheidegger; Niels Oppermann
A7	snaps_alert_processing	2604.27420v1	2026-04-30	The Solar System Notification Alert Processing System (SNAPS): Public access to SNAPS data and products	David E. Trilling; Michael Gowanlock; Revanth Munugala; Daniel R. Kramer; Maria Chernyavskaya; Erin Clark; Graceson Mule; Savannah Chappus
A7	snaps_alert_processing	2405.20176v2	2024-05-30	The Solar System Notification Alert Processing System (SNAPS): Asteroid Population Outlier Detection	Michael Gowanlock; David E. Trilling; Daniel Kramer; Maria Chernyavskaya; Andrew McNeill
A7	snaps_alert_processing	2302.01239v1	2023-02-02	The Solar System Notification Alert Processing System (SNAPS): Design, Architecture, and First Data Release (SNAPShot1)	David E. Trilling; Michael Gowanlock; Daniel Kramer; Andrew McNeill; Brian Donnelly; Nat Butler; John Kececioglu
A7	rubin_first_year_solar_system	2411.19796v2	2024-11-29	Tuning the Legacy Survey of Space and Time (LSST) Observing Strategy for Solar System Science: Incremental Templates in Year 1	James E. Robinson; Megan E. Schwamb; R. Lynne Jones; Mario Jurić; Peter Yoachim; Bryce T. Bolin; Colin O. Chandler; Steven R. Chesley
A8	yarkovsky_automated_catalogue	2311.10175v1	2023-11-16	An automated procedure for the detection of the Yarkovsky effect and results from the ESA NEO Coordination Centre	Marco Fenucci; Marco Micheli; Francesco Gianotto; Laura Faggioli; Dario Oliviero; Andrea Porru; Regina Rudawska; Juan Luis Cano
A8	yarkovsky_main_belt_detect	2310.00055v2	2023-09-29	Detectability of the Yarkovsky Effect in the Main Belt	Denise Hung; David J. Tholen; Davide Farnocchia; Federica Spoto
A8	yarkovsky_main_belt_detect	1708.05513v5	2017-08-18	Yarkovsky Drift Detections for 247 Near-Earth Asteroids	Adam H. Greenberg; Jean-Luc Margot; Ashok K. Verma; Patrick A. Taylor; Susan E. Hodge
A8	yarkovsky_main_belt_detect	2311.03479v1	2023-11-06	ASTERIA -- Asteroid Thermal Inertia Analyzer	Bojan Novaković; Marco Fenucci; Dušan Marčeta; Debora Pavela
A8	yarkovsky_main_belt_detect	1505.03745v1	2015-05-14	Dynamical evolution of the Cybele asteroids	Valerio Carruba; David Nesvorný; Safwan Aljbaae; Mariela Espinoza Huaman
A8	yarkovsky_main_belt_detect	1312.2962v1	2013-12-10	Unexpected D-type Interlopers in the Inner Main Belt	Francesca E. DeMeo; Richard P. Binzel; Benoit Carry; David Polishook; Nicholas A. Moskovitz
A8	yarkovsky_main_belt_detect	2212.08135v2	2022-12-15	(523599) 2003 RM: The asteroid that wanted to be a comet	Davide Farnocchia; Darryl Z. Seligman; Mikael Granvik; Olivier Hainaut; Karen J. Meech; Marco Micheli; Robert Weryk; Steven R. Chesley
A8	yarkovsky_main_belt_detect	2410.16348v2	2024-10-21	An automated occultation network for gravitational mapping of the trans-neptunian solar system	Daniel C. H. Gomes; Gary M. Bernstein
A8	astrometry_quality_gaia_asteroid	1709.06471v1	2017-09-19	Ground-based astrometry calibrated by Gaia DR1: new perspectives in asteroid orbit determination	F. Spoto; P. Tanga; S. Bouquillon; J. Desmars; D. Hestroffer; F. Mignard; M. Altmann; D. Herald
A8	orbit_determination_nongrav_estimate	1509.07606v1	2015-09-25	Gone in a Blaze of Glory: the Demise of Comet C/2015 D1 (SOHO)	Man-To Hui; Quan-Zhi Ye; Matthew Knight; Karl Battams; David Clark
A8	mpc_orbit_fitting_pipeline	2210.01219v1	2022-10-03	Robotic observation pipeline for small bodies in the solar system based on open-source software and commercially available telescope hardware	Tobias Hoffmann; Matti Gehlen; Thorsten Plaggenborg; Gerhard Drolshagen; Theresa Ott; Jutta Kunz; Toni Santana-Ros; Marcin Gedek
A8	satellite_designated_asteroid	2111.12755v1	2021-11-24	Updates to LUCI: A New Fitting Paradigm Using Mixture Density Networks	Carter L. Rhea; Julie Hlavacek-Larrondo; Laurie Rousseau-Nepton; Simon Prunet
A8	satellite_designated_asteroid	2607.22782v1	2026-07-24	Geometry of the Atomic Condition	Jacek Jakimiuk; Sławomir Kolasiński; Maciej Leśniak
A8	satellite_designated_asteroid	2005.07199v1	2020-05-14	A Gas Giant Planet in the OGLE-2006-BLG-284L Stellar Binary System	David P. Bennett; Andrzej Udalski; Ian A. Bond; Fumio Abe; Richard K. Barry; Aparna Bhattacharya; Martin Donachie; Hirosane Fujii
