mode,alpha_x,alpha_y,F,s_eff_per_N_shifted,Xbar_squared,Ybar_squared,lambda_x,lambda_y
saddle,0.0,0.0,1.7242342110618295e-17,-6.918162566471742e-21,0.0,0.0,0.0,0.0
saddle,0.0,0.05,-0.019459691249561397,0.025486958982471424,0.0,0.048160734835753345,0.0,-0.5190950695677636
saddle,0.0,0.1,-0.03737201438887089,0.05187446488046711,0.0,0.09327124379092835,0.0,-0.536070904255091
saddle,0.0,0.15000000000000002,-0.05383299942663305,0.07906373659836291,0.0,0.13606417504819784,0.0,-0.5512104855920587
saddle,0.0,0.2,-0.06893803033573555,0.10696899076657276,0.0,0.17707075786821655,0.0,-0.5647459874454492
saddle,0.0,0.25,-0.08278086617095577,0.13551501362647422,0.0,0.21668599325556637,0.0,-0.5768716201816101
saddle,0.0,0.30000000000000004,-0.095452952605541,0.16463556273982582,0.0,0.2552094811376784,0.0,-0.5877524586129275
saddle,0.0,0.35000000000000003,-0.10704285574563757,0.19427203453968983,0.0,0.29287201481251723,0.0,-0.5975306316379416
saddle,0.0,0.4,-0.11763572764853793,0.22437251801425281,0.0,0.3298535332628058,0.0,-0.606329718592564
saddle,0.0,0.45,-0.12731281536138903,0.2548907487879796,0.0,0.3662956321651346,0.0,-0.6142579387858077
saddle,0.0,0.5,-0.13615115532716127,0.28578562860307277,0.0,0.40231047399098857,0.0,-0.6214106173273525
saddle,0.0,0.55,-0.14422318395183167,0.3170205301598862,0.0,0.4379873962736268,0.0,-0.6278719486900427
saddle,0.0,0.6000000000000001,-0.15159662289365114,0.34856274716107777,0.0,0.4733977927591747,0.0,-0.6337165161913102
saddle,0.0,0.65,-0.15833436663542955,0.38038316652542586,0.0,0.50859887416996,0.0,-0.6390104589405635
saddle,0.0,0.7000000000000001,-0.16449453244035997,0.4124557716803471,0.0,0.543636541922767,0.0,-0.6438124978907757
saddle,0.0,0.75,-0.17013046954149919,0.44475722494237907,0.0,0.5785477087945348,0.0,-0.6481747214613504
saddle,0.0,0.8,-0.17529101855405604,0.47726672477527105,0.0,0.6133620273321757,0.0,-0.6521434033662045
saddle,0.0,0.8500000000000001,-0.1800207544558942,0.5099657405896244,0.0,0.6481032833685629,0.0,-0.6557596773635096
saddle,0.0,0.9,-0.1843600966465098,0.542837462500269,0.0,0.6827906309620729,0.0,-0.6590600098978163
saddle,0.0,0.9500000000000001,-0.18834569515799862,0.5758669681562194,0.0,0.7174394220077842,0.0,-0.662076804576326
saddle,0.0,1.0,-0.19201074560829867,0.6090409282342869,0.0,0.7520619052378428,0.0,-0.664838886955553
saddle,0.0,1.05,-0.1953851364140267,0.6423470257172512,0.0,0.7866679263239535,0.0,-0.6673718127206353
saddle,0.0,1.1,-0.19849587762000895,0.6757746039374364,0.0,0.8212652777998549,0.0,-0.6696983482285207
saddle,0.0,1.1500000000000001,-0.20136726189474036,0.7093137616376821,0.0,0.8558601719445302,0.0,-0.6718387171745466
saddle,0.0,1.2000000000000002,-0.2040211808675063,0.7429556885204399,0.0,0.8904574943811366,0.0,-0.6738109385187409
saddle,0.0,1.25,-0.20647736962806754,0.7766922482163958,0.0,0.9250610419664178,0.0,-0.6756310898915676
saddle,0.0,1.3,-0.20875358317862158,0.8105164466180547,0.0,0.9596737638077001,0.0,-0.6773135043527639
saddle,0.0,1.35,-0.2108657223119485,0.8444214575010753,0.0,0.994298006926967,0.0,-0.6788709172677443
saddle,0.0,1.4000000000000001,-0.21282817441452373,0.8784016121156446,0.0,1.0289354866910037,0.0,-0.6803147612793093
saddle,0.0,1.4500000000000002,-0.21465399965959112,0.9124512495605457,0.0,1.063587358173349,0.0,-0.6816553378794822
saddle,0.0,1.5,-0.21635482574748224,0.946565567701207,0.0,1.098254587016804,0.0,-0.6829017687394595
saddle,0.0,1.55,-0.21794115394934557,0.980739994960448,0.0,1.132937837986603,0.0,-0.6840622442068744
saddle,0.0,1.6,-0.21942260519677506,1.0149704191347415,0.0,1.1676373734071812,0.0,-0.6851442221873983
saddle,0.0,1.6500000000000001,-0.2208077461540734,1.0492531760607904,0.0,1.202353435767101,0.0,-0.6861543165746853
saddle,0.0,1.7000000000000002,-0.2221044314696905,1.0835847454779757,0.0,1.2370859862024366,0.0,-0.6870985602296736
saddle,0.0,1.75,-0.22331959308613697,1.1179619794591926,0.0,1.271835115656133,0.0,-0.6879822621885953
saddle,0.0,1.8,-0.22445977949723317,1.1523820400967038,0.0,1.3066004640573914,0.0,-0.6888104089640582
saddle,0.0,1.85,-0.2255307574807608,1.1868421760036554,0.0,1.3413818525100176,0.0,-0.6895873820486863
saddle,0.0,1.9000000000000001,-0.2265377889243799,1.2213400026255994,0.0,1.3761790196413453,0.0,-0.69031716545685
saddle,0.0,1.9500000000000002,-0.22748577942490236,1.2558732063457425,0.0,1.4109914910635255,0.0,-0.6910034583306384
saddle,0.0,2.0,-0.22837903408129762,1.2904397067647975,0.0,1.4458190118302998,0.0,-0.6916495023357551
saddle,0.05,0.0,0.019459691249561407,0.02548695898247141,0.04816073483575334,0.0,-0.5190950695677637,0.0
saddle,0.05,0.05,1.907124994995243e-17,0.05,0.05,0.05000000000000001,-0.5,-0.49999999999999994
saddle,0.05,0.1,-0.018054602748317203,0.07545175602517729,0.051909533895673966,0.0965735886331889,-0.48160709842327154,-0.5177398987409771
saddle,0.05,0.15000000000000002,-0.03477510812482575,0.10174361423816788,0.05388821019905055,0.14054333365224728,-0.46392336853749266,-0.5336432404938957
saddle,0.05,0.2,-0.050235634790291854,0.1287895468225927,0.05593465952795571,0.18250252666245875,-0.446950070152929,-0.5479376194333547
saddle,0.05,0.25,-0.06451143127708177,0.1565139347683572,0.05804722110902804,0.2228906216642235,-0.43068383847425507,-0.5608131875028277
saddle,0.05,0.30000000000000004,-0.0776776028157618,0.18485006608000648,0.060223937254005065,0.2620401746089311,-0.415117329419332,-0.5724313083818545
saddle,0.05,0.35000000000000003,-0.0898082301120047,0.21373856480784162,0.062462578579307086,0.3002071987362355,-0.40023964057548733,-0.5829307249682458
saddle,0.05,0.4,-0.1009756581239927,0.2431266379254667,0.06476068031391435,0.33759149522845283,-0.38603671052894345,-0.5924319860743448
saddle,0.05,0.45,-0.11124994342533367,0.2729670606743928,0.06711559183836882,0.37435067817663664,-0.3724916865846355,-0.6010407169446457
saddle,0.05,0.5,-0.12069837449503383,0.30321759338606075,0.06952452275430542,0.4106101379111484,-0.35958535218354787,-0.6088500426993775
saddle,0.05,0.55,-0.12938519246827684,0.3338403601764849,0.07198461638644874,0.4464702296575584,-0.3472964260278576,-0.6159425236726855
saddle,0.05,0.6000000000000001,-0.13737119161930741,0.36480135444263134,0.07449296559101527,0.4820117164500232,-0.33560215789039943,-0.622391509919044
saddle,0.05,0.65,-0.1447136157349141,0.39607007436573816,0.07704667531153254,0.5172997959598696,-0.32447863452789294,-0.6282623780992413
saddle,0.05,0.7000000000000001,-0.15146607731550854,0.4276191183513516,0.07964291044529813,0.5523872134512119,-0.31390113520739527,-0.6336135078385786
saddle,0.05,0.75,-0.1576784473932109,0.45942381477159167,0.08227889658595111,0.5873167562972054,-0.3038446191835378,-0.6384970222273639
saddle,0.05,0.8,-0.16339697362815828,0.4914619433300457,0.08495197387729006,0.6221231250133838,-0.2942839213613984,-0.6429595427615631
saddle,0.05,0.8500000000000001,-0.16866428746811077,0.5237135529930668,0.08765957704584654,0.6568345239605252,-0.2851941663707188,-0.6470427246079743
saddle,0.05,0.9,-0.17351964945286133,0.5561605889919574,0.09039930128644608,0.6914738035449272,-0.276550810064152,-0.6507838730737427
saddle,0.05,0.9500000000000001,-0.17799900824833628,0.588786830342643,0.09316885739546941,0.7260595268170721,-0.2683300053137251,-0.6542163313830802
saddle,0.05,1.0,-0.18213520883192766,0.6215776171071576,0.09596607888415633,0.7606067549779,-0.260508716107681,-0.6573699178026994
saddle,0.05,1.05,-0.1859582537334257,0.6545196145660099,0.09878896283277339,0.7951276412984815,-0.2530647076669805,-0.6602713485631689
saddle,0.05,1.1,-0.1894955188958265,0.6876009678690366,0.10163568962453673,0.8296319403995276,-0.24597658649589701,-0.662944582069894
saddle,0.05,1.1500000000000001,-0.1927717471406334,0.7208106181150596,0.10450444543881308,0.8641276348331518,-0.23922427314001105,-0.6654109610914396
saddle,0.05,1.2000000000000002,-0.19580954758181562,0.7541388768452746,0.10739365425906217,0.8986210089213387,-0.23278842844562608,-0.6676897090578944
saddle,0.05,1.25,-0.1986294647451136,0.78757675053169,0.110301892332632,0.9331170406572691,-0.2266506899501663,-0.6697980775913839
saddle,0.05,1.3,-0.2012499920254357,0.8211161166669464,0.11322769415352121,0.9676198143841913,-0.22079403971702746,-0.6717514361915691
saddle,0.05,1.35,-0.20368795733876002,0.8547494969073227,0.11616974615263151,1.0021325003867592,-0.21520232959064356,-0.6735636253085228
saddle,0.05,1.4000000000000001,-0.20595877005467925,0.8884702667692628,0.11912702308081415,1.0366574026290711,-0.20986002464814674,-0.6752471918154708
saddle,0.05,1.4500000000000002,-0.2080762311337589,0.9222722431954102,0.1220983653577184,1.0711964576278357,-0.20475294592811383,-0.6768132911917133
saddle,0.05,1.5,-0.21005293825965604,0.9561497894403845,0.12508279822466853,1.105751046322642,-0.19986761053343274,-0.6782720237925607
saddle,0.05,1.55,-0.21190033709828204,0.9900977765363892,0.1280794465016857,1.1403221568816782,-0.19519134945411376,-0.679632501502306
saddle,0.05,1.6,-0.21362879552321154,1.0241115092933284,0.13108746556533754,1.17491050293122,-0.1907123605768343,-0.6809029266519653
saddle,0.05,1.6500000000000001,-0.21524769261598595,1.0581866870334922,0.13410599298223924,1.2095166038221858,-0.18641970760628837,-0.6820906777078733
saddle,0.05,1.7000000000000002,-0.21676560300692416,1.092319309596005,0.13713430410499586,1.244140717074383,-0.1823030361597849,-0.683202461212578
