table_name,description
"'J/A+A/617/A33/table1'","Logarithmic values of the luminosities, masses and the star formation rates of the Herschel Reference Sample ( Andreani P., Boselli A., Ciesla L., Vio R., Cortese L., Buat V., Miyamoto Y.)"
"'J/A+A/620/A163/cores'","Parameters of 300 cores obtained from the Herschel H_2_ column density map (table 3) ( Zhang G.-Y., Xu J.-L., Vasyunin A.I., Semenov D.A., Wang J.-J., Dib S., Liu T., Liu S.-Y., Zhang C.-P., Liu X.-L., Wang K., Li D., Wu Z.-Z., Yuan J.-H., Li D.-L., Gao Y.)"
"'J/A+A/622/A132/fither'","The fit results as derived from the multiband single Sersic fitting of the Herschel 100-500um data ( Mosenkov A.V., Baes M., Bianchi S., et al.)"
"'J/A+A/622/A135/tablea5'","Extension of the CO(6-5) and the Herschel-PACS 70 micron emission towards the TOP100 clumps ( Navarete F., Leurini S., Giannetti A., Wyrowski F., Urquhart J.S., Koenig C., Csengeri T., Guesten R., Damineli A., Menten K.M.)"
"'J/A+A/631/A71/tablee1'","Herschel Reference Survey ( Gomez-Lopez J.A., Amram P., Epinat B., Boselli A., Rosado M., Marcelin M., Boissier S., Gach J.-L., Sanchez-Cruces M., Sardaneta M.,)"
"'J/A+A/645/A55/tablea1'","Catalogue with coordinates and the properties extracted from the Herschel images (corrected version, 23-Dec-2022) ( Pezzuto S., Benedettini M., Di Francesco J., et al.)"
"'J/A+A/659/A38/hsaaster'","Catalogue with the list of potential detections of asteroids within the field of view of Herschel Observatory observational imaging datasets (table B1) ( Racero E., Giordano F., Carry B., et al.)"
"'J/A+A/684/A50/table3'","Herschel/PACS 100 and 160um light curve data ( Kiss C., Mueller T.G., Marton G., Szakats R., Pal A., Molnar L., Vilenius E., Rengel M., Ortiz J.L., Fernandez-Valenzuela E.)"
"'J/A+A/694/A123/table1'","Herschel photometry of the 94 M-dwarfs of the DEBRIS survey ( Lestrade J.-F., Matthews B.C., Kennedy G.M., Sibthorpe B., Wyatt M.C., Booth M., Greaves J.S., Duchene G., Moro-Martin A., Jobic C.)"
"'J/A+A/709/A143/tablee2'","Summary of photometric fluxes estimated from the individual Herschel PACS observations ( Alonso-Hernandez J., Sanchez Contreras C., Sahai R., Sanz-Forcada J.)"
"'J/AJ/142/111/table1'","Coefficients of the fit of the combination of any number of Spitzer and Herschel bands from 8.0um to 500um to estimate the total IR luminosity ( Boquien M., Calzetti D., Combes F., Henkel C., Israel F., Kramer C., Relano M., Verley S., Van Der Werf P., Xilouris E.M., HERM33ES Team)"
"'J/AJ/142/111/table2'","Coefficients of the fit of the combination of any number of Spitzer and Herschel bands from 8.0um to 500um to estimate the SFR in M_{sun}_/yr/kpc^2 ( Boquien M., Calzetti D., Combes F., Henkel C., Israel F., Kramer C., Relano M., Verley S., Van Der Werf P., Xilouris E.M., HERM33ES Team)"
"'J/AJ/151/120/table1'","3CR Sources 0.5<z<1 Observed with Herschel ( Westhues C., Haas M., Barthel P., Wilkes B.J., Willner S.P., Kuraszkiewicz J., Podigachoski P., Leipski C., Meisenheimer K., Siebenmorgen R., Chini R.)"
"'J/AJ/151/120/table2'","3CR Sources z<0.5 Observed with Herschel ( Westhues C., Haas M., Barthel P., Wilkes B.J., Willner S.P., Kuraszkiewicz J., Podigachoski P., Leipski C., Meisenheimer K., Siebenmorgen R., Chini R.)"
"'J/AJ/155/17/table4'","Herschel PACS and SPIRE observations of WR galaxies ( Chen P.S., Yang X.H., Liu J.Y., Shan H.G.)"
"'J/ApJ/710/L30/table1'","Radial-velocity measurements of the stellar components observed in the spectra of Herschel 36 ( Arias J.I., Barba R.H., Gamen R.C., Morrell N.I., Apellaniz J.M., Alfaro E.J., Sota A., Walborn N.R., Bidin C.M.)"
"'J/ApJ/753/147/stars'","Stellar properties  and  Herschel PACS photometry  in the 30Myr odl Tucana-Horologium  Association ( Donaldson J.K., Roberge A., Chen C.H., Augereau J.-C., Dent W.R.F., Eiroa C., Krivov A.V., Mathews G.S., Meeus G., Menard F., Riviere-Marichalar P., Sandell G.)"
"'J/ApJ/759/139/table4'","Spitzer/MIPS and Herschel photometry ( Kirkpatrick A., Pope A., Alexander D.M., et al.)"
"'J/ApJ/764/133/table2'","Herschel source fluxes and derived quantities ( Harvey P.M., Fallscheer C., Ginsburg A., Terebey S., Andre P., Bourke T.L., Di Francesco J., Konyves V., Matthews B.C., Peterson D.E.)"
"'J/ApJ/767/36/obs'","Summary of HOPS (Herschel Orion Protostar Survey) observations for L1641 (table 1) , ONC, NGC 2024, NGC 2068 and L1622 (table 2) ( Stutz A.M., Tobin J.J., Stanke T., Megeath S.T., Fischer W.J., Robitaille T., Henning T., Ali B., di Francesco J., Furlan E., Hartmann L., Osorio M., Wilson T.L., Allen L., Krause O., Manoj P.)"
"'J/ApJ/767/36/PBRs'","Spitzer, Herschel and APEX photometry of Herschel/PACS Bright Red sources (tables 4-6) ( Stutz A.M., Tobin J.J., Stanke T., Megeath S.T., Fischer W.J., Robitaille T., Henning T., Ali B., di Francesco J., Furlan E., Hartmann L., Osorio M., Wilson T.L., Allen L., Krause O., Manoj P.)"
"'J/ApJ/767/36/table3'","Herschel protostar candidate coordinates and photometry ( Stutz A.M., Tobin J.J., Stanke T., Megeath S.T., Fischer W.J., Robitaille T., Henning T., Ali B., di Francesco J., Furlan E., Hartmann L., Osorio M., Wilson T.L., Allen L., Krause O., Manoj P.)"
"'J/ApJ/774/68/table1'","Herschel/PACS measurements for the GOALS sample ( Diaz-Santos T., Armus L., Charmandaris V., et al.)"
"'J/ApJ/783/135/table4'","Herschel SPIRE fluxes used in this work ( Amblard A., Riguccini L., Temi P., Im S., Fanelli M., Serra P.)"
"'J/ApJ/811/58/table2'","Herschel-detected SDSS quasar sample ( Ma Z., Yan H.)"
"'J/ApJ/813/45/table2'","Herschel, JCMT, and CSO Photometry ( Lonsdale C.J., Lacy M., Kimball A.E., Blain A., Whittle M., Wilkes B., Stern D., Condon J., Kim M., Assef R.J., Tsai C.-W., Efstathiou A., Jones S., Eisenhardt P., Bridge C., Wu J., Lonsdale C.J., Jones K., Jarrett T., Smith R.)"
