source_id,ra,dec,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,ipd_frac_multi_peak,non_single_star,has_xp_sampled,dist_pc,sep_from_lhs1140_pc
2367938722962185088,5.035582813353748,-17.061447997422228,43.786487964219894,2441.9854,141.90292777392352,-13.370393462333293,10.84538,2.078291,1.1562842,0.120499,19.641628,0,0,True,22.83809564304745,8.128628298486746
2373841073178592512,8.35085951583238,-15.358471187069451,43.508933462717096,53.7465,302.12938639606415,25.154168874379067,20.278069,2.8919888,1.1622541,2.7688234,3.034428,0,0,False,22.98378563696355,8.07102569616906
2374484527999034112,9.354238319121508,-13.718916092793002,40.35328130111636,886.70874,52.25705580641311,-153.44881996640248,12.884505,2.50632,1.8008778,0.2489491,41.79163,0,0,False,24.781132234030625,9.850499674915383
2418116963320446720,3.550804206824608,-13.186812817436499,53.880866147529254,1386.3892,-546.6949616842454,-714.9433483430773,15.758745,0.7936468,0.9558688,0.0,0.0,0,0,False,18.559464082517458,4.237145475411825
2374036786248265856,9.400346764343986,-15.197822321552298,40.33987799106715,1482.7766,-193.51012774452127,46.79384241961832,11.535215,2.250761,1.3046237,0.1793974,40.483593,0,0,True,24.78936600208458,9.844006323247084
2349206308999273984,12.894709137689185,-22.91129544069207,65.0902364085195,2631.3276,613.2598551920532,-276.4516012376809,8.415547,1.6042042,1.0495597,0.10851511,9.234712,0,0,True,15.363287263604292,2.1017523194137184
2368212771939556992,3.9914280244393505,-16.61597822404432,56.09623988819728,603.8981,-117.53858200550599,6.82007445644109,11.74792,2.9108524,4.086586,0.73464423,677.15106,0,0,True,17.826506767531157,3.5097802352411898
2372192389852176768,15.837700742832006,-13.806212788118964,62.97945150466397,1945.2128,76.0306828908284,41.85387187161063,10.863111,2.5426407,1.374737,0.2150675,63.1674,1,0,True,15.878194809714158,1.5525519852119898
2372192767809294592,15.83877205672847,-13.7994314797556,63.06781556273391,1830.973,73.18766719739608,33.15315830699109,10.628398,2.4768448,1.3342668,0.18815745,38.26163,1,0,True,15.855947936000643,1.5395172887927853
2473055951588089088,15.588177035541234,-10.424645417428936,47.3825056619637,2696.647,26.087937256211745,-176.9198557011405,9.38436,1.739438,1.0579222,0.085369155,10.887557,1,0,True,21.104835762257924,6.454263220074418
2372272516761781888,12.600733397882925,-15.640810073727751,40.37360525215522,186.796,-214.897730211684,-484.4469492747731,18.417957,4.3653584,1.0598286,0.9205651,7.655138,0,0,False,24.768657486851957,9.81563363043092
2423493369021649920,5.717578630284787,-12.209165461343625,46.87421744278449,1735.2573,394.38784588106705,60.892585449531346,6.236681,0.8217211,1.0284696,0.14496379,20.210094,0,0,False,21.333689489763064,6.652301589274444
2468929243931522304,17.57395028608209,-11.855370704147928,54.35011751131766,898.59454,217.81856838860705,-120.38310009199942,11.410422,2.6760693,2.0412705,0.4600448,425.3255,0,0,True,18.399224248075708,3.987641680815787
2349206343359507584,12.899607379310654,-22.90983482076865,65.07326348704328,1298.9653,619.8951493518819,-280.89089590531876,14.365647,3.6989079,1.2877771,0.2787822,23.943043,0,0,True,15.367294437278526,2.1026613289309393
2349916559152267008,10.356219925370175,-22.35233354272889,109.92764165734953,5440.7314,-463.2060421074756,-381.7838948908595,14.297183,0.91118336,0.98814744,0.0,0.0,0,0,True,9.096893055497858,6.043622364563817
2473608009504466688,12.530589460777726,-10.645349194018035,62.8022373482063,660.166,-228.03114929883466,-229.57749769142683,5.0295434,0.6863718,1.034431,0.626343,632.57526,0,0,True,15.92299959721994,1.607495054066019
2358022227591374336,16.23022246917644,-18.122448954793846,102.28274631661318,2856.7195,1292.1878660323266,488.1039078364903,12.697248,3.4199324,1.1534077,0.26176655,77.45273,2,0,True,9.776820001533101,5.319197789348645
2371032916186181760,11.2486779084442,-15.274191339893132,66.82874472085788,1395.9952,318.1520629418195,-596.6229051027706,12.653936,3.030984,1.529972,0.28028402,73.9137,1,0,True,14.963620881657688,0.0008083179246841148
2374036786248265984,9.400420902977178,-15.199865984887493,40.30276179028997,1898.8716,-189.94643803649282,45.76324839190365,13.725559,2.8931904,1.2514052,0.07896794,3.256199,0,0,True,24.81219538262331,9.866807052174487
2472557872820632320,13.959371851133993,-11.45680630519491,44.55728647476506,1351.0457,-78.97566876998144,437.4130595101332,15.137896,0.53005695,1.119717,0.1028819,2.5571473,0,0,False,22.443018395349284,7.624253917298299
