name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by
Kepler-26  d,,,,,,,,,catalogue_position
Kepler-26  b,,,,,,,,,catalogue_position
Kepler-26  c,,,,,,,,,catalogue_position
Kepler-26  e,,,,,,,,,catalogue_position
Kepler-169 b,,,,,,,,,catalogue_position
Kepler-169 c,,,,,,,,,catalogue_position
Kepler-169 d,,,,,,,,,catalogue_position
Kepler-169 e,,,,,,,,,catalogue_position
Kepler-169 f,,,,,,,,,catalogue_position
Kepler-176 b,,,,,,,,,catalogue_position
Kepler-176 c,,,,,,,,,catalogue_position
Kepler-176 d,,,,,,,,,catalogue_position
Kepler-176 e,,,,,,,,,catalogue_position
Kepler-186 b,,,,,,,,,catalogue_position
Kepler-186 c,,,,,,,,,catalogue_position
Kepler-186 d,,,,,,,,,catalogue_position
Kepler-186 e,,,,,,,,,catalogue_position
Kepler-186 f,,,,,,,,,catalogue_position
Kepler-616 b,,,,,,,,,catalogue_position
Kepler-616 c,,,,,,,,,catalogue_position
Kepler-33  b,,,,,,,,,catalogue_position
Kepler-33  c,,,,,,,,,catalogue_position
Kepler-33  d,,,,,,,,,catalogue_position
Kepler-33  e,,,,,,,,,catalogue_position
Kepler-33  f,,,,,,,,,catalogue_position
Kepler-221 b,,,,,,,,,catalogue_position
Kepler-221 c,,,,,,,,,catalogue_position
Kepler-221 d,,,,,,,,,catalogue_position
Kepler-221 e,,,,,,,,,catalogue_position
Kepler-235 b,,,,,,,,,catalogue_position
Kepler-235 c,,,,,,,,,catalogue_position
Kepler-235 d,,,,,,,,,catalogue_position
Kepler-235 e,,,,,,,,,catalogue_position
Kepler-238 b,,,,,,,,,catalogue_position
Kepler-238 c,,,,,,,,,catalogue_position
Kepler-238 d,,,,,,,,,catalogue_position
Kepler-238 e,,,,,,,,,catalogue_position
Kepler-238 f,,,,,,,,,catalogue_position
Kepler-27  b,,,,,,,,,catalogue_position
Kepler-27  c,,,,,,,,,catalogue_position
Kepler-245 e,,,,,,,,,catalogue_position
Kepler-245 b,,,,,,,,,catalogue_position
Kepler-245 c,,,,,,,,,catalogue_position
Kepler-245 d,,,,,,,,,catalogue_position
Kepler-31  b,,,,,,,,,catalogue_position
Kepler-31  c,,,,,,,,,catalogue_position
Kepler-31  d,,,,,,,,,catalogue_position
Kepler-58  b,,,,,,,,,catalogue_position
Kepler-58  c,,,,,,,,,catalogue_position
Kepler-58  d,,,,,,,,,catalogue_position
Kepler-84  d,,,,,,,,,catalogue_position
Kepler-84  b,,,,,,,,,catalogue_position
Kepler-84  c,,,,,,,,,catalogue_position
Kepler-84  e,,,,,,,,,catalogue_position
Kepler-84  f,,,,,,,,,catalogue_position
Kepler-416 b,,,,,,,,,catalogue_position
Kepler-416 c,,,,,,,,,catalogue_position
Kepler-338 e,,,,,,,,,catalogue_position
Kepler-338 b,,,,,,,,,catalogue_position
Kepler-338 c,,,,,,,,,catalogue_position
Kepler-338 d,,,,,,,,,catalogue_position
Kepler-341 b,,,,,,,,,catalogue_position
Kepler-341 c,,,,,,,,,catalogue_position
Kepler-341 d,,,,,,,,,catalogue_position
Kepler-341 e,,,,,,,,,catalogue_position
Kepler-85  b,,,,,,,,,catalogue_position
Kepler-85  c,,,,,,,,,catalogue_position
Kepler-85  d,,,,,,,,,catalogue_position
Kepler-85  e,,,,,,,,,catalogue_position
Kepler-100  b,,,,,,,,,catalogue_position
Kepler-100  c,,,,,,,,,catalogue_position
Kepler-100  d,,,,,,,,,catalogue_position
Kepler-114  b,,,,,,,,,catalogue_position
Kepler-114  c,,,,,,,,,catalogue_position
Kepler-114  d,,,,,,,,,catalogue_position
Kepler-117  b,,,,,,,,,catalogue_position
Kepler-117  c,,,,,,,,,catalogue_position
Kepler-120  b,,,,,,,,,catalogue_position
Kepler-120  c,,,,,,,,,catalogue_position
Kepler-126  b,,,,,,,,,catalogue_position
Kepler-126  c,,,,,,,,,catalogue_position
Kepler-126  d,,,,,,,,,catalogue_position
Kepler-127  b,,,,,,,,,catalogue_position
Kepler-127  c,,,,,,,,,catalogue_position
Kepler-127  d,,,,,,,,,catalogue_position
Kepler-450  d,,,,,,,,,catalogue_position
Kepler-450  c,,,,,,,,,catalogue_position
Kepler-450  b,,,,,,,,,catalogue_position
Kepler-92   b,,,,,,,,,catalogue_position
Kepler-92   c,,,,,,,,,catalogue_position
Kepler-92   d,,,,,,,,,catalogue_position
Kepler-135  b,,,,,,,,,catalogue_position
Kepler-135  c,,,,,,,,,catalogue_position
Kepler-136  b,,,,,,,,,catalogue_position
Kepler-136  c,,,,,,,,,catalogue_position
Kepler-414  b,,,,,,,,,catalogue_position
Kepler-414  c,,,,,,,,,catalogue_position
Kepler-142  b,,,,,,,,,catalogue_position
Kepler-142  c,,,,,,,,,catalogue_position
Kepler-142  d,,,,,,,,,catalogue_position
Kepler-145  b,,,,,,,,,catalogue_position
Kepler-145  c,,,,,,,,,catalogue_position
Kepler-146  b,,,,,,,,,catalogue_position
Kepler-146  c,,,,,,,,,catalogue_position
Kepler-149  b,,,,,,,,,catalogue_position
Kepler-149  c,,,,,,,,,catalogue_position
Kepler-149  d,,,,,,,,,catalogue_position
Kepler-157  b,,,,,,,,,catalogue_position
Kepler-157  d,,,,,,,,,catalogue_position
Kepler-157  c,,,,,,,,,catalogue_position
Kepler-158  b,,,,,,,,,catalogue_position
Kepler-158  c,,,,,,,,,catalogue_position
Kepler-161  b,,,,,,,,,catalogue_position
Kepler-161  c,,,,,,,,,catalogue_position
Kepler-170  b,,,,,,,,,catalogue_position
Kepler-170  c,,,,,,,,,catalogue_position
Kepler-177  b,,,,,,,,,catalogue_position
Kepler-177  c,,,,,,,,,catalogue_position
Kepler-182  b,,,,,,,,,catalogue_position
Kepler-182  c,,,,,,,,,catalogue_position
Kepler-184  b,,,,,,,,,catalogue_position
Kepler-184  c,,,,,,,,,catalogue_position
Kepler-184  d,,,,,,,,,catalogue_position
Kepler-191  d,,,,,,,,,catalogue_position
Kepler-191  b,,,,,,,,,catalogue_position
Kepler-191  c,,,,,,,,,catalogue_position
Kepler-192  d,,,,,,,,,catalogue_position
Kepler-192  b,,,,,,,,,catalogue_position
Kepler-192  c,,,,,,,,,catalogue_position
Kepler-203  b,,,,,,,,,catalogue_position
Kepler-203  c,,,,,,,,,catalogue_position
Kepler-203  d,,,,,,,,,catalogue_position
Kepler-204  b,,,,,,,,,catalogue_position
Kepler-204  c,,,,,,,,,catalogue_position
Kepler-206  b,,,,,,,,,catalogue_position
Kepler-206  c,,,,,,,,,catalogue_position
Kepler-206  d,,,,,,,,,catalogue_position
Kepler-218  b,,,,,,,,,catalogue_position
Kepler-218  c,,,,,,,,,catalogue_position
