target,gaia_idx,source_id,telescope,band,mjd_session,n_files,freq_centre_ghz,hpbw_arcmin,n_in_beam_neighbours,optical_10m_1um:n_pairs,optical_10m_1um:n_spillover,optical_10m_1um:n_between,optical_10m_1um:earth_term_known,radio_100m_1p4ghz:n_pairs,radio_100m_1p4ghz:n_spillover,radio_100m_1p4ghz:n_between,radio_100m_1p4ghz:earth_term_known,radio_10m_8ghz:n_pairs,radio_10m_8ghz:n_spillover,radio_10m_8ghz:n_between,radio_10m_8ghz:earth_term_known,radio_10m_1p4ghz:n_pairs,radio_10m_1p4ghz:n_spillover,radio_10m_1p4ghz:n_between,radio_10m_1p4ghz:earth_term_known,radio_10m_1p4ghz:drift_centre_hz_s_min,radio_10m_1p4ghz:drift_centre_hz_s_max,radio_10m_1p4ghz:halfwidth_tight_hz_s_min,radio_10m_1p4ghz:halfwidth_tight_hz_s_max,radio_10m_1p4ghz:halfwidth_loose_hz_s_max,radio_10m_1p4ghz:n_pairs_with_kinematics,radio_10m_1p4ghz:alpha_rad_min,radio_10m_1p4ghz:flux_ratio_max,overfilled_5deg:n_pairs,overfilled_5deg:n_spillover,overfilled_5deg:n_between,overfilled_5deg:earth_term_known,overfilled_5deg:drift_centre_hz_s_min,overfilled_5deg:drift_centre_hz_s_max,overfilled_5deg:halfwidth_tight_hz_s_min,overfilled_5deg:halfwidth_tight_hz_s_max,overfilled_5deg:halfwidth_loose_hz_s_max,overfilled_5deg:n_pairs_with_kinematics,overfilled_5deg:alpha_rad_min,overfilled_5deg:flux_ratio_max,radio_100m_1p4ghz:drift_centre_hz_s_min,radio_100m_1p4ghz:drift_centre_hz_s_max,radio_100m_1p4ghz:halfwidth_tight_hz_s_min,radio_100m_1p4ghz:halfwidth_tight_hz_s_max,radio_100m_1p4ghz:halfwidth_loose_hz_s_max,radio_100m_1p4ghz:n_pairs_with_kinematics,radio_100m_1p4ghz:alpha_rad_min,radio_100m_1p4ghz:flux_ratio_max,radio_10m_8ghz:drift_centre_hz_s_min,radio_10m_8ghz:drift_centre_hz_s_max,radio_10m_8ghz:halfwidth_tight_hz_s_min,radio_10m_8ghz:halfwidth_tight_hz_s_max,radio_10m_8ghz:halfwidth_loose_hz_s_max,radio_10m_8ghz:n_pairs_with_kinematics,radio_10m_8ghz:alpha_rad_min,radio_10m_8ghz:flux_ratio_max
HIP100309,56250,1808766962079803904,GBT,NAN,57690.958333333336,3,2.26962890625,8.7,0,0,0,0,True,0,0,0,True,2,1,1,True,60,5,55,True,-0.19668498399064396,-0.19668495671398664,0.014593027609914965,0.09637832933756588,7.5712805724869705,28,0.001485434550078489,4.2465400291966455,788,106,682,True,-0.19668498400691622,-0.19668476391261663,0.014593027609914965,0.3304212554392674,7.577874301609838,416,0.001485434550078489,4.342353396288726,,,,,,,,,-0.1966849825043219,-0.19668498140112262,0.014593027609914965,0.01779615089958222,7.570688041911354,1.0,0.001485434550078489,3.847264200345749
HIP10033,178785,2494291678648211968,GBT,NAN,57669.25,3,2.300390625,8.7,1,0,0,0,True,0,0,0,True,0,0,0,True,48,2,46,True,-0.24582207326269684,-0.24582125034010083,0.024667820552018462,0.09692678162852296,7.673889326456126,14,0.002977550222693746,6.423325010821436,910,53,857,True,-0.24582207365269293,-0.24582125034010083,0.024667820552018462,0.33478006708170205,7.68057681994104,216,0.002977550222693746,6.594794669246168,,,,,,,,,,,,,,,,
HIP100363,163608,1836310454221890304,GBT,NAN,57993.208333333336,3,2.26962890625,8.7,0,0,0,0,True,0,0,0,True,2,0,2,True,55,2,53,True,-0.1879404839114697,-0.18794042648489265,0.014788599239507138,0.09714831282945714,7.571290413109137,29,0.0015188062744303135,5.55725659110332,653,54,599,True,-0.1879404839114697,-0.18794035069013332,0.014788599239507138,0.32950375929936937,7.5778343510758495,341,0.0015188062744303135,5.669106179309805,,,,,,,,,-0.18794048034486513,-0.18794047085023782,0.014788599239507138,0.015447572855780236,7.570682885477364,1.0,0.0015188062744303135,4.936789179829081
HIP100363,163608,1836310454221890304,GBT,NAN,58223.583333333336,3,2.26962890625,8.7,0,0,0,0,True,0,0,0,True,2,0,2,True,55,2,53,True,-0.14445838526888227,-0.14445832784230522,0.014788599239507138,0.09714831282945714,7.571290413109137,29,0.0015188062744303135,5.55725659110332,653,54,599,True,-0.14445838526888227,-0.1444582520475459,0.014788599239507138,0.32950375929936937,7.5778343510758495,341,0.0015188062744303135,5.669106179309805,,,,,,,,,-0.14445838170227773,-0.1444583722076504,0.014788599239507138,0.015447572855780236,7.570682885477364,1.0,0.0015188062744303135,4.936789179829081
HIP10037,259554,5144740907820132352,GBT,NAN,57599.458333333336,3,1.47509765625,8.7,0,0,0,0,True,1,0,1,True,1,0,1,True,31,0,31,True,-0.13142312224563463,-0.1314230884039148,0.010791884361095506,0.06321482642153126,4.920802210082386,14,0.0011126993788858832,20.305872843309324,248,1,247,True,-0.13142312229819844,-0.1314230304352002,0.010791884361095506,0.21439431066895392,4.925064791139239,129,0.0011126993788858832,20.305872843309324,-0.13142309444788977,-0.13142309444788977,0.010791884361095506,0.010791884361095506,4.920407985242712,0.0,0.0011126993788858832,13.304644215426919,-0.13142309444788977,-0.13142309444788977,0.010791884361095506,0.010791884361095506,4.920407985242712,0.0,0.0011126993788858832,13.304644215426919
HIP10037,259554,5144740907820132352,GBT,NAN,57873.75,3,2.26962890625,8.7,0,0,0,0,True,1,0,1,True,1,0,1,True,31,0,31,True,-0.1472713421087302,-0.14727129003885864,0.012547975817301174,0.09665433425483,7.571284090911064,14,0.0011126993788858832,20.305872843309324,248,1,247,True,-0.14727134218960644,-0.14727120084647885,0.012547975817301174,0.3296941243810138,7.577842631026597,129,0.0011126993788858832,20.305872843309324,-0.14727129933829736,-0.14727129933829736,0.012547975817301174,0.012547975817301174,7.570677524280759,0.0,0.0011126993788858832,13.304644215426919,-0.14727129933829736,-0.14727129933829736,0.012547975817301174,0.012547975817301174,7.570677524280759,0.0,0.0011126993788858832,13.304644215426919
HIP10037,259554,5144740907820132352,GBT,NAN,57993.208333333336,3,2.26962890625,8.7,0,0,0,0,True,1,0,1,True,1,0,1,True,31,0,31,True,-0.1206962579268763,-0.12069620585700473,0.012547975817301174,0.09665433425483,7.571284090911064,14,0.0011126993788858832,20.305872843309324,248,1,247,True,-0.12069625800775252,-0.12069611666462496,0.012547975817301174,0.3296941243810138,7.577842631026597,129,0.0011126993788858832,20.305872843309324,-0.12069621515644346,-0.12069621515644346,0.012547975817301174,0.012547975817301174,7.570677524280759,0.0,0.0011126993788858832,13.304644215426919,-0.12069621515644346,-0.12069621515644346,0.012547975817301174,0.012547975817301174,7.570677524280759,0.0,0.0011126993788858832,13.304644215426919
HIP10037,259554,5144740907820132352,GBT,NAN,58223.583333333336,3,2.26962890625,8.7,0,0,0,0,True,1,0,1,True,1,0,1,True,31,0,31,True,-0.06143701342446114,-0.06143696135458957,0.012547975817301174,0.09665433425483,7.571284090911064,14,0.0011126993788858832,20.305872843309324,248,1,247,True,-0.061437013505337375,-0.06143687216220981,0.012547975817301174,0.3296941243810138,7.577842631026597,129,0.0011126993788858832,20.305872843309324,-0.061436970654028304,-0.061436970654028304,0.012547975817301174,0.012547975817301174,7.570677524280759,0.0,0.0011126993788858832,13.304644215426919,-0.061436970654028304,-0.061436970654028304,0.012547975817301174,0.012547975817301174,7.570677524280759,0.0,0.0011126993788858832,13.304644215426919
HIP10047,183348,2520889895716230656,GBT,NAN,57669.208333333336,3,2.300390625,8.7,1,0,0,0,True,0,0,0,True,6,0,6,True,112,2,110,True,-0.23394551603013883,-0.23393953347280355,0.016294632103620955,0.09695185457507641,7.673889643186559,46,0.0017437169856047647,6.059676932895202,1049,56,993,True,-0.23394551603013883,-0.23393885733796296,0.016294632103620955,0.33486980123082577,7.680580731785635,520,0.0017437169856047647,6.10184923578247,,,,,,,,,-0.23394551504456446,-0.233939596438496,0.016294632103620955,0.019818296628379223,7.673302767295295,3.0,0.0017437169856047647,5.325385107409801
HIP10047,183348,2520889895716230656,GBT,NAN,57957.208333333336,3,1.47509765625,8.7,1,0,0,0,True,0,0,0,True,6,0,6,True,112,2,110,True,0.01452804816690742,0.014541559448782996,0.012653165470344601,0.06257744332311092,4.9207940632468095,46,0.0017437169856047647,6.059676932895202,1049,56,993,True,0.01452804816690742,0.014541993012069094,0.012653165470344601,0.21484975779781604,4.925084638348662,520,0.0017437169856047647,6.10184923578247,,,,,,,,,0.014528048798895068,0.014541519072794523,0.012653165470344601,0.014574839874920274,4.920417736577817,3.0,0.0017437169856047647,5.325385107409801
HIP10047,183348,2520889895716230656,GBT,NAN,57993.208333333336,3,2.26962890625,8.7,1,0,0,0,True,0,0,0,True,6,0,6,True,112,2,110,True,-0.12200904272234331,-0.12199159771665949,0.016148035914359454,0.09566738613654911,7.5712715559358275,46,0.0017437169856047647,6.059676932895202,1049,56,993,True,-0.12200904272234331,-0.12199093062335713,0.016148035914359454,0.3303952691187416,7.577873168561794,520,0.0017437169856047647,6.10184923578247,,,,,,,,,-0.12200904174994842,-0.12199165984035018,0.016148035914359454,0.019611945230876275,7.570692527988999,3.0,0.0017437169856047647,5.325385107409801
HIP10047,183348,2520889895716230656,GBT,NAN,58223.625,3,2.26962890625,8.7,1,0,0,0,True,0,0,0,True,6,0,6,True,112,2,110,True,-0.10119492876615778,-0.10118447881453452,0.016148035914359454,0.09566738613654911,7.5712715559358275,46,0.0017437169856047647,6.059676932895202,1049,56,993,True,-0.10119492876615778,-0.10118381172123216,0.016148035914359454,0.3303952691187416,7.577873168561794,520,0.0017437169856047647,6.10184923578247,,,,,,,,,-0.10119492779376288,-0.10118454093822522,0.016148035914359454,0.019611945230876275,7.570692527988999,3.0,0.0017437169856047647,5.325385107409801
HIP10056,215426,2518617548778912768,GBT,NAN,57669.208333333336,3,2.300390625,8.7,0,0,0,0,True,2,0,2,True,2,0,2,True,44,1,43,True,-0.2340250299344952,-0.23402497627309993,0.012263797644220982,0.0977586580651755,7.673899878740085,20,0.0010418519574778146,9.223386938403825,353,8,345,True,-0.23402503018443904,-0.23402374813709498,0.012263797644220982,0.3342204862448517,7.680552449344131,169,0.0010418519574778146,9.348741538512694,-0.23402501718772215,-0.23402501497798198,0.012263797644220982,0.012321286098736898,7.67328706668736,1.0,0.0010418519574778146,5.79027244167518,-0.23402501718772215,-0.23402501497798198,0.012263797644220982,0.012321286098736898,7.67328706668736,1.0,0.0010418519574778146,5.79027244167518
