name,gaia_idx,source_id,ra,dec,d_pc,has_rv,n_in_beam_neighbours,optical_10m_1um:n_spillover,optical_10m_1um:n_between,optical_10m_1um:n_in_beam_neighbour_pairs,radio_100m_1p4ghz:n_spillover,radio_100m_1p4ghz:n_between,radio_100m_1p4ghz:n_in_beam_neighbour_pairs,radio_10m_8ghz:n_spillover,radio_10m_8ghz:n_between,radio_10m_8ghz:n_in_beam_neighbour_pairs,radio_10m_1p4ghz:n_spillover,radio_10m_1p4ghz:n_between,radio_10m_1p4ghz:n_in_beam_neighbour_pairs,overfilled_5deg:n_spillover,overfilled_5deg:n_between,overfilled_5deg:n_in_beam_neighbour_pairs
HIP47356,4264,1070866983346600704,144.7355837435319,69.28847160834184,96.03773448929448,True,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
HIP4752,20624,2581151065722419200,15.273548757261622,8.768977242446828,90.61607130679246,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HIP49563,4144,809754961983282048,151.78323788281446,45.05992665258683,98.49692391078092,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
HIP52193,5702,1073264021774300160,159.94572293320215,70.14088948824084,98.29091047090888,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP52796,4026,1076970406751899008,161.90900262984917,71.6557222491935,96.88270074525911,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP53248,4115,1077122890975062272,163.36302302578983,72.40520472429684,92.64067587952337,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP5469,18855,308181289516208128,17.504623931817914,28.70244449769972,92.86047589398822,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP5728,369,401012338992091520,18.417527699222717,46.65801509337742,99.7073511814636,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP64856,7623,1686246049225781760,199.40273215600226,71.24627379239122,97.20167426322696,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP66192,6138,1560420854826285056,203.50993590074637,53.728176617478496,92.04449044325379,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP66774,7667,1662033325714214912,205.290273786373,59.0679588578558,96.32920531559724,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP67005,5957,1559292485314843136,205.97810999022136,52.064389143767265,92.69338303514549,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
