name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by,gaia_idx,match_by
1934-638_B2,,,,,,,,,unresolved,-1,none
1934-638_B3,,,,,,,,,unresolved,-1,none
1934-638_B4,,,,,,,,,unresolved,-1,none
1934-638_B5,,,,,,,,,unresolved,-1,none
1934-638_B6,,,,,,,,,unresolved,-1,none
1934-638_B7,,,,,,,,,unresolved,-1,none
1934-638_B8,,,,,,,,,unresolved,-1,none
1934-638_B9,,,,,,,,,unresolved,-1,none
1934-638_R,,,,,,,,,unresolved,-1,none
1934-638_S,,,,,,,,,unresolved,-1,none
2155-152,,,,,,,,,unresolved,-1,none
2155-152_R,,,,,,,,,unresolved,-1,none
2155-152_S,,,,,,,,,unresolved,-1,none
2MASS08173001-_R,,,,,,,,,unresolved,-1,none
2MASS08173001-_S,,,,,,,,,unresolved,-1,none
2MASSJ154043.4_R,,,,,,,,,unresolved,-1,none
2MASSJ154043.4_S,,,,,,,,,unresolved,-1,none
3C123,,,,,,,,,unresolved,-1,none
3C147,,,,,,,,,unresolved,-1,none
3C161,,,,,,,,,unresolved,-1,none
3C196,,,,,,,,,unresolved,-1,none
3C286,,,,,,,,,unresolved,-1,none
3C295,,,,,,,,,unresolved,-1,none
3C353,,,,,,,,,unresolved,-1,none
3C48,,,,,,,,,unresolved,-1,none
AGC182595,LEDA 4087020,132.800475,27.880042,,,,409.0,,simbad_position,-1,none
ALPHACEN,,,,,,,,,unresolved,-1,none
ALPHACEN_R,,,,,,,,,unresolved,-1,none
ALPHACEN_S,,,,,,,,,unresolved,-1,none
AND_I,,,,,,,,,unresolved,-1,none
AND_II,,,,,,,,,unresolved,-1,none
AND_III,,,,,,,,,unresolved,-1,none
AND_X,,,,,,,,,unresolved,-1,none
AND_XI,,,,,,,,,unresolved,-1,none
AND_XIV,,,,,,,,,unresolved,-1,none
AND_XI_OFF,,,,,,,,,unresolved,-1,none
AND_XV,,,,,,,,,unresolved,-1,none
AND_XVI,,,,,,,,,unresolved,-1,none
AND_XVIII,,,,,,,,,unresolved,-1,none
AND_XVIII_OFF,,,,,,,,,unresolved,-1,none
AND_XVI_OFF,,,,,,,,,unresolved,-1,none
AND_XXI,,,,,,,,,unresolved,-1,none
AND_XXIII,,,,,,,,,unresolved,-1,none
AND_XXIV,,,,,,,,,unresolved,-1,none
AND_XXIV_OFF,,,,,,,,,unresolved,-1,none
AND_XXIX,,,,,,,,,unresolved,-1,none
AND_XXIX_OFF,,,,,,,,,unresolved,-1,none
AND_XXI_OFF,,,,,,,,,unresolved,-1,none
AND_XXV,,,,,,,,,unresolved,-1,none
AND_XXVI,,,,,,,,,unresolved,-1,none
AND_XXVIII,,,,,,,,,unresolved,-1,none
AND_XXVI_OFF,,,,,,,,,unresolved,-1,none
AND_XXV_OFF,,,,,,,,,unresolved,-1,none
AND_X_OFF,,,,,,,,,unresolved,-1,none
ANTLIA_R,,,,,,,,,unresolved,-1,none
ANTLIA_S,,,,,,,,,unresolved,-1,none
B0329+54,,,,,,,,,unresolved,-1,none
B0531+21,,,,,,,,,unresolved,-1,none
B1937+21,,,,,,,,,unresolved,-1,none
BD+18_487,,,,,,,,,unresolved,-1,none
BHIP_1,,,,,,,,,unresolved,-1,none
BHIP_19299,,,,,,,,,unresolved,-1,none
BHIP_4067,,,,,,,,,unresolved,-1,none
BHIP_43701,,,,,,,,,unresolved,-1,none
BHIP_46662,,,,,,,,,unresolved,-1,none
BHIP_61711,,,,,,,,,unresolved,-1,none
BHIP_88982,,,,,,,,,unresolved,-1,none
BHIP_93072,,,,,,,,,unresolved,-1,none
BHIP_96440,,,,,,,,,unresolved,-1,none
BHIP_9848,,,,,,,,,unresolved,-1,none
BIRDIE_001,,,,,,,,,unresolved,-1,none
BIRDIE_002,,,,,,,,,unresolved,-1,none
BIRDIE_OFF_001,,,,,,,,,unresolved,-1,none
BIRDIE_OFF_002,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_A00,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_B01,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_B02,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_B03,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_B04,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_B05,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_B06,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C01,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C02,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C03,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C04,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C05,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C06,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C07,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C08,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C09,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C10,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C11,,,,,,,,,unresolved,-1,none
BLGCSURVEY_CBAND_C12,,,,,,,,,unresolved,-1,none
BLGCSURVEY_J1744-1134,,,,,,,,,unresolved,-1,none
BOL520,,,,,,,,,unresolved,-1,none
BOL520_OFF,,,,,,,,,unresolved,-1,none
BOOTESI,,,,,,,,,unresolved,-1,none
BOOTESII,,,,,,,,,unresolved,-1,none
BOOTESIII,,,,,,,,,unresolved,-1,none
BORISOV,,,,,,,,,unresolved,-1,none
BTS76,,,,,,,,,unresolved,-1,none
CAL1_3C_48,,,,,,,,,unresolved,-1,none
CAL1_B0031_07,,,,,,,,,unresolved,-1,none
CAL1_S235,,,,,,,,,unresolved,-1,none
CAL2_B0950_08,,,,,,,,,unresolved,-1,none
CAL2_S231,,,,,,,,,unresolved,-1,none
CAL3_305.21,,,,,,,,,unresolved,-1,none
CAL3_3C_286,,,,,,,,,unresolved,-1,none
CAL3_B1133_16,,,,,,,,,unresolved,-1,none
CAL4_35.03,,,,,,,,,unresolved,-1,none
CAL4_3C_353,,,,,,,,,unresolved,-1,none
CAL4_B1642_03,,,,,,,,,unresolved,-1,none
CAL5_42.03,,,,,,,,,unresolved,-1,none
CAL5_B1929_10,,,,,,,,,unresolved,-1,none
CAL5_DR_21,,,,,,,,,unresolved,-1,none
CAL6_J2145_075,,,,,,,,,unresolved,-1,none
CAL6_NGC_7027,,,,,,,,,unresolved,-1,none
CAL6_NGC_7538,,,,,,,,,unresolved,-1,none
CAS_DSPH,,,,,,,,,unresolved,-1,none
CAS_DSPH_OFF,,,,,,,,,unresolved,-1,none
CGCG_189-050,,,,,,,,,unresolved,-1,none
CIRCINUS_R,,,,,,,,,unresolved,-1,none
CIRCINUS_S,,,,,,,,,unresolved,-1,none
COMAI,,,,,,,,,unresolved,-1,none
COMAI_OFF,,,,,,,,,unresolved,-1,none
CVNI,,,,,,,,,unresolved,-1,none
CVNII,,,,,,,,,unresolved,-1,none
DDO047,,,,,,,,,unresolved,-1,none
DDO064,,,,,,,,,unresolved,-1,none
DDO125,Z 216-4,186.92042,43.49556,,,,194.9,,simbad_position,-1,none
DDO181,Z 218-34,204.97396,40.74036,,,,202.8907922930165,,simbad_position,-1,none
DDO187,Z 133-19,213.9878474,23.0582975,,,,152.0,,simbad_position,-1,none
DDO190,Z 247-26,216.18004,44.52828,,,,150.0,1.4929213893228442e+18,simbad_gaia_id,-1,none
DDO210,MCG-02-53-003,311.71541666666667,-12.848333333333334,,,,-140.7,,simbad_position,-1,none
DDO210_OFF,,,,,,,,,unresolved,-1,none
DDO217,Z 533-8,352.493915,40.992218,,,,421.8106172804491,,simbad_position,-1,none
DEN0255-4700_R,,,,,,,,,unresolved,-1,none
DEN0255-4700_S,,,,,,,,,unresolved,-1,none
DEN1048_R,,,,,,,,,unresolved,-1,none
DEN1048_S,,,,,,,,,unresolved,-1,none
DIAG_3C123,,,,,,,,,unresolved,-1,none
DIAG_3C123_OFF,,,,,,,,,unresolved,-1,none
DIAG_3C309_1,,,,,,,,,unresolved,-1,none
DIAG_BIRDIE,,,,,,,,,unresolved,-1,none
DIAG_CIT3,,,,,,,,,unresolved,-1,none
DIAG_DIAG_PSR_J0826,,,,,,,,,unresolved,-1,none
