source_id,ra,dec,l,b,track,feh,feh_provenance,population,kinematic_method,v_tot_or_bound_kms,v_tot_err_kms,luminosity_class,M_G,bp_rp,phot_g_mean_mag,W1mag,W2mag,W3mag,W4mag,chi_W1,chi_W2,chi_W3,chi_W4,chi_w1_w2,chi_w1_w3,w1_w2_obs,w1_w2_locus,t_dust_k,t_dust_lo_k,t_dust_hi_k,tau,tau_lo,tau_hi,dust_fit_chi2,n_excess_bands,registration_arcsec,registration_arcsec_unpropagated,chance_superposition_p,ebv_sfd,verdict,reject_reason
425522613543492096,9.747504632832387,59.463773568319496,121.34861676233882,-3.3697034852032015,phot,-1.938599944114685,gaia_gspphot,thick_disk,uvw,124.38659924837937,5.027051276332878,giant,2.5928974227662707,1.9954166,14.540223,6.992,6.333,2.879,0.472,22.614925846009108,46.633887814881035,152.40046563426296,62.25674477188929,3.4739741748436366,4.162046483649897,0.6589999999999998,-0.0008690928983270396,439.07579774742055,,,32.42206138863388,,,2337.590004503967,4,2.0825858493498832,2.0712623052322754,5.8455359108755545e-08,,rejected,wise_quality
5853482044342018304,218.47137520875887,-62.392578293647674,314.4936542040939,-1.8430188962267688,halo,-0.5699999928474426,gaia_gspspec,unclassified,uvw,360.8935721889214,60.03591597248564,giant,-2.107690689218469,2.3343658,13.291125,6.84,5.341,2.749,1.28,18.566795244025506,21.271359940212946,100.30838550485593,40.85725881598227,5.528833524554787,4.118826384675187,1.4989999999999997,0.06581775905983589,554.1641150617858,,,14.914980189432589,,,344.7140526567946,4,0.10199121713065976,0.13733360240419554,4.520277929742633e-08,,rejected,wise_quality
2994058746137061376,90.90446350376172,-14.884202748274225,221.1958209636154,-17.175323463840186,phot,-1.7281999588012695,gaia_gspphot,unclassified,vtan_lower_bound,8.407560788744119,0.22937330540068787,dwarf,1.6954976102818602,0.17063332,10.841927,8.128,7.261,3.338,0.797,38.659710903202615,50.364000330241524,98.53029106581883,131.44782920493222,6.8686730255321145,20.0648396849247,0.867,-0.03447830863700008,204.95952554294684,,,0.5763096914539049,,,3972.8224960754887,4,0.5957060349986758,0.5853605433904124,2.101305554003119e-07,,rejected,wise_quality
2029230730076735488,299.92549619123156,28.53893213703802,65.80586653251915,-0.6647992683160887,spec,-1.4900000095367432,gaia_gspspec,thick_disk,uvw,180.51046839526856,24.558144086094114,giant,0.40816021935545166,3.381382,14.177721,6.567,5.175,3.351,2.127,12.482959178474331,17.265484106921615,96.63273841178955,50.672885932645244,4.6903548424836785,10.312991666459352,1.3920000000000003,-0.13660849272544162,410.01951569286814,,,13.845378155936988,,,374.0738038714844,4,0.049308765968925236,0.08336174337574791,3.6485564236521384e-08,,rejected,wise_quality
1989628623330891904,341.3126167356566,50.86480037320606,103.4914428730267,-7.181646246553572,spec,-2.0,gaia_gspspec,thick_disk,uvw,158.9056192391664,15.378807272088952,giant,-0.8404803629140787,3.3715992,13.039108,5.009,4.112,3.307,2.976,5.6728831840619485,8.139615903946222,94.61338791205557,18.826352299166587,2.6589086396140313,4.774072867218145,0.8970000000000002,-0.13261835671817224,1197.0476877307415,,,28.787483703464673,,,1.572453419214071,4,0.0835745036042304,0.07307000956849341,9.001540934860941e-08,,rejected,wise_quality
5870467991509442944,207.02431321138187,-59.944404672923206,309.97687582793304,2.1500782667386327,halo,-0.9520999789237976,gaia_gspphot,unclassified,uvw,280.76820021931104,65.55328646742296,giant,-1.2849625673616405,2.687481,13.722046,7.167,5.786,3.173,1.722,12.49769311432779,25.363530747354645,89.8891346926876,30.744817220857442,1.942500505616854,3.5029271530687884,1.3810000000000002,-0.024622208285959957,548.4446263377937,,,14.518538643710952,,,188.81195709323583,4,0.11963210583730097,0.15308089818022033,7.042113547850448e-08,,rejected,wise_quality
3016095089460559616,84.678291481177,-7.212178416372837,211.1441926396782,-19.435513765867494,phot,-3.650099992752075,gaia_gspphot,unclassified,vtan_lower_bound,4.1017520749895615,0.06550556038601786,dwarf,7.018495765077326,2.8927965,14.954881,7.402,6.115,3.442,1.296,21.497732490774318,29.838132773651594,88.92349816147717,72.34058235029171,1.9384407138411288,4.261068547125623,1.287,-0.031393368764095264,236.70218906805826,,,26.98072427031726,,,1330.7897768133334,4,0.050743082971561736,0.054978930543082775,8.64911797737733e-08,,rejected,wise_quality
2062497966197789824,302.9185779325054,40.74808160752375,77.43571134445345,3.8059848853054303,phot,-1.4076999425888062,gaia_gspphot,unclassified,vtan_lower_bound,139.15967561841708,19.25150901783612,dwarf,3.0108120260789697,1.4297905,16.215576,11.324,10.578,5.507,3.77,36.651406128067585,45.17802815842756,88.6601975120547,53.30316890418598,3.98560302547433,6.362988826638652,0.7460000000000004,-0.08036163892986892,324.32702606793055,,,5.817357936337772,,,1231.786536902935,4,0.9897176025739188,0.996370741510192,8.32804034966994e-06,,rejected,wise_quality
4063388951616538624,268.84061363912747,-28.192049475333185,1.7352526824119439,-1.4556789526539566,halo,,none,thick_disk,uvw,192.44700087391016,35.63424846591684,giant,0.7860208875072381,4.066017,14.164179,4.951,3.972,3.04,2.201,13.627670829317113,8.699374295623885,87.44477430335084,52.72937079787016,3.131211085627085,4.1141798991594865,0.9789999999999996,0.09524213452020192,592.4488793669125,,,,,,203.87726575166562,4,0.32686869164040766,0.2875775520019282,3.5502533801690106e-08,,rejected,wise_quality
511582389382312960,25.904412024632823,62.068003793914144,129.0011909207373,-0.18730003847576612,phot,-1.1619999408721924,gaia_gspphot,unclassified,vtan_lower_bound,30.55461899146002,1.3376981704599384,giant,3.1294144950685077,3.055684,15.463125,8.041,7.24,5.254,2.859,27.356185584124376,38.49045637337745,86.83412779160881,33.70829567105025,2.103848523331327,4.473321732050463,0.8010000000000002,-0.10851861452745482,707.883527304515,,,13.434443231815246,,,832.1069840514283,4,0.07537847927807573,0.06951604397147651,2.124294719019204e-07,,rejected,wise_quality
465567101904502272,40.47820129889432,60.72089753393527,136.03711901108292,0.6913742623724028,phot,-1.0910999774932861,gaia_gspphot,unclassified,vtan_lower_bound,14.370016023414253,1.379044857020869,giant,3.8311391973860296,1.1942062,16.079832,10.118,8.582,4.639,2.686,47.38719235172016,53.847735603622034,83.17632715208583,58.30075811981861,7.918507105931719,5.128948404322351,1.5359999999999996,-0.0791515281519386,411.3825903821901,,,17.34809043400223,,,1762.3522839014877,4,0.05146460974059164,0.052474529818534066,1.8603211988654778e-06,,rejected,ledger
4254886837376452736,282.53761012491975,-5.251171729459051,28.1098844126774,-2.106316190862953,halo,-3.571500062942505,gaia_gspphot,halo,vtan_lower_bound,208.4005019671724,35.22102478237752,giant,-0.7559437462742835,1.8455858,13.924745,6.019,4.709,3.039,1.999,11.410970935214037,12.435985625105662,81.83431783401845,36.19952449185725,6.043071242590529,1.9633949199836793,1.3100000000000005,-0.02675356033930454,700.5813762685113,,,31.61585588560705,,,125.08872064278876,4,0.10670689396625456,0.07774082250102442,2.951396138595186e-08,,rejected,wise_quality
3026836184200443392,111.83828174637547,-17.70862106702599,232.71823070608121,-0.36564020503685973,phot,-2.4946000576019287,gaia_gspphot,unclassified,vtan_lower_bound,31.798315893815463,3.254065502712921,dwarf,5.290688628445986,1.9470835,16.707617,10.307,9.329,6.702,4.493,44.56266819084697,55.364954616835526,81.78635958974286,34.10036373705447,5.412247681033177,3.3947506004108585,0.9779999999999998,-0.008140841974091373,589.2564819676344,,,9.757934654956893,,,1069.0083367240386,4,0.06768841081621228,0.0872096043174707,2.386571872348142e-06,,rejected,wise_quality
2031011320444598400,301.0430157920133,31.84709596924196,69.12345114015746,0.2681597286315683,halo,-0.2978000044822693,gaia_gspphot,halo,uvw,206.26317956000418,38.09071127723117,giant,0.14638202307431314,3.5490866,14.627049,7.514,6.497,4.221,2.961,19.784423015809146,39.05436076281907,81.48240021933574,62.82403174923112,5.5819253806140425,16.511016555951336,1.0170000000000003,-0.1642829223346789,571.4441196848908,,,14.063695135532274,,,535.981583946128,4,0.04052778787092876,0.05511273704651987,1.31365523348137e-07,,rejected,wise_quality
4319372300939799424,289.00590133555295,13.763325113479079,47.95402769569389,0.9127204659201978,halo,,none,thick_disk,uvw,190.11181223403932,34.719097534918916,giant,0.37563440248363733,3.6263561,14.365456,7.25,6.413,4.563,3.303,5.977214787648758,21.76596807782487,80.16009535034314,48.61152852125891,1.5954282993529239,4.900375689532773,0.8369999999999997,-0.13673685954495163,546.6274104270252,,,,,,379.53470424138686,4,0.1347723197723515,0.10772339076553517,1.2673796490059175e-07,,rejected,wise_quality
