source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,phot_variable_flag,phot_bp_mean_mag,phot_rp_mean_mag,n_within_outer,brightest_outer_dmag,brightest_inner_dmag,isolated
4755803787790353280,89.83207367193,-66.29161034694,-11.92,18.584,1.3616,106.1619,13.89792,0.800007,1.074,NOT_AVAILABLE,14.211852,13.411845,1,4.470894813537598,,True
4755803955282315264,89.98254352129,-66.28931150571,-1.071,11.351,0.8635,72.5157,13.963056,0.716556,0.96,NOT_AVAILABLE,14.241574,13.525019,3,3.644320487976074,,True
4755804646783806848,89.80302934263,-66.267324713,-22.473,-3.07,6.6782,167.4396,12.884788,1.625945,3.357,NOT_AVAILABLE,13.648798,12.022853,2,5.155867576599121,,True
4755804784222731392,89.70345175142,-66.26916999668,-1.596,5.38,0.9121,84.0238,13.503661,0.763748,1.006,NOT_AVAILABLE,13.806458,13.042709,1,5.375937461853027,,True
4755810694101692928,89.96792536634,-66.16875852801,0.64,-7.195,3.385,230.7894,14.006831,1.338867,0.967,VARIABLE,14.60763,13.268763,4,3.8555307388305664,,True
4755811175134094720,89.75199899714,-66.18759359327,-21.081,16.923,4.6685,400.7461,13.689309,1.466733,1.072,NOT_AVAILABLE,14.365945,12.899212,1,4.911067008972168,,True
4755812205926306304,89.98154281873,-66.15057446044,0.908,4.014,1.021,51.6493,14.963028,0.925594,0.933,NOT_AVAILABLE,15.345604,14.42001,0,,,True
4755812790042069888,89.99433632254,-66.10243753448,8.081,3.859,3.3358,303.8545,11.307858,0.762885,0.703,NOT_AVAILABLE,11.606635,10.84375,4,3.1464834213256836,,True
4755811759249841664,89.77752601501,-66.13859278632,9.814,7.074,2.4715,125.7336,14.93719,1.465219,0.983,VARIABLE,15.610819,14.145599,0,,,True
4755811759249867392,89.76857528339,-66.12967219412,-1.521,14.219,0.7294,55.0657,12.498073,1.272797,1.294,NOT_AVAILABLE,13.061819,11.789022,2,5.776190757751465,,True
5476378766085295872,90.16289929589,-66.31396749733,8.408,29.914,3.3424,228.3258,11.383997,0.682709,0.972,NOT_AVAILABLE,11.645269,10.962561,4,3.2535972595214844,6.757839202880859,True
5476381583590126336,90.07341213164,-66.31947718698,5.834,14.218,2.0651,126.3271,13.051968,0.887246,1.643,NOT_AVAILABLE,13.410028,12.522782,3,4.875732421875,,True
5476382648742011520,90.03154040881,-66.28427924861,-30.988,26.676,8.8381,836.1251,13.547078,1.888865,1.056,NOT_AVAILABLE,14.477751,12.588886,2,4.852099418640137,,True
5476394777729675520,90.07772378459,-66.22439692149,17.053,-27.626,5.322,462.6729,9.395949,0.604657,1.036,NOT_AVAILABLE,9.627664,9.023006,3,6.483573913574219,6.483573913574219,True
5476395086967308672,90.03009349173,-66.21223372918,3.389,-1.695,1.028,55.7237,14.966003,0.980661,0.995,VARIABLE,15.354023,14.373362,1,3.745515823364258,,True
5476395190046565248,90.16240170145,-66.18026549787,0.906,2.181,0.0989,5.1716,14.806982,1.180528,0.993,NOT_AVAILABLE,15.318403,14.137876,2,3.758455276489258,,True
5476395396205010816,90.22817979566,-66.18144447492,4.866,11.8,0.8775,42.2571,14.51699,0.812002,1.228,NOT_AVAILABLE,14.838577,14.026575,4,3.2943811416625977,,True
5476396323917918976,90.09469189649,-66.14957971345,2.699,0.975,1.653,87.0176,14.66194,1.079768,0.938,NOT_AVAILABLE,15.123381,14.043612,2,3.192972183227539,,True
5476396766296525184,90.24126045768,-66.1085140466,0.954,8.074,1.1424,92.337,13.544513,0.711747,0.991,NOT_AVAILABLE,13.82306,13.111313,2,4.376259803771973,,True
