source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,phot_variable_flag,phot_bp_mean_mag,phot_rp_mean_mag,n_within_outer,brightest_outer_dmag,brightest_inner_dmag,isolated
4659715370698582784,89.85211783678,-66.6523651849,-3.293,7.779,0.9493,54.7426,14.762691,0.849263,0.983,NOT_AVAILABLE,15.103044,14.25378,3,3.8490076065063477,,True
4659715851734938880,89.88616690476,-66.61683249219,-3.33,5.921,1.7844,101.0026,13.582202,0.952064,1.558,NOT_AVAILABLE,13.967806,13.015742,0,,,True
4659721555451851648,89.92586037645,-66.60488694238,4.411,55.523,3.2441,296.2665,10.771226,0.77616,0.857,NOT_AVAILABLE,11.079219,10.303059,5,6.569811820983887,,True
4659722036488208640,89.96955802938,-66.56450650934,-5.883,2.886,1.165,92.3196,13.733415,0.780758,1.019,NOT_AVAILABLE,14.039962,13.259204,0,,,True
4659722345725838208,89.90094277296,-66.53735687456,-0.736,11.839,1.9757,168.4424,12.476902,0.769383,1.153,NOT_AVAILABLE,12.779799,12.010416,1,6.103944778442383,6.103944778442383,True
4659722380076746112,89.83723913825,-66.53219597235,-9.034,-6.654,1.2386,91.6956,11.547759,1.242067,1.003,NOT_AVAILABLE,12.085141,10.843074,6,4.967890739440918,6.5999555587768555,True
4659722998560820736,89.73341603116,-66.53434993521,4.703,8.657,0.906,51.6013,14.762909,0.900854,1.042,NOT_AVAILABLE,15.128807,14.227953,3,3.526561737060547,,True
4659724063712753408,89.85817013729,-66.48093264336,-0.154,9.644,0.6836,48.4144,14.341866,0.682797,0.952,NOT_AVAILABLE,14.606245,13.923448,1,3.719432830810547,,True
4659724785267247104,89.80951304788,-66.47766412466,-8.456,19.909,1.1546,79.4286,14.406306,0.83225,0.941,NOT_AVAILABLE,14.741404,13.909154,2,4.388819694519043,,True
5284205093006429312,90.24175230316,-66.6567179272,-2.494,5.661,0.5598,34.5061,14.463363,1.12149,0.999,NOT_AVAILABLE,14.94105,13.819559,3,3.8185739517211914,,True
5284205642759888384,90.05971155294,-66.65557527289,-1.09,-4.096,0.6841,38.6119,14.857217,0.813214,0.93,NOT_AVAILABLE,15.175877,14.362662,2,3.702670097351074,,True
5284205814558596864,90.10726162053,-66.62607714631,4.644,0.42,1.1495,87.1172,13.772147,0.744098,0.922,NOT_AVAILABLE,14.064242,13.320145,3,4.843415260314941,,True
5284205814558601344,90.12398877254,-66.62120822089,-23.783,17.653,2.268,209.862,12.714764,0.79885,0.981,NOT_AVAILABLE,13.030831,12.231981,1,6.046388626098633,6.046388626098633,True
5284206639192367104,90.27184747271,-66.56309496605,-11.251,10.158,1.9236,138.7088,14.172116,0.985539,1.023,VARIABLE,14.58257,13.597031,2,3.884100914001465,,True
5284206639192376064,90.30233099491,-66.56143954787,2.483,31.284,2.0448,53.6218,13.225039,0.907051,3.844,NOT_AVAILABLE,13.584708,12.677657,1,5.211313247680664,,True
5284218802540365568,90.03204328107,-66.57114114624,1.777,11.967,0.8949,82.9412,13.057183,0.723752,0.842,NOT_AVAILABLE,13.338716,12.614964,1,5.8842573165893555,,True
5284219558454669696,90.28006962764,-66.49665822434,0.839,2.283,0.6354,16.8695,14.399898,0.744456,2.903,NOT_AVAILABLE,14.688115,13.943659,0,,,True
5284222268564573440,90.14652221341,-66.49423225562,5.427,7.003,2.0139,202.2805,11.991348,0.600079,0.973,NOT_AVAILABLE,12.215051,11.614972,6,3.172682762145996,,True
5284222410312907392,90.05879983045,-66.49498175868,-10.638,19.504,4.2102,384.7617,13.550711,1.638842,0.998,VARIABLE,14.328325,12.689484,2,4.927700042724609,,True
