source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,phot_variable_flag,phot_bp_mean_mag,phot_rp_mean_mag,n_within_outer,brightest_outer_dmag,brightest_inner_dmag,isolated
2257794217939783040,271.1451842136,66.49927475698,-21.249,-33.385,5.4272,436.3882,13.010772,1.328596,1.004,NOT_AVAILABLE,13.605797,12.277201,0,,,True
2257795042573499264,271.01464920589,66.44167165307,-1.483,-6.914,1.3762,96.2744,12.442914,0.65329,1.204,NOT_AVAILABLE,12.691721,12.038431,0,,,True
2257795214372186112,270.95737959056,66.44540945758,-5.409,-11.349,1.0003,70.9457,13.939205,0.675027,1.042,NOT_AVAILABLE,14.199696,13.524669,0,,,True
2257795248731921664,270.9005900213,66.44041958896,0.194,-5.88,1.552,14.6224,12.017429,0.470094,8.493,NOT_AVAILABLE,12.183951,11.713858,0,,,True
2257795832847461760,270.74315684546,66.45442506166,5.747,39.448,5.6369,286.981,14.955809,2.203707,1.027,VARIABLE,16.096327,13.89262,0,,,True
2257796279524502656,270.78997004943,66.46980640546,-3.327,-39.642,2.7795,235.811,9.709831,1.203212,1.102,NOT_AVAILABLE,10.235307,9.032095,0,,,True
2257796691840939264,271.01905192259,66.48332895664,1.826,-13.886,2.0921,171.2865,13.675394,1.02895,0.992,NOT_AVAILABLE,14.113014,13.084064,0,,,True
2257796897999362304,270.9063085581,66.48412711687,-25.827,21.119,2.969,41.6435,12.861966,0.975161,6.576,NOT_AVAILABLE,13.132137,12.156977,0,,,True
2257796932355531136,270.89099760989,66.50115241196,0.961,-21.465,2.3011,176.8607,11.819392,0.802533,1.123,NOT_AVAILABLE,12.138057,11.335524,0,,,True
2257796996779755904,270.94679508042,66.51741132967,-4.787,-13.4,1.3417,95.6435,14.147588,0.859457,0.977,NOT_AVAILABLE,14.494423,13.634966,0,,,True
2257797241596753280,271.04397622106,66.51795139892,-6.598,-2.393,0.5803,29.5979,14.873067,0.800539,1.018,NOT_AVAILABLE,15.186573,14.386034,0,,,True
2257797310316224896,270.98234858698,66.54068820234,10.296,-4.546,1.2045,116.6549,13.125774,1.007571,1.039,NOT_AVAILABLE,13.545986,12.538415,0,,,True
2257797718334261504,270.81028163062,66.51822310886,-9.773,10.064,1.3207,97.2606,14.153175,0.900814,0.99,NOT_AVAILABLE,14.519952,13.619138,0,,,True
2257797928791500672,270.76501044254,66.52407388627,-6.702,-8.758,1.293,68.8298,14.909088,0.958579,0.984,NOT_AVAILABLE,15.30335,14.344771,1,3.167509078979492,,True
2257798031870713984,270.74562992031,66.54401710807,-10.552,-4.173,1.7525,15.1674,11.851153,0.982967,10.386,NOT_AVAILABLE,12.258239,11.275271,0,,,True
2257798100590189952,270.75173337648,66.56751383031,-15.063,-5.401,1.8608,72.7309,13.511448,0.836855,2.565,NOT_AVAILABLE,13.849323,13.012468,0,,,True
2257798238029149824,270.84095526726,66.56904141475,-1.733,1.168,0.2903,22.8814,12.797548,1.365032,1.132,NOT_AVAILABLE,13.413581,12.048549,0,,,True
2257798272388887936,270.83212640905,66.55523027707,-10.596,-54.041,5.2622,384.5134,14.125082,1.632318,1.045,NOT_AVAILABLE,14.899653,13.267335,0,,,True
2257801600984699776,270.61915197088,66.43714230489,-3.507,-1.333,0.5573,43.7806,13.911914,0.611175,0.932,NOT_AVAILABLE,14.141696,13.530521,0,,,True
