source_id,ra_deg,dec_deg,sample,class,glat_deg,ecl_lat_deg,poss1_e,epoch_poss1,gaia_g,ps1_r,w1,w2,w3,w4,w3_lim,w4_lim,2mass_j,2mass_ks,wise_ccf,wise_id,allwise_sep_arcsec,n_ir_neighbours,bright_nb_gmag,bright_nb_sep_arcsec,pm_recovered,pm_total_mas_yr,n_ir_bands,tdust_fit_k,eta_max,eta_lo,eta_hi,budget_verdict,ftk_class,vet_flags,p_chance_match,modern_depth_mag,modern_depth_cats,modern_depth_margin_mag,class_reason
VASCO-VO-0198756,42.811742,3.351645,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-48.00003363496808,-12.487351629570872,15.87,1966.1,,,,,,,,,13.763,13.011,,,,0,16.411451,5.501014,False,84.57554077273169,3.0,80.0,0.6001553595153933,0.09481627715971493,0.6001553595153933,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",7.33,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0063494,42.970756,2.69942,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-48.37920995664869,-13.157223257232031,17.79,1966.1,,,14.162,13.823,10.418,8.575,,,,,0000,J025152.71+024156.6,4.143938,0,19.090662,41.826875,False,0.0,4.0,250.0,0.5421553304524342,0.08565307176012374,0.5421553304524342,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",5.41,"4 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0012588,45.000162,1.36405,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.94688663333902,-15.031581856339676,17.54,1975.2,,,14.458,14.231,10.257,,,7.889,,,0000,J025959.92+012154.1,3.914227,0,,,False,,3.0,250.0,0.5180934013897722,0.08185161852167398,0.5180934013897722,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",5.66,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0098304,47.830417,2.567992,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.083108038678155,-14.679578992970344,19.26,1980.0,,,15.173,14.8,,,11.888,8.677,16.438,,0000,J031119.28+023403.9,0.857503,0,17.242607,23.021461,False,0.0,3.0,1400.0,0.5141814273248525,0.0812335805231788,0.5141814273248525,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.9399999999999977,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0228029,44.507795,5.110459,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.56165882915141,-11.303736564273212,,1971.3,,,16.854,16.465,12.334,,,9.015,,,0000,J025801.60+050634.7,4.901146,0,16.81572,51.527514,False,0.30847528264027896,3.0,180.0,0.47625389776857313,0.004420458329773714,0.47625389776857313,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.620000000000001,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0276398,41.382756,5.895125,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-46.96992976118889,-9.633290321170147,19.28,1973.8,,,15.909,15.483,11.984,,,9.074,,,0000,J024531.52+055342.1,4.992978,0,18.314886,57.864794,False,0.0,3.0,350.0,0.47300014631810744,0.07472750556805298,0.47300014631810744,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.919999999999998,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0387596,52.873334,6.897756,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-38.45763076534544,-11.809931902667868,19.14,1973.3,,,13.786,13.821,,,12.123,9.032,,,0000,J033129.55+065356.8,4.953753,0,15.726241,5.139192,False,1.5553841969108468,2.0,,0.4135453605836521,0.06533446865970725,0.4135453605836521,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",4.059999999999999,"2 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0373372,51.080412,6.124131,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-40.28320822266746,-12.112750669554108,,1979.1,,,16.448,15.691,11.968,,,8.39,,,0000,J032419.11+060723.0,4.747701,0,17.930496,57.879815,False,0.0,3.0,350.0,0.40142599535303647,0.0037259262197331436,0.40142599535303647,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.379999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0360737,44.506856,8.69115,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-42.84663571279625,-7.874216122398025,,1950.0,,,15.616,15.409,12.158,,,8.703,,,0000,J025801.79+084130.6,3.364934,0,13.360418,6.545342,False,11.709801450067376,3.0,250.0,0.38335094095269956,0.0035581585118793207,0.38335094095269956,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.3099999999999987,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0053220,44.040431,2.292348,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.95074420163607,-13.86305260927765,17.27,1967.7,,,,,,,,,15.737,15.021,,,,0,14.215891,54.670354,False,115.87446866329095,3.0,80.0,0.3564085350915205,0.056307637530076615,0.3564085350915205,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",5.93,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
