n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
482,0.5467785916440218,34,0.07053941908713693,1.9892842138341593,0.22762159903647028,0.05110108884944017,0.8340267261752176,5,0.0,0.5250213858639979,526215300006033,192.2524293,13.8617505,,,,unknown,0.00835577513904355,2.4501945276751775,0.059193713111990696,0.10358899794598371,False,False,False,1.0,True
485,0.5210077132423832,25,0.05154639175257732,2.1225344295639097,0.10494920524198027,0.03811145482685716,0.8061056969024708,4,0.0032709774744355694,0.35479019287513813,526215300006001,192.2523645,13.8661467,,,,unknown,0.006205982096499286,1.7123018663213125,0.0439642184818749,0.07693738234328107,False,False,False,1.0,True
453,0.2537087872920155,40,0.08830022075055188,0.9759430014193472,0.10024816691329792,0.05687385181491221,0.7581375827549368,6,0.014933420566863186,0.2537087872920155,526216400018390,191.201909,13.9195667,,,,unknown,0.012911893940032114,3.1947513328196426,0.09146928772264099,0.1756513601401931,False,False,False,0.0,
488,0.28748948156373577,18,0.036885245901639344,0.9253046345858518,0.1368334586959794,0.04749196958756017,0.745752409123732,4,0.0,0.28748948156373577,526215300005954,192.8723533,13.8759188,,,,unknown,0.004285975359703281,1.1812528803385685,0.030362568597840152,0.05313449504622026,False,False,False,0.7333333333333333,
432,0.2284004601085814,21,0.04861111111111111,1.1984391882280296,0.9977156001192057,0.09059819133442513,0.7274344057169034,4,0.005764162725483625,0.2030294379899361,526216400006873,191.3993249,13.7692105,,,,unknown,0.0067590515478079165,2.0091343456612996,0.04793853958237322,0.08389244426915313,False,False,False,0.88,
487,0.4794758735417164,29,0.059548254620123205,1.2293890435556345,0.176387423775459,0.038971209742507486,0.7216275967918979,3,0.0034814609662293106,0.27781034348259115,526215300006275,192.2193694,13.8341982,,,,unknown,0.008544665549935038,2.191510515252194,0.06053184447692791,0.10593072783462383,False,False,False,0.6666666666666666,
484,0.24472545487346242,26,0.05371900826446281,0.7421318288318639,0.11863474624504491,0.05571387406643174,0.7132858377800705,3,0.0,0.24472545487346242,526215300006112,192.42867415,13.8551895,,,,unknown,0.004358732972205103,1.3883378945796065,0.030877747462336968,0.05403605805908969,False,False,False,0.9310344827586207,
505,0.2587429310726125,20,0.039603960396039604,1.0790344330474173,1.953207821607242,0.042577221411385896,0.7082080033748044,3,0.0,0.19392901638913607,526216300006361,190.788085,13.8948527,,,,unknown,0.007323809576794403,2.0762998421492127,0.051753921566500466,0.0905693627413758,False,False,False,0.875,
488,0.7735860153021767,10,0.020491803278688523,2.082535403566851,0.4993295567265468,0.028989828066958406,0.705718606541398,1,0.006845523084175207,0.7735860153021767,526215300018064,192.8726661,13.8952117,,,,unknown,0.011720472711306777,2.2715458134367497,0.08302979528113807,0.14530214174199163,False,False,False,1.0,True
438,0.19115275237267149,59,0.13470319634703196,1.0384126794931081,0.11241506046032307,0.05311880817602907,0.698659370109111,9,0.029218662306351836,0.19115275237267149,526216400034471,191.74236424999998,13.7841859,,,,unknown,0.002672067132157673,0.7200664038086958,0.019013757614210154,0.033274075824867765,False,False,False,0.9761904761904762,
489,0.2562763363531333,18,0.03680981595092025,1.0532793992085139,0.46680258852355416,0.045285094361432764,0.689611235644081,2,0.0,0.2562763363531333,526216300007560,190.8965156,13.7702982,,,,unknown,0.008663277045365729,2.7061232114721214,0.06136258914011033,0.10738453099519306,False,False,False,0.8611111111111112,
512,0.413587839153963,22,0.04296875,1.4177047429460046,0.15826690547639743,0.03667300412436159,0.6895837066382757,2,0.008158892233725354,0.413587839153963,526216300006589,190.9881208,13.87161245,,,,unknown,0.012530227345589416,3.05591889646559,0.08854522997277249,0.15942766416959903,False,False,False,1.0,
444,0.24370605392875755,16,0.036036036036036036,1.015655693451158,0.17437417723798007,0.04588629948109503,0.687173451762741,2,0.0,0.20527201908219472,526216400006657,191.2252604,13.79044215,,,,unknown,0.007712877284419802,1.9592185656851262,0.0546493841786831,0.09563642231269541,False,False,False,0.9047619047619048,
433,0.20693556931759727,18,0.04157043879907621,0.9536539538896623,0.598059759073403,0.04352485626335107,0.6869425431209947,2,0.0,0.2047046704925004,526216400006858,191.7504749,13.7742412,,,,unknown,0.008524025766772638,2.6750342314454514,0.060526120469780745,0.15056356796497342,False,False,False,0.9545454545454546,
453,0.3994761337222196,16,0.03532008830022075,0.7751104648260546,0.31858124272621646,0.046813526270525554,0.6859559421188424,2,0.0,0.235568962510311,526215300006420,192.7717263,13.8198506,,,,unknown,-0.0018590059848982033,0.512732876945037,-0.013169510322190638,0.0,False,False,False,0.9803921568627451,
506,0.1444209928427257,40,0.07905138339920949,1.055930778094213,0.16495596673363036,0.04186937595253941,0.6848159510100693,7,0.0,0.1444209928427257,526216300007460,191.0102409,13.782827,,,,unknown,0.011259297399902713,2.9041165992022537,0.07965856542559417,0.13940248949478978,False,False,False,0.6666666666666666,
429,0.33136930189288616,12,0.027972027972027972,0.9007394895401496,0.14784695832086028,0.05248356268121698,0.684254931195635,2,0.0,0.33136930189288616,526216400005582,191.3231708,13.9150699,,,,unknown,0.005389836909004687,1.1019095308034834,0.03818250903153932,0.0668193908051938,False,False,False,0.9523809523809523,
448,0.21114634880140903,17,0.03794642857142857,0.9234199474250921,0.9950831049100863,0.05501602214121618,0.6834951933576352,2,0.0,0.20207432439495054,526216400004835,191.33089725000002,13.9995562,,,,unknown,0.008644490376113341,2.4207938877135398,0.061239020295319926,0.151811142659667,False,False,False,0.95,
482,0.3999574057991555,56,0.11618257261410789,0.7975149585799881,0.4985751399895128,0.09089867478838458,0.6831443365996327,10,0.03652868698795062,0.2966534524822809,526215300030948,192.2608926,13.8875397,,,,unknown,0.005774833885880509,1.301336755829216,0.040909892214900066,0.11623516851893223,False,False,False,0.9411764705882353,
445,0.24030327184234435,13,0.029213483146067417,0.92721256392408,0.6216340288631451,0.05679380044746506,0.6829618598657605,2,0.0,0.24030327184234435,526216400005186,191.3269766,13.9605663,,,,unknown,0.0028939311679275718,0.8151350645649988,0.02050109397029096,0.035876914448009174,False,False,False,0.9714285714285714,
449,0.27889426092607716,19,0.042316258351893093,0.9432526835617021,0.499556327151343,0.05885287011814051,0.6823441389645579,2,0.0,0.21182613142317908,526216400005382,191.1376346,13.9347356,,,,unknown,0.007041626735077192,2.486525864999112,0.04988406531552435,0.0872971143021676,False,False,False,0.7777777777777778,
450,0.5156297555114752,15,0.03333333333333333,0.9135041611294297,0.9974140387819068,0.060264620180741135,0.6819206139457777,2,0.0,0.28317032460122993,526215300012690,192.2551881,13.87526455,,,,unknown,0.003503417326180141,0.873711853252728,0.024818796181873166,0.043432893318278036,False,False,False,0.9905660377358491,
448,0.20230975696797093,13,0.029017857142857144,0.7509715640306057,0.28872165441343495,0.053327070360506566,0.6763624154507455,2,0.0,0.19662964848186648,526216400006431,191.82405605000002,13.82190335,,,,unknown,0.012220417284328482,4.298276528193616,0.08657079045587303,0.3000038626961242,False,False,False,1.0,
503,0.24906517055865662,20,0.039761431411530816,0.9998396176820817,0.3830018773775053,0.04248311394479895,0.6712177537751018,2,0.0,0.1929247152758271,526216300007472,190.9444855,13.7812621,,,,unknown,0.0038439295064636816,1.3439420353969216,0.02718448492130224,0.047572848612278916,False,False,False,1.0,
467,0.27359338235840647,58,0.12419700214132762,0.9381246522187013,0.49923512980183943,0.07290778894912965,0.6694803074738553,8,0.042882451947135226,0.2714015684558082,526215300006752,192.8958177,13.7838615,,,,unknown,-0.0017327796742774824,0.4069390380971504,-0.012330024320510957,0.0,False,False,False,0.989247311827957,
460,0.2778486158470438,52,0.11304347826086956,0.7214449121078124,0.9974140387819068,0.06711913557998268,0.6682322778913404,6,0.04387732714488826,0.2778486158470438,526215300006655,192.3737675,13.7914686,,,,unknown,-0.003298491173864369,0.7983260309020741,-0.023394532292284193,0.0,False,False,False,0.9849624060150376,
439,0.3033601914637194,18,0.04100227790432802,1.1680982762108005,0.15027067897993693,0.05303704782265561,0.6641747822258514,1,0.0,0.3033601914637194,526216400017930,191.3448229,13.9926746,,,,unknown,0.004386461962073905,1.286372499924334,0.03107443254981891,0.054380256962183085,False,False,False,0.9347826086956522,
449,0.22889556672714895,84,0.1870824053452116,0.9390169555374575,0.13667052967337354,0.07503696312822532,0.6635971569048332,17,0.03391629900461401,0.22889556672714895,526216400005367,191.2323642,13.937407,,,,unknown,0.005698966600927656,1.3964627182264138,0.04037243563841794,0.07065176236723139,False,False,False,0.971830985915493,
503,0.2841433363564132,21,0.041749502982107355,1.0226498077100237,0.16256683156008345,0.03871251196348654,0.6597452348735554,1,0.0,0.26538797688449944,526216300007506,190.9425569,13.7778511,,,,unknown,0.006679851878340321,1.543707349360927,0.04731385181161401,0.0827992406703245,False,False,False,0.8214285714285714,
435,0.5711724330201853,7,0.016091954022988506,1.0492174839130848,0.13758222686238358,0.04516135818450566,0.6594046415794333,1,0.0,0.3297094509187892,526215300006232,192.2407625,13.83949,,,,unknown,0.007523749726619983,1.6140193475028108,0.05330932596385103,0.0932913204367393,False,False,False,0.9719626168224299,
477,0.2766876906436374,14,0.029350104821802937,0.8795149329589661,0.2025173288835126,0.0388211263757085,0.6583536620872875,1,0.0,0.20969629854381922,526216300007549,191.0247126,13.7728693,,,,unknown,0.000703200223371845,0.22225649088287974,0.004927872291340524,0.008623776509845917,False,False,False,0.9661016949152542,
405,0.21334610744292437,20,0.04938271604938271,0.9286163824783498,0.22175181052597695,0.07003875865413083,0.6577241940782668,2,0.007088059441831341,0.21334610744292437,526215400004627,193.2970087,13.8122307,,,,unknown,0.012583637810174273,2.076759050937385,0.08926483539540753,0.15621346194196317,False,False,False,0.6666666666666666,
490,0.24403387345209915,14,0.02857142857142857,0.7409156638940201,0.2120820789334967,0.041760845401508394,0.6574717463795475,1,0.0,0.20393029655359018,526216300014133,190.7491138,13.8415484,,,,unknown,0.008687774750411242,2.3442271166669535,0.06139242266003944,0.107436739655069,False,False,False,0.9387755102040817,
501,0.2817634201635085,10,0.01996007984031936,0.8183795597449808,0.14648839656153365,0.04299656667953129,0.6571010299961406,1,0.0,0.22936416514966085,526216300006216,190.8323681,13.9101277,,,,unknown,0.0055110550691461115,1.7085911043323834,0.03894403708979167,0.0681520649071354,False,False,False,0.9090909090909091,
429,0.3544160570767898,14,0.03263403263403263,0.9544806571433264,0.23896620998271742,0.044997186550647744,0.6565008440348057,1,0.0,0.2494425847390742,526216400018016,191.218033,13.9766,,,,unknown,0.0022524340769455318,0.5148464552262648,0.015956492642929785,0.07256671926798425,False,False,False,0.9863013698630136,
424,0.3438580333421929,13,0.030660377358490566,0.7323640603304342,0.22768834678556535,0.04524218035828192,0.6564273458925155,1,0.0,0.21286254912245106,526216400013496,191.22539265,13.7929332,,,,unknown,0.0031048019074202625,0.9517841968263784,0.02199899025750956,0.038498232950641725,False,False,False,0.9857142857142858,
508,0.1997822876558124,15,0.02952755905511811,0.8109638295520157,0.23784666810031185,0.045178762243449334,0.6559528900134733,1,0.0,0.1997822876558124,526216300006074,190.9217059,13.9245733,,,,unknown,0.006640045543157798,1.6789911263892017,0.04692208237191674,0.08211364415085429,False,False,False,0.7857142857142857,
