series,platenum,mosnum,expnum,exptime_min
ai,14739,0,0,46.0
ai,11600,0,0,60.0
kb,624,-1,0,61.0
bi,2231,0,0,45.0
ai,30194,4,0,45.0
ee,2058,-1,0,35.0
ai,9011,0,0,60.0
ai,24352,3,0,72.0
ai,13756,0,0,60.0
fa,3482,0,0,52.0
bi,2281,3,0,45.0
ir,1635,0,0,20.0
ai,38894,1,0,50.0
ka,3112,-1,0,59.0
ac,26039,0,0,60.0
fa,5972,0,0,22.0
ac,21275,-1,0,66.0
ai,9939,0,0,60.0
ai,11919,0,0,60.0
ai,24103,1,0,109.0
ai,25716,1,0,73.0
fa,2217,0,0,59.0
ai,19014,0,0,59.0
ac,24524,0,0,60.0
dnb,3217,0,0,35.42
ai,448,0,0,76.0
ai,2361,-1,0,61.0
ai,17502,0,0,66.0
fa,10264,0,0,48.0
fa,342,0,0,41.0
fa,4446,1,0,67.0
ai,30882,2,0,50.0
ai,25378,-1,0,83.0
ac,34920,0,0,62.0
fa,9283,0,0,54.0
ai,28402,0,0,68.0
ai,6328,0,0,60.0
ac,38473,1,0,125.0
ee,1998,-1,0,34.0
ai,39433,0,0,54.0
dnb,29,-1,0,50.0
ai,11659,0,0,60.0
ai,5249,0,0,67.0
ac,39664,0,0,73.0
ai,18971,0,0,92.0
kb,1992,-1,0,58.0
ai,29382,-1,0,69.0
ai,1454,0,0,66.0
ee,1976,0,0,52.0
ai,6002,0,0,72.0
ac,12406,0,0,60.0
ai,26405,-1,0,44.0
fa,4532,0,0,57.0
ka,171,-1,0,37.0
ai,14971,0,0,62.0
rl,5006,0,0,13.0
kb,2256,-1,0,59.0
fa,8403,0,0,58.0
ay,629,2,0,57.0
ai,34068,-1,0,60.0
ai,19657,1,0,56.0
ac,42051,0,0,116.0
h,5543,-1,0,15.0
ai,43341,0,0,59.0
fa,8439,0,0,59.0
ai,20662,1,0,62.0
fa,4900,2,0,36.0
ai,14815,0,0,60.0
ai,18716,1,0,70.0
ac,40235,0,0,140.0
ai,19486,1,0,54.0
kd,300,0,0,27.0
rh,14529,0,0,118.0
ac,405,-1,0,50.0
ka,953,-1,0,73.0
fa,3060,0,0,81.0
ai,35587,1,0,120.0
ai,35764,0,0,119.0
bi,242,1,0,45.0
ac,14365,0,0,62.0
rl,4944,0,0,14.0
ai,22955,0,0,63.0
ka,155,-1,0,22.67
ac,33569,0,0,60.0
fa,5723,0,0,59.0
fa,1053,-1,0,60.0
fa,10860,-1,0,34.0
ai,1178,0,0,90.0
bi,161,1,0,45.0
ai,23016,-1,0,89.0
ai,25487,-1,0,128.0
fa,1115,1,0,59.0
ai,35791,0,0,77.0
fa,2995,0,0,59.0
ai,38956,0,0,120.0
ai,34756,2,0,121.0
ee,2169,0,0,46.0
ir,4060,0,0,4.0
ai,12602,0,0,65.0
i,41346,0,0,11.0
fa,12877,0,0,26.0
fa,6725,1,0,59.0
ai,26367,0,0,67.0
ai,2937,0,0,63.0
ai,32116,1,0,35.0
ai,39171,1,0,60.0
ac,20412,-1,0,58.0
fa,3497,0,0,60.0
ai,8177,0,0,60.0
ay,1678,0,0,74.0
ai,6822,0,0,60.0
fa,4438,0,0,59.0
i,38407,-1,0,60.0
fa,1069,1,0,59.0
ac,26808,0,0,122.0
ai,36510,1,0,122.0
fa,372,0,0,54.0
ai,21147,0,0,58.0
ai,28324,0,0,70.0
fa,10273,-1,0,53.0
ac,30548,0,0,60.0
md,36457,-1,0,45.0
ma,8397,0,0,3.0
ac,17605,0,0,64.0
ai,8375,0,0,62.0
ac,18169,0,0,79.0
ai,7922,0,0,60.0
fa,10431,0,0,69.0
fa,5553,1,0,69.0
ai,15091,0,0,77.0
i,43585,0,0,7.0
ac,39751,-1,0,152.0
ac,6823,-1,0,64.0
ai,39573,0,0,117.0
ma,8377,0,0,2.0
mf,780,-1,0,12.0
ai,1657,1,0,146.0
kd,185,1,0,57.0
ai,36511,0,0,111.0
ac,20257,0,0,64.0
ac,2635,0,0,130.0
ac,25317,0,0,66.0
ai,15658,1,0,58.0
ai,36555,1,0,69.0
fa,7083,0,0,61.0
rl,5007,1,0,15.0
bi,3037,0,0,45.0
ai,24916,0,0,80.0
ai,1286,0,0,66.0
ac,30446,0,0,62.0
ai,40207,0,0,83.0
ai,19821,0,0,60.0
bm,588,0,0,70.0
fa,3021,1,0,39.0
ac,24833,0,0,52.0
ai,8300,0,0,60.0
ac,14291,0,0,58.0
ai,27574,0,0,66.0
ai,31709,0,0,62.0
ai,13509,0,0,60.0
i,42507,0,0,6.0
ai,42690,0,0,59.0
ac,14140,0,0,70.0
ai,37735,1,0,41.0
ai,11836,0,0,60.0
ka,166,-1,0,30.75
fa,6807,-1,0,88.0
ai,37598,0,0,95.0
fa,10275,1,0,44.0
ac,17538,0,0,66.0
ai,12544,0,0,55.0
ai,29477,-1,0,60.0
bi,3633,0,0,45.0
rl,4909,0,0,14.0
fa,9974,0,0,64.0
ai,36673,1,0,90.0
ai,28235,0,0,65.0
ai,31602,0,0,68.0
fa,608,0,0,61.0
ee,2036,0,0,29.0
kd,304,0,0,44.0
dnb,197,0,0,120.0
ai,6221,0,0,64.0
ai,27317,0,0,20.0
ac,8115,0,0,78.0
i,35621,0,0,30.0
ai,39564,0,0,125.0
ai,21988,1,0,88.0
ac,563,0,0,204.42
ai,43210,1,0,60.0
ai,26674,-1,0,60.0
ka,3155,-1,0,59.0
ac,7795,0,0,58.0
ai,16924,-1,0,48.0
ac,32834,0,0,92.0
ac,30258,-1,0,119.0
ac,41678,0,0,68.0
fa,9093,0,0,62.0
kb,759,0,0,20.0
ai,4599,-1,0,47.0
ac,24876,0,0,120.0
ac,17340,0,0,60.0
ai,25779,2,0,67.0
ai,5165,0,0,91.0
ai,10836,0,0,44.0
ai,14167,1,0,60.0
ai,16339,0,0,69.0
ca,1166,0,0,60.0
ai,30067,-1,0,65.0
dnb,6694,0,0,36.0
dnb,2596,0,0,37.0
kb,1444,0,0,57.0
ai,34612,0,0,64.0
ai,16065,0,0,70.0
fa,1036,-1,0,2.0
ac,38476,0,0,121.0
ai,38426,0,0,80.0
i,35465,-1,0,60.0
ai,37605,0,0,74.0
rl,4950,0,0,14.0
fa,7589,0,0,37.0
ac,8889,0,0,60.0
ai,7142,0,0,70.0
fa,921,0,0,2.0
ai,30286,-1,0,50.0
dnr,1032,0,0,40.8
kd,23,-1,0,37.0
ka,88,0,0,54.0
ka,3108,-1,0,59.0
fa,10327,0,0,75.0
ab,35,-1,3,6.05
ab,35,-1,4,5.0
ac,5443,0,0,150.0
ay,63,0,0,242.0
ai,13616,0,0,60.0
fa,10887,-1,0,107.0
ac,32683,0,0,119.0
ac,8955,0,0,70.0
ac,6762,0,0,60.0
fa,257,-1,0,63.0
ai,2499,0,0,72.0
ai,42698,1,0,89.0
rl,4933,0,0,14.0
ai,18881,0,0,63.0
ai,2224,0,0,53.0
ai,34737,-1,0,78.0
ai,40240,1,0,42.0
kg,189,0,0,17.0
ac,38660,0,0,53.0
ay,1087,1,0,69.0
ai,37538,1,0,118.0
ai,35184,2,0,82.0
ai,12788,0,0,60.0
fa,9920,0,0,8.0
fa,12142,0,0,58.0
ai,28311,0,0,77.0
ac,8055,0,0,82.0
bm,1484,0,0,60.0
ai,35420,2,0,71.0
rh,2353,0,0,61.0
ai,23539,-1,0,138.0
ai,29277,1,0,80.0
rh,12674,0,0,15.0
ax,287,0,0,60.0
fa,5755,2,0,23.0
ai,31306,2,0,72.0
fa,9778,0,0,60.0
ai,6050,0,0,130.0
rh,6718,0,0,64.0
ai,40272,1,0,45.0
ai,1581,0,0,65.0
ai,7011,0,0,60.0
fa,6895,0,0,76.0
i,23286,0,0,10.0
ai,3758,1,0,56.0
ai,32273,0,0,153.0
fa,1321,0,0,59.0
ai,36605,-1,0,74.0
ai,33451,0,0,155.0
ac,1399,-1,0,50.0
ac,3644,0,0,76.0
ai,11559,0,0,66.0
ai,38357,1,0,130.0
ai,11629,0,0,60.0
ac,27486,0,0,60.0
mf,757,0,0,18.0
fa,4739,2,0,67.0
ai,9236,0,0,60.0
ai,34951,0,0,119.0
ai,3918,-1,0,60.0
ai,11476,-1,0,75.0
ai,41111,0,0,117.0
fa,2349,0,0,61.0
ac,1521,0,0,92.0
ka,273,-1,0,60.0
fa,4625,0,0,59.0
ac,24834,0,0,186.0
ac,40717,0,0,73.0
ai,30410,0,0,92.0
ka,2479,0,0,27.0
ai,30006,2,0,73.0
kb,785,0,0,57.0
fa,6645,0,0,60.0
ee,2186,0,0,45.0
ac,18349,0,0,59.0
ai,38981,0,0,42.0
ee,2227,0,0,45.0
kd,21,-1,0,64.0
ai,34725,-1,0,7.0
ai,31324,0,0,141.0
dnr,1146,0,0,45.0
fa,6619,0,0,46.0
fa,10843,-1,0,120.0
fa,1089,1,0,59.0
ai,20929,0,0,54.0
ai,44717,-1,0,60.0
fa,5451,1,0,60.0
ai,22634,1,0,126.0
dnb,1578,1,0,35.0
ac,16625,-1,0,20.0
ai,11738,0,0,60.0
ai,25060,2,0,66.0
ai,26800,1,0,65.0
ai,34857,0,0,15.5
fa,6726,1,0,59.0
ai,16151,0,0,62.0
ai,26430,1,0,96.0
ai,9924,0,0,61.0
ac,12649,0,0,60.0
ai,9083,0,0,58.0
ai,16466,0,0,64.0
i,23249,0,0,16.0
ai,28327,0,0,84.0
ac,13267,0,0,60.0
fa,2572,0,0,63.0
ai,19603,-1,0,60.0
fa,2113,0,0,80.0
ai,11771,0,0,61.0
ai,7901,0,0,60.0
fa,4760,1,0,51.0
ai,12470,0,0,61.0
ai,41030,1,0,42.0
ac,496,0,0,240.0
ac,24678,0,0,120.0
ka,177,-1,0,45.0
fa,4354,1,0,59.0
