lam_um,response
3.89,0.00010825
3.9,0.00015454
3.91,0.00022341
3.92,0.0004175
3.93,0.00056834
3.94,0.00044113
3.95,0.0013124
3.96,0.0092633
3.97,0.011478
3.98,0.014509
3.99,0.018672
4.0,0.024421
4.01,0.034426
4.02,0.050556
4.03,0.075032
4.04,0.11001
4.05,0.15701
4.06,0.22467
4.07,0.3065
4.08,0.39712
4.09,0.49391
4.1,0.58894
4.11,0.67269
4.12,0.74154
4.13,0.79761
4.14,0.83857
4.15,0.86313
4.16,0.88066
4.17,0.89111
4.18,0.89564
4.19,0.89539
4.2,0.89392
4.21,0.88884
4.22,0.88251
4.23,0.87614
4.24,0.877
4.25,0.88028
4.26,0.88114
4.27,0.87832
4.28,0.87794
4.29,0.88121
4.3,0.88818
4.31,0.89517
4.32,0.90219
4.33,0.90675
4.34,0.91008
4.35,0.91094
4.36,0.90805
4.37,0.90514
4.38,0.8997
4.39,0.89172
4.4,0.88495
4.41,0.8794
4.42,0.87382
4.43,0.87074
4.44,0.86636
4.45,0.8645
4.46,0.86517
4.47,0.86966
4.48,0.878
4.49,0.88894
4.5,0.90121
4.51,0.9161
4.52,0.92846
4.53,0.94216
4.54,0.95332
4.55,0.96192
4.56,0.96924
4.57,0.97398
4.58,0.97742
4.59,0.97693
4.6,0.97512
4.61,0.97197
4.62,0.96616
4.63,0.96031
4.64,0.95311
4.65,0.94586
4.66,0.93858
4.67,0.93525
4.68,0.93191
4.69,0.93122
4.7,0.93052
4.71,0.93385
4.72,0.93853
4.73,0.94457
4.74,0.95469
4.75,0.96213
4.76,0.97232
4.77,0.97981
4.78,0.98596
4.79,0.98802
4.8,0.99009
4.81,0.9894
4.82,0.9887
4.83,0.98938
4.84,0.98866
4.85,0.98932
4.86,0.98997
4.87,0.99061
4.88,0.99265
4.89,0.99468
4.9,0.99671
4.91,0.99735
4.92,0.99938
4.93,1.0
4.94,0.99921
4.95,0.99699
4.96,0.99475
4.97,0.99108
4.98,0.98596
4.99,0.98081
5.0,0.97135
5.01,0.96327
5.02,0.95228
5.03,0.94125
5.04,0.93016
5.05,0.91902
5.06,0.90783
5.07,0.89659
5.08,0.88675
5.09,0.87686
5.1,0.86693
5.11,0.85403
5.12,0.84107
5.13,0.82073
5.14,0.79883
5.15,0.76361
5.16,0.72676
5.17,0.67647
5.18,0.62007
5.19,0.55602
5.2,0.48564
5.21,0.41662
5.22,0.34717
5.23,0.28359
5.24,0.2256
5.25,0.17504
5.26,0.13546
5.27,0.099248
5.28,0.075935
5.29,0.053213
5.3,0.040746
5.31,0.028307
5.32,0.021081
5.33,0.014697
5.34,0.010435
5.35,0.0072372
5.36,0.0040457
5.37,0.0030484
5.38,0.0022763
5.39,0.0017339
5.4,0.0012893
5.41,0.00097294
5.42,0.00073876
5.43,0.00054885
5.44,0.00039102
5.45,0.00030953
5.46,0.00021542
5.47,0.00027863
5.48,0.00031531
5.49,0.00031353
5.5,0.00025926
5.51,0.0002251
5.52,0.00019539
5.53,0.00015012
5.54,0.00013333
5.55,0.00010424
5.56,6.0519e-05
