lam_um,response
22.54,0.69855
22.55,0.69534
22.56,0.68863
22.57,0.68542
22.58,0.6822
22.59,0.67899
22.6,0.67929
22.61,0.67959
22.62,0.68693
22.63,0.69076
22.64,0.69812
22.65,0.70195
22.66,0.70932
22.67,0.70964
22.68,0.70995
22.69,0.71026
22.7,0.70704
22.71,0.70381
22.72,0.70412
22.73,0.70443
22.74,0.70474
22.75,0.7086
22.76,0.71245
22.77,0.71631
22.78,0.72017
22.79,0.72049
22.8,0.71726
22.81,0.71757
22.82,0.71078
22.83,0.70398
22.84,0.69362
22.85,0.6868
22.86,0.67998
22.87,0.67672
22.88,0.67345
22.89,0.67374
22.9,0.67404
22.91,0.6779
22.92,0.6782
22.93,0.68206
22.94,0.68593
22.95,0.68588
22.96,0.68617
22.97,0.68647
22.98,0.69035
22.99,0.69065
23.0,0.69812
23.01,0.702
23.02,0.70948
23.03,0.71696
23.04,0.72445
23.05,0.72835
23.06,0.73226
23.07,0.73258
23.08,0.7293
23.09,0.72962
23.1,0.72633
23.11,0.71945
23.12,0.71616
23.13,0.71287
23.14,0.70993
23.15,0.70663
23.16,0.70694
23.17,0.70364
23.18,0.69672
23.19,0.69341
23.2,0.68648
23.21,0.67593
23.22,0.66899
23.23,0.65481
23.24,0.64062
23.25,0.63003
23.26,0.61581
23.27,0.6052
23.28,0.59459
23.29,0.58759
23.3,0.58058
23.31,0.5772
23.32,0.57019
23.33,0.56316
23.34,0.55977
23.35,0.55274
23.36,0.5457
23.37,0.53865
23.38,0.5316
23.39,0.52454
23.4,0.51748
23.41,0.51405
23.42,0.51063
23.43,0.50719
23.44,0.50376
23.45,0.50398
23.46,0.50054
23.47,0.4971
23.48,0.49365
23.49,0.48654
23.5,0.47943
23.51,0.47231
23.52,0.46519
23.53,0.45439
23.54,0.44725
23.55,0.44378
23.56,0.43663
23.57,0.43314
23.58,0.43332
23.59,0.42983
23.6,0.43002
23.61,0.43388
23.62,0.43406
23.63,0.43424
23.64,0.43443
23.65,0.43461
23.66,0.4348
23.67,0.43498
23.68,0.43516
23.69,0.43535
23.7,0.43922
23.71,0.43941
23.72,0.44329
23.73,0.44717
23.74,0.45105
23.75,0.45124
23.76,0.45143
23.77,0.45162
23.78,0.45181
23.79,0.4483
23.8,0.44849
23.81,0.44497
23.82,0.44515
23.83,0.44163
23.84,0.44182
23.85,0.44572
23.86,0.4459
23.87,0.44981
23.88,0.45743
23.89,0.46134
23.9,0.46898
23.91,0.4729
23.92,0.47682
23.93,0.48075
23.94,0.48468
23.95,0.48861
23.96,0.49255
23.97,0.49275
23.98,0.49669
23.99,0.50064
24.0,0.50458
24.01,0.50853
24.02,0.51623
24.03,0.52018
24.04,0.52789
24.05,0.5356
24.06,0.53957
24.07,0.54354
24.08,0.54377
24.09,0.54774
24.1,0.54797
24.11,0.5482
24.12,0.54843
24.13,0.54865
24.14,0.54888
24.15,0.54911
