lam_um,response
5.2299,0.0014102
5.2326,0.0013896
5.2352,0.0013983
5.2378,0.001401
5.2405,0.0013895
5.2431,0.0013927
5.2458,0.0014085
5.2484,0.0014227
5.2511,0.0014319
5.2538,0.0014246
5.2564,0.0014196
5.2591,0.001454
5.2618,0.0014973
5.2644,0.0015007
5.2671,0.0014757
5.2698,0.0014593
5.2725,0.0014568
5.2751,0.0014555
5.2778,0.0014484
5.2805,0.0014386
5.2832,0.0014234
5.2859,0.0013985
5.2886,0.0014111
5.2913,0.001473
5.294,0.0015132
5.2967,0.0015167
5.2994,0.0015065
5.3021,0.001505
5.3048,0.0015411
5.3075,0.0015651
5.3102,0.0015338
5.313,0.0014994
5.3157,0.0015012
5.3184,0.0015205
5.3211,0.0015305
5.3239,0.0015211
5.3266,0.001518
5.3294,0.0015597
5.3321,0.0016142
5.3348,0.0016065
5.3376,0.0015515
5.3403,0.0015416
5.3431,0.001577
5.3458,0.0015766
5.3486,0.0015539
5.3514,0.0015737
5.3541,0.0016096
5.3569,0.0016134
5.3596,0.0015983
5.3624,0.0016042
5.3652,0.001643
5.368,0.0016767
5.3707,0.0016662
5.3735,0.001624
5.3763,0.0016147
5.3791,0.0016513
5.3819,0.0016573
5.3847,0.0016358
5.3875,0.0016708
5.3903,0.0017265
5.3931,0.0017108
5.3959,0.0016594
5.3987,0.001658
5.4015,0.0016967
5.4043,0.0017179
5.4072,0.0017182
5.41,0.0017191
5.4128,0.001719
5.4156,0.001721
5.4185,0.0017361
5.4213,0.0017473
5.4241,0.001735
5.427,0.0017252
5.4298,0.0017106
5.4326,0.0016687
5.4355,0.0016427
5.4383,0.0016687
5.4412,0.001718
5.4441,0.0017444
5.4469,0.0017453
5.4498,0.0017477
5.4526,0.0017601
5.4555,0.0017538
5.4584,0.0017112
5.4613,0.0016984
5.4641,0.0017566
5.467,0.0018196
5.4699,0.0018165
5.4728,0.0017482
5.4757,0.0017083
5.4786,0.0017208
5.4815,0.001731
5.4844,0.0017755
5.4873,0.001849
5.4902,0.0018702
5.4931,0.0018431
5.496,0.0018106
