lam_um,response
7.2,2.8062e-05
7.21,0.0017202
7.22,0.0016953
7.23,0.0021202
7.24,0.0022305
7.25,0.0020557
7.26,0.0021601
7.27,0.0019177
7.28,0.0011553
7.29,0.0016445
7.3,0.0026889
7.31,0.0033714
7.32,0.0035918
7.33,0.0035219
7.34,0.0037744
7.35,0.003684
7.36,0.0033351
7.37,0.0033336
7.38,0.0031728
7.39,0.0033791
7.4,0.0036603
7.41,0.0042789
7.42,0.0054307
7.43,0.0071141
7.44,0.0092516
7.45,0.01171
7.46,0.014421
7.47,0.017429
7.48,0.021233
7.49,0.026207
7.5,0.033257
7.51,0.043132
7.52,0.056946
7.53,0.075682
7.54,0.1001
7.55,0.12979
7.56,0.16432
7.57,0.20006
7.58,0.23102
7.59,0.25482
7.6,0.26893
7.61,0.27304
7.62,0.2685
7.63,0.25881
7.64,0.24657
7.65,0.23555
7.66,0.22577
7.67,0.21849
7.68,0.21245
7.69,0.20893
7.7,0.20793
7.71,0.2082
7.72,0.20847
7.73,0.21001
7.74,0.21156
7.75,0.21183
7.76,0.21338
7.77,0.21494
7.78,0.21778
7.79,0.2219
7.8,0.22604
7.81,0.23019
7.82,0.23435
7.83,0.23852
7.84,0.24269
7.85,0.24559
7.86,0.24849
7.87,0.2501
7.88,0.25172
7.89,0.25333
7.9,0.25626
7.91,0.25788
7.92,0.26082
7.93,0.26637
7.94,0.27063
7.95,0.27621
7.96,0.28311
7.97,0.29134
7.98,0.29959
7.99,0.30654
8.0,0.31219
8.01,0.31654
8.02,0.3209
8.03,0.32394
8.04,0.32699
8.05,0.32872
8.06,0.32913
8.07,0.33087
8.08,0.33128
8.09,0.33435
8.1,0.3361
8.11,0.33651
8.12,0.33693
8.13,0.33601
8.14,0.33374
8.15,0.33146
8.16,0.32784
8.17,0.32421
8.18,0.32191
8.19,0.32095
8.2,0.31865
8.21,0.31768
8.22,0.31536
8.23,0.31439
8.24,0.31342
8.25,0.31108
8.26,0.30738
8.27,0.3023
8.28,0.29721
8.29,0.29211
8.3,0.2911
8.31,0.29145
8.32,0.2918
8.33,0.29352
8.34,0.29387
8.35,0.29285
8.36,0.29183
8.37,0.29218
8.38,0.2939
8.39,0.29702
8.4,0.30014
8.41,0.30188
8.42,0.30501
8.43,0.30815
8.44,0.3113
8.45,0.31445
8.46,0.319
8.47,0.32356
8.48,0.32813
8.49,0.33271
8.5,0.3373
8.51,0.3419
8.52,0.34511
8.53,0.34832
8.54,0.35154
8.55,0.35477
8.56,0.35801
8.57,0.35984
8.58,0.36167
8.59,0.36209
8.6,0.36109
8.61,0.3601
8.62,0.3591
8.63,0.35809
8.64,0.35566
8.65,0.35465
8.66,0.35363
8.67,0.35261
8.68,0.35159
8.69,0.34913
8.7,0.3481
8.71,0.34563
8.72,0.3446
8.73,0.34355
8.74,0.33963
8.75,0.33281
8.76,0.31733
8.77,0.29025
8.78,0.253
8.79,0.2171
8.8,0.19706
8.81,0.20309
8.82,0.22801
8.83,0.26171
8.84,0.29112
8.85,0.31185
8.86,0.32387
8.87,0.33154
8.88,0.3363
8.89,0.34107
8.9,0.34585
8.91,0.35064
8.92,0.35397
8.93,0.35731
8.94,0.35918
8.95,0.35958
8.96,0.36146
8.97,0.36334
8.98,0.36374
8.99,0.36563
9.0,0.36603
9.01,0.36496
9.02,0.36388
9.03,0.36279
9.04,0.36171
9.05,0.36062
9.06,0.36102
9.07,0.36291
9.08,0.36331
9.09,0.3652
9.1,0.3671
9.11,0.37051
9.12,0.37091
9.13,0.37282
9.14,0.37323
9.15,0.37213
9.16,0.37103
9.17,0.36842
9.18,0.36731
9.19,0.36468
9.2,0.36356
9.21,0.36396
9.22,0.36284
9.23,0.36323
9.24,0.3621
9.25,0.36249
9.26,0.35984
9.27,0.36023
9.28,0.35909
9.29,0.35947
9.3,0.36139
9.31,0.36178
9.32,0.3637
9.33,0.36409
9.34,0.36448
9.35,0.36641
9.36,0.3668
9.37,0.36565
9.38,0.36604
