n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
75,0.5862491528476532,4,0.05333333333333334,3.522069501916753,0.12380743129537361,0.128103863602101,0.7828930110343749,1,0.0,0.5862491528476532,1615207300004554,139.8461246,21.1072591,16.714773178100586,2.4562015533447266,3.4190116585563053,giant,False,True
75,0.4406689717331306,3,0.04,3.8958503561949342,0.9972192489390486,0.22928252394962106,0.7749662641868098,1,0.0,0.4406689717331306,1615207300003932,139.207203,21.1715794,13.75428295135498,1.2026910781860352,2.2475990298063575,main_sequence,True,True
76,0.24735995792927412,4,0.05263157894736842,2.986111887287931,0.9972985208590398,0.24899095262464946,0.7444694274498811,2,0.0,0.24735995792927412,1615207400003526,140.16921105,21.1594651,14.96170711517334,0.8042736053466797,0.489947902336979,giant,False,True
162,0.9163444651903085,92,0.5679012345679012,2.590113209819668,0.1993898651878201,0.09799559961861712,0.7390812503942277,16,0.04040419219836051,0.9163444651903085,569214400031382,139.27874775,21.0143296,17.888460159301758,1.5272407531738281,0.783939292733429,unknown,False,True
75,0.32025830208200434,3,0.04,3.127616865734605,0.9972192489390486,0.2183627277646827,0.7321481936146715,1,0.0,0.32025830208200434,1615207300003313,139.2096116,21.2395159,13.526132583618164,0.7390413284301758,0.8891699562704607,giant,False,True
75,0.3147729670815854,4,0.05333333333333334,2.2465815468188453,0.9972192489390486,0.1544826471133735,0.6984500986751186,1,0.0,0.3147729670815854,1615207300002981,139.2124477,21.2747022,17.003211975097656,1.0024452209472656,0.5731407960275514,main_sequence,True,True
75,0.2505679190601978,3,0.04,2.6864378501404302,0.9972192489390486,0.2768442810225762,0.688132986701653,1,0.0,0.2505679190601978,1615207300003231,139.2221347,21.2486754,13.78184700012207,0.7641839981079102,1.4835815296517936,main_sequence,True,True
73,0.26519021990481306,11,0.1506849315068493,2.2205497840389494,0.9972985208590398,0.38645178022180265,0.6872974529757963,3,0.0,0.26519021990481306,1615207300005006,139.7961517,21.0568145,18.363834381103516,1.5004196166992188,0.47049635878873985,unknown,False,True
76,0.2393354795524486,3,0.039473684210526314,2.098596974634309,0.9972985208590398,0.16631457368619929,0.6860214463721988,1,0.0,0.2393354795524486,1615207400003429,140.2618691,21.16940925,14.435920715332031,0.7401323318481445,0.566771320317922,giant,False,True
76,0.4326018440506193,4,0.05263157894736842,1.8561735338751335,0.1373375162105973,0.13598700724082174,0.6805743098602616,1,0.0,0.4326018440506193,1615207400003300,140.0926096,21.183099900000002,17.709884643554688,1.272674560546875,0.3775426880838471,unknown,False,True
