source_id,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class
1615207300003932,,,,0,unexamined
1615207300002981,,,,0,unexamined
1615207300003231,,,,0,unexamined
1615207400003400,,,,0,unexamined
1615207400003487,Gaia DR3 637756399543564416,*,,1,*
1615207400010480,,,,0,unexamined
1615207400003394,,,,0,unexamined
1615207300005189,,,,0,unexamined
1615207300004778,,,,0,unexamined
1615207400003231,,,,0,unexamined
1615207400003997,Gaia DR3 637659367642388608,*,,1,*
1615207400003808,,,,0,unexamined
1615207400003237,Gaia DR3 637712724020849280,*,,1,*
1615208400004320,,,,0,unexamined
1615207300004554,,,,0,unexamined
1615207400003526,,,,0,unexamined
569214400031382,[BKD2008] WR 535,PoG,,2,pog
1615207300003313,,,,0,unexamined
1615207300005006,,,,0,unexamined
1615207400003429,,,,0,unexamined
1615207400003300,,,,0,unexamined
1615207300003462,,,,0,unexamined
1615207300002952,,,,0,unexamined
1615207300004516,,,,0,unexamined
1615207300021888,,,,0,unexamined
1615207300004388,,,,0,unexamined
1615207400004475,,,,0,unexamined
1615207300012537,,,,0,unexamined
1615207400003880,,,,0,unexamined
1615207300004895,,,,0,unexamined
1615207300004873,,,,0,unexamined
