n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate,shared_epoch_frac
1003,0.2082212825331674,28,0.027916251246261216,0.9866257857187107,0.11754047719887627,0.02244521454194185,0.7832664356374174,5,0.0,0.2082212825331674,716216100003799,189.4777002,43.783145,,,,unknown,-0.007141070237384692,1.0417494588821121,-0.05096090351422993,0.0,False,False,False,0.7916666666666666
895,0.33876847332422744,24,0.026815642458100558,0.962444993194386,0.20125055153340288,0.0329573342399813,0.7501127997280056,4,0.0,0.30320601662824,716215200004394,189.9550997,43.7592236,,,,unknown,-0.00841334018114517,1.0046859902871481,-0.05998305113303731,0.0,False,False,False,0.9583333333333334
724,0.2560388244356826,71,0.09806629834254144,0.8032604794215159,0.9972944522655527,0.07427570521297916,0.74714890047551,10,0.016263042600955496,0.19921503228335447,716215100004120,191.58446535000002,43.7743356,,,,unknown,-0.014073182898327829,1.700163202473312,-0.10033456584715912,0.0,False,False,False,0.9583333333333334
33,0.4083895344955859,15,0.45454545454545453,4.0879988114718495,0.996864984391651,0.7617557707290102,0.7300336681373061,5,0.02998877728756462,0.29763754528150277,1755207200002379,190.2255879,43.8119079,18.425010681152344,0.5177593231201172,-0.006994168696119031,unknown,0.15137208363571436,5.733162564091844,0.534420763537041,0.8186530051273475,True,False,False,0.7
1007,0.23189674063071986,27,0.026812313803376366,1.0667704372133437,0.13215370267391494,0.022589899558048476,0.7272292563653862,3,0.0,0.23189674063071986,716216100004164,188.7462787,43.7227214,,,,unknown,-0.004994764086713844,0.7904837983866759,-0.03558206049436357,0.0,False,False,False,0.72
1000,0.24663046167308933,31,0.031,0.8707376887951879,0.11162581317419232,0.019670625324507956,0.7240988124026476,3,0.0,0.24212787106156375,716216100003504,188.79508385,43.7984093,,,,unknown,-0.0070980461444289135,1.0429150107976772,-0.05078223469446622,0.0,False,False,False,0.9245283018867925
990,0.3151689040736777,31,0.031313131313131314,0.9770649241094361,0.10953764267384501,0.02138573797812061,0.7235842786065639,3,0.0,0.22116691529510046,716216100003710,189.2553974,43.78933225,,,,unknown,-0.007824862591956505,1.174705893276508,-0.055743320259648156,0.0,False,False,False,0.9357142857142857
915,0.24255216603106589,25,0.0273224043715847,0.9647870269737869,0.18747143999409926,0.026315092251799236,0.7221054723244603,3,0.0,0.24255216603106589,716215200003294,190.5072985,43.8903725,,,,unknown,-0.003908824909941716,0.5765273130901849,-0.02784596374258876,0.0,False,False,False,0.9090909090909091
953,0.27875287334561705,21,0.022035676810073453,0.7414413802721066,1.0320304964081302,0.027422092502528514,0.7217733722492415,3,0.0,0.27875287334561705,716216100010085,189.4837416,43.8957175,,,,unknown,-0.003344935148113497,0.751224460223034,-0.02391211425542537,0.0,False,False,False,0.9743589743589743
927,0.3171671093731355,59,0.06364617044228695,0.6948810592752668,0.5000253905969044,0.038783536575611344,0.7189978027363927,10,0.029789045430307966,0.2848723798244682,716216100003096,189.4290132,43.8625784,,,,unknown,0.0035435386117608886,1.254553130043185,0.02526361477360682,0.04421132585381193,False,False,False,0.9960629921259843
1003,0.18290879475237043,73,0.07278165503489531,0.9252205983451998,0.280877179928688,0.02627014846016341,0.7174752167666876,8,0.018634557822434387,0.18290879475237043,716216100003988,189.4712068,43.7647953,,,,unknown,-0.006435410229101009,0.8983301554390829,-0.045925093698534064,0.0,False,False,False,0.9342105263157895
982,0.5323203769197856,64,0.06517311608961303,0.8297617841986767,0.32667007500041967,0.031153037441356033,0.7109534392993069,7,0.0332335498227621,0.5323203769197856,716216100011293,188.62466455,43.71915505,,,,unknown,0.0031795733644687124,0.7019846615635779,0.022668822084430516,0.0396704386477534,False,False,False,0.978494623655914
920,0.2641438837060949,83,0.09021739130434783,1.0750497545321887,0.9972944522655527,0.06608159693274185,0.7059416536639886,10,0.019117060496169982,0.181741615717819,716215200004555,190.7017575,43.7556717,,,,unknown,-0.0066113754478793,0.6673560627886348,-0.047098593057307854,0.0,False,False,False,0.9666666666666667
920,0.20680207759997415,26,0.02826086956521739,1.0678087047337168,0.12000791355897758,0.020263981021867893,0.6979893279774626,2,0.0,0.20680207759997415,716215200003615,190.1272693,43.8494796,,,,unknown,-0.0020253276774690456,0.27747505955537094,-0.014428175323096327,0.0,False,False,False,0.7931034482758621
868,0.3433208913815835,62,0.07142857142857142,0.8271452533024559,0.5086473862329022,0.0468020825848025,0.695633482237235,8,0.03677529766244144,0.29476372964482356,716215200029668,189.8535008,43.8469709,,,,unknown,-0.009353489767478778,1.1344519266908366,-0.06658026596409572,0.0,False,False,False,0.9728506787330317
997,0.2948137819302864,18,0.01805416248746239,1.0178916058788574,14.161253791497119,0.01997005988781323,0.6950824783863875,2,0.0,0.20090919011233377,716216100004060,189.2061457,43.7493784,,,,unknown,-0.004383430700290501,0.7622549224294028,-0.03133605646891587,0.0,False,False,False,0.8421052631578947
974,0.2636488659676537,11,0.011293634496919919,0.9581082200728464,0.39406897547117503,0.020285886534350685,0.6939142340396948,2,0.0,0.2636488659676537,716216100004000,189.4817066,43.76368775,,,,unknown,-0.004685541433937354,0.969308109432438,-0.03346932196506371,0.0,False,False,False,0.8985507246376812
911,0.3168343211020139,24,0.026344676180021953,0.911167263973901,0.2914727412938066,0.021408534043428715,0.6935774397869714,2,0.0,0.3168343211020139,716215200011301,190.5553994,43.8565984,,,,unknown,-0.009153717333352884,0.8410882679713754,-0.06520988826464921,0.0,False,False,False,0.9347826086956522
915,0.22935574709112982,26,0.02841530054644809,1.0138422493917996,0.11811571076048359,0.024597001372468476,0.6934514345517675,2,0.0,0.22935574709112982,716215200004361,190.6098756,43.7742944,,,,unknown,-0.002656720977067043,0.27995290459406175,-0.018926137063194,0.0,False,False,False,0.8275862068965517
902,0.2618690904102867,20,0.022172949002217297,0.8934887651763787,0.16469148920289567,0.022798732573528217,0.6931603802279416,2,0.0,0.2618690904102867,716215200012208,190.55070634999998,43.75065825,,,,unknown,-0.006999245797938188,0.7086940756588563,-0.049861731820253004,0.0,False,False,False,0.9358974358974359
891,0.3712213889987309,17,0.019079685746352413,0.7480003275784397,1.0876725300808086,0.023118229539238987,0.6930645311382283,2,0.0,0.2682596563718741,716215200026951,190.0492386,43.7778496,,,,unknown,-0.0014637884309940704,0.17031548068343264,-0.010436104378738514,0.0,False,False,False,0.967741935483871
911,0.21788041709064,18,0.019758507135016465,0.912929011972008,0.1491796598024,0.024131290001100193,0.69276061299967,2,0.0,0.21788041709064,716215200003684,190.4449733,43.8473272,,,,unknown,-0.0016452427487036333,0.2165736017094149,-0.011720496820319731,0.0,False,False,False,0.8771929824561403
958,0.34046345630460173,18,0.018789144050104383,1.0076738822656184,0.1536555483783172,0.02925602945636472,0.6916836240990277,2,0.0,0.30407335609198227,716216100003901,189.1590771,43.76554885,,,,unknown,-0.0063075897655586076,1.0278981408933698,-0.04509140772059247,0.0,False,False,False,0.9230769230769231
966,0.2808594134035005,48,0.049689440993788817,0.8532835902436288,0.49861672931845674,0.040375074860307884,0.6897787746760868,4,0.019369567621940278,0.23264550759018132,716216100003998,189.50394254999998,43.764272950000006,,,,unknown,-0.0004762862254865734,0.09387736397174115,-0.0034016155424749193,0.0,False,False,False,0.958974358974359
886,0.43331609232674306,98,0.11060948081264109,0.9504927140743825,0.498598000784255,0.05836257823529405,0.6895649363467307,12,0.037642096727560394,0.2630763746138741,716215200011315,190.04057655,43.846057349999995,,,,unknown,-0.0027211566481794578,0.3315293017904015,-0.019385171909863667,0.0,False,False,False,0.978021978021978
881,0.3064858604667958,31,0.03518728717366629,0.8505558520353214,1.0002251578644297,0.03905492185759663,0.6884752744236236,3,0.009936083006365835,0.282445652625089,716215200003416,190.0930262,43.8703984,,,,unknown,-0.0006019049327930163,0.10897704173975732,-0.0042878945169820045,0.0,False,False,False,0.9775280898876404
798,0.3429968557314256,9,0.011278195488721804,0.6927802281015578,1.000451310365948,0.04602817271623032,0.686191548185131,2,0.0,0.3429968557314256,716215200011326,190.2888251,43.84996925,,,,unknown,-0.007607783825927719,1.3621139575206331,-0.05423981382976207,0.0,False,False,False,0.9909502262443439
978,0.40903625253963105,78,0.07975460122699386,0.8678244916147654,0.5000253905969044,0.041038602797494605,0.6767891417041783,10,0.04363309248552444,0.32347788176958125,716216100010628,189.1763525,43.8194373,,,,unknown,-0.004148511366323764,0.7821175075314255,-0.029530046751669477,0.0,False,False,False,0.9819004524886877
919,0.17858252856292678,23,0.025027203482045703,0.9109632361239471,0.3020444082429059,0.022825493759396673,0.6746060832814817,3,0.0,0.17858252856292678,716215200004447,190.8330641,43.7690806,,,,unknown,0.00042419917798143064,0.049731284419566264,0.003021940686396889,0.005288396201194555,False,False,False,0.7142857142857143
868,0.36686285723490786,30,0.03456221198156682,0.7960306519115777,1.1638691124274079,0.032123481924389415,0.6708583342899345,4,0.026501540377582927,0.2524967039224395,716215200003376,190.20773855,43.87635405,,,,unknown,0.005867164038994168,2.046310403299631,0.041830052695588635,0.07320259221728011,False,False,False,0.9817351598173516
1003,0.18749950918396163,30,0.02991026919242273,1.0450528246633422,0.3333476310220305,0.02157896189665265,0.6678950350611178,2,0.0,0.18749950918396163,716216100002931,189.2549102,43.8771238,,,,unknown,-0.001656727191539676,0.26961068691358275,-0.011822921740141734,0.0,False,False,False,0.7857142857142857
913,0.22765833511508438,24,0.02628696604600219,0.939725993725809,0.11221084239407997,0.024023727927977096,0.6676664826133348,2,0.0,0.18891482396693882,716215200003791,190.3455855,43.8331653,,,,unknown,-0.005957318007078449,0.5948210744260798,-0.04243917150679453,0.0,False,False,False,0.8666666666666667
942,0.43075337553881565,93,0.09872611464968153,0.7544698018355777,0.16727528807634928,0.04345712238812336,0.667326083046385,16,0.037974164840964136,0.3601864048507437,716216100026809,188.6029835,43.7611106,,,,unknown,-8.893113823834352e-05,0.019056440007875854,-0.0006340360543395608,0.0,False,False,False,0.9887640449438202
895,0.30828859567576417,91,0.10167597765363129,0.8306123397300623,0.4985792736569247,0.04436378938596202,0.667299203651358,16,0.03789245793952261,0.26096001514935785,716215200004487,189.8954318,43.7486413,,,,unknown,-0.0032828659968621708,0.3762305402107436,-0.023386713302992277,0.0,False,False,False,0.9901960784313726
994,0.2665835477111267,23,0.023138832997987926,1.0577621244103035,0.15737168278298658,0.024302352670886745,0.6661750216633522,1,0.0,0.22400156034143126,716216100004460,189.49383325000002,43.7082589,,,,unknown,-0.005254240967526201,0.8698249577467498,-0.03756126260848167,0.0,False,False,False,0.8985507246376812
1005,0.22552336529729478,30,0.029850746268656716,1.0053430855436813,1.124719690135629,0.022286861468473727,0.6636345266920788,1,0.0,0.22552336529729478,716216100002781,188.9481845,43.8852639,,,,unknown,-0.0047472301429325745,0.7163198664167083,-0.03381866033989735,0.0,False,False,False,0.8
901,0.3254469349275325,20,0.022197558268590455,0.8034277630330714,0.4812624545076969,0.021969896635836466,0.6634090310092491,1,0.0,0.21250355849570468,716215200003556,190.5196596,43.8629152,,,,unknown,-0.012179684039238275,1.3147432254344849,-0.08676651124308436,0.0,False,False,False,0.9351851851851852
989,0.2923767725739218,25,0.025278058645096056,1.0117216114077865,6.0218335014538225,0.02468442967222025,0.6632979677828011,1,0.0,0.2378613260790201,716216100004100,188.7563046,43.7313532,,,,unknown,-0.004165914860226793,0.6832848372954539,-0.029781089797110548,0.0,False,False,False,0.8955223880597015
864,0.2816306010614946,7,0.008101851851851851,0.8773777117753995,0.33525029189340594,0.022688020767656063,0.6631935937697032,1,0.0,0.28086295035959563,716215200012313,190.2236403,43.7314669,,,,unknown,-0.009722808323962072,0.9019169946608832,-0.06931891408334744,0.0,False,False,False,0.9653179190751445
863,0.32907770482157683,16,0.01853997682502897,0.8279382617733402,0.23038015755585783,0.02278969173196108,0.6631630924804117,1,0.0,0.21769104066439193,716215200011389,190.3025782,43.8444141,,,,unknown,-0.003886982925600574,0.575992182611491,-0.027712305589641252,0.0,False,False,False,0.967741935483871
990,0.37338174910381194,26,0.026262626262626262,0.9492145031817524,0.10096691625611535,0.023838008671138975,0.6628485973986583,1,0.0,0.37338174910381194,716216100011158,188.7469493,43.74098155,,,,unknown,-0.005759016105127879,0.9673348323030484,-0.0410981343572112,0.0,False,False,False,0.8701298701298701
871,0.40962070239228143,13,0.014925373134328358,0.9467597195355928,0.17823346383903182,0.02475192512606601,0.6625744224621802,1,0.0,0.2736566578992363,716215200003258,189.9727203,43.8839442,,,,unknown,-0.002173762178836027,0.21168304967998364,-0.015497874223176401,0.0,False,False,False,0.9375
926,0.3016396081278214,9,0.009719222462203024,0.8643416553745218,0.11504469579758751,0.024964380987575505,0.6625106857037274,1,0.0,0.2974373789265913,716216100010179,189.24229935,43.878051400000004,,,,unknown,-0.006396948882442003,1.0420140910040991,-0.04565062153806491,0.0,False,False,False,0.97
868,0.34573554275310847,11,0.012672811059907835,0.8900935290397084,0.14426084938869027,0.025025673346397038,0.6624922979960809,1,0.0,0.2745146483121462,716215200018799,190.1043957,43.74377775,,,,unknown,-0.005162124810715257,0.5772120263719333,-0.036774310342807925,0.0,False,False,False,0.9536423841059603
881,0.24774791523890538,19,0.021566401816118047,0.8343539141041829,0.1754420280219233,0.02554626672857719,0.6623361199814268,1,0.0,0.21965221855217076,716215200003838,190.0828054,43.8235053,,,,unknown,-0.008618533881273862,1.1241218758395242,-0.06139733300956959,0.0,False,False,False,0.9655172413793104
