name,reference,atmosphere,teff,n_measured,pair,obs_log_ratio,sigma,env_lo,env_hi,phase_lo,phase_hi,env_lo_total,env_hi_total,z_pair,exceeds,phase_constraint,rest_p_naive,rest_natural,rest_t_dec_max,kills,survives
HS 0209+0832,Wolff 2000,H,35900.0,7,Ti/Al,0.8999999999999995,0.26925824035672524,-3.20816,-0.2559999999999998,-0.9822439411225121,-0.5917262394573737,-4.190403941122512,-0.8477262394573735,6.490892301538879,True,rest_of_panel_fit,2.8479943090879435e-37,False,3.0,REST_OF_PANEL_NOT_NATURAL,False
GD362,Zuckerman 2007,H,10450.0,15,Sr/Ca,-4.18,0.35,-3.643570101466785,-2.4167023662701723,-0.005124546302565092,-0.0006097043094563936,-3.64869464776935,-2.4173120705796287,-1.5180152920875707,False,rest_of_panel_fit,0.25233864420427665,True,0.0001,,False
GD 362,Xu 2013,He,10540.0,16,Sr/Ca,-4.18,0.35,-3.643570101466785,-2.4167023662701723,-0.011764675637453426,-0.0009385506291046397,-3.6553347771042386,-2.417640916899277,-1.499043493987889,False,rest_of_panel_fit,0.7374380440340045,True,0.0005,,False
GD 362,Xu 2013,He,10540.0,16,Sr/Ca,-4.18,0.35,-3.643570101466785,-2.4167023662701723,-0.014337419848504451,-0.001400398881215903,-3.6579075213152894,-2.4181027651513882,-1.4916927962420297,False,rest_of_panel_fit,0.7379863373224158,True,0.0005,,False
GD362,Zuckerman 2007,H,10450.0,15,Sc/Ca,-3.950000000000001,0.35,-3.60529752628474,-2.8397763113422245,-0.0011734812506130066,-9.687848810324695e-05,-3.6064710075353528,-2.8398731898303278,-0.9815114070418524,False,rest_of_panel_fit,0.24638532020697157,True,0.0004,,False
GD 362,Xu 2013,He,10540.0,16,Sc/Ca,-3.9499999999999993,0.35,-3.60529752628474,-2.8397763113422245,-0.0031351854170340587,-8.367152192234606e-05,-3.608432711701774,-2.839859982864147,-0.9759065379949293,False,rest_of_panel_fit,0.5688599441451716,True,0.0,,False
GD 362,Xu 2013,He,10540.0,16,Sc/Ca,-3.9499999999999993,0.35,-3.60529752628474,-2.8397763113422245,-0.004858950157706432,0.001437310938274594,-3.6101564764424463,-2.83833900040395,-0.9709814958787228,False,rest_of_panel_fit,0.5669093242020905,True,0.0004,,False
NLTT 7547 Balmer,Kawka 2019,H,5460.0,5,Ca/Al,-1.2700000000000014,0.2570992026436488,-0.7495637114076302,2.974,-0.5038473460321993,-0.06768260445924446,-1.2534110574398296,2.9063173955407557,-0.0645235083951807,False,rest_of_panel_fit,0.93292840462937,True,2.9708,,False
NLTT 7547 (Balmer),Kawka 2019,H,5460.0,5,Ca/Al,-1.2700000000000014,0.2570992026436488,-0.7495637114076302,2.974,-0.5038473460321993,-0.06768260445924446,-1.2534110574398296,2.9063173955407557,-0.0645235083951807,False,rest_of_panel_fit,0.93292840462937,True,2.9708,,False
G241-6,Zuckerman 2010,He,15300.0,8,Mn/Cr,-0.33999999999999986,0.18708286933869708,-1.9505686235523725,1.9059999999999997,-0.1395024808709649,0.04169449508104628,-2.0900711044233375,1.947694495081046,0.0,False,rest_of_panel_fit,0.5361531069756961,True,0.5401,,False
G241-6,Jura 2012,He,15300.0,11,Mn/Cr,-0.29999999999999893,0.26925824035672524,-1.9505686235523725,1.9059999999999997,-0.05680272297275535,0.016946212912649583,-2.0073713465251277,1.9229462129126493,0.0,False,rest_of_panel_fit,0.5762595191802777,True,0.0004,,False
2MASS J0916-4215,Vennes 2024,H,5250.0,10,Ti/Al,-1.200000000000001,0.45,-3.20816,-0.2559999999999998,-0.4333745712121031,-0.26045843491987064,-3.641534571212103,-0.5164584349198704,0.0,False,rest_of_panel_fit,7.030314164708036e-11,False,1.7669,,False
EC 22211-?2525,Doyle 2023,He,14740.0,8,Ca/Al,-0.14999999999999947,0.3905124837953327,-0.7495637114076302,2.974,-0.5509801191817933,-0.0011478242104399072,-1.3005438305894237,2.9728521757895603,0.0,False,rest_of_panel_fit,0.9765876680794675,True,2.9848,,False
2MASS J0916-4215,Vennes 2024,H,5250.0,10,Ca/Al,0.39999999999999947,0.45,-0.7495637114076302,2.974,-0.2504616500712271,-0.10915826061847111,-1.0000253614788575,2.864841739381529,0.0,False,rest_of_panel_fit,2.626267277923873e-09,False,1.6098,,False
2MASS J0916-4215,Vennes 2024,H,5250.0,10,Sr/Ca,-2.6499999999999995,0.45,-3.643570101466785,-2.4167023662701723,-0.3910034336506786,-0.09219611653985674,-4.034573535117464,-2.508898482810029,0.0,False,rest_of_panel_fit,6.132984970581434e-06,False,0.0001,,False
EC 22211-?2525,Doyle 2023,He,14740.0,8,Ti/Al,-1.8999999999999995,0.36742346141747667,-3.20816,-0.2559999999999998,-0.6803133742074828,-0.0008954717987956773,-3.8884733742074826,-0.25689547179879546,0.0,False,rest_of_panel_fit,0.9944157446015601,True,2.5715,,False
Gaia J0644-0352,Rogers 2023,He,17000.0,8,Ti/Al,-2.080000000000001,0.21118712081942875,-3.20816,-0.2559999999999998,-0.6896294898938735,-0.012245983825307505,-3.8977894898938734,-0.2682459838253073,0.0,False,rest_of_panel_fit,0.9678541795429951,True,2.6452,,False
