name,reference,atmosphere,teff,n_measured,pair,obs_log_ratio,sigma,env_lo,env_hi,phase_lo,phase_hi,env_lo_total,env_hi_total,z_pair,exceeds,phase_constraint,rest_p_naive,rest_natural,rest_t_dec_max,kills,survives
Gaia J0218+3625,Doyle 2023,He,14700.0,10,Mn/Cr,-0.16000000000000014,0.2598076211353316,-1.9505686235523725,1.9059999999999997,-0.15900314280310734,0.15900314280310734,-2.10957176635548,2.065003142803107,0.0,False,rest_of_panel_fit,0.9625371243276633,True,2.9708,,False
Gaia J0218+3625,Doyle 2023,He,14700.0,10,Ca/Al,-0.5099999999999998,0.32649655434629016,-0.7495637114076302,2.974,-0.24778833778717813,-0.05303790917996709,-0.9973520491948084,2.920962090820033,0.0,False,rest_of_panel_fit,0.9992612101280413,True,1.3899,,False
Gaia J0644-0352,Rogers 2023,He,17000.0,8,Ca/Al,-0.3600000000000003,0.21118712081942875,-0.7495637114076302,2.974,-0.43974513550869454,-0.03668043156859846,-1.1893088469163247,2.937319568431402,0.0,False,rest_of_panel_fit,0.9879994834740624,True,2.6452,,False
Gaia J1922+4709,Doyle 2023,He,15500.0,8,Ca/Al,-0.6299999999999999,0.291547594742265,-0.7495637114076302,2.974,-0.4505098361389763,-0.00047544737345583954,-1.2000735475466064,2.9735245526265444,0.0,False,rest_of_panel_fit,0.7233658570215012,True,2.0307,,False
Gaia J0644-0352,Rogers 2023,He,18350.0,8,Ti/Al,-1.5899999999999999,0.21610182784974308,-3.20816,-0.2559999999999998,-0.3712347845749464,-0.0007282933878154374,-3.579394784574946,-0.2567282933878152,0.0,False,rest_of_panel_fit,0.8088846301193477,True,1.3249,,False
Gaia J0644-0352,Rogers 2023,He,18350.0,8,Ca/Al,0.05999999999999961,0.21118712081942875,-0.7495637114076302,2.974,-0.23900650554972097,-0.00046095676220692106,-0.9885702169573511,2.9735390432377935,0.0,False,rest_of_panel_fit,0.9525006211762096,True,1.3249,,False
Gaia J1922+4709,Doyle 2023,He,15500.0,8,Ti/Al,-2.1500000000000004,0.291547594742265,-3.20816,-0.2559999999999998,-0.5196919835092446,-0.0006007001131718148,-3.7278519835092445,-0.2566007001131716,0.0,False,rest_of_panel_fit,0.7351675849610033,True,2.0307,,False
GD 362,Xu 2013,He,10540.0,16,Ti/Al,-1.5499999999999998,0.26925824035672524,-3.20816,-0.2559999999999998,-0.009967685981863816,-0.001154735722260103,-3.2181276859818637,-0.2571547357222599,0.0,False,rest_of_panel_fit,0.3465957041755895,True,0.0001,,False
GALEXJ2339,Klein 2021,He,13735.0,9,Mn/Cr,-0.29999999999999893,0.3906404996924922,-1.9505686235523725,1.9059999999999997,-0.17933102220796426,0.15461753813502055,-2.1298996457603367,2.0606175381350202,0.0,False,rest_of_panel_fit,0.022826454613408383,True,3.0,,False
G77-50,Farihi 2011,H,5310.0,7,Ca/Al,-0.6000000000000014,0.32015621187164245,-0.7495637114076302,2.974,-0.4086363746187063,-0.000618674200941749,-1.1582000860263366,2.9733813257990587,0.0,False,rest_of_panel_fit,0.8495376709647702,True,1.5653,,False
G77-50,Farihi 2011,H,5310.0,7,Mn/Cr,-0.40000000000000036,0.32015621187164245,-1.9505686235523725,1.9059999999999997,-0.5687637386012856,0.16950355265493822,-2.519332362153658,2.075503552654938,0.0,False,rest_of_panel_fit,0.8836298187725621,True,2.9708,,False
Gaia J0218+3625,Doyle 2023,He,14700.0,10,Ti/Al,-2.13,0.291547594742265,-3.20816,-0.2559999999999998,-0.30764460893437806,-0.07369624828252164,-3.5158046089343777,-0.3296962482825214,0.0,False,rest_of_panel_fit,0.9996117823726005,True,1.3899,,False
SDSS J1535+1247,Hollands 2022,He,5680.0,10,Ti/Al,-1.799999999999999,0.5220153254455275,-3.20816,-0.2559999999999998,-0.7877773952974741,-0.15373704326545734,-3.995937395297474,-0.4097370432654571,0.0,False,rest_of_panel_fit,0.9089448013384657,True,2.9841,,False
SDSS J1535+1247,Hollands 2022,He,5680.0,10,Ca/Al,-0.09999999999999964,0.4301162633521314,-0.7495637114076302,2.974,-0.5176464061756795,-0.07775902052727275,-1.2672101175833097,2.8962409794727275,0.0,False,rest_of_panel_fit,0.9061367591818742,True,2.9841,,False
SDSS J1535+1247,Hollands 2022,He,5680.0,10,Mn/Cr,-0.40000000000000036,0.35,-1.9505686235523725,1.9059999999999997,-0.5130642498942832,0.1529086157219368,-2.463632873446656,2.0589086157219363,0.0,False,rest_of_panel_fit,0.8926498963998678,True,2.1014,,False
GD 362,Xu 2013,He,10540.0,16,Ca/Al,0.16000000000000014,0.26925824035672524,-0.7495637114076302,2.974,-0.010346286291231355,-0.000625954928043182,-0.7599099976988616,2.973374045071957,0.0,False,rest_of_panel_fit,0.5384856527511888,True,0.0,,False
GD 362,Xu 2013,He,10540.0,16,Ti/Al,-1.5499999999999998,0.26925824035672524,-3.20816,-0.2559999999999998,-0.15218866999761363,-0.0010064596902232825,-3.3603486699976135,-0.25700645969022307,0.0,False,rest_of_panel_fit,0.3644353601457683,True,0.1412,,False
GD 362,Xu 2013,He,10540.0,16,Ni/Co,1.4299999999999997,0.45276925690687087,-1.2030000000000003,2.324,-0.009281045769303109,0.0065392299418489674,-1.2122810457693034,2.3305392299418486,0.0,False,rest_of_panel_fit,0.3894638145574419,True,0.0,,False
GD 362,Xu 2013,He,10540.0,16,Mn/Cr,-0.05999999999999961,0.20615528128088303,-1.9505686235523725,1.9059999999999997,-0.006152138867920431,0.006152138867920431,-1.956720762420293,1.9121521388679201,0.0,False,rest_of_panel_fit,0.7558004858852089,True,0.0003,,False
GD 362,Xu 2013,He,10540.0,16,Ca/Al,0.16000000000000014,0.26925824035672524,-0.7495637114076302,2.974,-0.010635476349545314,-0.0014455265332042888,-0.7601991877571755,2.972554473466796,0.0,False,rest_of_panel_fit,0.5419266707241794,True,0.0005,,False
GALEX 1931+0117,Melis 2011,H,23470.0,7,Mn/Cr,-0.33999999999999986,0.2541653005427767,-1.9505686235523725,1.9059999999999997,-0.2064804623169322,0.06163661794105324,-2.1570490858693048,1.967636617941053,0.0,False,rest_of_panel_fit,0.07001043197242922,True,0.3769,,False
GD362,Zuckerman 2007,H,10450.0,15,Ti/Al,-1.5499999999999998,0.26925824035672524,-3.20816,-0.2559999999999998,-0.0012117511112843538,-0.0007282933878154374,-3.2093717511112843,-0.2567282933878152,0.0,False,rest_of_panel_fit,0.04007270205361549,True,0.0,,False
GD 362,Xu 2013,He,10540.0,16,Mn/Cr,-0.05999999999999961,0.20615528128088303,-1.9505686235523725,1.9059999999999997,-0.00519953043162813,0.00519953043162813,-1.9557681539840006,1.9111995304316278,0.0,False,rest_of_panel_fit,0.7382795405094396,True,0.0002,,False
GD362,Zuckerman 2007,H,10450.0,15,Ni/Co,1.4300000000000006,0.45276925690687087,-1.2030000000000003,2.324,-0.0014101287545931207,0.0010655382306192784,-1.2044101287545934,2.325065538230619,0.0,False,rest_of_panel_fit,0.03925519508209983,True,0.0011,,False
GD 378,Klein 2021,He,15620.0,13,Mn/Cr,-0.08999999999999986,0.8345657553482531,-1.9505686235523725,1.9059999999999997,-0.15793539461882178,0.15793539461882178,-2.1085040181711943,2.0639353946188215,0.0,False,rest_of_panel_fit,0.7547028995838405,True,3.0,,False
GD 40,Klein 2010,He,15300.0,9,Mn/Cr,-0.3099999999999987,0.28372521918222215,-1.9505686235523725,1.9059999999999997,-0.010307681442546013,0.0030696609019796872,-1.9608763049949185,1.9090696609019795,0.0,False,rest_of_panel_fit,0.30818397152623717,True,0.0,,False
GD 40,Jura 2012,He,15300.0,13,Ti/Al,-1.2599999999999998,0.27730849247724093,-3.20816,-0.2559999999999998,-0.07298011889454414,-0.020316283175963457,-3.281140118894544,-0.27631628317596324,0.0,False,rest_of_panel_fit,0.9999132699662951,True,0.1979,,False
GD 40,Jura 2012,He,15300.0,13,Ca/Al,0.4499999999999993,0.27730849247724093,-0.7495637114076302,2.974,-0.1233134800446053,-0.0006153207501582436,-0.8728771914522355,2.973384679249842,0.0,False,rest_of_panel_fit,0.9999709380583607,True,0.5266,,False
GD 362,Xu 2013,He,10540.0,16,Ni/Co,1.4299999999999997,0.45276925690687087,-1.2030000000000003,2.324,-0.002000460142462135,0.0023835693228493327,-1.2050004601424624,2.326383569322849,0.0,False,rest_of_panel_fit,0.3884020924417885,True,0.0007,,False
GD362,Zuckerman 2007,H,10450.0,15,Ca/Al,0.16000000000000014,0.26925824035672524,-0.7495637114076302,2.974,-0.001642965061454893,-0.0003568728239748964,-0.7512066764690851,2.9736431271760253,0.0,False,rest_of_panel_fit,0.30174047260293707,True,0.0005,,False
GD362,Zuckerman 2007,H,10450.0,15,Mn/Cr,-0.0600000000000005,0.20615528128088303,-1.9505686235523725,1.9059999999999997,-0.02867913331834948,0.00854602273848215,-1.979247756870722,1.9145460227384818,0.0,False,rest_of_panel_fit,0.5184801964784294,True,0.0,,False
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,Ca/Al,0.14999999999999947,0.18708286933869708,-0.7495637114076302,2.974,-0.1768852873869336,-0.0002941109695826505,-0.9264489987945639,2.9737058890304175,0.0,False,rest_of_panel_fit,0.9999568773436753,True,0.8727,,False
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,Ti/Al,-1.4800000000000004,0.20149441679609884,-3.20816,-0.2559999999999998,-0.23733051582918202,-0.0008600738620621051,-3.445490515829182,-0.2568600738620619,0.0,False,rest_of_panel_fit,0.9972899915762689,True,0.8727,,False
GD 40,Jura 2012,He,15300.0,13,Mn/Cr,-0.33000000000000007,0.2601922366251538,-1.9505686235523725,1.9059999999999997,-0.1024012015394192,0.030624977623360944,-2.052969825091792,1.9366249776233606,0.0,False,rest_of_panel_fit,0.926551863133269,True,0.0002,,False
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,Mn/Cr,-0.4499999999999993,0.17972200755611428,-1.9505686235523725,1.9059999999999997,-0.1287213719029261,0.05226389616863569,-2.079289995455299,1.9582638961686354,0.0,False,rest_of_panel_fit,0.9721620989402184,True,1.3249,,False
HS2253+8023,Klein 2011,He,14400.0,9,Mn/Cr,-0.41000000000000014,0.17944358444926362,-1.9505686235523725,1.9059999999999997,-0.13950272985533774,0.041694531271936355,-2.09007135340771,1.947694531271936,0.0,False,rest_of_panel_fit,0.6846740283042256,True,0.762,,False
HS2253+8023,Klein 2011,He,14800.0,9,Mn/Cr,-0.41000000000000014,0.17944358444926362,-1.9505686235523725,1.9059999999999997,-0.13950272985516904,0.041694531271930804,-2.0900713534075415,1.9476945312719305,0.0,False,rest_of_panel_fit,0.8848909110504131,True,0.0001,,False
HS 0209+0832,Wolff 2000,H,35900.0,7,Ca/Al,2.3999999999999995,0.26925824035672524,-0.7495637114076302,2.974,-0.6421555510728569,-0.2803078549716107,-1.3917192624804873,2.6936921450283897,0.0,False,rest_of_panel_fit,4.834594013076678e-34,False,3.0,,False
HS2253+8023,Klein 2011,He,14000.0,9,Mn/Cr,-0.4499999999999993,0.17944358444926362,-1.9505686235523725,1.9059999999999997,-0.25605342634675243,0.07625447294345533,-2.206622049899125,1.982254472943455,0.0,False,rest_of_panel_fit,0.5654998840174055,True,1.171,,False
NLTT 43806,Zuckerman 2011,H,5900.0,9,Ti/Al,-1.950000000000001,0.2664582518894846,-3.20816,-0.2559999999999998,-0.8344020006346885,-0.019870188880744655,-4.042562000634688,-0.27587018888074444,0.0,False,rest_of_panel_fit,0.9689292033886011,True,2.8405,,False
J1618,Swan 2023,He,9870.0,8,Mn/Cr,-0.9000000000000004,0.32015621187164245,-1.9505686235523725,1.9059999999999997,-0.0731147481749973,0.029161612149727345,-2.02368337172737,1.935161612149727,0.0,False,rest_of_panel_fit,0.9250659435956079,True,0.6405,,False
NLTT 7547 Spectral,Kawka 2019,H,5198.0,5,Ca/Al,-1.0299999999999994,0.170293863659264,-0.7495637114076302,2.974,-0.5038473460321993,-0.06768260445924446,-1.2534110574398296,2.9063173955407557,0.0,False,rest_of_panel_fit,0.9597092066915363,True,2.9708,,False
NLTT 43806,Zuckerman 2011,H,5900.0,9,Ca/Al,-0.3000000000000007,0.2958039891549808,-0.7495637114076302,2.974,-0.334776754692647,-0.005527244187624514,-1.0843404661002771,2.9684727558123756,0.0,False,rest_of_panel_fit,0.9963966221908954,True,2.4681,,False
PG1225-079,Klein 2011,He,10500.0,9,Sc/Ca,-3.3200000000000003,0.16822603841260722,-3.60529752628474,-2.8397763113422245,-0.029128294526529652,-0.00025724906782764734,-3.63442582081127,-2.840033560410052,0.0,False,rest_of_panel_fit,0.9892901028172592,True,0.0012,,False
PG1225-079,Klein 2011,He,10500.0,9,Mn/Cr,-0.5599999999999987,0.2137755832643195,-1.9505686235523725,1.9059999999999997,-0.10285104945730106,0.030760318424556288,-2.0534196730096737,1.936760318424556,0.0,False,rest_of_panel_fit,0.9929226097419046,True,0.0,,False
PG1225-079,Klein 2011,He,10800.0,9,Sc/Ca,-3.2299999999999986,0.16822603841260722,-3.60529752628474,-2.8397763113422245,-0.029128294526529652,-0.00024853303140459637,-3.63442582081127,-2.8400248443736293,0.0,False,rest_of_panel_fit,0.938160811444509,True,0.0,,False
PG1225-079,Klein 2011,He,10800.0,9,Mn/Cr,-0.5199999999999996,0.2137755832643195,-1.9505686235523725,1.9059999999999997,-0.09350392527671955,0.02794956760968298,-2.044072548829092,1.9339495676096827,0.0,False,rest_of_panel_fit,0.9700469447057659,True,0.0,,False
PG 1225-079,Xu 2013,He,10800.0,11,Sc/Ca,-3.2299999999999986,0.16822603841260722,-3.60529752628474,-2.8397763113422245,-0.07332516951307785,0.026465160526952802,-3.678622695797818,-2.813311150815272,0.0,False,rest_of_panel_fit,0.33499558609655716,True,0.0,,False
PG 1225-079,Xu 2013,He,10800.0,11,Mn/Cr,-0.5199999999999996,0.2137755832643195,-1.9505686235523725,1.9059999999999997,-0.0026505202338321654,0.006916119228756457,-1.9532191437862045,1.9129161192287563,0.0,False,rest_of_panel_fit,0.9793587759741481,True,0.0009,,False
PG 1225-079,Xu 2013,He,10800.0,11,Sc/Ca,-3.2299999999999986,0.16822603841260722,-3.60529752628474,-2.8397763113422245,-0.11348374336591335,-0.0005727850927783606,-3.7187812696506533,-2.840349096435003,0.0,False,rest_of_panel_fit,0.33499558609655716,True,0.0,,False
PG 1225-079,Xu 2013,He,10800.0,11,Mn/Cr,-0.5199999999999996,0.2137755832643195,-1.9505686235523725,1.9059999999999997,-0.004723003204282539,0.004723003204282539,-1.955291626756655,1.9107230032042821,0.0,False,rest_of_panel_fit,0.9793587759741481,True,0.0009,,False
PG1225-079,Klein 2011,He,11100.0,9,Sc/Ca,-3.1500000000000004,0.16822603841260722,-3.60529752628474,-2.8397763113422245,-0.037679496470164886,-0.0008867785828408081,-3.6429770227549048,-2.8406630899250653,0.0,False,rest_of_panel_fit,0.900143842510762,True,0.2045,,False
PG1225-079,Klein 2011,He,11100.0,9,Mn/Cr,-0.46999999999999886,0.2137755832643195,-1.9505686235523725,1.9059999999999997,-0.04141516973194048,0.01234728445121791,-1.991983793284313,1.9183472844512175,0.0,False,rest_of_panel_fit,0.8934506851223366,True,0.0,,False
SDSS 1228+1040,Gansicke 2012,H,20900.0,7,Ca/Al,-0.1900000000000004,0.32015621187164245,-0.7495637114076302,2.974,-0.2778930855811821,-0.00033664491866991497,-1.0274567969888122,2.9736633550813303,0.0,False,rest_of_panel_fit,0.921878182235365,True,1.7371,,False
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,Ti/Al,-1.5600000000000005,0.21610182784974308,-3.20816,-0.2559999999999998,-0.28699995874854245,-0.012362844154845565,-3.4951599587485425,-0.26836284415484535,0.0,False,rest_of_panel_fit,0.9992837135642316,True,0.416,,False
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,Sc/Ca,-3.3200000000000003,0.2782085548648711,-3.60529752628474,-2.8397763113422245,-0.03004877555590696,0.00571887779900937,-3.635346301840647,-2.834057433543215,0.0,False,rest_of_panel_fit,0.7232739170324669,True,0.0001,,False
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,Ca/Al,0.15999999999999925,0.2389560629069704,-0.7495637114076302,2.974,-0.3278503634476788,-0.030401593960752593,-1.0774140748553092,2.9435984060392477,0.0,False,rest_of_panel_fit,0.9619539771516153,True,1.3003,,False
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,Mn/Cr,-0.35000000000000053,0.22135943621178655,-1.9505686235523725,1.9059999999999997,-0.09263395870176272,0.10036058573050577,-2.043202582254135,2.0063605857305054,0.0,False,rest_of_panel_fit,0.7168000140103858,True,1.3564,,False
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,Ni/Co,1.4500000000000002,0.2619160170741759,-1.2030000000000003,2.324,-0.00939560634846226,0.023015799573447848,-1.2123956063484624,2.3470157995734477,0.0,False,rest_of_panel_fit,0.7609599439726474,True,0.0,,False
SDSS J0956+5912 (No Overshoot),Hollands 2022,He,8100.0,9,Ti/Al,-2.4000000000000004,0.26925824035672524,-3.20816,-0.2559999999999998,-0.9847819537687303,-0.49645987699442107,-4.19294195376873,-0.7524598769944209,0.0,False,rest_of_panel_fit,0.9878993887418082,True,3.0,,False
SDSS J0956+5912 (No Overshoot),Hollands 2022,He,8100.0,9,Ca/Al,-0.7999999999999998,0.18708286933869708,-0.7495637114076302,2.974,-0.5916859968418837,-0.18660454441503682,-1.341249708249514,2.7873954555849636,0.0,False,rest_of_panel_fit,0.9796702637712126,True,3.0,,False
SDSS J0956+5912 (Overshoot),Hollands 2022,He,8100.0,9,Ti/Al,-2.4000000000000004,0.26925824035672524,-3.20816,-0.2559999999999998,-0.9785244519211549,-0.4902174268938384,-4.186684451921154,-0.7462174268938382,0.0,False,rest_of_panel_fit,0.9861965000465615,True,3.0,,False
SDSS J0956+5912 (Overshoot),Hollands 2022,He,8100.0,9,Ca/Al,-0.7999999999999998,0.18708286933869708,-0.7495637114076302,2.974,-0.5756808562314584,-0.17250371479343807,-1.3252445676390887,2.801496285206562,0.0,False,rest_of_panel_fit,0.975611636531725,True,3.0,,False
J0956,Swan 2023,He,8720.0,9,Ti/Al,-2.3000000000000007,0.3905124837953327,-3.20816,-0.2559999999999998,-0.9850410248962489,-0.5827136054745744,-4.193201024896249,-0.8387136054745742,0.0,False,rest_of_panel_fit,0.9773911775005475,True,3.0,,False
J0956,Swan 2023,He,8720.0,9,Ca/Al,-0.40000000000000036,0.3905124837953327,-0.7495637114076302,2.974,-0.5776395392117979,-0.21006179770875089,-1.3272032506194282,2.763938202291249,0.0,False,rest_of_panel_fit,0.9147648423933936,True,3.0,,False
SDSS J1043+0855,Melis & Dufour 2017,H,18330.0,10,Ca/Al,1.0999999999999996,0.3905124837953327,-0.7495637114076302,2.974,-0.4511849435945692,-0.03933917664971198,-1.2007486550021995,2.9346608233502884,0.0,False,rest_of_panel_fit,0.9996971990958675,True,2.8831,,False
Ton 345,Wilson 2015,He,19780.0,10,Ca/Al,-0.25,0.2345207879911715,-0.7495637114076302,2.974,-0.021059551316543357,-0.0014368638610053885,-0.7706232627241736,2.972563136138995,0.0,False,rest_of_panel_fit,0.9992666212228317,True,0.0002,,False
Ton 345,Wilson 2015,He,19780.0,10,Mn/Cr,-0.5999999999999996,0.5220153254455275,-1.9505686235523725,1.9059999999999997,-0.034174338493589085,0.006466230857861133,-1.9847429620459616,1.9124662308578608,0.0,False,rest_of_panel_fit,0.9978290671577625,True,0.0003,,False
Ton 345,Jura 2015,He,18700.0,11,Ti/Al,-1.7800000000000002,0.20615528128088303,-3.20816,-0.2559999999999998,-0.010411179572312301,-0.001345513648642438,-3.2185711795723124,-0.2573455136486422,0.0,False,rest_of_panel_fit,0.9982403490525185,True,0.0003,,False
Ton 345,Jura 2015,He,18700.0,11,Ca/Al,-0.27000000000000046,0.20615528128088303,-0.7495637114076302,2.974,-0.043259036222542346,-0.0006957766963036072,-0.7928227476301726,2.9733042233036966,0.0,False,rest_of_panel_fit,0.9917573783247738,True,0.0002,,False
Ton 345,Jura 2015,He,18700.0,11,Mn/Cr,-0.6299999999999999,0.20615528128088303,-1.9505686235523725,1.9059999999999997,-0.043038655432711403,0.01283215862412912,-1.9936072789850838,1.9188321586241288,0.0,False,rest_of_panel_fit,0.9818684146411676,True,0.0006,,False
WD0354+463,Zuckerman 2003,H,7765.0,5,Ca/Al,-0.22500000000000142,0.32015621187164245,-0.7495637114076302,2.974,-0.6269586415991626,-0.0003433678856057387,-1.3765223530067927,2.9736566321143947,0.0,False,rest_of_panel_fit,0.9999964978679046,True,2.9877,,False
WD0446-255,Swan 2019,He,10120.0,14,Ti/Al,-1.5000000000000009,0.35,-3.20816,-0.2559999999999998,-0.35194911172458143,-0.0014904976789271718,-3.5601091117245813,-0.25749049767892696,0.0,False,rest_of_panel_fit,0.9893256333102385,True,1.171,,False
WD0446-255,Swan 2019,He,10120.0,14,Sc/Ca,-3.5,0.26925824035672524,-3.60529752628474,-2.8397763113422245,-0.13992261481116663,-0.0001436442878175459,-3.7452201410959067,-2.839919955630042,0.0,False,rest_of_panel_fit,0.9958468196445147,True,0.8727,,False
WD0446-255,Swan 2019,He,10120.0,14,Ca/Al,-0.10000000000000053,0.35,-0.7495637114076302,2.974,-0.17802981145865016,-0.0006589080158885263,-0.9275935228662804,2.9733410919841115,0.0,False,rest_of_panel_fit,0.996642049232401,True,0.8727,,False
WD0446-255,Swan 2019,He,10120.0,14,Sr/Ca,-3.6999999999999993,0.26925824035672524,-3.643570101466785,-2.4167023662701723,-0.428526038019615,-0.0014858432200346439,-4.0720961394864,-2.418188209490207,0.0,False,rest_of_panel_fit,0.9999878591605267,True,0.8354,,False
WD0446-255,Swan 2019,He,10120.0,14,Mn/Cr,-0.5999999999999996,0.20615528128088303,-1.9505686235523725,1.9059999999999997,-0.1583443441087195,0.04718653583568755,-2.108912967661092,1.9531865358356872,0.0,False,rest_of_panel_fit,0.9986761745836903,True,0.8354,,False
PM J08186-?3110 FORS,Kawka 2021,He,6250.0,7,Mn/Cr,-0.1999999999999993,0.32015621187164245,-1.9505686235523725,1.9059999999999997,-0.5735569357694752,0.1707743357074336,-2.5241255593218477,2.0767743357074333,0.0,False,rest_of_panel_fit,0.9763384566125167,True,2.9848,,False
PM J08186-?3110 X-shooter,Kawka 2021,He,6250.0,7,Mn/Cr,-0.20000000000000107,0.32015621187164245,-1.9505686235523725,1.9059999999999997,-0.5735569357694752,0.1707743357074336,-2.5241255593218477,2.0767743357074333,0.0,False,rest_of_panel_fit,0.9981363116287127,True,2.9848,,False
