name,reference,kind,what,z,kills,survives,n_measured,p_misfit,atmosphere,teff
HS 0209+0832,Wolff 2000,pair,Ti/Al,6.490892301538879,REST_OF_PANEL_NOT_NATURAL,False,7,0.006622516556291391,H,35900.0
HS 0209+0832,Wolff 2000,pair,Ti/Al,10.786534277096317,REST_OF_PANEL_NOT_NATURAL,False,7,0.006622516556291391,H,35900.0
HS 0209+0832,Wolff 2000,pair,Ca/Al,9.790016567241327,REST_OF_PANEL_NOT_NATURAL,False,7,0.006622516556291391,H,35900.0
