name,reference,atmosphere,teff,n_measured,n_limits,elements,p_misfit,p_misfit_full,p_misfit_meteorite,meteorite_cal_status,n_bodies_covering_panel,chi2,chi2_per_dof,p_naive,phase,t_dec,dominant_endmember,dominant_weight,t_cut_K,depth_dex,max_abs_residual_sigma,worst_element,misfit_class,per_element_worst,per_element_worst_p,per_element_worst_p_corrected,n_sources,trace_measured,n_pairs_exceeding,n_flags_fired,errors_assumed
SDSS J093719.14+522802.2,Hollands 2017,He,6600.0,5,0,Na Mg Ca Cr Fe,0.7682119205298014,,0.9411764705882353,OK,1014.0,0.10794724404519557,0.026986811011298892,0.9985947894735837,early,0.0005150889592167055,mantle_BSE,0.3490725279206283,696.9740771064155,1.4249293106201988,0.25027290812657593,Mg,NATURAL,Ca,0.2847682119205298,1.0,7,,0,0,Na Mg Ca Cr Fe
SDSS J223014.70+190514.4,Hollands 2017,He,5600.0,5,0,Na Mg Ca Cr Fe,0.7682119205298014,,0.9607843137254902,OK,1014.0,0.1044526671672629,0.026113166791815724,0.9986827718908874,early,0.0,Mars_BSM,0.35288498274546765,717.6867069910145,1.1448778950363852,0.2312240911311109,Cr,NATURAL,Ca,0.304635761589404,1.0,10,,0,0,Na Mg Ca Cr Fe
SDSS J110216.09+282730.7,Hollands 2017,He,6400.0,5,0,Na Mg Ca Cr Fe,0.7748344370860927,,0.8431372549019608,OK,1014.0,0.13908573527753318,0.034771433819383295,0.9976911325862191,declining,0.28137852982365963,EL,0.7964732524333691,757.3134931444064,0.15494184155681062,0.2989594543448163,Mg,NATURAL,Na,0.25165562913907286,1.0,6,,0,0,Na Mg Ca Cr Fe
J1313,Swan 2023,He,8800.0,5,8,Mg Ca Ti Cr Fe,0.7814569536423841,,,,,0.43677857601626846,0.10919464400406712,0.9793564983828416,building,0.0002106821882370348,H,0.9998762030643622,1394.654791519286,-0.512281361679082,0.4590124653014165,Ca,NATURAL,,,,10,,0,0,
SDSS J083200.38+410937.9,Hollands 2017,He,6070.0,5,0,Na Mg Ca Cr Fe,0.7814569536423841,,0.9411764705882353,OK,1014.0,0.07075846825669269,0.01768961706417317,0.9993887221696202,declining,0.051791018734929056,Moon_BSM,0.3241276418458997,667.0639083314661,1.0644414850280917,0.21171098580230344,Cr,NATURAL,Na,0.4370860927152318,1.0,4,,0,0,Na Mg Ca Cr Fe
J0956,Swan 2023,He,8720.0,9,4,Na Mg Al Si Ca Ti Cr Fe Ni,0.7880794701986755,,,,,2.6364830834196455,0.3295603854274557,0.9550624820621849,declining,3.0,bulk_Earth,0.5414630963393117,119.6310253888667,0.30128926517850324,0.9450497727044606,Na,NATURAL,,,,1,,0,0,
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,1,O Mg Al Si Ca Ti Cr Mn Fe Ni,0.7947019867549668,,0.9411764705882353,OK,772.0,1.9541623605567893,0.2171291511729766,0.9921718752694205,early,0.00024439055183432545,mantle_BSE,0.19528989425803905,1019.4036053589969,0.45116091682213033,1.0257306926178145,Ca,NATURAL,Ca,0.11920529801324503,1.0,5,,0,0,
SDSS J153505.75+124744.2,Hollands 2017,He,5773.0,7,0,Na Mg Ca Ti Cr Fe Ni,0.7947019867549668,,,,,0.6043570169651499,0.10072616949419165,0.9963274334346367,early,0.0,Mars_BSM,0.3506679184398459,112.96657396934732,-0.00031488441358275363,0.5603761586996399,Ca,NATURAL,,,,2,,0,0,Na Mg Ca Ti Cr Fe Ni
J1618,Swan 2023,He,9870.0,8,5,Na Mg Ca Ti Cr Mn Fe Ni,0.8013245033112583,,0.9803921568627451,OK,828.0,1.926872669303345,0.27526752418619216,0.9637766027982031,steady_state,0.0,CHON_organics,0.35115749713923006,1021.5569213071101,-1.1775516743168843,0.6474938873370988,Ca,NATURAL,Ca,0.3973509933774834,1.0,6,,0,0,
EC 22211-?2525,Doyle 2023,He,14740.0,8,1,O Mg Al Si Ca Ti Cr Fe,0.8013245033112583,,,,,1.026645325749228,0.14666361796417543,0.9943871821332407,steady_state,0.0007952395160085413,CO,0.4004428993170654,76.08712371223788,-1.4218498962226576,0.7255268290844683,Ti,NATURAL,,,,2,,0,0,
SDSS J134520.99+115357.6,Hollands 2017,He,6020.0,5,0,Mg Ca Ti Cr Fe,0.8013245033112583,,0.9019607843137255,OK,1007.0,0.35533807347543406,0.08883451836885851,0.9859674426824391,early,0.00018854161348606812,water_ice,0.38073619858795676,489.01933386325356,3.9264019672743116,0.3458160399779331,Ca,NATURAL,Ti,0.5231788079470199,1.0,3,,0,0,Mg Ca Ti Cr Fe
SDSS J154201.75+465020.2,Hollands 2017,He,6060.0,5,0,Na Mg Ca Cr Fe,0.8079470198675497,,,,,0.09429750802980333,0.023574377007450832,0.9989228247748063,early,0.0,L,0.5541857259040514,161.88260939244816,3.4783031820230113,0.22358162623962458,Cr,NATURAL,,,,9,,0,0,Na Mg Ca Cr Fe
SDSS J093916.03+413612.9,Hollands 2017,He,6310.0,5,0,Na Mg Ca Cr Fe,0.8278145695364238,,,,,0.10381575972954357,0.025953939932385893,0.9986985116196656,building,0.0,LL,0.3323313323505362,257.24240560537424,3.985343754897427e-05,0.2451125981978937,Cr,NATURAL,,,,1,,0,0,Na Mg Ca Cr Fe
WD 1145+017 (UV),Le Bourdais 2024,He,15500.0,10,0,O Mg Al Si P S Fe Co Ni Cu,0.8344370860927153,,0.8627450980392157,OK,667.0,1.947318154788347,0.2163686838653719,0.9922735339955603,early,0.0004206668292100583,core,0.3358234917104925,163.1328999749934,2.28641104742114,0.7611048338890913,Co,NATURAL,Ni,0.3841059602649007,1.0,6,Co Cu,0,0,
SDSS J093916.03+413612.9,Hollands 2017,He,6310.0,5,0,Na Mg Ca Cr Fe,0.8344370860927153,,0.9411764705882353,OK,1014.0,0.09645978456852954,0.024114946142132384,0.9988736672142079,early,0.0,core,0.23499955811378376,777.3536759128859,3.681993535570377e-05,0.24063537732017043,Cr,NATURAL,Na,0.4768211920529801,1.0,8,,0,0,Na Mg Ca Cr Fe
SDSS J122035.75+092948.1,Hollands 2017,He,6640.0,5,0,Na Mg Ca Cr Fe,0.8410596026490066,,0.8823529411764706,OK,1014.0,0.08102531952303871,0.020256329880759677,0.9992011932302456,early,0.0,LL,0.5246716127871226,192.89243113901554,-0.00040269083247190015,0.208203996281742,Cr,NATURAL,Na,0.3576158940397351,1.0,4,,0,0,Na Mg Ca Cr Fe
2MASS J0916-4215,Vennes 2024,H,5250.0,10,4,Li Na Mg Al K Ca Ti Cr Fe Sr,0.8543046357615894,,0.8627450980392157,OK,914.0,67.21117456038365,7.467908284487073,5.349048594577789e-11,declining,0.3618535828650797,crust_cont,0.75911820979597,994.1922755914384,-1.5,1.9733355781674802,K,NATURAL,Al,0.25165562913907286,1.0,2,Sr Li K,0,0,
GD 61,Farihi 2011,He,17820.0,5,5,O Mg Si Ca Fe,0.8543046357615894,,0.8823529411764706,OK,876.0,0.4485629922719433,0.11214074806798582,0.9783112989750453,steady_state,0.0,mantle_BSE,0.9547933619445945,1077.4359555704084,0.6754720220133915,0.5502960990256254,O,NATURAL,O,0.33112582781456956,1.0,14,,0,0,
SDSS J004757.06+162836.5,Hollands 2017,He,6620.0,5,0,Na Mg Ca Cr Fe,0.8609271523178808,,,,,0.0522975595307277,0.013074389882681925,0.9996640224413536,early,0.0,L,0.2167616345708776,1281.3018536659986,0.9870489107808176,0.16920529038275958,Cr,NATURAL,,,,1,,0,0,Na Mg Ca Cr Fe
SDSS J123415.21+520808.1,Hollands 2017,He,7630.0,6,0,Na Mg Ca Ti Cr Fe,0.8675496688741722,,0.9215686274509803,OK,973.0,0.40616235092274144,0.0812324701845483,0.9951581592852698,building,0.0,Mars_BSM,0.6285122109076501,8.519859151010792,4.0,0.4174275328925654,Mg,NATURAL,Na,0.12582781456953643,0.7549668874172186,6,,0,0,Na Mg Ca Ti Cr Fe
SDSS J080643.94+405837.7,Hollands 2017,He,6808.0,6,0,Na Mg Ca Cr Fe Ni,0.8675496688741722,,0.9019607843137255,OK,845.0,0.2848019403005034,0.056960388060100675,0.9979191868770995,early,0.0,LL,0.2756111742329953,1306.0565470896202,-0.4839035320535434,0.3826435026658729,Mg,NATURAL,Mg,0.25165562913907286,1.0,3,,0,0,Na Mg Ca Cr Fe Ni
WD0446-255,Swan 2019,He,10120.0,14,0,O Na Mg Al Si Ca Sc Ti V Cr Mn Fe Ni Sr,0.8741721854304636,,1.0,OK,771.0,3.1712028363447455,0.24393867971882657,0.9972432804702438,building,0.0008276136388277503,bulk_Earth,0.34853046624638434,191.80336427178193,2.4007840373689353,1.0183182310499437,Sr,NATURAL,Sr,0.06622516556291391,0.9271523178807948,3,Sc V Sr,0,0,
WDJ183352.68+321757.25,Tremblay 2020,He,7650.0,5,0,Mg Ca Ti Fe Ni,0.8940397350993378,,0.9411764705882353,OK,846.0,0.1852271334051171,0.046306783351279274,0.9959671808419344,early,0.00025889182077081896,core,0.3699351459604212,66.88967616617025,2.7074038268681626,0.30698304206187704,Fe,NATURAL,Ni,0.6225165562913907,1.0,2,,0,0,
GD 17,Gentile Fusillo 2017,He,8300.0,5,3,Mg Ca Ti Fe Ni,0.9006622516556292,,,,,0.08857185098768716,0.02214296274692179,0.9990478550417446,early,0.033756032808785766,LL,0.3100931349861072,588.1183906391899,-0.4635804544105737,0.18825208001274754,Ni,NATURAL,,,,5,,0,0,
J0848,Swan 2023,He,11700.0,6,7,Mg Si Ca Ti Cr Fe,0.9072847682119205,,0.9215686274509803,OK,1007.0,0.3594334725142775,0.0718866945028555,0.9963736798952894,declining,2.539303297375581,core,0.2993507136777536,899.8707908946078,4.0,0.2950421712963964,Ca,NATURAL,Mg,0.5099337748344371,1.0,3,,0,0,
SDSS J075853.46+101347.4,Hollands 2017,He,5500.0,5,0,Na Mg Ca Cr Fe,0.9072847682119205,,1.0,OK,1014.0,0.017416966539493962,0.004354241634873491,0.9999623005860425,early,0.00026514400786739037,CI,0.2719707397204913,289.2769407725382,2.6766461006364035,0.0925487682089088,Cr,NATURAL,Ca,0.5298013245033113,1.0,5,,0,0,Na Mg Ca Cr Fe
