kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_dor,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname,koi_count,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,tic_id,tic_route,has_ephemeris,has_depth,long_period
8873450,K07913.01,Kepler-1975 b,CONFIRMED,CANDIDATE,24.27838,0.0003588,714.4,60.5,-60.5,0.026305,0.007472,-0.00303,0.717,0.229,-0.485,4.564,0.258,-0.258,,29.8,4450,4.583,0.707,14.164,286.74857,45.158741,0,0,0,0,q1_q17_dr25_tce,1,-0.0003588,154.51325,0.00972,-0.00972,1.5832013e+08,position_tic,True,True,False
8873873,K08174.01,,CANDIDATE,CANDIDATE,295.06066,0.02829,72.2,8.4,-8.4,0.007668,0.000543,-0.000546,0.052,0.4,-0.052,16.18,1.4,-1.4,,140.2,5332,4.524,0.762,11.922,286.94946,45.142139,0,0,0,0,q1_q17_dr25_tce,1,-0.02829,314.2081,0.0579,-0.0579,,,True,True,True
8874090,K01404.01,Kepler-834 b,CONFIRMED,CANDIDATE,13.323894,4.715e-05,781.3,33.1,-33.1,0.025595,0.000936,-0.000546,0.073,0.351,-0.073,3.2208,0.0921,-0.0921,,32.33,3751,4.813,0.45,15.931,287.05453,45.18037,0,0,0,0,q1_q17_dr25_tce,2,-4.715e-05,135.24585,0.00265,-0.00265,1.5839209e+08,name_planet,True,True,False
8874090,K01404.02,,CANDIDATE,CANDIDATE,18.906092,0.0002361,375.6,36.5,-36.5,0.017734,0.00137,-0.000647,0.004,0.446,-0.004,4.125,0.315,-0.315,,35.6,3751,4.813,0.45,15.931,287.05453,45.18037,0,0,0,0,q1_q17_dr25_tce,2,-0.0002361,140.82932,0.00989,-0.00989,1.5839209e+08,name_host,True,True,False
8878187,K00697.01,Kepler-650 b,CONFIRMED,CANDIDATE,3.0321479,3.343e-06,488.6,5.4,-5.4,0.022926,5.4e-05,-0.00232,0.836,0.024,-0.571,3.8627,0.0447,-0.0447,,3.65,5827,4.151,1.447,13.684,289.00089,45.15427,0,0,0,0,q1_q17_dr25_tce,1,-3.343e-06,171.73428,0.000878,-0.000878,1.5893405e+08,name_planet,True,True,False
8880123,K03493.01,Kepler-1925 b,CONFIRMED,CANDIDATE,46.716234,0.0008367,345.5,26.4,-26.4,0.016994,0.000814,-0.000881,0.266,0.205,-0.266,7.259,0.417,-0.417,,48.3,5856,4.386,1.092,15.223,289.8288,45.10276,0,0,0,0,q1_q17_dr25_tce,1,-0.0008367,145.5064,0.0153,-0.0153,1.5917723e+08,name_planet,True,True,True
8880317,K07915.01,,CANDIDATE,CANDIDATE,382.5891,0.1096,298.2,36.7,-36.7,0.015918,0.000429,-0.001898,0.042,0.416,-0.042,11.7,10.4,-10.4,,253.7,6337,4.261,1.239,13.678,289.92197,45.10392,0,0,0,0,q1_q17_dr25_tce,1,-0.1096,372.8314,0.0888,-0.0888,,,True,True,True
8881169,K07106.01,,CANDIDATE,CANDIDATE,5.018803,3.882e-05,98.7,11.5,-11.5,0.009155,0.000572,-0.000717,0.172,0.288,-0.172,1.823,0.187,-0.187,,20.92,6220,4.398,1.083,14.541,290.21255,45.134991,0,0,0,0,q1_q17_dr25_tce,1,-3.882e-05,132.25191,0.00634,-0.00634,,,True,True,False
8883329,K02595.01,Kepler-393 b,CONFIRMED,CANDIDATE,9.182443,6.703e-05,87.6,4.8,-4.8,0.008634,0.000309,-0.000363,0.257,0.203,-0.257,4.318,0.178,-0.178,,15.86,6194,4.242,1.314,13.223,290.99527,45.192211,0,0,0,0,q1_q17_dr25_tce,2,-6.703e-05,134.04601,0.00551,-0.00551,1.5958054e+08,name_planet,True,True,False
8883329,K02595.02,Kepler-393 c,CONFIRMED,CANDIDATE,14.613478,0.0001556,72.8,5.2,-5.2,0.007832,0.000321,-0.000379,0.086,0.359,-0.086,5.266,0.19,-0.19,,21.3,6194,4.242,1.314,13.223,290.99527,45.192211,0,0,0,0,q1_q17_dr25_tce,2,-0.0001556,140.41368,0.00701,-0.00701,1.5958054e+08,name_planet,True,True,False
8883593,K00923.01,Kepler-728 b,CONFIRMED,CANDIDATE,5.7434698,7.276e-06,1240.2,17.8,-17.8,0.032147,0.000598,-0.00033,0.001,0.372,-0.001,3.4412,0.0357,-0.0357,,13.174,5897,4.531,0.891,15.543,291.09235,45.115528,0,0,0,0,q1_q17_dr25_tce,1,-7.276e-06,174.89892,0.000999,-0.000999,1.5958043e+08,name_planet,True,True,False
8884274,K02868.01,Kepler-1374 b,CONFIRMED,CANDIDATE,10.652751,6.451e-05,740.7,48.8,-48.8,0.024669,0.001415,-0.00082,0.051,0.42,-0.051,2.684,0.127,-0.127,,31.03,5602,4.571,0.817,15.97,291.34998,45.172272,0,0,0,0,q1_q17_dr25_tce,1,-6.451e-05,136.08994,0.00541,-0.00541,1.5972231e+08,name_planet,True,True,False
8885643,K02789.01,Kepler-1346 b,CONFIRMED,CANDIDATE,3.4016562,1.121e-05,155.9,9,-9,0.013564,0.000297,-0.002335,0.906,0.028,-0.682,1.9617,0.0846,-0.0846,,6.08,6177,4.516,0.906,14.497,291.84131,45.17918,0,0,0,0,q1_q17_dr25_tce,1,-1.121e-05,132.06195,0.00258,-0.00258,63066410,name_planet,True,True,False
8888745,K05579.01,,CANDIDATE,CANDIDATE,34.026987,0.0004382,361.7,79.1,-79.1,0.017904,0.00145,-0.003075,0.5682,0.0076,-0.5003,1.586,0.394,-0.394,,138.4,4999,4.514,0.801,15.592,293.01563,45.16674,0,0,0,0,q1_q16_tce,1,-0.0004382,164.79638,0.00931,-0.00931,,,True,True,True
8890150,K02650.01,Kepler-395 c,CONFIRMED,CANDIDATE,34.989785,0.0003803,498.5,47.2,-47.2,0.020074,0.001455,-0.000907,0.034,0.422,-0.034,4.208,0.235,-0.235,,64.76,3765,4.725,0.521,15.987,293.51108,45.136589,0,0,0,0,q1_q17_dr25_tce,2,-0.0003803,144.20912,0.0097,-0.0097,2.7052076e+08,name_planet,True,True,True
8890150,K02650.02,Kepler-395 b,CONFIRMED,CANDIDATE,7.0542948,4.132e-05,359.3,39.2,-39.2,0.017602,0.000857,-0.001446,0.48,0.048,-0.417,1.716,0.171,-0.171,,28.2,3765,4.725,0.521,15.987,293.51108,45.136589,0,0,0,0,q1_q17_dr25_tce,2,-4.132e-05,136.18961,0.00519,-0.00519,2.7052076e+08,name_planet,True,True,False
8890417,K05580.01,,CANDIDATE,CANDIDATE,173.21988,0.002862,239.5,56,-56,0.014561,0.001276,-0.002629,0.5113,0.4676,-0.2697,1.875,0.411,-0.411,,619,6007,4.158,1.518,13.957,293.61044,45.160938,0,0,0,0,q1_q16_tce,1,-0.002862,201.2993,0.0119,-0.0119,,,True,True,True
