kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,class,vetoes,flags_classify,koi_period,koi_depth,koi_depth_in_tess_band_ppm,pdc_depth_ppm,pdc_total_err_ppm,pdc_z,pdc_z_pop,pdc_ratio,sap_depth_ppm,sap_total_err_ppm,sap_z,sap_z_pop,sap_ratio,sap_minus_pdcsap_z,background_direction,pdc_odd_even_sigma,sap_odd_even_sigma,duration_verdict,z_duration,t14_ratio_observed,t14_ratio_expected_fixed_b,epoch_offset_minutes,epoch_offset_sigma,epoch_search_snr_best,pdc_n_transits,sap_n_transits,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_depth_reduction_spread_ppm,sap_depth_reduction_spread_ppm,pdc_sector_scatter_chi2_per_dof,ra,dec,shard
K01328.01,,4074736,184166635,tic_kic_crossid,CANDIDATE,not_measurable,,,80.966956,4733,4539.087,6695.4187,16661.821,0.12940321,-0.002211413,1.4750585,1538.9655,4518.0999,-0.66302554,-0.17711482,0.33904736,-0.29869053,PDC_DEEPER_THAN_SAP,,,fixed_b,-0.30892986,0.57707996,1.0126476,0,,0.43418844,1,1,"74,75",SPOC,120,,,,295.80585,39.17799,0
K01335.01,Kepler-820 b,4155328,122685803,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,127.8335,1829.9,1784.0994,-30055.112,161507.3,-0.19713787,-0.045719849,-16.846097,729518.5,227170.06,19.045574,5.0155254,408.90014,,,,,inconclusive,,1.6807354,,0,,1.0652031,1,1,"14,40,41,54,55,75,82",QLP,"1800,200,600",,,,291.02014,39.22068,0
K05071.01,,4566848,138041926,tic_kic_crossid,CANDIDATE,not_measured,,,180.41186,4268,4563.3673,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,,,,,,,293.16476,39.631561,0
K04367.01,,4773392,170232566,tic_kic_crossid,CANDIDATE,not_measured,,,170.99575,477.1,484.8535,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,75,SPOC,120,,,,298.03305,39.883179,0
K00367.01,Kepler-1656 b,4815520,120255950,tic_kic_crossid_confirms_name_planet,CONFIRMED,consistent,,,31.578651,2125.4,2043.8824,2193.4844,227.67153,0.61281701,-0.86143934,1.073195,2237.7395,144.57439,1.1080088,0.26462076,1.0948475,0.37416142,SAP_DEEPER_THAN_PDC,0.65505573,1.9127637,fixed_b,-0.60896019,0.9699187,1.0014458,-10.648062,5.9853728,21.248146,8,8,"40,41,53,54,74,80,81,14,26","QLP,SPOC","120,1800",205.35851,86.47069,1.045717,284.47217,39.911812,0
K07716.01,,5097856,137154933,tic_kic_crossid,CANDIDATE,not_measured,,,483.36405,285.4,280.52647,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"81,82",SPOC,120,,,,291.37067,40.216061,0
K05135.01,,5184144,122706882,tic_kic_crossid,CANDIDATE,not_measured,,,314.76537,732,699.43717,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,81,SPOC,120,,,,290.93436,40.358158,0
K05149.01,,5283728,138641842,tic_kic_crossid,CANDIDATE,not_measured,,,43.681309,258,248.85278,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,,,,,,,294.27399,40.462078,0
K00504.01,Kepler-581 b,5461440,184009313,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,40.606895,657.5,638.98266,-434.52945,1356.5336,-0.7910536,-0.23260689,-0.68003324,-149.82713,202.10796,-3.8356485,-1.0185399,-0.23447762,,,0.88334914,0.58795079,inconclusive,,1.8420157,,0,,1.2711268,3,3,"74,75,81,82",SPOC,120,,,1.3552357,295.4328,40.648239,0
K02707.01,Kepler-399 d,5480640,172373693,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,58.033743,807.1,771.91034,5166.6,2887.3726,1.5218528,0.31231847,6.6932644,1498.6688,865.48894,0.83857562,0.2191388,1.9415063,-1.8633371,PDC_DEEPER_THAN_SAP,,,fixed_b,0.049072855,1.0629904,1.0395112,0,,2.0433296,1,1,"74,75,81,82",SPOC,120,212.59786,2.9730209,,299.50174,40.670799,0
K01962.01,,5513648,120107336,tic_kic_crossid,CANDIDATE,not_measurable,,,32.858626,162.8,174.69571,345.00022,101.49902,2.2678912,0.12731061,1.9748637,289.23479,86.820787,1.6481315,0.42726923,1.6556491,-0.44142018,PDC_DEEPER_THAN_SAP,0.70099758,0.25845132,fixed_b,-1.3708861,0.59497766,1.0510333,15.716314,0.71871062,4.0322655,5,5,"40,41,53,54,74,80,81,14,26","QLP,SPOC","120,1800",54.603627,38.426974,1.4691381,284.23398,40.79454,0
K03288.01,Kepler-1458 b,5768816,258349285,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,47.986912,859.3,885.40122,126.45465,615.20975,-1.228037,-0.44195344,0.14282187,762.3437,496.72051,-0.24602056,-0.068872988,0.86101496,0.84311014,SAP_DEEPER_THAN_PDC,0.039661609,2.5982749,tracks_b,-9.8036781,0.4,0.93167569,0,,0.66003712,5,5,"40,41,53,54,74,80,81",SPOC,120,273.84045,137.12977,0.90719686,283.21161,41.038059,0
K01053.02,,5956656,122597885,tic_kic_crossid_over_name_planet,CANDIDATE,not_measurable,,,46.245164,492.1,475.51367,6696.7111,7081.7987,0.8784629,0.19032275,14.08311,-2654.3019,1231.4347,-2.5402501,-0.6707814,-5.5819675,,,,,duration_inconsistent,11.177221,2.4247968,1.0641563,0,,2.2324546,1,1,"81,82",SPOC,120,,,,290.60794,41.201092,0
K05222.01,,6021840,237189356,tic_kic_crossid,CANDIDATE,not_measured,,,367.6758,699.5,674.70609,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"74,80,81",SPOC,120,,,,283.51559,41.335819,0
K03500.01,Kepler-1927 b,6058816,184427149,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,73.750276,233.1,224.82588,459.20781,387.54207,0.60444501,0.06947103,2.0425042,-6.1562139,287.34458,-0.80301483,-0.21353288,-0.02738214,-1.6469813,PDC_DEEPER_THAN_SAP,0.24437476,0.2342856,fixed_b,0.73434294,1.5811388,1.0060049,0,,1.9301751,4,4,"74,75,81,82,14,15,41,54,55","QLP,SPOC","120,1800,600",213.36985,15.596861,2.2818453,296.35461,41.33556,0
K04463.01,,6197344,122066467,tic_kic_crossid,CANDIDATE,not_measurable,,,36.761401,160.9,184.67665,2498.6913,1307.0703,1.7702633,0.38284699,13.530088,-1003.443,210.33464,-5.6340527,-1.487779,-5.4335128,,,,,fixed_b,1.1087583,2.5,1.55947,0,,2.8446992,2,2,"80,82,14","QLP,SPOC","120,1800",136.18393,,0.5667531,289.41428,41.51004,0
K07776.01,,6356400,121944544,tic_kic_crossid,CANDIDATE,not_measured,,,541.92452,1504.2,1659.3991,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,82",SPOC,120,,,,289.28772,41.799938,0
K00854.01,Kepler-705 b,6435936,122066949,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,56.056075,1626,1504.7188,14239.433,7746.0434,4.1024858,0.71461607,9.4631855,14588.353,3647.6478,8.7956132,2.3108317,9.6950696,,,1.5147489,1.5831335,tracks_b,-5.14088,0.7368063,1.0724305,-46.88748,1.2101667,3.9493499,3,3,"80,82,40,41,54,55,74,75","QLP,SPOC","120,200,600",6855.7613,,3.5623393,289.50848,41.812119,0
K05290.01,,6517200,159309398,tic_kic_crossid,CANDIDATE,not_measured,,,435.50635,553.8,533.24459,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,80,SPOC,120,,,,290.20068,41.946289,0
K00270.02,Kepler-449 c,6528464,270779644,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,33.672807,170.9,164.66693,377.31634,210.55664,1.0090793,0.1374723,2.2913911,130.83992,144.47977,-0.23370699,-0.064199051,0.7945731,-3.0550118,PDC_DEEPER_THAN_SAP,5.2941305,3.9001111,tracks_b,-3.6742515,0.75965779,1.0066896,41.067686,1.9748906,5.0269576,9,9,"40,41,54,55,74,75,81,82,14,15","QLP,SPOC","120,1800",85.777822,113.10355,6.7102847,293.73282,41.900829,0
