recno,IRAS,RAB1950,DEB1950,uncMaj,uncMin,uncPA,N12,N25,N60,N100,Fnu12,e_Fnu12,q_Fnu12,Fnu25,e_Fnu25,q_Fnu25,Fnu60,e_Fnu60,q_Fnu60,Fnu100,e_Fnu100,q_Fnu100,Rel12,Rel25,Rel60,Rel100,SNR12,SNR25,SNR60,SNR100,locSNR12,locSNR25,locSNR60,locSNR100,Ncat,Nx12,Nx25,Nx60,Nx100,Cir1,Cir2,Cir3,Flim12,Flim25,Flim60,Flim100,cor12,cor25,cor60,cor100,Plate,A12,A25,A60,A100,NoisC12,NoisC25,NoisC60,NoisC100,NoisR12,NoisR25,NoisR60,NoisR100,Ndup,Nov,nID,Type,IDrec,_RA_icrs,_DE_icrs
60096,"Z02575-0000 ",44.3833,-0.0077,58.0,9.9,76.0,7,,,,0.088861,36.6,2,0.11265,23.0,1,0.214,23.6,1,0.61661,22.3,1,1,,,,2.7756,,,,4.0497,,,,0,1,0,0,0,1,0,0,0.0,0.11188,0.214,0.61661,0.974,1.0,1.0,1.0,832,7,,,,1.552,,,,1.055,,,,0,1,0,,,45.0242,0.1902
60114,"Z02575+0002 ",44.3967,0.0394,34.0,5.2,76.0,8,,,,0.16318,20.9,2,0.11376,23.2,1,0.16762,22.5,1,0.80114,22.4,1,77,,,,5.4491,,,,4.7829,,,,0,1,0,0,0,0,0,0,0.0,0.11376,0.15233,0.80114,0.974,1.0,1.0,1.0,832,15,,,,1.552,,,,1.055,,,,0,1,1,1,914132,45.0378,0.2372
