recno,IRAS,f_IRAS,RA1950,DE1950,NH12,NH25,NH60,NH100,Fnu12,q_Fnu12,Fnu25,q_Fnu25,Fnu60,q_Fnu60,Fnu100,q_Fnu100,X12,X25,X60,X100,w12,w25,w60,w100,n12,n25,n60,n100,Cir,HD,dbl,f_PSC,PSC,Psiz12,Psiz25,Psiz60,Psiz100,NID,IDType,sf12,dRA12,dDE12,Unc12,NS12,sf25,dRA25,dDE25,Unc25,NS25,sf60,dRA60,dDE60,Unc60,NS60,sf100,dRA100,dDE100,Unc100,NS100,_RA_icrs,_DE_icrs
1403,"X0304+019 ",1,46.019999999999996,1.927222222222222,0,0,3,0,0.0, ,0.0, ,3.65,A,0.0, ,X,X,0,X,0,0,0,3,0,0,6,7,14,8,0, ,"           ",0.0,0.0,0.0,0.0,0,0, ,,,,, ,,,,,8,0.0,0,4.9,27, ,,,,,46.66774916666666,2.119390833333333
1435,"X0306+016 ",1,46.51499999999999,1.688333333333333,0,0,0,3,0.0, ,0.0, ,0.0, ,5.22,B,X,X,X,0,0,0,0,0,0,0,0,3,11,8,0, ,"           ",0.0,0.0,0.0,0.0,0,0, ,,,,, ,,,,, ,,,,,9,0.0,0,3.6,18,47.1619561111111,1.8787566666666664
