recno,IRAS,RA1950,DE1950,ANGLE,FLUX12,FLUX25,FLUX60,FLUX100,FQUAL12,FQUAL25,FQUAL60,FQUAL100,RGRID,RELUNC12,RELUNC25,RELUNC60,RELUNC100,TLSNR12,TLSNR25,TLSNR60,TLSNR100,CC12,CC25,CC60,CC100,TRFLUX12,TRFLUX25,TRFLUX60,TRFLUX100,dRA12,dDE12,dRA25,dDE25,dRA60,dDE60,dRA100,dDE100,PNEARC12,PNEARC25,PNEARC60,PNEARC100,NID,IDTYPE,_RA_icrs,_DE_icrs
3543,"02539+0040 ",43.47874999999999,0.6699999999999999,71,0.1092,0.2002,0.251,1.273,1,1,3,3,6954,,,9,6,,,31,104, , ,M,E,,,8,10,,,,,0,0,30,-20,,,0,0,4,4,44.12195694444444,0.8709472222222221
3542,"02535+0052 ",43.38999999999999,0.881111111111111,71,0.1092,0.2002,0.1538,0.9253,1,1,1,3,6954,,,,9,,,,63, , , ,F,,,,8,,,,,,,0,0,,,,0,0,0,44.03391222222221,1.0823549999999997
