recno,IRAS-PSC,RApsc,DEpsc,pscMaj,pscMin,pscPA,q_psc12,psc12,q_psc25,psc25,q_psc60,psc60,q_psc100,psc100,IRAS-FSC,RAfsc,DEfsc,fscMaj,fscMin,fscPA,q_fsc12,fsc12,q_fsc25,fsc25,q_fsc60,fsc60,q_fsc100,fsc100,RAir,e_RAir,DEir,e_DEir,P/F,irMaj,irMin,irPA,d(ir),k(ir),Fir12,Fir25,Fir60,Fir100,f_ir,cl,Akari-IRC,RAirc,DEirc_deg,ircMaj,ircMin,ircPA,d(irc),k(irc),q_S09,S09,e_S09,q_S18,S18,e_S18,r09,r18,Akari-FIS,RAfis,DEfis,fisErr,d(fis),k(fis),q_S65,S65,e_S65,q_S90,S90,e_S90,q_S140,S140,e_S140,q_S160,S160,e_S160,WISE,RAwis,DEwis,wisMaj,wisMin,wisPA,d(wis),Jmag,e_Jmag,Jflx,Hmag,e_Hmag,Hflx,Kmag,e_Kmag,Kflx,W1mag,e_W1mag,W1flx,W2mag,e_W2mag,W2flx,W3mag,e_W3mag,W3flx,W4mag,e_W4mag,W4flx,d2M,cat,RAJ2000,DEJ2000,Glon,Glat,flag
22050,"           ",,,,,,,,,,,,,,"F02558+0026 ",44.603333,0.638611,28,9,75,1,0.119,1,0.193,3,0.234,1,1.08,44.603333,,0.638611,,2,28,9,75,,,0.119,0.193,0.234,1.08,"2  ",g,"              ",,,,,,,,,,,,,,,,"              ",,,,,,,,,,,,,,,,,,"J025824.56+003817.8",44.602371,0.638295,0.163,0.114,65,3.6,,,,,,,,,,13.886,0.04,8.52E-4,13.701,0.054,5.68E-4,9.399,0.043,0.005509,6.699,0.095,0.017489,,1,44.602371,0.638295,175.8458,-48.7409,6
22305,"           ",,,,,,,,,,,,,,"F02577+0046 ",45.069583,0.969722,20,2,76,3,0.37,1,0.074,1,0.145,1,0.629,45.069583,,0.969722,,2,20,2,76,,,0.37,0.074,0.145,0.629,"2  ",s,"0300174+005812",45.07266,0.97019,0.21,0.21,149.5,11.2,0.4,3,0.512,0.00515,0,,,2.63,,"              ",,,,,,,,,,,,,,,,,,"J030017.45+005812.6",45.072727,0.970175,0.034,0.031,25,0.2,5.853,0.023,7.26396,5.321,0.034,7.6172,5.17,0.033,5.6994,5.136,0.071,2.69568,4.971,0.031,1.76432,5.158,0.015,0.273844,5.064,0.03,0.078843,0.731,1,45.072727,0.970175,175.9891,-48.1731,6
