spec_id,wavelength,significance,width_ratio,score,redshift,n_survivors,ra,dec,spectype,data_release,n_lines_in_spectrum,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class,hunt_rank
065ad4eb-5e13-11f0-8b75-525400f334e1,6929.469698425558,15.740884582596511,1.1470781312375213,0.8511433836298032,0.00014142875443212688,1,211.71279,19.23374,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.8511433836298032
0a7de551-5df3-11f0-a8ce-525400f334e1,5167.732202999591,15.35816890028609,1.1750589331850922,0.8270254880332855,0.00016135255282279104,1,178.74912,45.968443,STAR,SDSS-DR17,1,SDSS J115459.79+455806.4,LM*,M2,1.0,lm*,0.8270254880332855
01352ba6-5dfe-11f0-88d2-525400f334e1,6599.332342635646,13.160171917867393,1.157296854984374,0.8164565174727694,-0.00022674239880871028,1,226.0955,0.4588278,STAR,SDSS-DR17,1,GALEX J150422.8+002731,*,sdA,1.0,*,0.8164565174727694
05fc1ec0-5e01-11f0-83d7-525400f334e1,7490.313585107577,10.13640779582352,1.0863409491323897,0.8164339975790409,-8.593573875259608e-05,1,147.32357,2.8148171,STAR,SDSS-DR17,1,2MASS J09491765+0248534,LM*,M1V,1.0,lm*,0.8164339975790409
06555124-5e14-11f0-8204-525400f334e1,6853.3040512604475,13.66227758357052,1.166146563136835,0.8158661601055643,-4.114579496672377e-05,1,230.60611,17.343262,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.8158661601055643
04c8c3be-5e28-11f0-8fe5-525400f334e1,4753.352259428054,8.367191566137462,1.0362494542775231,0.801431855927653,-0.0008991481154225767,1,8.9522896,-8.7274504,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.801431855927653
066b9aeb-5df6-11f0-89c5-525400f334e1,6018.662628995737,8.212115055536719,1.023704985273931,0.8004758610264275,0.00031511607812717557,1,47.687347,-7.7397106,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.8004758610264275
05f8bfdd-5e2f-11f0-b9fb-525400f334e1,6969.473963563211,9.310528946200089,1.0954243796894563,0.7980479103445599,-2.6920797608909197e-05,1,178.34694,37.221717,STAR,SDSS-DR17,1,GALEX J115323.2+371318,WD*,DA,1.0,white dwarf (other),0.7980479103445599
016318e8-5e33-11f0-b74e-525400f334e1,4141.903726221008,8.491044730762203,1.0700231317053237,0.7940276727670341,-4.701141733676195e-06,1,36.665142,24.469645,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7940276727670341
04854012-5e26-11f0-8454-525400f334e1,6706.5628670227825,19.88148716950481,1.10745342923656,0.9074918087031316,8.294702274724841e-05,1,125.34526,20.914163,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.7891233119157667
04370b17-5de1-11f0-8fb1-525400f334e1,6122.094090682573,11.760709348102413,1.1703940067425365,0.7886356097938914,0.00030049338238313794,1,123.62374,3.5720656,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7886356097938914
06074d57-5e33-11f0-95bf-525400f334e1,7830.689431433755,8.416411546395043,1.0834126033170492,0.7870996354244351,-0.004020071122795343,1,38.364301,23.775541,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7870996354244351
030e00bf-5e28-11f0-a91b-525400f334e1,6672.675421386398,10.06487697599744,0.8630821865347993,0.7867810424051251,-9.403267904417589e-05,1,8.78053,-9.9166203,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7867810424051251
002c740c-5e1f-11f0-970e-525400f334e1,6200.118642087248,9.896297886720992,1.1481499931992851,0.7763660093096227,0.0009239239734597504,1,134.15315,3.3801,STAR,SDSS-DR17,1,[HKW2016] 134.153152+03.380103,*,F5,1.0,*,0.7763660093096227
0a50bce9-5e0e-11f0-a886-525400f334e1,3907.5091171056138,9.143044697460164,1.134130708299271,0.7727245367498656,-0.0005237897275947034,1,9.6935718,0.23695342,STAR,SDSS-DR17,1,Gaia DR3 2543285676263876352,PM*,,1.0,pm*,0.7727245367498656
02c541ec-5e2b-11f0-a8aa-525400f334e1,6773.295140086069,9.330803545921569,1.14004217284002,0.7721748910180972,-0.00016559658979531378,1,256.84163,30.965023,STAR,SDSS-DR17,1,LEDA 1925664,G,,1.0,g,0.7721748910180972
0468d17d-5e39-11f0-b785-525400f334e1,4283.512119459382,8.352836734414849,1.1191772440461916,0.7672190500977139,0.0008731071720831096,1,169.73099,16.907377,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7672190500977139
0b17b563-5e0e-11f0-8829-525400f334e1,6663.463144693567,32.70865156244269,1.024148495635274,0.8812828813331762,8.856597446538217e-07,2,9.8976225,0.85146783,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.7663329402897185
0b17b563-5e0e-11f0-8829-525400f334e1,6663.463144693567,32.70865156244269,1.024148495635274,0.8812828813331762,8.856597446538217e-07,2,9.8976225,0.85146783,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.7663329402897185
027a45ef-5e0f-11f0-8b7b-525400f334e1,6313.933449447962,8.203240738099284,1.1311017067117497,0.7569066127757229,0.0001536934869363904,1,112.31232,40.499853,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7569066127757229
02837e9d-5df6-11f0-91d2-525400f334e1,6768.617929197466,19.462968026934565,1.1686600575404698,0.8645025486550579,-7.259484846144915e-05,1,224.29244,40.800207,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.7517413466565722
00b0f23c-5e34-11f0-99fb-525400f334e1,6403.24324468947,8.175158569165207,1.144771139043277,0.7472844565498293,0.00026705185882747173,1,120.0524,7.637376,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7472844565498293
05c2336a-5e17-11f0-b7d5-525400f334e1,6603.892574785453,16.185117472714207,1.281868963717081,0.7461789519662931,-0.000450288993306458,1,263.08011,7.017559,STAR,SDSS-DR17,1,SDSS J173219.22+070103.1,*,,1.0,*,0.7461789519662931
05f997a2-5e34-11f0-b94f-525400f334e1,7095.777679633888,8.809370434446926,1.1684782628531423,0.7424226372792573,6.064536137273535e-05,1,121.76493,6.83959,STAR,SDSS-DR17,1,SDSS J080703.58+065022.5,*,F9,1.0,*,0.7424226372792573
00e4b9d6-5e21-11f0-8059-525400f334e1,6540.335094488955,8.102697662901377,1.1556601261646477,0.7381940886991296,-0.00020506855798885226,1,358.23289,38.17397,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7381940886991296
0b1501e2-5e32-11f0-bd33-525400f334e1,3917.4187710778306,10.389083934349154,1.2094682266924652,0.7371621670599391,9.685550321592018e-05,1,49.671904,19.062783,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7371621670599391
00ac8d30-5e07-11f0-b95a-525400f334e1,6602.372147377998,24.14604266927638,0.9136864380858274,0.8395181582731971,0.004153253976255655,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.7300157898027801
010aacfa-5e18-11f0-8d48-525400f334e1,4820.587829837399,9.575591187752432,1.203776475671245,0.7283477604910644,2.730478263401892e-05,1,283.44322,18.328211,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7283477604910644
044eff97-5de1-11f0-93ad-525400f334e1,5261.38400287851,8.12222078768711,1.1999465877913331,0.7044538060290275,8.97701975191012e-05,1,315.53207,76.424672,STAR,SDSS-DR17,1,SDSS J210207.70+762528.9,LM*,M0V,1.0,lm*,0.7044538060290275
0577e38d-5e36-11f0-a1ac-525400f334e1,3991.167918200923,8.480790940665994,0.9684757545187166,0.8045219180592607,-0.0006560796755366027,1,252.55019,42.309919,STAR,SDSS-DR17,2,HS 1648+4223,RG*,KIII,1.0,rg*,0.6995842765732702
