spec_id,wavelength,significance,width_ratio,ra,dec,data_release,n_overlap,confirm_sigma,cross_confirmed
065ad4eb-5e13-11f0-8b75-525400f334e1,6929.469698425558,15.740884582596513,1.1470781312375211,211.71279,19.23374,SDSS-DR17,0,,False
0a7de551-5df3-11f0-a8ce-525400f334e1,5167.732202999591,15.35816890028609,1.1750589331850922,178.74912,45.968443,SDSS-DR17,0,,False
01352ba6-5dfe-11f0-88d2-525400f334e1,6599.332342635646,13.160171917867393,1.157296854984374,226.0955,0.4588278,SDSS-DR17,0,,False
05fc1ec0-5e01-11f0-83d7-525400f334e1,7490.313585107577,10.13640779582352,1.0863409491323897,147.32357,2.8148171,SDSS-DR17,0,,False
06555124-5e14-11f0-8204-525400f334e1,6853.304051260448,13.66227758357052,1.166146563136835,230.60611,17.343262,SDSS-DR17,0,,False
04c8c3be-5e28-11f0-8fe5-525400f334e1,4753.352259428054,8.367191566137462,1.0362494542775231,8.9522896,-8.7274504,SDSS-DR17,0,,False
066b9aeb-5df6-11f0-89c5-525400f334e1,6018.662628995737,8.212115055536719,1.023704985273931,47.687347,-7.7397106,SDSS-DR17,0,,False
05f8bfdd-5e2f-11f0-b9fb-525400f334e1,6969.473963563211,9.310528946200089,1.0954243796894565,178.34694,37.221717,SDSS-DR17,0,,False
016318e8-5e33-11f0-b74e-525400f334e1,4141.903726221008,8.491044730762203,1.0700231317053237,36.665142,24.469645,SDSS-DR17,0,,False
04370b17-5de1-11f0-8fb1-525400f334e1,6122.094090682573,11.760709348102411,1.1703940067425365,123.62374,3.5720656,SDSS-DR17,0,,False
06074d57-5e33-11f0-95bf-525400f334e1,7830.689431433755,8.416411546395043,1.0834126033170492,38.364301,23.775541,SDSS-DR17,0,,False
030e00bf-5e28-11f0-a91b-525400f334e1,6672.675421386398,10.06487697599744,0.8630821865347993,8.78053,-9.9166203,SDSS-DR17,0,,False
002c740c-5e1f-11f0-970e-525400f334e1,6200.118642087248,9.896297886720992,1.1481499931992851,134.15315,3.3801,SDSS-DR17,0,,False
0a50bce9-5e0e-11f0-a886-525400f334e1,3907.5091171056138,9.143044697460164,1.134130708299271,9.6935718,0.23695342,SDSS-DR17,0,,False
02c541ec-5e2b-11f0-a8aa-525400f334e1,6773.295140086069,9.330803545921569,1.14004217284002,256.84163,30.965023,SDSS-DR17,0,,False
0468d17d-5e39-11f0-b785-525400f334e1,4283.512119459382,8.352836734414849,1.1191772440461916,169.73099,16.907377,SDSS-DR17,0,,False
027a45ef-5e0f-11f0-8b7b-525400f334e1,6313.933449447962,8.203240738099284,1.1311017067117497,112.31232,40.499853,SDSS-DR17,0,,False
00b0f23c-5e34-11f0-99fb-525400f334e1,6403.24324468947,8.175158569165207,1.144771139043277,120.0524,7.637376,SDSS-DR17,0,,False
05c2336a-5e17-11f0-b7d5-525400f334e1,6603.892574785453,16.185117472714207,1.281868963717081,263.08011,7.017559,SDSS-DR17,0,,False
05f997a2-5e34-11f0-b94f-525400f334e1,7095.777679633888,8.809370434446926,1.1684782628531425,121.76493,6.83959,SDSS-DR17,0,,False
00e4b9d6-5e21-11f0-8059-525400f334e1,6540.335094488955,8.102697662901377,1.1556601261646475,358.23289,38.17397,SDSS-DR17,0,,False
0b1501e2-5e32-11f0-bd33-525400f334e1,3917.418771077831,10.389083934349154,1.2094682266924652,49.671904,19.062783,SDSS-DR17,0,,False
010aacfa-5e18-11f0-8d48-525400f334e1,4820.587829837399,9.575591187752432,1.203776475671245,283.44322,18.328211,SDSS-DR17,0,,False
044eff97-5de1-11f0-93ad-525400f334e1,5261.38400287851,8.12222078768711,1.1999465877913331,315.53207,76.424672,SDSS-DR17,0,,False
01977afd-5de1-11f0-8f4d-525400f334e1,6743.727297598055,8.28684095682902,1.266759354235035,310.46691,76.379416,SDSS-DR17,0,,False
003cda7d-5df0-11f0-a990-525400f334e1,6809.26129679685,16.794376191361504,1.4218549890405412,47.488109,0.50493542,SDSS-DR17,0,,False
05f5db0b-5e33-11f0-9907-525400f334e1,5468.900223137945,10.594121896854665,1.3426702137384734,37.876907,24.238581,SDSS-DR17,0,,False
0b715cb0-5df1-11f0-ac74-525400f334e1,7834.296427662112,9.04214699578012,1.3210456878520889,55.633366,-1.2037683,SDSS-DR17,0,,False
03754ab6-5e1c-11f0-b3a0-525400f334e1,7521.4227608716,11.604693926095656,1.4077023271508904,252.93295,36.16425,SDSS-DR17,0,,False
06e6383d-5e0e-11f0-ba5e-525400f334e1,4010.513660865759,8.497649200536074,1.3494477306062227,112.92514,40.027739,SDSS-DR17,0,,False
038fa0d8-5e22-11f0-a706-525400f334e1,7843.321188819617,14.338798635806288,1.5298444166601932,194.2996,51.677306,SDSS-DR17,0,,False
00601e68-5e11-11f0-9362-525400f334e1,6856.460841231655,11.343743450289235,1.4689283938277875,223.44484,14.514496,SDSS-DR17,0,,False
06750ee2-5e22-11f0-9062-525400f334e1,8675.609586977058,8.8261140107618,1.421596533171362,339.78733,14.700282,SDSS-DR17,0,,False
02fb98cd-5e1f-11f0-a36c-525400f334e1,4318.172626237272,9.991406165707756,1.4906374498857071,296.86836,78.649829,SDSS-DR17,0,,False
064bd18b-5e37-11f0-a08d-525400f334e1,4318.172626237272,8.276705492348638,1.4750642499027928,357.33249,-0.483493,SDSS-DR17,0,,False
0299c56d-5e21-11f0-a818-525400f334e1,6266.138646723356,8.361335061156993,1.4809085708951817,357.5974,37.881773,SDSS-DR17,0,,False
03ed1fe8-5e2c-11f0-82cb-525400f334e1,5734.558665459642,8.384435264736535,1.48769916303324,63.030579,-5.4319505,SDSS-DR17,0,,False
03b8e589-5e2b-11f0-9d54-525400f334e1,4331.1178393104055,9.079633392817817,1.5404168783896348,332.35737,0.77701071,SDSS-DR17,0,,False
040247bb-5e34-11f0-9f0b-525400f334e1,4815.041116556669,8.462100761315483,1.50959341682779,120.95178,6.818392,SDSS-DR17,0,,False
000a7794-5e0f-11f0-b02f-525400f334e1,3911.1097238892985,8.547633047720229,1.5429669677886677,113.17064,40.446476,SDSS-DR17,0,,False
