source_id,ra,dec,teff,t_dust_k,tau,anomaly_score,chi_W1,chi_W2
1931870929622075008,346.41197900885,43.56667910435,4823.15,540.5676126878129,0.023892698563638872,0.7238926985636389,1.4945839161598693,6.039428410194051
2416481783371550976,1.89592085105,-16.09240066718,11570.97,2112.153589315526,0.02007432868651371,0.7200743286865137,21.212711003647215,22.173018074085284
5345519462005866240,173.98741290846,-53.05557418974,14803.92,2322.237061769616,0.019346432021913412,0.7193464320219134,22.266134620141457,17.4504852903361
2798132572998105984,1.94844393177,19.85674965791,11186.94,1885.9098497495825,0.019161742493364293,0.7191617424933643,22.7970085202401,27.54036307060014
1900545847646195840,337.49227387928,30.40226636973,10195.74,2051.552587646077,0.018337250347582035,0.718337250347582,15.70624613344105,18.916399952778782
5725503293214289280,118.78701094836,-14.76552917189,11081.48,1926.3105175292153,0.01194606639211973,0.7119460663921198,14.774634891678428,21.359919958694032
53278867446391040,59.61145708005,21.95612212653,6777.15,492.08681135225373,0.010779557885615033,0.7107795578856151,1.0920420967992932,6.012203453058396
5573617512863310208,94.7434584898,-39.70879137458,6052.34,512.2871452420701,0.009401005477119122,0.7094010054771192,0.8583902649052058,4.396361470035946
1890542971890672896,342.60121263775,32.52864872838,30927.09,512.2871452420701,0.0001351199155197564,0.7001351199155197,1.071526368478283,3.8735032648989347
367949367212923392,12.30020082542,38.69153768275,9964.8,,,0.7,-3.9986654317545094,7.441974845004434
2969841487138850560,82.22242595156,-17.67367886885,10684.76,,,0.7,-1.520725881580061,3.2003593649482367
3241526030062069120,77.53987952938,6.63777835174,7497.74,,,0.7,-0.2723306254105972,3.791461863706597
1494157691363079168,217.14137159563,44.06194086779,7425.27,,,0.7,-0.6194836477071457,10.147209840206317
4390134326651497728,260.9568205953,4.97923195625,8585.28,,,0.7,-2.725636848271792,4.284226845573353
