source_id,ra,dec,teff,tau,t_dust_k,multimodal_score,simbad_id,simbad_otype,verdict,n_beam_neighbours,blend_flux_ratio,nearest_arcsec,comoving_neighbour
405084650886316160,15.82359628557,52.66358663152,10273.86,0.0795912694234428,1546.5442404006678,0.2500937259817306,GALEX J010317.6+523949,WD*,background_blend,1,1.106200491371966,5.381255514642895,False
2182358855471134720,310.34124523558,52.8477402726,16648.32,0.0527895506884305,2386.878130217028,0.1944488492317473,Gaia DR3 2182358855471134720,WD*,background_blend,2,0.6080445417523956,1.2902572784991362,False
4187838721315035264,292.650449556,-11.49697385209,16496.0,0.0095994039530633,1025.3756260434056,0.2793562839245683,,,background_blend,1,0.1664288012661892,5.45286923769965,False
235890564653455488,50.68950526809,39.0792349674,6267.2,0.607471080867877,2281.836393989983,0.3303568366196927,SDSS J032245.50+390444.5,WD*,stellar_companion,0,0.0,,False
3934459045528378368,192.68485709362,15.83241762993,8211.4,0.3411368341035568,2500.0,0.5178815822210321,PM J12507+1549,CV*,stellar_companion,0,0.0,11.501547980301916,False
968645932773178624,93.39509003613,46.53846851279,8439.75,0.3117226702720794,1825.3088480801327,0.2906925757248986,Gaia DR3 968645932773178624,WD*,stellar_companion,0,0.0,,False
1884586638232948096,342.31831781781,28.82651199289,9983.75,0.2104037199517318,1910.1502504173625,0.2986319325647883,,,stellar_companion,0,0.0,,False
1520345099103040256,190.16155858226,37.31258364991,7121.96,0.1756960289460463,1841.4691151919865,0.2225212902474559,GALEX J124038.8+371846,WD*,stellar_companion,0,0.0,,False
370046960520651008,19.5735328344,38.71372296404,12257.59,0.1228139651631158,2500.0,0.2899439295875948,GALEX J011817.6+384248,WD*,stellar_companion,0,0.0,11.621440472141115,False
1037258898615762048,131.51012618309,57.05784726545,15415.64,0.0806794833809056,1207.178631051753,0.3748848391667485,SBSS 0842+572,WD*,isolated,0,0.0,,False
1919461497794393984,354.79739713565,38.60793407658,11933.46,0.0733253190428368,1861.669449081803,0.2202559651271625,,,stellar_companion,0,0.0,,False
1698019478002207872,219.73913959482,70.58977024105,10447.14,0.0688441871756359,1332.4207011686144,0.249096373130731,,,isolated,0,0.0,,False
2761950707640652288,350.42460734537,9.3095298625,15277.82,0.0423632554801848,1239.499165275459,0.3209056433458057,GALEX J232141.8+091834,WD*,isolated,0,0.0,,False
3202394239430450304,64.21175386409,-6.06387964642,13677.3,0.0382147030361701,261.8030050083472,0.2751972664630869,,,isolated,0,0.0,,False
1121123185951605632,140.96429760091,73.43995884629,16671.8,0.0312159971186009,1356.661101836394,0.3957829910662896,Gaia DR2 1121123185951605632,WD*,isolated,0,0.0,8.511129190236765,False
589660732992427392,143.9719592061,10.95632976941,11695.19,0.0295182338976072,1328.380634390651,0.2941640596701361,SDSS J093553.28+105722.8,WD*,isolated,0,0.0,,False
2575516721465083904,28.0407695802,12.32916106102,11116.0,0.0238419942062525,1203.1385642737896,0.2985638825373498,GALEX J015209.7+121945,WD*,isolated,0,0.0,,False
2266816879074358272,270.49960278379,72.54432160883,16235.3,0.0236557620273481,1259.6994991652757,0.3060692034267548,Gaia DR3 2266816879074358272,WD*,isolated,0,0.0,,False
6699657603142163456,303.53013241151,-33.08304826414,7927.21,0.0231560773576365,1033.4557595993322,0.2892700764378135,GALEX J201407.1-330457,WD*,isolated,0,0.0,,False
5467145307955566592,151.44209471737,-25.90759210369,19335.56,0.0208832306425686,1405.1419031719531,0.2781875554894795,GALEX J100546.1-255427,WD*,isolated,0,0.0,,False
3527241994919570688,188.79934977548,-14.50130850844,16516.0,0.0113858129688448,318.36393989983304,0.1955952039766891,,,isolated,0,0.0,,False
1773969996038337792,326.39157769927,17.77225920731,6896.42,0.0112419795966275,928.4140233722871,0.2350219868573314,GALEX J214533.9+174620,WD*,isolated,0,0.0,10.68072000352356,False
1242732500581829632,218.65746570055,22.9830816057,22938.8,0.0046910057430021,1619.2654424040063,0.1362039999982618,GALEX J143437.8+225900,WD*,isolated,0,0.0,,False
