source_id,ra,dec,teff,n_axes,axes_flagged,multimodal_score,tau,t_dust_k,chi_W2,score_uv_deficit,score_energy_balance,score_optical_variability,score_ir_variability,ztf_frac_rms,neowise_w1_frac_rms,nuv_deficit_frac
3934459045528378368,192.68485709362,15.83241762993,8211.4,3,"ir_excess,energy_balance,ir_variability",0.5662078483794555,0.3411368341035568,2500.0,53.011073269409835,0.14686859618265077,0.511618614379563,0.3992963168457658,0.9846028141176213,0.01774806050173904,0.25790267838209147,0.11080190547582898
1037258898615762048,131.51012618309,57.05784726545,15415.64,2,"ir_excess,ir_variability",0.42775170810655644,0.08067948338090562,1207.178631051753,105.05408828681223,0.22411069338491965,0.37321246782728135,0.32511508856393206,0.5358142748745396,0.008089111906304644,0.05717514285593381,0.3416257835390733
6699657603142163456,303.53013241151,-33.08304826414,7927.21,2,"ir_excess,energy_balance",0.3630634632841945,0.02315607735763655,1033.4557595993322,4.248788306664541,0.12397541360857199,0.9807594328662741,,,,,0.02420502630114591
2266816879074358272,270.49960278379,72.54432160883,16235.3,2,"ir_excess,ir_variability",0.3527224160707735,0.023655762027348152,1259.6994991652755,51.99297441845027,,,0.3305863880022997,0.8885887495374393,0.008833976631823164,0.15382031077788438,
4187838721315035264,292.650449556,-11.49697385209,16496.0,2,"ir_excess,energy_balance",0.3506206420685909,0.009599403953063336,1025.3756260434056,35.22601209472784,0.12328953425840118,0.7448638166645198,,,,,0.017273504241539228
3202394239430450304,64.21175386409,-6.06387964642,13677.3,2,"ir_excess,energy_balance",0.34540065076489906,0.03821470303616926,261.8030050083472,3.3863134879367536,0.12746766283156158,0.9570992689431395,,,,,0.034620214791304005
1121123185951605632,140.96429760091,73.43995884629,16671.8,2,"ir_excess,optical_variability",0.3054714018081446,0.031215997118600906,1356.661101836394,29.12855113354509,,,0.9901507589705316,,0.1683138844186178,,
1773969996038337792,326.39157769927,17.77225920731,6896.42,2,"ir_excess,energy_balance",0.2949765753413446,0.011241979596627595,928.4140233722871,4.335131133099129,0.1224557612453704,0.7587419981051213,,,,,0.01959299351069305
1520345099103040256,190.16155858226,37.31258364991,7121.96,2,"ir_excess,energy_balance",0.2792869255146636,0.17569602894604644,1841.4691151919865,10.41710623487269,0.12949841028127904,0.531215821594462,,,,,0.05970047235898346
3527241994919570688,188.79934977548,-14.50130850844,16516.0,2,"ir_excess,energy_balance",0.2454919396850283,0.011385812968844876,318.36393989983304,3.684201082447389,0.1256953830329684,0.6211227408484596,,,,,0.02724214528064226
1242732500581829632,218.65746570055,22.9830816057,22938.8,2,"ir_excess,uv_deficit",0.17094991836516543,0.004691005743002126,1619.2654424040065,8.911798056911556,0.5180556798776925,0.0,,,,,0.5170163199030134
