source_id,ra,dec,vim_d_ra,vim_d_ra_error,vim_d_dec,vim_d_dec_error,role,expected,phot_g_mean_mag,ruwe
1684285551274778368,181.67205084812818,71.5463000810374,-1.3475892037798864,0.13608886,-2.9397571133789437,0.120529905,VIM_POSITIVE,BLEND,,
443789594787738880,57.32640792973448,52.658050959370655,0.7217948273982738,0.1451086,-2.8714813582522383,0.12872715,VIM_POSITIVE,BLEND,,
1896904604433139840,330.3558403093481,29.916681882801182,-5.5425428807229835,0.120953575,-2.8164343115666894,0.21268772,VIM_POSITIVE,BLEND,,
5633179805789766912,141.20313945821232,-30.33942907546077,4.956255697675025,0.26732677,-4.683413358198989,0.31431192,VIM_POSITIVE,BLEND,,
479982768792122368,81.55522287957126,65.18809232201778,0.4696634413014394,0.22045407,-2.93475025236001,0.18150036,VIM_POSITIVE,BLEND,,
5832169218356879360,239.7828644696601,-63.19940762493005,-3.634250875217552,0.07175572,2.3523716795135194,0.08408732,VIM_POSITIVE,BLEND,,
5357508261923006848,156.3924937927531,-52.121394516559285,7.51061649659036,0.43043822,25.154498526927906,0.4262638,VIM_POSITIVE,BLEND,,
5572058130497293696,94.24089059652293,-40.59880460443619,-6.831415481697753,0.31830895,20.877617695832335,0.36254826,VIM_POSITIVE,BLEND,,
3546172256552462464,172.47582861510855,-18.59257831602151,-16.64644294015029,0.42099577,-7.843786919370294,0.28001076,VIM_POSITIVE,BLEND,,
5588421509224768512,115.472919761033,-35.19181487488562,0.079833292688875,0.10482847,3.5891941822467435,0.1141637,VIM_POSITIVE,BLEND,,
2535874899173200640,13.660665675402845,-1.0394661602169897,10.941125521240295,0.4449932,2.75763350060807,0.23067355,VIM_POSITIVE,BLEND,,
2300264022791814784,328.2251177464074,83.48281534087815,-3.19670149388839,0.13586968,1.7271734764465758,0.14326635,VIM_POSITIVE,BLEND,,
5931122241251399680,249.62610210781597,-52.48122201356498,-11.02186573559672,0.5012866,-0.833459781127874,0.2907679,VIM_POSITIVE,BLEND,,
5290790892769630976,121.30569705265414,-60.4808744253678,0.6099102188210784,0.047237564,3.2702834347384147,0.0501948,VIM_POSITIVE,BLEND,,
6914296124154595712,311.5883245129432,-5.194017475782015,3.0707237973334967,0.39612183,7.22768421122233,0.22630748,VIM_POSITIVE,BLEND,,
3271412134791353984,56.16666338828967,3.0737346865491273,11.396643417186157,0.2931537,-7.727996807247217,0.20517349,VIM_POSITIVE,BLEND,,
5238164207513373952,164.69758435648026,-67.21039516441803,-17.942693928326463,3.0240366,1.8879623242239436,1.5847243,VIM_POSITIVE,BLEND,,
3133668096907271040,99.20039936720964,6.782810274188818,-1.4131318615871327,0.38331458,7.399342216199601,0.3380668,VIM_POSITIVE,BLEND,,
3030262537311759616,114.281538019721,-13.889219918688042,-2.992940933823394,0.411112,-4.421661266009256,0.25664008,VIM_POSITIVE,BLEND,,
960972922159488640,92.51869646332075,42.355768471782454,-6.651468783796471,5.480506,-21.417290240605507,5.2345915,VIM_POSITIVE,BLEND,,
5332639920263026560,174.80499612356272,-64.82686974860597,7.19946299359224,2.2204442,-9.901391484577552,1.384265,VIM_POSITIVE,BLEND,,
4820673633789561984,78.73154855630591,-37.46167007024384,-12.52718649208772,0.37645435,6.034233346628551,0.3361932,VIM_POSITIVE,BLEND,,
1078876272719635712,169.68699187766623,74.08789580585251,1.497932036113149,0.08708721,-1.3796065288445312,0.0948346,VIM_POSITIVE,BLEND,,
3045916146913363072,104.37088300537106,-12.186204661462375,2.91249966677135,0.14287928,1.424709772193695,0.20415807,VIM_POSITIVE,BLEND,,
1138608513210028672,116.91253653279384,78.16954523282116,-3.0999518224655196,0.3058606,4.856268547246254,0.27135056,VIM_POSITIVE,BLEND,,
1884092377689264384,341.9993855118923,27.723459685914136,9.647136435078279,0.16128077,11.174002603008939,0.1690814,VIM_POSITIVE,BLEND,,
6167349870555674496,199.79511266472556,-34.29649083911846,18.635481925919724,0.8559907,-3.357094034322053,0.5701396,VIM_POSITIVE,BLEND,,
1228249291039570560,217.99109111703004,14.981599935644214,-6.761577519184847,0.20022978,0.3711700484460631,0.19568163,VIM_POSITIVE,BLEND,,
5369452669046263680,176.37649493615882,-52.327970618328415,-0.16459750331199674,0.08533566,2.4953265815855463,0.087046884,VIM_POSITIVE,BLEND,,
5861540713035308032,192.39925373121764,-65.63412724304509,3.0253213378014063,0.26142612,-5.414453171682841,0.27127728,VIM_POSITIVE,BLEND,,
1000119251255360896,103.47469571563433,55.688912748085905,-1.1844626212026566,0.43033797,22.90573279961136,0.41240844,VIM_POSITIVE,BLEND,,
4093815530686453504,273.1694171176052,-21.443330369687715,14.429486287642089,0.8738816,-21.206972548758273,0.68063104,VIM_POSITIVE,BLEND,,
6431397420466566144,276.30306780033646,-70.57414905152827,4.3239880938092545,0.21594924,6.491419183384398,0.32889858,VIM_POSITIVE,BLEND,,
5578126025934428160,103.25952563616818,-36.684691432452254,-2.3304645375069497,0.17599124,1.0041748614872443,0.9595517,VIM_POSITIVE,BLEND,,
6074169700383144064,193.45518898477403,-53.66661621913863,-1.040104700624337,0.08738599,2.924399581040313,0.10148297,VIM_POSITIVE,BLEND,,
5790326787939930368,208.49166982779556,-75.03466802948294,-5.435879753996261,0.259503,0.8373280014179484,0.27163506,VIM_POSITIVE,BLEND,,
1999993508995184512,334.2992613763357,49.99688127505778,-5.868225411486483,0.21934287,-0.6609675433864557,0.21469602,VIM_POSITIVE,BLEND,,
2178978750567850752,319.87675800558054,57.344435817396494,0.47852056578226887,0.07970431,-1.7527487203543697,0.09932105,VIM_POSITIVE,BLEND,,
5936837704472341120,253.83078585814613,-50.306271673616834,3.2081719213275806,0.120989665,1.4906922829726301,0.10282544,VIM_POSITIVE,BLEND,,
546836232559153664,38.154748147250366,73.59000543125408,18.189493339832044,0.37688768,8.081133349134912,0.41078675,VIM_POSITIVE,BLEND,,
