source_id,vet_class,flags,kind,t_peak,delta_g,delta_bp,delta_rp,ratio_bp_rp,ratio_err,n_transits_episode,score,phot_g_mean_mag,bp_rp,ruwe,min_n_obs_g,rms_out_of_episode_g,ra,dec,l_deg,b_deg,reproduced,simbad_status,vsx_status,n_gaia_30as,ztf_n,ztf_class,ztf_band,ztf_period_d,ztf_t0,ztf_duration_d,ztf_depth,ztf_sde,ztf_rms,ztf_n_low_points,fate,fate_flags,simbad_main_id,simbad_otype,simbad_sep_arcsec,vsx_name,vsx_type,vsx_period
442663660521553152,SURVIVES_FLAGGED,gaia_class:RS,DIP,2481.29,-0.147432,-0.157482,-0.134184,1.17363,0.138344,3,74.4141,14.2837,1.07036,1.03395,9,0.0034316,51.6483,51.0962,146.18,-4.6353,,NO_MATCH,OK,7,1791,ZTF_QUIET,zr,0.998307,3106.57,0.1,0.0629078,15.3849,0.04828,0,KNOWN_VARIABLE(VSX:RS),,,,,Gaia DR3 442663660521553152,RS,
1090811746318400128,SURVIVES,,DIP,1912.79,-0.159322,-0.177519,-0.154014,1.15261,0.0583376,2,73.0295,14.017,0.807258,0.979964,9,0.00308527,125.276,63.5552,152.712,34.0151,,OK,OK,1,1965,ZTF_DIPS_APERIODIC,zr,5.7764,3021.91,0.05,0.271447,3.00378,0.0100929,42,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1090811746318400128,*,0.53424,Gaia DR3 1090811746318400128,VAR,0.037212
1995085052866061824,SURVIVES,,DIP,1948.8,-0.111059,-0.135566,-0.119851,1.13112,0.12993,2,72.9591,15.4897,1.09627,0.982834,9,0.00215273,359.275,57.1133,115.577,-4.98045,,OK,OK,12,1753,ZTF_DIPS_APERIODIC,zr,8.43693,3048.12,0.1,0.367056,2.41674,0.0097993,31,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1995085052866061824,*,0.934979,Gaia DR3 1995085052866061824,VAR,0.0145843
213164209066034432,SURVIVES,,DIP,2399.16,-0.130459,-0.124206,-0.141905,0.875276,0.0749951,2,72.5677,14.2679,0.954844,1.06201,8,0.00254242,77.8914,48.2943,160.205,5.19156,,OK,OK,9,1529,ZTF_DIPS_APERIODIC,zr,17.2217,3030.62,0.05,0.274364,2.29693,0.00899849,21,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 213164209066034432,*,0.0491477,Gaia DR3 213164209066034432,VAR,0.0147253
5826393964815893248,SURVIVES,,DIP,2689.81,-0.248912,-0.258678,-0.237805,1.08777,0.0695071,2,71.0736,16.0518,1.16282,0.965059,9,0.00495282,237.567,-63.2795,321.518,-7.05856,,OK,OK,66,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),crowded:66_within_30as,Gaia DR3 5826393964815893248,*,0.036974,Gaia DR3 5826393964815893248,VAR,0.0346718
5437464232085632896,SURVIVES,,DIP,2250.01,-0.128274,-0.113574,-0.107182,1.05964,0.164935,2,70.4733,15.4788,1.42941,0.963042,9,0.00257413,141.741,-35.2,262.513,11.1664,,OK,OK,7,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 5437464232085632896,*,0.197555,Gaia DR3 5437464232085632896,VAR,0.0373714
4482502924111031552,SURVIVES_FLAGGED,gaia_class:LPV;ipd_multi_peak,DIP,2403.51,-0.816737,-0.941269,-0.803728,1.17113,0.149447,4,69.5672,10.597,4.45737,0.755575,9,0.0234805,270.865,9.28846,35.9046,14.8404,,OK,OK,16,83,ZTF_NO_DATA,,,,,,,,,KNOWN_VARIABLE(VSX:M),bright_regime_G<11,V* V2127 Oph,Mi*,1.14142,V2127 Oph,M,331
1983962388931972864,SURVIVES,,DIP,2258.11,-0.154566,-0.153065,-0.145132,1.05466,0.0376155,2,69.1141,12.1905,0.604252,0.973804,9,0.00316274,342.542,46.189,102.024,-11.7015,,OK,OK,8,0,ZTF_NO_DATA,,,,,,,,,KNOWN_BINARY(SIMBAD:SB*),,UCAC4 681-127046,SB*,1.14833,Gaia DR3 1983962388931972864,VAR,0.0193101
3375247951334213632,SURVIVES_FLAGGED,gaia_class:RS,BRIGHTENING,1749.98,0.164207,0.142881,0.170529,0.837869,0.100083,2,68.815,14.6584,1.90082,1.03947,9,0.0033746,92.0396,20.6871,189.698,0.27413,,OK,OK,8,3692,ZTF_DIPS_APERIODIC,zr,3.38024,3019.75,0.1,0.00974273,2.61244,0.0113482,3,YOUNG_STELLAR_OBJECT(RS),ztf_dips_aperiodic,[CAB2014] S252 1171,Y*?,0.147768,Gaia DR3 3375247951334213632,RS,
1089067817797074688,SURVIVES,,DIP,2217.63,-0.109883,-0.109667,-0.112901,0.971354,0.0633298,2,68.3961,14.2375,0.858931,0.975695,9,0.00227204,111.799,63.2866,153.127,28.0008,,OK,OK,4,1624,ZTF_QUIET,zr,241.193,3184.72,0.02,0.118969,0.943159,0.00876958,1,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 1089067817797074688,*,0.438607,Gaia DR3 1089067817797074688,VAR,0.0362644
1791360559138506240,SURVIVES,,DIP,2648.82,-0.36795,-0.305433,-0.295573,1.03336,0.109323,2,67.9784,16.4099,1.07607,0.984738,9,0.00765479,319.436,21.3215,70.5612,-19.1623,,OK,OK,5,1650,ZTF_DIPS_APERIODIC,zr,5.31692,3031.62,0.1,0.271776,2.32629,0.0129782,25,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1791360559138506240,*,0.217011,Gaia DR3 1791360559138506240,VAR,0.0357081
