source_id,vet_class,flags,kind,t_peak,delta_g,delta_bp,delta_rp,ratio_bp_rp,ratio_err,n_transits_episode,score,phot_g_mean_mag,bp_rp,ruwe,min_n_obs_g,rms_out_of_episode_g,ra,dec,l_deg,b_deg,reproduced,simbad_status,vsx_status,n_gaia_30as,ztf_n,ztf_class,ztf_band,ztf_period_d,ztf_t0,ztf_duration_d,ztf_depth,ztf_sde,ztf_rms,ztf_n_low_points,fate,fate_flags,simbad_main_id,simbad_otype,simbad_sep_arcsec,vsx_name,vsx_type,vsx_period
6063340507314318848,SURVIVES,,DIP,2314.8,-0.307687,-0.289162,-0.281634,1.02673,0.0694209,2,128.176,15.9553,1.16986,1.01198,8,0.00339482,196.459,-57.5708,304.869,5.24677,,OK,OK,64,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),crowded:64_within_30as,Gaia DR3 6063340507314318848,*,0.505063,Gaia DR3 6063340507314318848,VAR,0.0146739
5735973079151594368,SURVIVES,,DIP,2170.83,-0.224085,-0.231309,-0.220561,1.04873,0.0820741,2,125.892,15.4456,0.85413,0.999307,6,0.00251728,135.944,-12.8007,241.231,21.8835,,OK,OK,3,510,ZTF_QUIET,zr,2.45255,3022.45,0.02,0.238061,0.736549,0.0116378,1,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 5735973079151594368,*,1.51483,Gaia DR3 5735973079151594368,VAR,0.0353656
5354370668051759232,SURVIVES_FLAGGED,gaia_class:RS,DIP,1694.94,-0.147077,-0.165632,-0.139973,1.18331,0.0650981,5,125.366,14.0715,1.53367,1.07666,8,0.00262331,161.648,-53.1546,284.749,5.25213,,NO_MATCH,OK,35,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:RS),crowded:35_within_30as,,,,Gaia DR3 5354370668051759232,RS,
4299455197527853696,SURVIVES_FLAGGED,crowded:1,DIP,2183.96,-0.247566,-0.271711,-0.277325,0.979759,0.0619919,2,120.885,14.9985,0.985805,1.02768,9,0.00289624,303.507,9.79909,51.5089,-13.3937,,OK,OK,13,255,ZTF_QUIET,zr,0.498582,3135.8,0.02,0.166485,0.583853,0.0118219,2,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 4299455197527853696,*,1.04554,Gaia DR3 4299455197527853696,VAR,0.024574
6530347209195388032,SURVIVES_FLAGGED,gaia_class:CV,BRIGHTENING,2451.17,6.2966,6.73462,6.38083,1.05545,0.068826,19,119.038,19.3708,0.558575,1.02571,8,0.230568,358.585,-47.0056,328.617,-67.1736,,OK,OK,1,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:UGSU:+E),,V* DI Phe,CV*,0.594184,DI Phe,UGSU:+E,0.0655503
4226323994806052480,SURVIVES,,DIP,2181.7,-0.17605,-0.169791,-0.165296,1.0272,0.060054,2,115.644,14.5625,0.851881,1.03567,9,0.00215292,310.291,-0.895725,45.394,-24.6507,,OK,OK,4,893,ZTF_DIPS_APERIODIC,zr,19.8179,3053.85,0.1,0.15647,2.80269,0.00924614,6,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 4226323994806052480,*,0.253895,Gaia DR3 4226323994806052480,VAR,0.036263
3695949792071067136,SURVIVES_FLAGGED,gaia_class:SN,BRIGHTENING,2154.74,6.69724,7.66761,6.62933,1.15662,0.0689171,4,115.588,20.1857,0.912291,,9,0.115882,190.921,-0.0826032,298.699,62.7254,,OK,NO_MATCH,3,0,ZTF_NO_DATA,,,,,,,,,UNEXPLAINED,,2dFGRS TGN324Z255,G,4.66721,,,
6621663406523748864,SURVIVES,,DIP,1975.35,-0.320371,-0.327399,-0.298847,1.09554,0.0353064,2,114.826,14.1867,0.821538,0.974581,8,0.00394574,336.434,-26.9775,24.6782,-57.6762,,OK,OK,1,21,ZTF_NO_DATA,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 6621663406523748864,*,1.7382,Gaia DR3 6621663406523748864,VAR,0.0147123
5994085838953128576,SURVIVES,,DIP,2632.38,-0.210171,-0.194043,-0.197635,0.981826,0.032803,2,114.81,13.4152,1.29216,1.02814,9,0.00258885,243.461,-40.4214,339.35,7.72291,,OK,OK,45,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),crowded:45_within_30as,Gaia DR3 5994085838953128576,*,0.997651,Gaia DR3 5994085838953128576,VAR,0.0796322
1028387416030863872,SURVIVES,,DIP,2171.29,-0.379173,-0.383972,-0.38265,1.00345,0.0203078,2,108.971,13.6392,0.794002,1.0142,9,0.00492086,126.126,51.5667,167.231,35.1496,,OK,OK,1,1983,ZTF_DIPS_APERIODIC,zr,15.0021,3030.9,0.1,0.332439,2.60725,0.00999463,26,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1028387416030863872,*,0.204428,Gaia DR3 1028387416030863872,VAR,0.0373128
