source_id,kind,tier,t_peak,t_start,t_end,transit_id_peak,n_transits_episode,delta_g_peak,z_g_peak,delta_g,sigma_g,delta_bp,sigma_bp,delta_rp,sigma_rp,z_bp_episode,z_rp_episode,grey_class,p_grey,ratio_bp_rp,ratio_err,ratio_vs_dust_sigma,coherence,n_partner_contradicting,any_variability_reject,min_n_obs_g,period_class,period_d,period_fap,n_dip_episodes,rms_out_of_episode_g,s_int_g,n_ok_g,med_flux_g,file,epoch_cluster,n_local_coincident,mu_local_coincident,p_local_coincident,score
5946702939434812800,BRIGHTENING,A,1937.97,1937.89,1937.97,29921797881918984,2,9.10738,844.762,9.10762,0.0107563,9.14678,0.037052,9.19504,0.025422,151.63,308.693,GREY,0.0994708,0.994751,0.00594333,118.662,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.00517217,0,39,2587,EpochPhotometry_676054-676090.csv.gz,False,8,5.31323,0.168066,2490.28
4040875007942475904,BRIGHTENING,A,1934.71,1934.71,1934.89,29741649323537048,2,6.15267,357.015,6.18513,0.0121411,5.9219,0.0676263,6.2697,0.0229601,40.8287,217.98,GREY,0.0160115,0.944526,0.0211777,35.673,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.0193976,0.00903704,55,1555.38,EpochPhotometry_459388-459401.csv.gz,True,533,148.078,1.18415e-131,450.937
5969060713789360000,BRIGHTENING,A,2583.34,2583.26,2583.34,65608567408488912,2,6.19799,405.582,6.17394,0.00950185,6.30644,0.0514583,6.22828,0.021527,54.5898,162.192,GREY,0.181861,1.01255,0.0169766,40.4941,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.0197628,0.0101464,67,1801.2,EpochPhotometry_678603-678622.csv.gz,False,25,23.361,0.39429,441.803
4050302358026285312,BRIGHTENING,A,2670.77,2670.77,2670.85,70443011208393760,2,1.38279,181.63,1.38425,0.00114621,1.30769,0.00599536,1.34018,0.00283299,46.2715,62.4152,GREY,0.0112769,0.97575,0.0185726,38.9956,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.00451182,0.00748144,25,30281.2,EpochPhotometry_460464-460474.csv.gz,False,19,34.858,0.998713,433.887
4103477038101304960,DIP,A,2481.95,2481.77,2481.95,60001906361267792,2,-0.342051,-410.835,-0.297857,0.00038413,-0.286525,0.00122571,-0.282661,0.000901998,-32.9416,-42.1158,GREY,0.0997884,1.01367,0.0173423,39.5755,MULTI,0,False,9,PERIOD_UNTESTABLE,,,1,0.0011892,0.000685778,21,130774,EpochPhotometry_466498-466513.csv.gz,False,9,4.38824,0.0353024,354.215
4041238259061973504,BRIGHTENING,A,2291.68,2291.68,2291.75,49480506429552416,2,2.80763,182.984,2.82044,0.00515284,2.76773,0.0292411,2.7911,0.0066795,32.1145,102.761,GREY,0.464674,0.991629,0.0235343,30.0996,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.0113212,0.0136956,27,7144.94,EpochPhotometry_459428-459440.csv.gz,False,89,102.182,0.914444,352.32
1821251783510533120,DIP,A,2178.96,2178.71,2179.21,43248167566492192,5,-0.481411,-298.491,-0.405721,0.000553889,-0.398735,0.00362674,-0.322619,0.00228125,-22.7949,-11.4548,GREY,0.0104555,1.23593,0.122009,3.80357,MULTI,0,False,8,APERIODIC,,0.0143346,3,0.0026087,0.00143888,52,10463.4,EpochPhotometry_207050-207079.csv.gz,False,9,12.6027,0.880636,347.768
4105521859197026688,DIP,A,2128.72,2128.65,2128.72,40470166779635200,2,-0.443052,-206.015,-0.405112,0.000480421,-0.409652,0.00233375,-0.401244,0.00163925,-72.8181,-82.3834,GREY,0.676451,1.02096,0.0237705,28.5667,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00182605,0.00203995,24,33401.7,EpochPhotometry_466738-466761.csv.gz,False,1,3.42685,0.967511,313.746
5369575367669793536,BRIGHTENING,A,2333.49,2333.24,2333.49,51792434313318456,3,0.701619,164.093,0.70861,0.00106758,0.695958,0.00399761,0.709158,0.00266177,82.0932,115.266,GREY,0.254897,0.981387,0.0141702,50.7131,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.00397631,0.00397185,66,23940.2,EpochPhotometry_610379-610507.csv.gz,False,2,3.83492,0.895551,308.665
5958634083766558720,DIP,A,2215.23,2215.23,2215.3,45253524758729488,2,-0.420776,-239.847,-0.38083,0.000501762,-0.387381,0.00205777,-0.369974,0.00159845,-95.2203,-164.89,GREY,0.0940407,1.04705,0.0223454,29.2207,MULTI,0,False,9,PERIOD_UNTESTABLE,,,1,0.0017491,0.00161367,48,43927.8,EpochPhotometry_677407-677420.csv.gz,False,12,17.9206,0.943136,307.915
4046189531753775872,BRIGHTENING,A,2684.35,2684.35,2684.6,71193974112822480,3,1.06402,85.4295,1.05362,0.00115358,1.0269,0.00329417,1.02453,0.0023455,31.8432,44.3184,GREY,0.180467,1.00231,0.0132793,52.5395,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.00602185,0.0122366,27,33111.3,EpochPhotometry_459987-460000.csv.gz,False,4,5.20914,0.763114,303.05
4066731913629844224,DIP,A,1882.21,1882.13,1882.21,26838684814726840,2,-0.419173,-209.386,-0.373319,0.000691284,-0.376203,0.0021991,-0.385493,0.00166859,-53.7046,-99.647,GREY,0.140324,0.975901,0.0186561,38.8129,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00174217,0.00173094,26,41893.6,EpochPhotometry_462322-462347.csv.gz,False,75,76.8296,0.597932,303.044
4041783784348214016,BRIGHTENING,A,2445.96,2445.96,2446.03,58011628992357176,2,8.57195,85.4337,8.45675,0.0247408,8.988,0.129089,7.42857,0.0078156,9.02516,42.21,GREY,0.0111829,1.20992,0.07226,6.78213,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.0395343,0.0931392,48,9094.69,EpochPhotometry_459487-459497.csv.gz,False,141,197.278,0.999989,302.513
5283961860419965184,BRIGHTENING,A,2492.13,2492.13,2492.2,60564910240057192,2,3.28641,112.055,3.32009,0.0177142,3.79188,0.0815915,3.10635,0.0115382,11.1409,126.1,GREY,0.0152981,1.22069,0.0813487,5.89206,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.0155776,0.0196823,147,2560.03,EpochPhotometry_600623-600778.csv.gz,False,11,10.869,0.524384,301.415
5712130723564061824,DIP,A,2178.77,2178.52,2178.85,43237323200271912,4,-0.403902,-110.892,-0.365171,0.000672884,-0.357885,0.00280837,-0.366806,0.00206601,-23.9809,-61.8257,GREY,0.77965,0.975679,0.042609,16.9993,MULTI,0,False,8,PERIOD_UNTESTABLE,,,2,0.00258643,0.0033049,47,13095.3,EpochPhotometry_649373-649501.csv.gz,False,7,7.21367,0.581617,282.375
370895959591587712,DIP,A,2528.69,2528.44,2528.77,62586524503642824,3,-0.426637,-196.834,-0.408024,0.000339638,-0.410551,0.00116274,-0.397733,0.000981409,-97.2364,-125.55,GREY,0.256757,1.03223,0.0220863,30.2347,MULTI,0,False,9,PERIOD_UNTESTABLE,,,1,0.00252077,0.00209735,38,70918.5,EpochPhotometry_041938-042766.csv.gz,False,1,14.0831,0.999999,280.358
1820352795302619008,DIP,A,1893.18,1892.85,1893.18,27445457297515328,4,-0.42768,-164.207,-0.423219,0.000361717,-0.425202,0.00176933,-0.417387,0.00100433,-110.112,-231.094,GREY,0.586925,1.01872,0.0192598,35.373,MULTI,0,False,8,PERIOD_UNTESTABLE,,,1,0.00311577,0.00255317,53,39520.6,EpochPhotometry_206932-206974.csv.gz,False,12,12.4953,0.593723,271.662
4104470897830990464,BRIGHTENING,A,1933.19,1933.19,1933.37,29657701084205376,2,1.16188,174.402,1.15333,0.0025619,1.1639,0.0218051,1.14802,0.00662212,21.7853,78.4674,GREY,0.948624,1.01383,0.0441999,15.5241,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.00604709,0.00581665,28,5341.14,EpochPhotometry_466597-466624.csv.gz,True,39,18.5503,2.30872e-05,269.725
4295777502989602688,BRIGHTENING,A,1932.92,1932.85,1932.92,29642882347885388,2,3.0391,48.1601,3.01813,0.0149834,2.75265,0.0296766,2.63784,0.00200755,4.36587,82.6979,GREY,0.0788937,1.04352,0.130564,5.02801,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.0158574,0.0594456,62,59239.5,EpochPhotometry_488352-488377.csv.gz,False,20,10.9994,0.00928425,269.168
5369575367669793536,BRIGHTENING,A,2313.8,2313.48,2313.8,50704003568157968,3,0.604082,142.812,0.600892,0.000991363,0.591071,0.00368844,0.601187,0.00247845,70.9031,98.9556,GREY,0.440894,0.983174,0.0167151,42.885,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.00397631,0.00397185,66,23940.2,EpochPhotometry_610379-610507.csv.gz,False,2,5.45325,0.972365,261.744
5252366736650465408,DIP,A,2334.22,2334.22,2334.3,51833286634911608,2,-0.370355,-295.853,-0.352859,0.000281266,-0.346933,0.000556801,-0.34519,0.000541424,-119.412,-173.986,GREY,0.238772,1.00505,0.0132119,52.6003,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00192777,0.00120004,47,441858,EpochPhotometry_597116-597162.csv.gz,False,11,8.96111,0.28941,258.858
2014878564261767680,DIP,A,2686.77,2686.7,2686.77,71328155954102608,2,-0.363788,-172.577,-0.365546,0.000549274,-0.365901,0.00181944,-0.357582,0.00136891,-76.2224,-167.566,GREY,0.285078,1.02327,0.0181574,37.2704,MULTI,0,False,7,PERIOD_UNTESTABLE,,,2,0.00202942,0.00198065,49,53881,EpochPhotometry_229035-229177.csv.gz,False,9,7.57615,0.348516,254.733
6095201502389599488,DIP,A,1880.25,1880.17,1880.25,26730136042926812,2,-0.294197,-180.563,-0.291685,0.000528001,-0.293188,0.00227846,-0.282877,0.00180047,-33.2571,-32.6803,GREY,0.406623,1.03645,0.029633,22.3923,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00162903,0.00151208,29,39713.3,EpochPhotometry_692819-692966.csv.gz,False,0,0.444079,1,253.221
4295777502989602688,BRIGHTENING,A,2278.91,2278.91,2278.98,48774553629762232,2,3.00579,45.8743,2.82528,0.0169349,2.69992,0.0271571,2.52056,0.00269473,4.28301,78.896,GREY,0.290159,1.07116,0.136638,4.60224,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.0158574,0.0594456,62,59239.5,EpochPhotometry_488352-488377.csv.gz,False,34,37.6694,0.746878,251.968
5961413683502394496,BRIGHTENING,A,2494.75,2494.68,2494.75,60710161612727176,2,7.04883,88.9509,7.09902,0.0281272,7.43097,0.256992,6.11039,0.0102317,13.7797,27.3563,GREY,0.429374,1.21612,0.173708,2.78559,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.0408291,0.0693118,50,3830.86,EpochPhotometry_677733-677752.csv.gz,False,62,63.1606,0.574866,245.891
5717004858611648896,DIP,A,1878.05,1877.98,1878.3,26608696486457852,4,-0.346354,-167.115,-0.335311,0.00039814,-0.32381,0.000304607,-0.322711,0.000261837,-142.143,-237.17,GREY,0.0113073,1.0034,0.0126902,54.8926,MULTI,0,False,8,PERIOD_UNTESTABLE,,,1,0.0027334,0.00202779,54,895024,EpochPhotometry_649819-649955.csv.gz,False,7,7.26174,0.588517,245.344
4116567308158603392,BRIGHTENING,A,2256.18,2256.18,2256.26,47518116804179704,2,4.19133,196.684,4.20143,0.0124328,3.68915,0.125292,4.43167,0.0322825,12.1762,25.522,GREY,0.0200364,0.832452,0.0632082,13.7252,MULTI,0,False,8,PERIOD_UNTESTABLE,,,0,0.0242371,0.0158496,44,688.069,EpochPhotometry_467987-467999.csv.gz,True,142,61.1851,8.74162e-19,245.15
1962323007966235008,DIP,A,2338.93,2338.86,2338.93,52093739850458880,2,-0.460094,-223.896,-0.41872,0.000978086,-0.417464,0.0041949,-0.430699,0.00315498,-34.2195,-36.3321,GREY,0.642995,0.969271,0.0394323,18.5312,MULTI,0,False,9,PERIOD_UNTESTABLE,,,1,0.00243818,0.00149744,60,10466.1,EpochPhotometry_223088-223243.csv.gz,False,0,2.01879,1,242.87
5340363302252227328,DIP,A,2615.17,2615.09,2615.17,67368327806492976,2,-0.315455,-202.157,-0.31962,0.000493671,-0.322211,0.0020966,-0.314853,0.00166183,-63.5464,-92.1351,GREY,0.599195,1.02337,0.0236191,28.6477,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00186716,0.0014331,50,40010.4,EpochPhotometry_607100-607132.csv.gz,False,17,16.467,0.480272,242.085
1871542277102902528,DIP,A,1867.57,1867.57,1867.65,26029738455085472,2,-0.40656,-308.387,-0.412087,0.00102126,-0.414725,0.00563104,-0.413734,0.00417051,-34.4604,-40.0784,GREY,0.980532,1.00239,0.0547295,12.7464,MULTI,0,False,9,APERIODIC,,0.0117569,4,0.00243096,0,49,7699.09,EpochPhotometry_212709-212786.csv.gz,False,1,5.57939,0.996225,239.732
4056251952898990848,BRIGHTENING,A,2258.19,2258.01,2258.19,47628865489893016,2,1.11874,175.294,1.12342,0.00230482,1.03977,0.00855977,1.10232,0.00369355,22.6777,51.639,GREY,0.14949,0.94325,0.0497926,15.198,MULTI,0,False,9,PERIOD_UNTESTABLE,,,0,0.00663374,0.00584744,49,16220.8,EpochPhotometry_461140-461150.csv.gz,False,146,344.708,1,239.497
1986123174100042496,DIP,A,1881.64,1881.57,1881.64,26807599020557888,2,-0.376346,-161.626,-0.386381,0.000763226,-0.366727,0.00327793,-0.361039,0.00237831,-42.1514,-55.1453,GREY,0.0129093,1.01575,0.0410211,16.6803,MULTI,0,False,8,APERIODIC,,0.0190519,3,0.00229094,0.00218116,60,21972.4,EpochPhotometry_225622-225827.csv.gz,False,0,1.64017,1,238.516
