source_id,kind,tier,t_peak,t_start,t_end,transit_id_peak,n_transits_episode,delta_g_peak,z_g_peak,delta_g,sigma_g,delta_bp,sigma_bp,delta_rp,sigma_rp,z_bp_episode,z_rp_episode,grey_class,p_grey,ratio_bp_rp,ratio_err,ratio_vs_dust_sigma,coherence,n_partner_contradicting,any_variability_reject,min_n_obs_g,period_class,period_d,period_fap,n_dip_episodes,rms_out_of_episode_g,s_int_g,n_ok_g,med_flux_g,file,epoch_cluster,n_local_coincident,p_local_coincident,score,ra,dec,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux,phot_g_mean_flux_over_error,phot_g_n_obs,phot_bp_rp_excess_factor,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,duplicated_source,phot_variable_flag,non_single_star,radial_velocity_error,visibility_periods_used,best_class_name,best_class_score,ecl_frequency,global_ranking,in_vari_eclipsing_binary,kill_reasons,flags,vet_class,cone_checked
6529419225677201536,DIP,A,1903.42,1903.42,1903.49,28011625555711632,2,-0.471075,-235.168,-0.395047,0.000713716,-0.395255,0.00230625,-0.398766,0.00184337,-78.2865,-80.6702,GREY,0.84593,0.991195,0.0219183,32.3386,MULTI,0,False,8,PERIOD_UNTESTABLE,,,2,0.00257306,0.00175883,76,34682.3,EpochPhotometry_741347-743869.csv.gz,False,0,1,217.126,349.426,-45.1402,0.671813,29.2226,10.4943,-1.30531,14.3365,14.6457,13.8629,0.782723,34700,5863.83,618,1.19665,1.07643,0.0365809,0.810479,0,0.0460302,0,False,VARIABLE,0,6.50794,18,ECL,0.883763,0.194377,0.714453,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
3491135789706204928,DIP,A,1781.8,1781.72,1781.8,21286628402315728,2,-0.441457,-219.2,-0.415794,0.000703988,-0.402641,0.00230274,-0.402645,0.00205563,-54.4037,-96.11,GREY,0.182814,0.99999,0.0183502,38.1472,MULTI,0,False,8,PERIOD_UNTESTABLE,,,2,0.00278094,0.00181738,47,28019.4,EpochPhotometry_396809-398019.csv.gz,False,1,0.00442209,211.447,177.892,-25.182,0.612108,24.4257,0.476654,-8.14309,14.5692,14.8915,14.0746,0.816877,28007.3,4126.02,382,1.20277,0.988362,0,0,0,0.0460307,0,False,VARIABLE,0,8.18287,18,ECL,0.740191,0.123454,0.406693,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
6425460676150138496,DIP,A,2218.33,2218.25,2218.5,45424955263472336,3,-0.264843,-176.798,-0.234662,0.000445825,-0.228839,0.00239671,-0.230604,0.00180239,-35.4352,-65.5579,GREY,0.577508,0.992348,0.0340045,20.8106,MULTI,0,False,5,PERIOD_UNTESTABLE,,,2,0.00192321,0.00136571,90,37452.6,EpochPhotometry_730350-730993.csv.gz,False,1,0.00996991,211.338,311.414,-65.7208,0.483185,26.6198,9.43071,-5.16126,14.2535,14.7394,13.6103,1.12915,37458.4,7682.47,725,1.22477,0.984506,0,0,0,0.0205834,0,False,VARIABLE,0,4.13413,28,ECL,0.641859,0.0744291,0.681248,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
3402240476464241792,DIP,A,2584.21,2583.88,2584.21,65656131837010920,4,-0.424486,-128.108,-0.425581,0.000822496,-0.423444,0.00701282,-0.407039,0.00376813,-9.74328,-22.6193,GREY,0.868299,1.0403,0.124564,5.29603,MULTI,0,False,4,PERIOD_UNTESTABLE,,,2,0.00407048,0.00316473,57,4599.57,EpochPhotometry_386631-386952.csv.gz,False,1,0.0232342,209.106,81.3959,20.8652,0.248958,4.37988,0.628921,-0.42092,16.5302,17.337,15.6437,1.69336,4601,2143.56,431,1.29741,1.00608,0,0,0,0.0177045,0,False,VARIABLE,0,,18,ECL,0.411408,0.141382,0.735941,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
262527440724988160,DIP,A,2396.91,2396.66,2397.16,55299776653742928,5,-0.428588,-196.733,-0.226386,0.000604857,-0.243442,0.00192535,-0.238651,0.00151148,-33.6529,-45.146,GREY,0.118974,1.02008,0.0535182,12.7045,MULTI,0,False,8,PERIOD_UNTESTABLE,,,1,0.0024233,0.00179384,64,23953.4,EpochPhotometry_029739-030063.csv.gz,False,0,1,208.895,79.3797,51.3421,0.524061,22.0343,-0.786047,0.650822,14.7393,15.1731,14.1272,1.04592,23946.1,5319.34,506,1.22599,0.982292,0,0,0,0.0471076,0,False,VARIABLE,0,,19,ECL,0.457403,0.139813,0.681859,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
190847735090113664,DIP,A,1935.01,1935.01,1935.08,29758394239038656,2,-0.361119,-124.122,-0.337072,0.000562557,-0.339623,0.00198442,-0.329056,0.00153218,-50.1402,-109.586,GREY,0.121297,1.03211,0.0161245,41.4207,MULTI,0,False,9,APERIODIC,,0.0143085,3,0.00228612,0.00281531,29,52411.6,EpochPhotometry_021666-021919.csv.gz,False,1,0.0111139,208.516,84.3219,38.9347,0.437871,19.6453,0.497662,-3.24392,13.8893,14.2832,13.3103,0.972894,52387.8,3099.07,200,1.22207,1.22479,0.0990271,4.6484,0,0.0850716,0,False,VARIABLE,0,,16,ECL,0.873266,0.2376,0.546651,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
6006456792178379136,DIP,A,2105.95,2105.87,2106.12,39210840154092928,3,-0.248374,-136.066,-0.220775,0.000745487,-0.201771,0.00324495,-0.216488,0.00245102,-24.7677,-44.2273,GREY,0.0522499,0.93202,0.0475145,16.1631,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00183502,0.00153001,42,17724,EpochPhotometry_682809-682942.csv.gz,False,1,0.0168139,208.386,231.747,-38.6035,0.545793,18.3219,-6.99279,-6.48216,15.0662,15.5192,14.4485,1.07073,17720.4,4004.09,323,1.22133,1.00574,0,0,0,0.0889466,0,False,VARIABLE,0,,16,ECL,0.773733,0.0988344,0.699546,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
842069505643385728,DIP,A,2079.99,2079.99,2080.06,37775323643798664,2,-0.393467,-143.72,-0.383335,0.000965343,-0.391795,0.0025139,-0.364905,0.00224111,-49.8842,-56.7985,GREY,0.0690057,1.07369,0.0333713,18.7679,MULTI,0,False,9,PERIOD_UNTESTABLE,,,1,0.00264128,0.00242977,61,22592.3,EpochPhotometry_093881-097402.csv.gz,False,0,1,205.248,179.159,56.3892,0.928871,48.9832,1.35726,-2.13992,14.8021,15.1635,14.2726,0.890967,22599.9,4955.97,508,1.2054,1.00993,0,0,0,0.0283524,0,False,VARIABLE,0,,30,ECL,0.695277,0.42397,0.415077,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
187514458214460928,DIP,A,1711.16,1711.08,1711.16,17380402907636276,2,-0.42486,-143.688,-0.327842,0.000845855,-0.345847,0.00558825,-0.324079,0.00386664,-21.3749,-24.0996,GREY,0.583939,1.06717,0.076649,8.2562,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00225941,0.00275666,22,9950.62,EpochPhotometry_021234-021441.csv.gz,False,1,0.0160558,205.203,80.6507,38.0371,0.193752,3.79966,-0.404203,-1.46924,15.6919,16.13,15.0677,1.06231,9958.21,2050.29,146,1.23241,1.02684,0,0,0,0.101675,0,False,VARIABLE,0,,14,ECL,0.933077,1.4513,0.783554,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
2290759363245613440,DIP,A,2491.09,2491.02,2491.09,60507319188517432,2,-0.371967,-180.093,-0.325565,0.000667265,-0.342025,0.00361234,-0.338628,0.00262005,-29.6887,-65.3102,GREY,0.0901238,1.01003,0.0413683,16.6786,MULTI,0,False,8,APERIODIC,,0.0158648,3,0.00225204,0.00172826,46,16926.3,EpochPhotometry_260098-261095.csv.gz,False,0,1,204.445,310.269,77.8281,0.413023,19.4005,-4.1999,-4.36062,15.1158,15.6016,14.4562,1.14547,16929,3730.92,333,1.23638,1.03414,0.0628787,0.884138,0,0.0291685,0,False,VARIABLE,0,,27,ECL,0.93659,0.242078,0.622374,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
