n_members,n_used,n_trim,k_trimmed,s_raw,s_det,s_trim,err_floor,x_trim,two_pop,gap,dist_kpc,r_gal_kpc,mh_median,cluster,s_field,field_likeness,z_census,assembly_candidate
453,80,70,10,1.4206273203358053,1.5252878676945985,1.4472165904006218,0.04281708404903832,33.79998013744064,False,0.39725147199838684,4.890418807304991,12.87828389079679,-1.1781499981880188,NGC_1798,0.18295285024316982,0.12641704873803608,5.676936826513305,False
604,104,89,15,0.9708064546555281,1.0489860392302395,0.8255977201320737,0.039551860742051866,20.87380225968209,False,0.12040985232150803,4.191715989222361,8.553713409567724,-0.7531499862670898,Hogg_4,0.48495847293734545,0.5874028732295494,4.562037620378276,True
2285,194,160,34,1.2832644027113913,1.160264886077377,0.9542179432820324,0.05798828802317586,16.455356345416945,False,0.08395572387926897,20.617574630322203,5.187685598976589,-1.1457499861717224,NGC_5024,0.44440935035347934,0.4657314961243901,4.210791543092566,False
601,175,157,18,1.6630323592722416,1.568923309579338,1.3381479855635297,0.09221625428895074,14.510977439731743,False,0.24540316741893364,14.891914935725925,11.094182180182564,-1.4931999444961548,IC_4499,0.32557895371690393,0.24330564125147489,3.936455260916744,False
430,58,50,8,0.7430049650112167,0.945916668179034,0.7494345560337898,0.03892350332970032,19.2540365569288,False,0.25120979616117145,3.483425487959772,7.217678147504628,-0.5202500075101852,Ruprecht_101,0.44440935035347934,0.592992872793875,3.805324168004024,False
1335,83,68,15,0.6814029844254255,0.5852323100024042,0.5145577767852128,0.031236032245407615,16.473211858105444,False,0.06062705506180688,14.626871170575885,12.94570795010438,-0.6678000092506409,NGC_6779,0.18295285024316982,0.3555535617131255,3.7876369967664707,False
170,87,80,7,1.1711057472109794,1.1690463462376608,1.019580399416128,0.06410322879921898,15.905289304687106,False,0.21976961122138094,11.53925653695256,3.0466593419410577,-1.3555999994277954,NGC_6235,0.44440935035347934,0.4358747486789412,3.7066945345684412,False
74,48,42,6,0.8893376250140368,1.4638024171933313,0.9729096338994775,0.0547507018844263,17.769811169785555,False,0.3959978815643721,8.503663603698278,9.672766114115477,-0.44985000789165497,Turner_6,0.5698373126864433,0.5857042553916367,3.4972150588472077,False
366,18,13,5,1.0058699748426676,1.0179291542597395,0.9837903138553542,0.03795473970136635,25.920091182180823,False,0.8077102022022145,2.8800768639359244,6.78411351745063,-1.1570000052452087,Pismis_18,0.3954093751788139,0.4019244442743625,3.493189828470626,False
105,52,47,5,0.5430022436449653,1.3259650935976448,1.1970828059932461,0.07004918230404722,17.08917601346622,False,0.3448664443899432,8.919354217113309,12.878241150967904,-0.3544999957084656,Berkeley_92,0.18295285024316982,0.15283224295529813,3.4485101511121483,False
46,28,25,3,0.7504179896995424,1.1208750552090359,1.0570048165894148,0.050340643434483065,20.997046213067915,False,0.3013407699814481,5.3060047831400805,3.2500589882578956,-0.04574999958276749,HSC_2867,0.44440935035347934,0.42044212417823507,3.415439078400878,False
22,10,8,2,1.2261843306362628,0.9842677800866262,0.8624985256184287,0.03256770917962111,26.483242062297943,False,0.0,4.268401436454344,7.730710186110988,-1.162500023841858,HSC_549,0.44440935035347934,0.5152580985977094,3.3920003114253046,False
1802,156,127,29,0.8696931683421134,0.8569323525695145,0.6436974826694065,0.05333676150905645,12.068552054104527,False,0.06644172683208383,21.009120741518522,15.207026181294301,-0.9784500002861023,NGC_1261,0.44440935035347934,0.6904009450379059,3.384694427903448,False
76,37,33,4,0.94248882342875,1.0164420003475183,0.9893511249988935,0.05400009267180932,18.321285687633328,False,0.16487388542732861,3.9018552915689084,6.052489494804169,-0.4302999973297119,UBC_1055,0.3954093751788139,0.3996653616573753,3.2949847684204694,False
244,95,86,9,1.768445346736908,2.0246053869856113,1.8978290386548224,0.1428848793527642,13.282224454060875,False,0.3561597929709337,7.302285950973931,9.232452187640858,-2.299799919128418,Teutsch_105,0.5698373126864433,0.30025745263669423,3.258290824730026,False
154,37,29,8,0.2686471192974597,1.3158428057703826,0.8976476839763509,0.050120094060806586,17.909936140329442,False,0.28163332239281935,8.422101176217094,11.169896808355306,-0.15929999947547913,SAI_109,0.32557895371690393,0.362702382603687,3.248147687255816,False
155,26,22,4,2.5581521393179893,2.4412768117693857,1.649962955010507,0.08252129823722816,19.994389209283582,False,1.1205117311138402,4.207858445073427,7.393277232089139,-1.962149977684021,SAI_116,0.44440935035347934,0.26934504741692783,3.2246435200460795,False
604,124,109,15,0.4026741580691188,0.5904586894276268,0.47996370843625596,0.039195670092926335,12.245324733531607,False,0.16177248913458664,2.775383490115992,9.97477134483015,-0.22974999994039536,Skiff_J0058+68.4,0.5698373126864433,0.8422819947916592,3.2075392621334946,False
512,111,96,15,1.1430845526337623,1.1483948917334752,0.9010786319198743,0.07331856511543,12.289910890935328,False,0.1576366566922136,15.584915428584877,11.668242534387192,-0.9083999991416931,NGC_6934,0.32557895371690393,0.3613213566314544,3.179211223728628,False
351,106,95,11,0.31846248511550945,0.7431683465805411,0.5838567551484255,0.04701531806670665,12.418436780966433,False,0.12425377869483012,2.9694220041349464,6.829100322233899,-0.2216000035405159,Berkeley_44,0.3954093751788139,0.6772369621351639,3.1663368265357246,False
243,84,76,8,1.0335945781230926,1.1086939498415056,0.9899165012779652,0.07620369533195172,12.990400228831154,False,0.17457346084880498,4.514407411898172,5.843992855721387,-0.3458999991416931,Juchert_10,0.44440935035347934,0.4489361979315978,3.163581926988117,False
683,70,57,13,1.1152858843758702,1.0673205051626438,0.763071901100487,0.05508568238757934,13.85245435885793,False,0.22584058555007835,3.43836766006085,5.010882577597016,-1.0145000219345093,Teutsch_268,0.44440935035347934,0.5823951186153771,3.1433063848619276,False
174,52,46,6,0.6324030299624428,0.9458169853107542,0.8568514317791033,0.05751831321504918,14.897019468834412,False,0.28360320282774865,3.4787765224409783,6.309485914948584,-0.33959999680519104,UBC_1057,0.3954093751788139,0.4614678350455866,3.1296784535651034,False
587,156,134,22,0.579548319286108,0.7607353207975863,0.5714088743385278,0.05147163377386846,11.101432623042662,False,0.12458046333856698,13.343090040865869,6.322121244690969,-0.5892000198364258,NGC_5986,0.3954093751788139,0.6919902594032097,3.1294382089123527,False
1619,129,104,25,0.875030530321598,0.8161525674139941,0.588652698845771,0.049800221811585034,11.82028267008306,False,0.1172362780721583,17.048488787769738,12.873617167325808,-0.8341000080108643,NGC_5286,0.18295285024316982,0.3107993059437312,3.129307355620328,False
102,17,14,3,1.3126941242694854,1.2455349379439578,1.2081784122994592,0.057369075311673456,21.05975049686079,False,0.3929786249015026,2.5638905040920714,5.616361802017472,-1.2386000156402588,UFMG_92,0.44440935035347934,0.3678342087801913,3.128846295586336,False
240,57,49,8,0.45619604313522577,0.5413493002691708,0.5121193304632453,0.035483833569205286,14.432469069736847,False,0.16978700866747265,9.603924200898689,1.3408640911658347,-0.40130001306533813,NGC_6325,0.44440935035347934,0.8677847601485421,3.1189666162787053,False
55,26,21,5,2.544363880562782,2.5137333376070967,2.3552202614591544,0.12510040539507516,18.82663972207937,False,0.9376058810785661,20.89296127247583,17.45303911033951,-2.0398000478744507,BH_144,0.44440935035347934,0.18869120550030838,3.1148232827808378,False
325,107,97,10,1.3482765080094337,0.9680972123656151,0.8345392588528553,0.06941727700154937,12.022068495055326,False,0.382260392316216,9.774678563829658,1.5504750546651644,-1.4585000276565552,NGC_6293,0.44440935035347934,0.5325206042006431,3.0859593042349256,False
126,92,89,3,1.9661499901413917,1.8972754980471536,1.8461761819755256,0.14611291819113867,12.635270069416018,False,0.5433893771927767,9.726909370805895,10.140157765687395,-1.7860000133514404,BH_118,0.5693183607637882,0.3083770478257289,3.0793156456439004,False
38,16,13,3,0.662425697655743,0.7493207485019453,0.6307655058182287,0.031306587079420765,20.14801243642618,False,0.2950736787459072,3.5016852331434984,11.62747662856199,-0.40515001118183136,Czernik_20,0.32557895371690393,0.5161648040575127,3.0451729302350206,False
983,242,209,33,0.6541231355354189,0.6482811187176648,0.5615127333894255,0.04605977324793658,12.190957397181295,False,0.04397329823350393,6.791009453581745,1.9728523926323538,-0.6635000109672546,NGC_6171,0.44440935035347934,0.7914501736602088,3.0450441937037898,False
538,132,117,15,1.4621400829553604,1.4291278093267177,1.0140034169010583,0.08900809228095578,11.392260983420886,False,0.11558327795228296,14.076994293747898,5.758444216841799,-1.3690999746322632,NGC_6864,0.44440935035347934,0.4382720442024336,3.026173651849472,False
243,95,84,11,1.6055075659453868,1.2305599266534544,1.0928071848409582,0.09108240415606174,11.998005487081002,False,0.22224219454790628,6.056727468042164,12.338644255435263,-1.333400011062622,HSC_955,0.18295285024316982,0.16741548992450656,2.982376367078728,False
138,26,19,7,0.49348342364430425,0.8213476567854117,0.7120620306731815,0.042355760123083175,16.81145677952595,False,0.29833788481373213,4.421429962812255,7.802591779790778,-0.41860000789165497,Teutsch_143b,0.44440935035347934,0.6241160618174458,2.9082223910354785,False
192,17,14,3,0.7983801162600517,1.1291307766147372,0.8184786573295559,0.04575697992303409,17.887514838310675,False,0.44893169578911873,0.19063025970743286,8.096095368674431,-0.9545000195503235,Chamaleon_I,0.48495847293734545,0.5925120570884717,2.8595076598963702,False
29,12,9,3,1.4839343796528963,2.1964872389880608,1.9122511719085034,0.10754398326499211,17.78110791374214,False,0.7759847498383579,3.569892828763426,11.70902683501715,-1.0262000262737274,CWNU_1720,0.32557895371690393,0.17025951323745986,2.835563382591423,False
1165,86,69,17,0.4217997152879834,0.575040574483869,0.44552567998608134,0.038939447722016796,11.441499714290405,False,0.10393868263723394,3.4217503540006122,11.158013442461225,-0.4565500020980835,NGC_1245,0.32557895371690393,0.7307748314913639,2.829375142219961,False
721,137,114,23,0.8372242310285568,0.76785988729956,0.5648046479426514,0.05391700902597014,10.475444727852071,False,0.1598929127454236,11.153299621111831,2.9274996989103843,-0.9417999982833862,NGC_6333,0.44440935035347934,0.7868372754584756,2.8122038876966937,False
20,11,9,2,0.6553092024743556,0.7644366595230879,0.6839993732115108,0.038449998329767844,17.78932127240071,False,0.0,7.659890743895627,1.8636301992721276,-0.0828000009059906,HSC_166,0.44440935035347934,0.6497218678240749,2.809359550206907,False
74,52,48,4,0.855904986910522,0.8814556791555166,0.8716592294610694,0.06726098606287673,12.959358470395117,False,0.36424586087771793,4.852718335073648,10.211721972495623,-0.4881500005722046,FSR_0344,0.5693183607637882,0.6531432715004774,2.806065250529384,False
415,108,91,17,1.153092106345296,0.7694648428545949,0.7671033618080351,0.07095412722006124,10.81125780645425,False,0.10268088114687801,3.350774393670699,11.409675119985895,-1.0055999755859375,Berkeley_68,0.32557895371690393,0.42442644619562875,2.7764289684793533,False
926,138,113,25,0.9364101820394396,0.9086267633265882,0.6859862353616487,0.06609997889322969,10.378009900271104,False,0.10580342568754819,6.068316960950635,14.080696707812084,-0.5220000147819519,Berkeley_18,0.44440935035347934,0.6478400402876726,2.7733273663918108,False
939,131,111,20,1.317586698719859,1.26429094706432,0.8753843485399682,0.08380373348597658,10.445648566318967,False,0.251571834860719,15.48056085989405,7.497185509266076,-1.047700047492981,NGC_6584,0.44440935035347934,0.5076734020829806,2.7726217804999447,False
928,189,162,27,0.6308462860375642,0.6295629106708044,0.48940870366881767,0.04802343876225789,10.191038298853536,False,0.06395451688145537,9.30899578197409,3.981084156342967,-0.5954999923706055,NGC_6712,0.44440935035347934,0.9080536308855893,2.757221778903715,False
