cluster,survey,n_spectro,s_spectro,err_floor,x_spectro,two_pop,gap,fe_h_median,r_gal_kpc,dist_kpc,s_field,field_likeness,z_census,spectro_candidate
NGC_6715,apogee,8,0.8716946700000001,0.033929669907029746,25.69122164726387,False,0.0,-0.8610500000000001,8.673598001616115,17.301038062283737,0.22668954000000005,0.26005612722170257,3.2398864203349476,False
HSC_955,apogee,10,0.378063,0.03165454153830063,11.943404694159291,False,0.0,-0.2813,13.16634545434977,7.058864553988856,0.18198914999999993,0.4813725490196077,2.4301576649722962,False
IC_4665,galah,6,0.17001122459999998,0.06120944340745143,2.777532601763593,False,0.0,-0.04475199999999999,7.895566091192634,0.3453263368883087,0.24819317039999997,0.6849955795560441,2.4107898527772584,False
NGC_5139,galah,14,0.26892065970000023,0.10148261333351641,2.64991855123211,False,0.3759330000000001,-1.6180724999999998,7.383987874620574,8.55060643531795,0.24819317039999997,0.9229234030471172,2.24418424658715,False
NGC_1579,apogee,18,0.25508133,0.03227398333023056,7.903620925560469,False,0.3002,-0.29555,8.696042292428562,0.5408329221876998,0.22668954000000005,0.8886951467596631,2.1805251796813185,False
Theia_7,apogee,16,0.23447319,0.03246166970443757,7.223078545708543,False,0.0797,-0.47154999999999997,8.30241687929706,0.129947454804824,0.22668954000000005,0.9668036674043632,1.805191723391499,False
CWNU_1129,apogee,8,0.22624475999999996,0.03232959170790748,6.998070437885018,False,0.0,-0.44335,8.330247551417582,0.16000130664512374,0.22668954000000005,0.9980379332897314,1.6657082249979263,False
NGC_2068,apogee,9,0.18576978000000002,0.0325,5.715993230769231,False,0.0,-0.3497,8.542841010964372,0.4138216428719222,0.22668954000000005,0.8194898626553302,1.5149543416391213,False
HSC_1318,apogee,12,0.16427207999999996,0.031483368625355196,5.2177415306093735,False,0.13899999999999996,-0.24264999999999998,8.299654752305162,0.12770978761210094,0.22668954000000005,0.7246566383257027,1.457406450700066,False
NGC_2244,apogee,7,0.18191501999999998,0.03327701909726891,5.466686167660071,False,0.0,-0.3205,9.514358029675218,1.4667057788207687,0.24915093000000005,0.7301398393335314,1.3913039157356477,False
IRAS_20306+4005,apogee,8,0.19414646999999996,0.0348832337950483,5.565609861192376,False,0.0,-0.44445,8.053892987568279,0.9927217453274157,0.22668954000000005,0.8564421190320467,1.3884867088094188,False
NGC_5139,apogee,159,0.17969111999999995,0.03281600219405161,5.475716357447454,False,0.020499999999999963,-1.6496,6.421792846943647,6.207324643078834,0.45085866,0.3985531075304175,1.3872371188738903,False
Sigma_Orionis,apogee,16,0.13143248999999999,0.03244260316312487,4.051231318866227,False,0.0726,-0.23775000000000002,8.522487564802052,0.4009382960825061,0.22668954000000005,0.5797907128842379,1.070468285126088,False
BH_56,apogee,10,0.13076532,0.03332041416309227,3.9244806310013898,False,0.0,-0.06815,8.316775314622875,0.9183248621311206,0.22668954000000005,0.5768476128188357,1.047940615269991,False
