cluster,survey,n_spectro,s_spectro,err_floor,x_spectro,two_pop,gap,fe_h_median,r_gal_kpc,dist_kpc,s_field,field_likeness,z_census,spectro_candidate
IC_348,apogee,28,0.10696958999999998,0.031591296269700614,3.3860462415591064,False,0.0213,-0.128,8.46402583836753,0.3181320279158747,0.22668954000000005,0.47187704381948964,1.04645268888541,False
NGC_6273,apogee,20,0.1203871199999999,0.034985711369071804,3.4410367915635685,False,0.0806,-1.69955,1.0732894112894462,8.920606601248885,0.45441689999999996,0.26492659053833584,1.0391978531945139,False
NGC_1904,apogee,10,0.1264657799999999,0.032538592471094994,3.886639537722574,False,0.0,-1.49005,18.009075513908524,13.10615989515072,0.17806025999999997,0.7102414654454616,1.035907274519739,False
NGC_2264,apogee,14,0.10889697,0.032755495722092194,3.324540435104867,False,0.07239999999999996,-0.3014,8.849588055926151,0.7248605935874785,0.22668954000000005,0.4803793328973184,0.9060511372609951,False
Berkeley_85,apogee,7,0.11030544,0.030923292192132454,3.5670665113743634,False,0.0,0.0111,8.164535485449017,3.9968025579536373,0.22668954000000005,0.4865925441465009,0.8955058551329856,False
NGC_6656,apogee,43,0.1168288800000003,0.03319096262538946,3.5199003210178645,False,0.03620000000000001,-1.7169,4.763690547263519,3.5373187124159884,0.46924289999999996,0.24897314375987428,0.8237111496480681,False
Theia_13,apogee,6,0.10259592,0.03145317948952061,3.2618616516712504,False,0.0,-0.1859,8.535412570241085,0.4143215937431479,0.22668954000000005,0.45258338783518626,0.7576772145995276,False
HSC_1555,apogee,8,0.09703617,0.03075,3.155647804878049,False,0.0,0.0072499999999999995,8.300154281238385,0.1703094312417367,0.22668954000000005,0.4280575539568345,0.7016750457241616,False
NGC_2632,apogee,124,0.09725855999999998,0.030887254653011814,3.1488250118893717,False,0.008900000000000019,0.11385,8.31851640242742,0.18458017239788102,0.22668954000000005,0.4290385873119684,0.6816427829430093,False
NGC_2632,galah,51,0.10547809440000001,0.06199856489468123,1.7012989668257439,False,0.016464000000000006,0.177757,8.320335843609799,0.18704524624506666,0.2468061981,0.4273721454809769,0.6744907594765952,False
Berkeley_66,apogee,13,0.08940078000000003,0.03195309061734092,2.7978758321263073,False,0.0958,-0.243,13.48179079381515,6.176652254478073,0.18198914999999993,0.49124236252545855,0.6680479500941194,False
ASCC_19,apogee,6,0.09436749,0.03127814732365074,3.017042186787218,False,0.0,-0.08349999999999999,8.484126715010236,0.35627007600821753,0.22668954000000005,0.41628515369522556,0.66753732016737,False
NGC_6254,apogee,16,0.08977142999999999,0.03221897732703507,2.7862904861561955,False,0.033500000000000085,-1.5112999999999999,3.424634320071404,5.670782686989517,0.45441689999999996,0.19755301794453506,0.5948795443751933,False
NGC_752,apogee,72,0.08562015,0.030899190927919134,2.770951194150441,False,0.012899999999999995,-0.05035,8.477671858648842,0.44000528347084344,0.22668954000000005,0.37769784172661863,0.5186149559981198,False
Melotte_20,apogee,50,0.08510124000000001,0.0308402739935948,2.7594190641002294,False,0.0181,-0.04925,8.323867819895085,0.17411137969575075,0.22668954000000005,0.3754087638979725,0.5132965035642433,False
Briceno_1,apogee,9,0.07724345999999997,0.031408438356594556,2.459321890602111,False,0.0,-0.1078,8.487871534873646,0.34873583260680036,0.22668954000000005,0.3407455853499017,0.46751951792760343,False
Melotte_25,galah,14,0.0857543253,0.05368993576313907,1.597214153474082,False,0.085011,0.2070105,8.221430701259596,0.046421642136278946,0.2468061981,0.34745612533302095,0.45086576200387624,False
NGC_6218,apogee,12,0.0782071500000001,0.03428644046850008,2.2809935628007585,False,0.056499999999999995,-1.2646000000000002,3.4069754968060315,5.894861932013635,0.45441689999999996,0.17210440456770007,0.4254316326095797,False
NGC_5272,apogee,39,0.08302559999999974,0.03277560068099439,2.5331526585306445,False,0.019500000000000073,-1.4126,6.445534244521926,13.698630136986303,0.45085866,0.18414995067411977,0.4041908010277164,False
NGC_7089,apogee,7,0.07309217999999984,0.03319096262538946,2.2021711399261408,False,0.0,-1.4234,8.083243624305588,11.82985149760886,0.22668954000000005,0.32243296272073174,0.33540506583389645,False
NGC_362,apogee,9,0.07101653999999975,0.03340793318958837,2.1257388057197195,False,0.0,-1.1158,7.801545843009052,11.015325670498084,0.30156084,0.23549655850540724,0.28648581930324857,False
NGC_4590,apogee,7,0.06894089999999997,0.03319096262538946,2.0770985396869315,False,0.0,-2.1972,7.959533738766994,9.42507068803016,0.30156084,0.22861356932153384,0.2675010694674934,False
NGC_5904,apogee,32,0.06908915999999996,0.03234826115883201,2.135792080469729,False,0.032200000000000006,-1.22065,1.671277637828626,9.738658777120314,0.45441689999999996,0.15203915171288734,0.2194070041331974,False
OC_0115,apogee,6,0.06478961999999998,0.03511498967677479,1.8450701707838497,False,0.0,-0.4284,8.01698577454978,1.0039757054913747,0.22668954000000005,0.2858077174623936,0.09939441875803334,False
NGC_6205,apogee,50,0.06434483999999999,0.0326165602110339,1.9727659686882826,False,0.014700000000000157,-1.47145,7.786913779700425,10.085936450971058,0.30156084,0.21337266470009827,0.08533961459821034,False
Melotte_22,apogee,158,0.05789553,0.030899190927919134,1.8736908074731555,False,0.004799999999999995,-0.015349999999999999,8.298608802042827,0.13536012762309174,0.22668954000000005,0.2553956834532374,0.019629937982699793,False
NGC_7789,apogee,28,0.05530098,0.030761014287568608,1.797761916529153,False,0.039900000000000005,-0.045450000000000004,9.261048954439605,2.0842031992996937,0.24915093000000005,0.22195775066944357,0.007350013258631535,False
NGC_2808,apogee,9,0.055152720000000176,0.03257744618597351,1.6929724842503657,False,0.0,-1.1004,13.855860532088926,13.297872340425531,0.18198914999999993,0.3030549898167017,0.003777385054042268,False
Melotte_22,galah,40,0.09673816739999999,0.06878804912373951,1.4063222991828472,False,0.018162000000000005,-0.034147,8.299983959545413,0.13665682992717404,0.2468061981,0.39196004048814037,0.0,False
Collinder_69,apogee,18,0.05337359999999998,0.0317189217975643,1.682705368758737,False,0.060200000000000004,-0.1303,8.555341874591441,0.3992680408995668,0.22668954000000005,0.23544800523217774,-0.004295733173015446,False
NGC_6838,apogee,43,0.056931839999999984,0.03195309061734092,1.7817318731948615,False,0.009399999999999964,-0.7522,6.844897254226735,4.541326067211625,0.45085866,0.12627425189082533,-0.04454674940455604,False
NGC_2682,apogee,168,0.054782069999999995,0.030899190927919134,1.7729289458676847,False,0.003700000000000002,-0.00555,8.786566040716927,0.8671522784595306,0.22668954000000005,0.2416612164813603,-0.050862997262928936,False
NGC_6341,apogee,20,0.05367012000000034,0.03372180303601811,1.591555467620623,False,0.043700000000000294,-2.2054,9.938977778259279,11.481192462221472,0.24915093000000005,0.2154120797381745,-0.05273177310911189,False
Melotte_25,apogee,17,0.04981536,0.03071742176680849,1.6217298566974025,False,0.019000000000000003,0.0664,8.220532915484487,0.04572097403963094,0.22668954000000005,0.21975147155003266,-0.05642552778345585,False
NGC_3201,apogee,14,0.05285468999999994,0.032877081683142136,1.607645426360984,False,0.037800000000000056,-1.3483,9.105031294264203,5.227597231805543,0.24915093000000005,0.21213924427253766,-0.0694331041240551,False
NGC_6388,apogee,9,0.05218752000000001,0.03327701909726891,1.5682750864028894,False,0.0,-0.5072,6.648351851219679,14.347202295552368,0.45085866,0.11575139756658995,-0.09124323581370089,False
NGC_2204,apogee,6,0.04870340999999998,0.03118092365533773,1.5619617474565302,False,0.0,-0.30474999999999997,11.582792341168275,4.475372931053821,0.21379091999999997,0.22780859916782242,-0.09305379016195282,False
NGC_1851,apogee,7,0.04981535999999978,0.03306372634776667,1.5066468756739095,False,0.0,-1.1199,17.820550515458063,15.503875968992247,0.17806025999999997,0.27976686094920783,-0.10537944371018769,False
NGC_288,apogee,7,0.04640537999999982,0.03257744618597351,1.4244634074472062,False,0.0,-1.2682,8.259715946061945,8.401554093598179,0.22668954000000005,0.20470896010464273,-0.1705190684837433,False
NGC_6791,apogee,22,0.044774520000000005,0.031767947683160144,1.4094243810321594,False,0.017600000000000005,0.3164,7.886321730446426,4.665309986832225,0.30156084,0.14847590953785647,-0.2905429481197638,False
OCSN_96,apogee,7,0.03958542,0.03107426588030681,1.273897190442948,False,0.0,-0.1185,8.048555366180178,0.14080342433927992,0.22668954000000005,0.17462393721386524,-0.3002543189289363,False
NGC_6397,apogee,17,0.043440180000000155,0.03269556544854363,1.3286260507825267,False,0.02289999999999992,-2.0151,5.940590557868476,2.543881963876876,0.42780422999999995,0.10154219372725734,-0.33797871672272295,False
NGC_6316,apogee,6,0.04351430999999998,0.03455607761306251,1.2592375352100489,False,0.0,-0.7495,6.390554288586933,14.619883040935672,0.45085866,0.09651430450509696,-0.3419528734853191,False
NGC_2682,galah,93,0.08301522179999998,0.06516877786946752,1.273849602738887,False,0.012724,-0.055946,8.800067752289406,0.885896527285613,0.2468061981,0.3363579295782685,-0.350448942756227,False
NGC_7078,apogee,10,0.03906650999999981,0.03402355801499896,1.1482194185210646,False,0.0,-2.1914,11.553477470339299,13.85057471264368,0.21379091999999997,0.182732316227461,-0.4784369853764365,False
Blanco_1,galah,13,0.0843762486,0.06901715972133307,1.2225401471269102,False,0.044217,-0.03165,8.135629902985109,0.2384870382294722,0.2468061981,0.3418724863863133,-0.49607972137450207,False
NGC_6304,apogee,6,0.03632369999999999,0.03334220298660543,1.0894211163729137,False,0.0,-0.47365,1.5362149161150493,8.95261605539882,0.45441689999999996,0.07993474714518758,-0.5093133881340632,False
NGC_6809,apogee,6,0.03513761999999991,0.032538592471094994,1.0798752291210418,False,0.0,-1.75805,2.9303939416132767,5.916344184326137,0.45441689999999996,0.07732463295269149,-0.5194813737527244,False
NGC_2420,apogee,14,0.03358089,0.030887254653011814,1.087208635964852,False,0.01880000000000001,-0.19119999999999998,10.40452193436939,2.4591175115290973,0.22394673,0.1499503475670308,-0.5946026359308172,False
NGC_6752,apogee,10,0.03365501999999991,0.032237245539903064,1.043979392046443,False,0.0,-1.49535,4.521321866234585,4.838382346435198,0.46924289999999996,0.07172195892575021,-0.596636223536459,False
NGC_2168,apogee,24,0.03750978,0.030923292192132454,1.2129943916367123,False,0.017000000000000005,-0.017499999999999998,9.044406520673686,0.8722204629463213,0.24915093000000005,0.15055043141922045,-0.6056543418381918,False
NGC_1980,apogee,11,0.033655019999999994,0.031987653868328636,1.0521253024224524,False,0.0,-0.1033,8.493317084213029,0.3831270832535152,0.22668954000000005,0.14846304774362323,-0.6229319738017735,False
NGC_188,apogee,28,0.0378063,0.031140367692113077,1.2140608092297898,False,0.009400000000000006,0.0713,9.263908974054821,1.9247669700133494,0.24915093000000005,0.15174055340672415,-0.6369544771696998,False
NGC_6121,apogee,16,0.03313610999999997,0.03156010139400696,1.0499367408969187,False,0.019300000000000095,-1.0286499999999998,6.433434487659782,1.8436640838600669,0.45085866,0.07349556067083189,-0.6451782075305793,False
Collinder_261,galah,8,0.1333494918,0.11540790718252368,1.1554623513716504,False,0.0,-0.1362275,7.085543685623023,2.966491581183133,0.24819317039999997,0.5372810685527228,-0.6959686268560328,False
NGC_6819,apogee,8,0.029133089999999993,0.030851904317237857,0.9442882261151863,False,0.0,0.0434,7.871577439197429,2.6868051446904486,0.30156084,0.09660766961651915,-0.758726330468696,False
Berkeley_18,apogee,23,0.03261719999999994,0.03234826115883201,1.008313857732489,False,0.020100000000000007,-0.3787,13.986393707751432,5.973715651135006,0.18198914999999993,0.1792260692464356,-0.8901437572569728,False
NGC_6171,apogee,7,0.024018119999999987,0.03265593361090753,0.7354902262533264,False,0.0,-0.9473,1.4228667695509305,7.4183976261127595,0.45441689999999996,0.05285481239804239,-0.9381619854518869,False
Ruprecht_147,apogee,11,0.023869860000000003,0.030320949853195563,0.7872398495288012,False,0.0,0.123,7.899873390405174,0.3047944161662958,0.30156084,0.07915437561455262,-1.007675138197798,False
NGC_2158,apogee,8,0.023943989999999995,0.031751535395945815,0.7541049496163035,False,0.0,-0.2425,12.364232167686755,4.206934089065617,0.19214495999999998,0.12461419753086418,-1.0309512082987828,False
FSR_0494,apogee,6,0.021127049999999998,0.031867891364192893,0.6629572618582031,False,0.0,-0.02255,11.043655901573963,4.380202329661357,0.21379091999999997,0.09882108183079058,-1.0831538840825017,False
NGC_1798,apogee,11,0.021052919999999985,0.031498571396176046,0.6683769792351861,False,0.0,-0.2786,12.975563663682092,4.990019960079841,0.19214495999999998,0.10956790123456783,-1.2248044462912067,False
IC_166,apogee,10,0.018606630000000006,0.03195309061734092,0.5823108075155085,False,0.0,-0.0922,12.253549131907409,5.271481286241434,0.19214495999999998,0.09683641975308646,-1.3216723227783358,False
NGC_1245,apogee,14,0.01875489,0.030947697814215518,0.6060189068857047,False,0.008199999999999999,-0.08995,11.070375040599462,3.322950607891828,0.21379091999999997,0.08772538141470182,-1.3792984135577713,False
NGC_1817,galah,8,0.0770892696,0.0810533047383017,0.9510934791480685,False,0.0,-0.053539500000000004,9.963918033873936,1.8424597331180363,0.22630702919999998,0.3406401907731817,-1.3854410249846212,False
Berkeley_2,apogee,6,0.013195140000000006,0.031483368625355196,0.4191146175308977,False,0.0,-0.21434999999999998,13.639182314955967,7.598784194528876,0.18198914999999993,0.07250509164969456,-1.6129474117404479,False
