source_id,original_candidate,ra,dec,abs_beta,g,bp_rp,w1_median,w2_median,w1_rise_mag,w2_rise_mag,w2_minus_w1_rise,w1_slope_raw_mmag_yr,w1_slope_raw_sigma,w2_slope_raw_mmag_yr,w2_slope_raw_sigma,w1_slope_shardcorr_sigma,w2_slope_shardcorr_sigma,n_matched,w1_matched_raw_slope_median_mmag_yr,w1_matched_raw_slope_mad_mmag_yr,w1_raw_slope_minus_matched_mmag_yr,w1_raw_slope_z_vs_matched,w2_matched_raw_slope_median_mmag_yr,w2_matched_raw_slope_mad_mmag_yr,w2_raw_slope_minus_matched_mmag_yr,w2_raw_slope_z_vs_matched,frac_matched_both_bands_ge_candidate_sigma,frac_matched_both_bands_ge_5sig,strat_verdict,w1_slope_strat_mmag_yr,w1_slope_strat_sigma,w2_slope_strat_mmag_yr,w2_slope_strat_sigma,w1_strat_reasons,w2_strat_reasons,colour_w2_over_w1_rise,colour_err,colour_teff_used,colour_pred_dust_800K,colour_z_vs_dust_800K,colour_pred_dust_1000K,colour_z_vs_dust_1000K,colour_pred_dust_1500K,colour_z_vs_dust_1500K,raw_verdict
4593063967944867968,True,273.62738825267974,33.61794234169282,56.99,12.126949,1.3719692,9.5649995803833,9.57800006866455,0.048563655331419,0.0330190162549044,-0.0155446390765146,-4.483,5.005969540682354,-2.146,2.457651837615704,5.827698805744937,6.363834399303702,3827,0.299,0.353,-4.782,13.55,1.714,0.538,-3.861,7.17,0.0,0.000523,ONE_BAND_ONLY,-5.618,5.406032255338925,-5.049,5.906001037414917,,scan_systematic,0.899,0.225,4740.682,2.769,8.3,2.1,5.33,1.486,2.6,ONE_BAND_ONLY
4619030382440742144,True,52.58025145675166,-82.18863495703903,72.16,13.012304,1.8110552,9.928000450134276,9.940999984741213,0.0601355043443074,0.0543345279061231,-0.0058009764381843,-5.299,6.324652324445685,-1.875,2.821718787018578,5.227017042529497,5.706552124140707,2604,0.4,0.338,-5.699,16.88,1.909,0.53,-3.784,7.14,0.000768,0.001152,ONE_BAND_ONLY,-5.904,5.054227431886289,-4.865,5.42717317500724,not_monotonic,,0.824,0.223,4007.3618,2.69,8.37,2.041,5.46,1.444,2.78,NOT_RISING
5802068055991339904,True,254.43851447227937,-75.66605520582293,52.57,12.270821,1.0014763,10.347000122070312,10.368000030517578,0.0564024015390618,0.067986316249442,0.0115839147103802,-6.092,12.892211977602232,-5.108,8.294563848338452,12.035970450547186,13.170698295048654,5757,0.546,0.383,-6.638,17.34,2.171,0.614,-7.28,11.85,0.0,0.0,IGNITION_CANDIDATE,-6.906,11.94950054536801,-7.299,10.788211597516431,,,1.057,0.132,5079.7183,2.797,13.18,2.122,8.07,1.501,3.36,ONE_BAND_ONLY
4867872438154507904,True,70.85189823771339,-35.095988879146624,56.61,12.663032,1.5380116,9.835000038146973,9.836999893188477,0.0568482698947843,0.0471024794266536,-0.0097457904681306,-5.602,10.675537606942653,-2.648,4.386716609245091,11.618674175431764,8.951707481524316,4447,0.375,0.367,-5.978,16.29,1.86,0.585,-4.509,7.71,0.0,0.0,IGNITION_CANDIDATE,-5.876,10.96741602420767,-4.221,7.57245935501095,,,0.718,0.115,4714.8784,2.766,17.77,2.098,11.97,1.484,6.65,ONE_BAND_ONLY
4614613575512315648,True,82.0988334783495,-84.6244041159755,71.87,12.623354,1.2611599,10.22599983215332,10.22700023651123,0.0261181061099886,0.0272420121926817,0.001123906082693,-2.682,4.957900921836624,-0.766,1.4004267271390811,6.066290684437837,5.948596159474501,2950,0.497,0.338,-3.18,9.41,2.099,0.549,-2.865,5.22,0.0,0.000339,NOT_RISING,-2.944,5.625251618655543,-2.664,4.682093183357574,not_monotonic,slope_not_significant;not_monotonic,0.905,0.251,5536.1357,2.83,7.66,2.147,4.94,1.519,2.44,NOT_RISING
4646037549114081792,True,49.15630325533894,-70.5588682219166,74.87,11.038638,0.8619833,9.411999702453612,9.439000129699709,0.0359492686351305,0.0401328415300419,0.0041835728949113,-2.759,6.672126782107265,-1.234,2.383333981880704,9.403694882352283,8.420654228561572,1756,0.282,0.328,-3.042,9.28,1.658,0.523,-2.892,5.52,0.000569,0.001708,IGNITION_CANDIDATE,-3.277,8.552718090330758,-2.986,6.549903676334071,,,0.911,0.175,5509.531,2.828,10.94,2.145,7.04,1.518,3.46,ONE_BAND_ONLY
6383068554366896000,True,332.2011680787604,-72.32202841190782,54.87,11.373093,0.851079,9.513999938964844,9.553000450134276,0.0266248163246736,0.0332510291599064,0.0066262128352327,-1.893,3.911116353427088,-0.096,0.1618614599361343,5.742271666184489,5.772232960158857,3731,0.285,0.351,-2.179,6.21,1.696,0.532,-1.791,3.37,0.000536,0.000536,NOT_RISING,-2.88,4.640674727011103,-2.92,4.329282952503788,slope_not_significant;endpoint_rise_not_significant,slope_not_significant,1.014,0.32,5604.1333,2.834,5.68,2.15,3.55,1.521,1.58,NOT_RISING
4787733051398426240,True,67.07362616167205,-49.34866916692104,69.19,12.202663,1.5489521,9.45300006866455,9.473999977111816,0.0829924460349555,0.0680909547150925,-0.014901491319863,-9.451,12.233892446477489,-5.792,7.217440679374962,10.907680112547924,10.699399516143403,1804,0.291,0.331,-9.742,29.4,1.675,0.523,-7.467,14.27,0.0,0.002772,IGNITION_CANDIDATE,-10.885,10.223121174879607,-7.125,10.073183778670261,,,0.655,0.091,4706.786,2.766,23.14,2.098,15.82,1.484,9.09,ONE_BAND_ONLY
4572744241447044352,True,254.9565240474826,25.192838652777247,47.57,13.387799,1.1001654,11.196000099182127,11.267999649047852,0.0532025827053637,0.0403666994834921,-0.0128358832218715,-4.582,6.855399872296634,-2.628,3.0105279395818125,9.804895226570665,5.087782319415076,7786,0.966,0.454,-5.549,12.22,2.695,0.795,-5.323,6.69,0.0,0.000257,IGNITION_CANDIDATE,-5.03,10.351472859137228,-4.54,5.94702292356357,,,0.902,0.175,5092.5625,2.798,10.83,2.123,6.97,1.502,3.42,ONE_BAND_ONLY
2698668556422137728,False,324.8713214588547,5.144551814753227,18.07,13.522963,2.127801,10.177000045776367,10.071999549865724,0.0308034086821287,0.028307058259541,-0.0024963504225876,-3.286,5.518182226401756,-1.17,2.1068103459336225,6.447385322633149,5.354988668164745,17325,0.582,0.433,-3.868,8.94,2.275,0.716,-3.444,4.81,0.000173,0.000173,IGNITION_CANDIDATE,-3.898,6.334093527414995,-3.262,5.5752714105393055,,,0.837,0.2,5000.0,2.791,9.77,2.117,6.4,1.498,3.3,IMPULSIVE_SHAPE
