t_myr,m,m_eff,surprise,lambda,r_ball_pc,focus,rms_now_pc,rms_meet_pc,med_now_pc,sig_v_internal_kms,n_epochs_seen,mh_mad_dex,heterogeneous,co_natal_possible,rms_min_pc_p50,p_rms_lt_5pc,member_source_ids
9.5,42,39,43.09,1.6151002328781021,5.85,13.61,116.95,8.59,95.07,11.32,1,0.263902804595232,True,False,9.513382418403786,0.0,1705837491008610560;1440012168236933888;2209464531507117568;4997360273289305472;4544323377697393280;2656044368967764608;3151497949259766272;6032396436149800576;5790026964861280768;1057508393809768448;4072969992811210240;5259541363567236480;1499294845909337344;1518264346362000256;3083060359817982464;4002565308308607616;4003406537783052416;4003559679137550720;4008820429959330304;4009041088198961152;3953787429152384256;4008434844975468928;4008706733584941312;4008867674599508992;4009051048227419520;4010481379712589056;4008790021590804736;4009295144104998912;4008744254419270400;4009709385110617472;4002921034680029056;3953816570505994880;3959212286380277632;4008444912378815232;4009518100151157248;4008525241151501824;4008553489152025856;4009300950900755968;3953900747569804928;4008227724472564864;4008390933229933184;4477931395289970304
11.0,42,40,39.33,2.002324448829242,6.62,13.74,130.03,9.47,148.96,11.08,1,0.2634580170661211,True,False,10.665628144266462,0.0,464486389354957824;1632794489737484928;2178605809971169408;4320666529227192320;1329772594112243968;5217199857965217024;3032630163801971840;1280790862922444032;3306253802849273728;6227966500653553920;4847891837976199424;5271205463939704320;3355368162632362368;6866584569415622144;5696795250772806144;1518264346362000256;4002565308308607616;4003406537783052416;4003559679137550720;4008820429959330304;4009041088198961152;3953787429152384256;4008434844975468928;4008706733584941312;4008867674599508992;4009051048227419520;4010481379712589056;4008790021590804736;4009295144104998912;4008744254419270400;4013188785360910336;4009709385110617472;3999244370876485504;3953816570505994880;3959212286380277632;4008444912378815232;4009518100151157248;4008553489152025856;4009300950900755968;3953900747569804928;4008227724472564864;4008390933229933184
6.5,24,24,23.8,1.041536268659123,4.32,25.0,159.95,6.4,206.01,23.62,1,0.3081584125980735,True,False,7.201313078498277,0.0,1900863640865762432;3799673183549603712;738977749234057344;3566115954369689344;5749800850916730496;1600099553708891136;5454320290797206016;5385102018033673728;6304575042031014400;6267485456813524096;4146238419696268288;931341706560994560;2636510582828012672;666187880454221952;879144247458805760;3689308776198633600;4452175575916926976;4600893491464541440;5888187033700160000;6132215972922202880;6513879999640362880;3509615483496179712;4030521697115080192;522863309964987520
10.5,27,27,23.09,1.6146172004344486,6.36,21.81,193.4,8.87,265.59,17.25,1,0.27969248019978404,True,False,10.49493572633753,0.0,2744847976069705088;6016293332438328576;4542043334180078080;5951783645254860800;1611419094635996800;6788101979180862464;3638345999934342144;5747708957028428928;6760408442402062080;4049434671656076800;6762184905268798976;4793820050849644672;6642278214456585728;1414148944628913664;1640826563913842560;56783560757329408;3394301010374361216;6862731949391812992;4243299530922493056;5806614162918811264;5350115077010370816;6649925592708615424;6814192732974769280;883343243710194560;4115118151825373184;1405211491347094656;1201064003483024896
9.0,25,25,22.97,1.2894261138703396,5.6,19.87,166.74,8.39,214.2,17.62,1,0.22016610985323787,True,False,9.527907777603819,0.0,267350070523783936;3318696941582883840;5790650692893302912;3725156016360093696;2284514068480869888;1921241027299552000;3611633154483404928;4497622549030424832;5872870149533217024;6642084253734236032;1910256047144421632;2557182987842686336;2979088311209154176;3203816285922245888;3604403045192963072;3741416418945723520;5438615042797872768;6013404709229814144;1305458062695065216;5154383040680830720;5599393054726161664;4066303447672595200;6103490372653043328;4521814553618651520;5495256002049699072
10.5,27,27,21.34,1.8947038576526691,6.36,20.12,183.74,9.13,240.86,16.64,1,0.2834731162045151,True,False,10.814208007044538,0.0,262585847982037376;356819152738639616;483509001364169344;2967809211696344320;6463091388593965056;26510702814522368;3035931992916009344;3844959765394983424;4737585498583373568;5190652699467609728;5602414684488475648;3400638488021622784;3554862830816615680;1313296721607680384;6105943795412273920;6105426445131914496;6395199229934662784;88147610976583552;5185906893746378368;3246574648155764352;162107321474879360;5324798443828213504;5865577844796874112;444800045972766976;3202619471812049536;4738729574791722880;3745490521843156224
10.0,25,24,21.21,1.5299081692616185,6.11,15.99,141.29,8.84,184.44,13.48,1,0.2461116085829213,True,False,10.490525796046299,0.0,2366773515514673024;3325494225546785280;4424155381075140352;5854505827105504128;5913365746863831296;6446516633059406848;3360068364381718656;4119669825110529280;4545099147572702336;5865053858850947712;6009012881845530624;5862716327108573952;5362601852605538048;4929175640241623424;3826967009225081728;3643785902432185344;6054414843716969344;5344333501282921216;6075374902576831616;5837177665590302464;5343603180734334592;5204956727269231744;5343610331876174336;1552284576156142720;2631274678392056576
10.5,27,27,20.87,1.9770822862462636,6.36,21.68,180.5,8.33,247.87,16.32,1,0.21156701132208108,True,False,10.216720942875902,0.0,4040680115113096832;4040737122266389888;4042262763359157376;4040799347776656640;4041466197202462080;4042636700424196736;4040642736080671616;4042365017981208320;5859662094304484224;5796817651758418560;1655460067246413568;2283367484010398592;4102477174047714560;1802974601698746624;4585429100942310016;5557338281143038592;1198182973781818496;5885140012070789376;4755045502714337152;1361936951356921728;2904788435005519744;4124933255962082560;4207580074637484672;4705846068222556800;5324007104686982272;4934546445305306624;5369612888507773952
11.5,27,27,20.78,1.993921018993776,6.87,16.47,169.66,10.3,220.61,13.36,1,0.32609787802398205,True,False,11.801915136823773,0.0,1383361485179750912;614076866156605824;5438241552445507200;6733279161215538048;1597676539318743680;2893436217968154240;3981917613810057088;3968891871354715776;6328039925838012800;1534812649194971776;3409367820072311680;3683175597259777536;6690309731378964224;1639200798532788096;1673280814270541696;1901858801966962432;3563401260160882304;4375185053022474240;5868626996725876352;5278062636926654464;4872989629693322880;4425413256738329984;4466196307675726720;4543683668089038464;4446215123384980352;5373854082805352448;3906361133255335296
8.5,26,26,20.76,1.793374273942065,5.34,23.28,176.25,7.57,229.38,19.99,1,0.23691949177086352,True,False,8.682880437393173,0.0,2894021501751901824;688925059361545344;5970234584213834880;5963953933262816768;4803673947073789952;3061964171951149312;3402980516507429888;3887211656492755712;4841919050295976704;2120450440941738496;2282648845786658944;2980088901150843520;3151942362412662016;5679536869580581632;5992356483297549440;5502870639765648000;136649199182215936;2931814121583595776;5568140089531377152;3804692866447059584;5875309794037756928;5491840098597935232;447991825148960384;2587269783506892416;2789773986820056064;5926697291030551040
