n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate,shared_epoch_frac
725,0.7600926818057209,11,0.015172413793103448,1.8560973208056917,0.9971371646443441,0.04491157000259484,0.7378923682475631,2,0.0,0.7600926818057209,753211100006876,165.5824453,48.8479709,13.793210983276367,0.7531023025512695,1.1547601592394245,main_sequence,0.010705848193416518,2.3585266293085034,0.07090425118343034,0.12408243957100308,False,True,True,0.0
725,0.8280041120456861,8,0.011034482758620689,1.8802011795839877,0.9971371646443441,0.041635090634673314,0.7103215435846373,1,0.0,0.8280041120456861,753211100007136,165.8563912,48.8245024,13.210803985595703,1.1403284072875977,0.5924722093403414,giant,0.014021050422336905,2.6469874239173445,0.09286065550717078,0.18654460867601036,False,False,True,0.0
726,0.5249685538711715,7,0.009641873278236915,1.7079967450815214,0.9971371646443441,0.06484969095885176,0.6930248974172357,1,0.0,0.5249685538711715,753211100006464,165.8627078,48.8928324,14.068767547607422,0.793635368347168,1.006751854682775,main_sequence,0.01183337291894431,2.224797482180427,0.07837178620821364,0.13715062586437385,False,True,True,0.0
724,0.7020563375466977,6,0.008287292817679558,1.5433082579879513,0.9971371646443441,0.03834501968158602,0.6910949895748013,1,0.0,0.7020563375466977,753211100006874,165.8345936,48.8502645,13.344326972961426,0.961883544921875,0.6460410563469275,giant,0.011884943789322778,2.292700197859482,0.07871333728207545,0.16178680178209354,False,False,True,0.0
