source_id,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class
753211100006876,,,,0,unexamined
753211100006464,UCAC4 695-051612,*,,1,*
753211100007136,2MASS J11032552+4849283,RG*,,1,rg*
753211100006874,UCAC4 695-051610,*,,1,*
