source_id,control_name,is_control,unit,ra,dec,l,b,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,bp_rp,abs_g,ruwe,ipd_frac_multi_peak,phot_variable_flag,non_single_star,teff,teff_gspphot,logg_gspphot,mh_gspphot,ag_gspphot,age_flame,age_flame_lower,age_flame_upper,mass_flame,lum_flame,evolstage_flame,flags_flame,teff_gspspec,logg_gspspec,mh_gspspec,alphafe_gspspec,alphafe_gspspec_lower,alphafe_gspspec_upper,flags_gspspec,activityindex_espcs,gaia_rot_period_d,allwise_designation,allwise_ra,allwise_dec,allwise_sep_arcsec,allwise_n_neighbours,allwise_n_mates,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,tmass_designation,ks_m,ks_msigcom,tmass_ph_qual,tmass_sep_arcsec,w3_snr,w4_snr,ks_w1,w1_w2,v_tan_kms,W1_excess_jy,W1_excess_err_jy,chi_W1,W2_excess_jy,W2_excess_err_jy,chi_W2,W3_excess_jy,W3_excess_err_jy,chi_W3,W4_excess_jy,W4_excess_err_jy,chi_W4,W3_excess_mag,W4_excess_mag,excess_significant,t_bb_k,t_bb_lo_k,t_bb_hi_k,omega_dust_sr,bb_fit_chi2,lum_lsun,lum_source,mass_msun,mass_source,f_ir,f_ir_lo,f_ir_hi,r_bb_au,fmax_1gyr,log_f_fmax_1gyr,log_f_fmax_1gyr_lo,log_f_fmax_1gyr_hi,in_t_cell,above_fmax_3dex,above_fmax_3dex_16pct
97294345128598656,BD+20 307,True,control,28.70995193705064,21.306139136462548,142.09948630318536,-39.19419383662534,8.524026969808933,0.01891736,450.59283,38.800581109163865,0.02255056,-22.507555851653528,0.022839153,,,8.847108,0.7195797,3.500332075706286,0.9361506,0,NOT_AVAILABLE,0,6053.8813,6053.8813,4.0201,-0.4706,0.0148,5.828576,4.100174,6.629085,1.1409671,2.9806585,372.0,0.0,,,,,,,,,,J015450.37+211822.2,28.7098824,21.3061668,0.030991182,1,0,7.407,0.03,7.292,0.02,4.085,0.014,2.958,0.018,0000,0,1363,AAAA,01545034+2118225,7.603,0.027,AAA,0.065958925,77.55000000000001,60.31666666666668,0.19599999999999973,0.11500000000000021,24.94587423418882,0.03997616251921593,0.01962248943096111,2.0372625328639504,0.04835512756238719,0.008393253120592206,5.7611901926026245,0.7068328042308578,0.009580300159427757,73.77981821741562,0.5404478851129126,0.009110587066109467,59.32086277110817,-3.5156084059999997,-4.5856084059999995,True,379.1181698452854,374.61499983067466,383.3770556892185,6.845289917135382e-16,14.63672209102048,2.9806585,flame,1.1409671,flame,0.03683742641171289,0.0364317508264974,0.03763531188459403,0.9303220719622962,7.015317997031176e-08,5.720241919365018,5.6937903966359,5.75087771477008,False,True,True
2991461115558708352,,False,hp3_332,91.2426229517235,-16.319061549407692,222.70696535697263,-17.46471033945942,2.148318979285885,0.012378091,173.55818,5.9688954485302,0.009252599,9.28660334273934,0.011292155,44.460957,1.5153097,13.159223,0.85499096,4.819716826149591,1.0590411,1,NOT_AVAILABLE,0,5517.0796,5517.0796,4.3964,-0.372,0.0063,13.4994545,12.008041,13.5,0.87840784,0.8611002,344.0,0.0,,,,,,,,,,J060458.23-161908.7,91.2426262,-16.3190898,0.066953585,1,0,11.629,0.023,11.664,0.022,6.688,0.017,6.964,0.112,dhOO,1,21nn,AAAB,06045821-1619086,11.698,0.026,AAA,0.09396458,63.86470588235294,9.693750000000001,0.06900000000000084,-0.03500000000000014,24.35952375067779,3.7417802340459355e-05,0.00041668556315544315,0.08979865310692506,7.123821525011976e-05,0.000182932625565822,0.389423237269872,0.06624560299957351,0.0010481220845625877,63.204090415879136,0.013516348247612959,0.0014134316519621014,9.562788712740229,-5.0047005424,-4.674199638400001,True,334.17005359768876,332.0494665240141,335.87672580430586,7.274668317878759e-17,1030.919658373104,0.8611002,flame,0.87840784,flame,0.12877542114168508,0.12460468166090981,0.12967617440887882,0.6436032093752309,6.86997944035293e-08,6.272877541495951,6.2505405172074155,6.280585487837918,True,True,True
5653184152845431168,,False,hp3_627,131.01255674102293,-25.4597440444267,248.8593836746652,10.551866190398826,2.230164910458107,0.01505845,148.10056,-35.76007781471323,0.013445964,7.419262467230635,0.0148182,113.20553,2.5283663,13.462647,0.9310322,5.2043318915948955,1.0492753,0,NOT_AVAILABLE,0,5245.2925,5245.2925,4.3757,-1.0759,0.0106,,,,,0.6405941,354.0,20.0,,,,,,,,,,J084403.02-252735.0,131.0125982,-25.459745,0.06825308,1,0,11.747,0.023,11.788,0.023,7.928,0.023,6.981,0.104,h0OO,1,11nn,AAAA,08440305-2527351,11.798,0.021,AAA,0.10976981,47.20434782608696,10.43942307692308,0.051000000000000156,-0.04100000000000037,77.6308749738515,-7.818385439556114e-05,0.0003550708887646112,-0.2201922401117821,-6.6816579555165935e-06,0.00016069957738705997,-0.04157856581926905,0.020744998515916234,0.0004531647451557399,45.77805033969879,0.013320236231082935,0.0012920793958097424,10.30914684831359,-3.8601380679999995,-4.760241287999999,True,316.63108870000326,311.90282693723964,321.12169478737223,3.8331046560209753e-17,63.010098412551216,0.6405941,flame,0.89463468878049,ml_relation,0.06821955656299383,0.06609940784083561,0.06915956551540872,0.6183164081789795,7.144122139673732e-08,5.979960021232374,5.941040010122083,6.006888388315747,True,True,True
2991461081198973824,,False,hp3_332,91.23632738107976,-16.323724281206925,222.7088613298574,-17.472124809229772,2.7345600580321623,0.012321885,221.9271,4.973507736890691,0.0093461,14.286462634538374,0.011261121,66.72785,1.1022992,12.571453,0.8443384,4.7558903302437905,1.023054,0,NOT_AVAILABLE,0,5648.0,5691.3423,4.373,-0.1953,0.0728,7.6740303,6.4294868,8.881236,0.9555543,0.97091913,301.0,0.0,5648.0,3.99,-0.16,0.2,-0.01,0.33,20000009999999999999999999999999999,0.0022270773,,J060456.71-161925.4,91.2363152,-16.3237465,0.01449353,1,0,11.065,0.022,11.119,0.021,7.137,0.022,6.45,0.071,hhOO,1,00nn,AAAA,06045670-1619255,11.143,0.027,AAA,0.14477576,49.35000000000001,15.29154929577465,0.07800000000000118,-0.05400000000000027,26.223991912943628,0.00016164035086043554,0.000698097696170397,0.23154402563875692,5.89337315029647e-05,0.00030532146323473497,0.19302190838007255,0.043138599990931566,0.0008980790032468456,48.034304148044434,0.02168849732230484,0.0014386247187312099,15.07585476595518,-4.001113232,-4.633000000000003,True,342.8225157553744,339.1959517336706,346.2181667045511,5.3706624752486305e-17,179.89142039615427,0.97091913,flame,0.9555543,flame,0.057643203568488274,0.055637175904465916,0.05815506006153036,0.6493506304152701,6.157918444678246e-08,5.971314176266265,5.941060308794004,5.98870445934553,True,True,True
118054327252408192,,False,hp3_13,51.48962691616308,27.576738477653,160.18052454712165,-23.90202103059003,2.7649447109952496,0.015214395,181.73215,20.32854925338272,0.017848419,-8.102997535852484,0.015667863,43.37711,2.8005943,13.138594,1.0488434,5.347026256956305,1.0527891,0,NOT_AVAILABLE,0,5309.7524,5309.7524,4.3669,-1.0951,0.2729,,,,,0.7025627,355.0,20.0,,,,,,,,,,J032557.49+273436.3,51.4895813,27.5767512,0.031101774,1,0,11.22,0.023,11.136,0.021,7.964,0.021,6.749,0.093,0000,0,0000,AAAA,03255749+2734363,11.352,0.02,AAA,0.040032376,51.7,11.674193548387098,0.13199999999999967,0.0840000000000014,37.519864151730395,0.0005417121215229685,0.0005640231410571807,0.9604430777567152,0.0010517332015160573,0.00024483107857614043,4.2957503909740655,0.01973255952902407,0.0004015726885420661,49.13820110790981,0.016445479343262886,0.0014307056732859476,11.494662843890195,-3.3710693959999984,-4.535138792,True,342.819489441605,334.44246329297823,350.4704004085444,2.8245863226799833e-17,2.193745230259136,0.7025627,flame,0.9155272434840988,ml_relation,0.04097884982851392,0.0397619873005144,0.041621821840094414,0.552380004802724,5.143671921571216e-08,5.901286504472952,5.842683379283844,5.943868495584941,True,True,True
5119617994838461056,,False,hp3_568,35.97794443426463,-25.011319504965595,212.3272706406017,-69.15544260639803,2.087395700848592,0.013919385,149.96321,8.193340819429226,0.011529161,14.53986855135042,0.012706353,9.167891,2.898663,13.288479,0.8026924,4.886502923346937,1.0761824,0,VARIABLE,0,5692.545,5692.545,4.4644,-0.3972,0.0021,1.6072117,0.5281677,2.7634144,1.0027343,0.80005,156.0,0.0,,,,,,,,,,J022354.70-250040.8,35.9779177,-25.01134,0.04412527,1,0,11.832,0.021,11.806,0.021,8.501,0.024,7.244,0.111,0000,0,0000,AAAB,02235468-2500409,11.956,0.024,AAA,0.16588388,45.237500000000004,9.781081081081082,0.12399999999999878,0.026000000000001577,37.901758639267754,0.0003223088414342672,0.0003259995767199547,0.9886787114179048,0.0003746255161111143,0.0001446332596168655,2.5901754347755137,0.012073321778793127,0.0002794719302817296,43.200480873418215,0.01044086763467148,0.0010823812856256099,9.646201180055254,-3.4509461519999993,-4.652000000000002,True,323.6693643315857,315.04082083520086,334.4104838742762,2.107323405454622e-17,4.072206999391318,0.80005,flame,1.0027343,flame,0.037429304798636556,0.036854222848453334,0.038561784045685214,0.6612745180575722,6.799297282436393e-08,5.740747730685967,5.683343807763874,5.811113710622555,True,True,True
4550296337177642112,,False,hp3_505,262.9744007754231,17.802048129647407,40.8435799427867,25.317179777818,3.20030179185809,0.01163054,275.16364,-18.435466538959695,0.01100714,0.6608338004227006,0.012074192,-56.20303,1.5928198,13.278564,1.0933428,5.8045186734098415,1.0320654,0,NOT_AVAILABLE,0,4981.0366,4981.0366,4.501,0.0154,0.0456,,,,,0.39176187,402.0,20.0,,,,,,,,,,J173153.86+174807.3,262.974427,17.8020435,0.018102605,1,0,11.254,0.023,11.216,0.021,7.841,0.037,6.004,0.082,hhHH,1,25nn,AAAA,17315386+1748073,11.36,0.022,AAA,0.1286474,29.343243243243247,13.240243902439024,0.10599999999999987,0.038000000000000256,27.325208163458214,0.00030444176695984017,0.000584635289717472,0.5207379238207861,0.0006707621548214656,0.00024319011938898734,2.7581801288092977,0.022216281377440833,0.0007895015729473136,28.13962902506264,0.032916029613795444,0.0025053083838871854,13.138514134824234,-3.5006997159999997,-5.284532576,True,269.5041119233111,259.26412734568083,286.06255248320525,8.734216418390512e-17,2.3535178295039407,0.39176187,flame,0.7911440040946034,ml_relation,0.06478618214833438,0.06256519330646286,0.06774893485535997,0.6674315053125373,1.209701605857417e-07,5.72880413054578,5.658347367922223,5.847784278994782,True,True,True
4481599018175065600,,False,hp3_497,272.32141656664373,9.05103499311461,36.33016776747534,13.442815581645934,4.37773856074172,0.015923742,274.91898,17.7456895250591,0.01620331,-48.52205912772266,0.0148858195,7.3715267,1.7859039,12.933956,1.2292004,6.1402051093465,0.9576302,0,NOT_AVAILABLE,0,4934.8535,4934.8535,4.5225,-0.0433,0.2708,,,,,0.3607542,382.0,20.0,,,,,,,,,,J180917.13+090304.0,272.3213944,9.0511174,0.0335076,1,0,10.737,0.022,10.814,0.02,8.577,0.026,7.412,0.141,00OO,1,00nn,AAAB,18091711+0903045,10.802,0.023,AAA,0.055809826,41.75769230769232,7.700000000000002,0.0649999999999995,-0.07699999999999996,55.94616113324336,-0.00014469255834915692,0.0010096266159921074,-0.1433129397118509,-0.00013015712260282773,0.0003962507332591392,-0.32847162586247597,0.010197102830490017,0.0002895949077903265,35.21160958352541,0.008633930379396861,0.0011781318169446246,7.328492665437181,-2.199455971999998,-3.2973679160000002,True,332.2846993358922,315.65078472190066,346.2240224194102,1.6119418173129954e-17,3.993753395327607,0.3607542,flame,0.7750020459118072,ml_relation,0.016035429138073133,0.015763807370037002,0.016732926758823433,0.4213193669445959,4.383845407763997e-08,5.563225356197667,5.461042037007246,5.659472823218177,True,True,True
3297078447035834240,,False,hp3_366,61.73301902584373,6.2891205068400975,185.0815393441042,-32.13337497567192,4.1073521286188,0.019756475,207.89903,0.5269168350267182,0.024317909,-5.782644940149162,0.01586886,15.362528,1.7809633,11.601112,1.0291386,4.668921685391394,1.2300029,0,NOT_AVAILABLE,0,5827.0,6275.56,4.3881,0.1522,0.6989,0.4291387,0.2,1.0853823,1.2008883,1.8039577,119.0,0.0,5827.0,4.14,-0.93,0.67,0.56,0.76,22200120000009999999999999999999999999999,0.01890222,,J040655.92+061720.9,61.7330292,6.2891526,0.09185442,1,0,9.675,0.024,9.348,0.02,5.699,0.015,3.92,0.019,0h00,0,0000,AAAA,04065592+0617209,9.838,0.02,AAA,0.08947828,72.38000000000001,57.1421052631579,0.16299999999999848,0.32699999999999996,6.70164697695336,0.0034086853191729327,0.002274342679892602,1.4987562557344685,0.011211805521643383,0.0010427090913705263,10.752572903058416,0.16264988436067684,0.0023042775990171197,70.58606325472873,0.225100795617356,0.003957817410332095,56.87498241574213,-4.1232516839999995,-5.852503367999999,True,278.1365518501622,274.26727176811363,282.1423850988732,5.508411275640885e-16,66.12615224773182,1.8039577,flame,1.2008883,flame,0.06110957861035126,0.06117442420505635,0.06296298001608365,1.3446939627835455,2.041155186586952e-07,5.476233264130563,5.4532208007671406,5.513566109498747,True,True,True
5554553591848668672,,False,hp3_616,92.76480805645846,-47.19145490116393,254.7522107620716,-26.137557671772804,5.410782049555409,0.010362427,522.15393,6.276532898537342,0.011689595,12.577380919514138,0.014118142,28.742668,0.6472407,11.550493,0.9262686,5.216793202852919,0.7959442,0,NOT_AVAILABLE,0,5503.0,5548.958,4.5214,0.0759,0.1119,1.9564296,0.7848693,3.2009466,0.9629091,0.66348207,155.0,0.0,5503.0,5.12,0.07,0.12,0.05,0.16,11000009999999999999999999999999999,0.057785966,,J061103.54-471129.2,92.7647872,-47.1914612,0.04951678,1,0,9.867,0.023,9.702,0.021,6.518,0.016,4.693,0.027,dd00,0,0011,AAAA,06110354-4711294,9.934,0.021,AAA,0.034913752,67.85625,40.211111111111116,0.0669999999999984,0.16500000000000092,12.315124357577513,7.965399257948286e-05,0.001985319313756659,0.0401215018800981,0.004141984842718105,0.0009160411637218569,4.521614319043594,0.07485761365202202,0.001162649609327071,64.38536000140988,0.11002231491869725,0.002760097523005392,39.861749087364515,-3.4064238839999996,-5.184050744,True,265.4512378290591,261.6261614388428,269.84348439339635,3.171755816403233e-16,12.057579804868679,0.66348207,flame,0.9629091,flame,0.04573939138705407,0.04463808978449206,0.04627714505231045,0.8953060071528468,1.5660939350808236e-07,5.465472573844296,5.432808523967141,5.495345693649668,True,True,True
